num_critic_for_reviews,duration,actor_3_facebook_likes,actor_2_name,gross,movie_title,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,budget,title_year,imdb_score,movie_facebook_likes
173,95,206,Deborah Kara Unger,17529157,Silent Hill: Revelation 3D ,0,18th birthday|alternate reality|introduction|nightmare|on the run,http://www.imdb.com/title/tt0938330/?ref_=fn_tt_tt_1,220,English,20000000,2012,5.0,25000
165,108,844,Salma Hayek,25753840,From Dusk Till Dawn ,2,brother|human versus vampire|rapist|stripper|vampire,http://www.imdb.com/title/tt0116367/?ref_=fn_tt_tt_1,592,English,19000000,1996,7.3,12000
45,68,253,Brenda Blethyn,18081626,Pooh's Heffalump Movie ,0,creature|forest|mother son relationship|rabbit|winnie the pooh,http://www.imdb.com/title/tt0407121/?ref_=fn_tt_tt_1,32,English,20000000,2005,6.4,264
45,103,801,Holly Hunter,17518220,Home for the Holidays ,1,dinner|gay interest|gay sibling|homosexual|thanksgiving,http://www.imdb.com/title/tt0113321/?ref_=fn_tt_tt_1,76,English,20000000,1995,6.6,0
377,99,59,Chi Ling Chiu,17104669,Kung Fu Hustle ,1,1940s|axe|china|gang|sign language,http://www.imdb.com/title/tt0373074/?ref_=fn_tt_tt_1,354,Cantonese,20000000,2004,7.8,0
,30,215,Mark Feuerstein,,Fired Up             ,2,sitcom,http://www.imdb.com/title/tt0118315/?ref_=fn_tt_tt_1,6,English,,,6.7,4
43,88,939,Alex Rocco,16988996,The Country Bears ,1,animal in title|bear|box office flop|disney|satire,http://www.imdb.com/title/tt0276033/?ref_=fn_tt_tt_1,75,English,35000000,2002,4.0,422
201,128,161,Shaun Toub,15797907,The Kite Runner ,0,afghanistan|based on novel|boy|friend|kite,http://www.imdb.com/title/tt0419887/?ref_=fn_tt_tt_1,230,Dari,20000000,2007,7.6,0
192,124,430,Eddie Marsan,16248701,21 Grams ,0,accident|faith|love|mathematician|nonlinear timeline,http://www.imdb.com/title/tt0315733/?ref_=fn_tt_tt_1,559,English,20000000,2003,7.7,0
77,84,472,Tom Hollander,15712072,Paparazzi ,0,actor|coma|movie star|paparazzi|revenge,http://www.imdb.com/title/tt0338325/?ref_=fn_tt_tt_1,138,English,20000000,2004,5.8,269
350,122,10000,Taylor Lautner,191449475,Twilight ,1,blood|high school|love|school|vampire,http://www.imdb.com/title/tt1099212/?ref_=fn_tt_tt_1,1535,English,37000000,2008,5.2,19000
81,101,499,Lochlyn Munro,15408822,A Guy Thing ,3,bachelor party|climbing a tree|taxi|toilet|wedding,http://www.imdb.com/title/tt0295289/?ref_=fn_tt_tt_1,92,English,20000000,2003,5.6,401
81,98,153,Robert Miano,15464026,Loser ,2,college|loser|love|new york city|overdose,http://www.imdb.com/title/tt0217630/?ref_=fn_tt_tt_1,158,English,20000000,2000,5.3,1000
222,105,173,Michael Moore,14359793,Capitalism: A Love Story ,0,capitalism|critique of capitalism|investment bank|market economy|plutocracy,http://www.imdb.com/title/tt1232207/?ref_=fn_tt_tt_1,188,English,,2009,7.4,10000
27,225,202,Carroll Baker,8000000,The Greatest Story Ever Told ,6,70mm film|biblical epic|faith|jewish|king herod,http://www.imdb.com/title/tt0059245/?ref_=fn_tt_tt_1,100,English,20000000,1965,6.6,1000
155,111,233,Michael Kelly,,Secret in Their Eyes ,0,digging a grave|grave digging|investigator|police|secret,http://www.imdb.com/title/tt1741273/?ref_=fn_tt_tt_1,81,English,19500000,2015,6.2,0
