actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,actor_1_name,movie_title,num_voted_users,actor_3_name,facenumber_in_poster,plot_keywords,language,country,content_rating,budget,title_year,actor_2_facebook_likes
30,Alex Lawther,202,Juliet Stevenson,Departure ,162,Niamh Cusack,0,france|gay|language|male masturbation|masturbation,English,UK,,1100000,2015,47
365,Adam Arkin,422,W. Earl Brown,The Sessions ,36381,Rhea Perlman,3,falling in love|iron lung|priest|sex surrogate|therapist,English,USA,R,1000000,2012,374
2,Eric Schlosser,37,Michael Pollan,"Food, Inc. ",42389,Barbara Kowalcyk,0,farming|flesh eating|food|food industry|gluttony,English,USA,PG,,2008,3
245,Robert Amaya,544,Rachel Hendrix,October Baby ,6110,Jason Burkey,1,abortion|anti choice|christian preach|malpractice|unprofessional conduct,English,USA,PG-13,,2011,264
458,Callie Thorne,22000,Philip Seymour Hoffman,Next Stop Wonderland ,4195,Holland Taylor,1,love|marine biologist|nurse|personal ad|plumber,English,USA,R,1000000,1998,472
973,Jennifer Garner,24000,J.K. Simmons,Juno ,414345,Rainn Wilson,0,adoption|baby|friend|pregnancy|school,English,USA,PG-13,7500000,2007,3000
180,Boyd Holbrook,3000,Ty Burrell,The Skeleton Twins ,31254,Kathleen Rose Perkins,2,adultery|brother sister relationship|estrangement|siblings|suicide attempt,English,USA,R,,2014,439
287,Julia Garner,321,Christopher Abbott,Martha Marcy May Marlene ,40425,Brady Corbet,0,connecticut|cult|memory|new york|telephone call,English,USA,R,,2011,300
313,Jenny Slate,612,Gaby Hoffmann,Obvious Child ,16594,Jake Lacy,1,abortion|divorced parents|one night stand|pregnancy|pregnant,English,USA,R,,2014,457
229,Michael O'Keefe,496,Charlie McDermott,Frozen River ,21746,Misty Upham,1,border|mohawk|money|new york|river,English,USA,R,1000000,2008,238
13,Lou Adler,130,Sheryl Crow,20 Feet from Stardom ,9540,Merry Clayton,0,backup singer|band|bechdel test passed|concert footage|singer,English,USA,PG-13,1000000,2013,19
13,Natasha Gregson Wagner,21000,Robert Downey Jr.,Two Girls and a Guy ,5933,Angel David,3,actor|anilingus|double cross|funeral home|two timing,English,USA,R,1000000,1997,104
584,Anne Heche,778,Kevin Corrigan,Walking and Talking ,2629,Vincent Pastore,2,briefs|cancer|cat|cult film|friend,English,UK,R,1000000,1996,695
121,Mark Addy,1000,Tom Wilkinson,The Full Monty ,82232,Lesley Sharp,3,dole|male stripper|northern england|steel worker|unemployment,English,UK,R,3500000,1997,891
5,Phyllis Diller,783,Ed Begley Jr.,Who Killed the Electric Car? ,11283,Colette Divine,0,california|car|reference to ralph nader|technology|u.s. president,English,USA,PG,1000000,2006,659
428,Nia Long,1000,Justin Theroux,The Broken Hearts Club: A Romantic Comedy ,6084,Mary McCormack,1,friend|gay|lesbian|photographer|restaurant,English,USA,R,1000000,2000,826
124,Ossie Davis,1000,Daniel Roebuck,Bubba Ho-Tep ,38893,Ella Joyce,2,cult film|elvis|elvis presley|nursing home|texas,English,USA,R,1000000,2002,282
543,Dylan Minnette,2000,Odeya Rush,Goosebumps ,47988,Ken Marino,4,based on book|blob|ferris wheel|manuscript|monster,English,USA,PG,58000000,2015,1000
6,Saul Williams,245,Sonja Sohn,Slam ,1976,Bonz Malone,0,gang|independent film|prison|racial slur|urban setting,English,USA,R,1000000,1998,38
25,Frank Gerrish,957,Wilford Brimley,Brigham City ,983,Rick Macy,0,fbi agent|mormon|prayer|sheriff|utah,English,USA,PG-13,1000000,2001,81
97,Manoj Bajpayee,353,Karisma Kapoor,Fiza ,2715,Jaya Bhaduri,3,mumbai riots|politician|riot|suicide|tragic event,Hindi,India,,1000000,2000,186
842,Sid Caesar,1000,Madeline Kahn,History of the World: Part I ,36559,Dom DeLuise,0,french revolution|old testament|part of an unfinished series|reference to john wayne|roman emperor,English,USA,R,11000000,1981,898
194,Dian Bachar,406,Trey Parker,Orgazmo ,30396,Matt Stone,0,book of mormon|fight|mormon|ray gun|sidekick,English,USA,NC-17,1000000,1997,203
463,Paul Schneider,11000,Zooey Deschanel,All the Real Girls ,9233,Shea Whigham,0,best friend|lake|love|small town|womanizer,English,USA,R,2500000,2003,552
301,Cathy Moriarty,611,David Arquette,Dream with the Fishes ,1524,Kathryn Erbe,0,dying|to do list|twenty something|underwear|voyeur,English,USA,R,1000000,1997,394
275,Agnes Bruckner,638,Frances Fisher,Blue Car ,3142,A.J. Buckley,0,contest|poetry|refusing to eat|starving oneself|teenage girl,English,USA,R,1000000,2002,400
268,Lupe Ontiveros,844,Cheech Marin,Luminarias ,505,Robert Beltran,1,divorce|friend|jewish|lent|restaurant,English,USA,R,1000000,2000,625
145,Nat Wolff,11000,James Franco,Palo Alto ,19752,Olivia Crocicchia,0,girls' soccer|high school|high school student|soccer coach|teenager,English,USA,R,,2013,733
7,Scandar Copti,20,Shahir Kabaha,Ajami ,4999,Ranin Karim,6,arab|christian|israeli|palestinian|violence,Arabic,Germany,,,2009,13
772,Patrick Fugit,1000,Leslie Bibb,Wristcutters: A Love Story ,46076,Chase Ellison,2,afterlife|camping|death|hitchhiker|suicide,English,USA,R,1000000,2006,835
11,Cara Seymour,7000,Steven Yeun,I Origins ,75633,Venida Evans,0,buddhism|evolution|eye|reincarnation|stuck in elevator,English,USA,R,,2014,71
551,Elden Henson,855,Shiri Appleby,The Battle of Shaker Heights ,3806,Kathleen Quinlan,2,bully comeuppance|high school|painter|reference to led zeppelin|wetting pants,English,USA,PG-13,1000000,2003,577
