num_critic_for_reviews,actor_1_facebook_likes,genres,actor_1_name,num_voted_users,cast_total_facebook_likes,actor_3_name,num_user_for_reviews,budget,title_year,actor_2_facebook_likes
112,18000,Biography|Drama,Denzel Washington,47626,22745,John Heard,118,15000000,2007,2000
676,33000,Crime|Drama,Ryan Gosling,431578,34337,Russ Tamblyn,1264,15000000,2011,745
74,811,Comedy|Family|Music|Romance,Adam Garcia,23408,2167,Glenne Headly,105,15000000,2004,636
65,818,Comedy|Drama|Romance,Liam Aiken,15582,1450,Kali Rocha,132,15000000,1998,511
274,10000,Drama|Horror|Sci-Fi,Jeremy Renner,212167,11471,Catherine McCormack,713,15000000,2007,1000
50,116,Drama|Family|Sport,Jessie T. Usher,12596,525,Ser'Darius Blain,64,15000000,2014,110
96,907,Comedy|Drama|Family,Cicely Tyson,8427,3462,Eva Marie Saint,88,14000000,2005,807
68,1000,Drama|Romance|Sport,Alfre Woodard,14322,5135,Omar Epps,116,15000000,2000,886
111,893,Action|Comedy|Crime|Romance|Thriller,Minnie Driver,73347,2044,Mitchell Ryan,296,15000000,1997,822
128,14000,Comedy|Romance,Bradley Cooper,33088,16461,Beth Grant,143,15000000,2009,982
160,193,Adventure|Fantasy|Horror|Mystery|Thriller,Kim Director,28964,608,Kurt Loder,457,15000000,2000,184
93,838,Drama|Fantasy|Horror|Thriller,Christine Taylor,57140,1812,Brenda Strong,195,15000000,1996,328
278,19000,Drama|Romance|Thriller,Scarlett Johansson,166269,20391,Penelope Wilton,735,15000000,2005,567
81,512,Adventure|Comedy|Family|Fantasy,Sierra McCormick,13874,1002,Jason Spevack,52,15000000,2010,316
58,12000,Drama|Romance,Anthony Hopkins,45703,12749,Ben Chaplin,156,11500000,1993,310
153,3000,Drama,Don Cheadle,189032,3677,Nina Hartley,560,15000000,1997,360
25,1000,Action|Crime|Drama|Romance|Thriller,Kieran Culkin,17074,2210,Joss Ackland,55,15000000,1993,605
46,1000,Adventure|Drama|Family,Alison Lohman,6095,3845,Tim McGraw,76,15000000,2006,786
161,919,Horror,Jeff Kober,49721,2559,Jacob Vargas,211,15000000,2007,557
108,912,Horror|Mystery|Thriller,Loretta Devine,13048,2682,Jacinda Barrett,227,14000000,2000,786
69,882,Drama|Family|Fantasy|Romance,William Hurt,17983,2661,Jonathan Jackson,127,15000000,2002,874
78,472,Action|Drama|Thriller,Kelly Carlson,27486,1045,Drew Powell,284,20000000,2006,239
129,826,Action|Comedy,Nia Long,15385,2958,Keegan-Michael Key,84,15000000,2016,622
135,3000,Drama|Music,Leighton Meester,14814,4204,Tim McGraw,114,15000000,2010,646
96,989,Horror|Mystery|Sci-Fi|Thriller,Bruce Greenwood,17328,4660,Katharine Isabelle,237,15000000,1998,982
417,33000,Crime|Drama|Thriller,Ryan Gosling,187170,34413,Angelo Anthony Pizza,376,15000000,2012,748
172,775,Action|Crime|Thriller,Luke Bracey,50056,3033,Will Patton,152,15000000,2014,614
88,471,Drama|Mystery|Thriller,Jason Priestley,13320,1069,Geneviève Bujold,415,15000000,1999,308
