duration,actor_3_facebook_likes,gross,num_voted_users,cast_total_facebook_likes,plot_keywords,num_user_for_reviews,budget,title_year,imdb_score,aspect_ratio
115,29,31662,90,14133,,1,12620000,2016,6.8,
90,234,28399192,5663,1483,cia|crocodile|satellite|snake|spider,106,13000000,2002,5.4,2.35
102,113,2035566,77305,931,character name in title|con artist|fraud|gay|prison break,162,13000000,2009,6.6,1.85
100,91,,16281,931,fire|prehistoric times|primitive|tribe|trio,96,12500000,1981,7.4,2.35
117,543,21078145,26493,20456,black american|extortion|navy|psychiatrist|sailor,159,12500000,2002,7.3,2.35
109,355,14060950,14354,14347,classroom|fund raising|headmaster|reunion|roman,139,12500000,2002,6.9,1.85
121,975,12281500,163492,23602,aspiring actor|cocaine|drugs|pimp|suitcase full of money,460,13000000,1993,8.0,2.35
111,1000,,9957,9244,clone|love|male nudity|medical ethics|virginity,35,3660000,2010,6.4,2.35
100,99,10725228,75675,32288,office|pressure|real estate|robbery|sales,365,12500000,1992,7.8,2.35
109,204,214966,28483,1813,deputy|murder|revenge|sheriff|texas,176,13000000,2010,6.1,2.35
93,697,,14193,3700,cat|cat people|leopard|love|slip the undergarment,106,18000000,1982,6.1,1.85
101,472,11956207,24012,3142,prank gone wrong|scantily clad female|shotgun|sorority house|stabbed in the neck,126,16000000,2009,5.1,2.35
101,135,,3256,1166,coronation|fictitious country|king|princess|swashbuckler,44,,1937,7.8,1.37
106,552,5949693,114762,34351,in love with an inanimate object|internet|introvert|psychologist|sex doll,299,12000000,2007,7.4,1.85
94,18,9030581,132386,156,boy|fence|jew|nazis|poison gas,398,12500000,2008,7.8,1.85
140,322,4157491,79330,2894,ends with quotation|execution|factory|women's prison|year 1964,690,12800000,2000,8.0,2.35
132,241,1508689,5648,2004,australia|church|glass|inheritance|wager,50,16000000,1997,6.7,2.35
99,599,1227324,6921,3337,1930s|madness|murder|new york city|violence,48,12500000,1996,6.6,1.85
90,506,4360548,13371,2661,aging|hdtv|high definition television|love|marriage,60,15000000,2009,6.4,1.85
105,844,26589953,165792,26233,machete|mexican|mexico|priest|texas,392,10500000,2010,6.7,1.85
108,168,1039869,14757,18739,corruption|lobbyist|murder|washington d.c.|washington d.c. lobbyist,51,15000000,2010,6.2,2.35
69,191,48092846,61753,1833,brontosaurus|classical music|dinosaur|dinosaur feature|earthquake,133,12500000,1988,7.3,1.33
148,489,1110186,31943,1730,1950s|archeologist|korea|korean war|soldier,224,12800000,2004,8.1,2.35
118,655,1089445,2676,4270,baseball movie|little league|little league baseball|mexico|three word title,33,12500000,2009,7.0,2.35
132,259,204565000,284252,2466,demonic possession|exorcism|exorcist|loss of innocence|priest,1058,8000000,1973,8.0,1.37
130,366,260000000,412454,2047,beach|blockbuster|fishing|great white shark|shark,962,8000000,1975,8.0,2.35
95,1000,101736215,315549,8134,1990s|first love|milf|prom|virginity,789,11000000,1999,7.0,1.85
80,186,71442,12029,6829,bear|dentist|friendship|mouse|prejudice,32,9600000,2012,7.9,1.85
94,148,79817937,39798,1044,boy|child|chosen one|demon|detective,69,25000000,1986,5.9,1.85
122,807,91547205,34579,5165,advice|black romance|hip hop|reading a book|sex scene,62,12000000,2012,6.6,2.35
102,436,75074950,22147,2754,barber|barbershop|blaxploitation|loan shark|theft,156,12000000,2002,6.3,1.85
116,664,78900000,91414,16539,jamming communications|planet|space station|taunt|trap,359,11000000,1982,7.7,2.35
78,567,72217000,216486,2462,detective|dolphin|mascot|nudity|stupidity,242,12000000,1994,6.9,1.85
114,793,79568000,71842,4537,computer|game|high school|norad|teenager,152,12000000,1983,7.1,1.85
112,733,65500000,66966,22479,amish|love|murder|police|train,175,12000000,1985,7.4,1.85
