content_rating,budget,imdb_score
R,65000000,6.4
R,65000000,7.3
PG,65000000,5.2
R,50100000,6.6
PG-13,65000000,6.3
R,65000000,5.9
PG-13,16900000,6.4
R,65000000,6.7
R,65000000,5.4
R,45000000,6.4
R,65000000,6.7
R,65000000,6.2
PG,65000000,6.1
R,63000000,8.8
PG,65000000,7.1
,,8.1
R,70000000,5.7
R,65000000,5.0
PG-13,65000000,5.1
PG-13,50000000,6.9
PG-13,43000000,4.8
R,65000000,6.5
R,64000000,5.1
PG-13,55000000,7.1
R,50000000,7.5
PG-13,63000000,6.2
PG,65000000,6.3
PG-13,63000000,8.1
PG-13,63000000,6.6
PG-13,62000000,6.9
R,65000000,6.1
PG-13,64000000,4.3
PG-13,62000000,6.6
PG-13,62000000,6.8
PG-13,62000000,3.8
R,42000000,5.9
R,44000000,7.9
PG-13,61000000,6.3
PG,63000000,5.5
R,65000000,7.7
PG-13,80000000,6.3
PG,60000000,7.1
R,60000000,8.5
PG-13,,5.9
G,150000000,5.8
R,61000000,8.1
PG-13,60000000,7.9
PG-13,58000000,7.2
R,95000000,6.3
PG,60000000,8.1
PG,70000000,7.0
PG,60000000,5.5
R,61000000,6.7
PG,60000000,5.2
PG-13,60000000,7.0
PG-13,60000000,6.1
PG,105000000,6.6
PG-13,60000000,5.5
PG-13,60000000,5.9
PG,60000000,5.4
PG-13,61000000,6.4
PG-13,60000000,5.7
PG-13,60000000,6.7
PG-13,58000000,7.1
R,55000000,6.8
PG-13,60000000,6.5
R,65000000,7.6
PG-13,60000000,5.5
PG-13,55000000,6.5
PG-13,60000000,7.0
R,60000000,5.8
PG,60000000,7.3
PG-13,60000000,6.6
PG,60000000,4.4
PG,60000000,7.7
R,48000000,5.0
R,70000000,7.7
PG,50000000,4.4
PG-13,60000000,6.1
PG,60000000,5.4
PG-13,66000000,6.8
PG-13,60000000,6.5
PG,60000000,7.0
R,60000000,6.3
PG-13,60000000,6.3
PG-13,60000000,6.1
G,60000000,6.1
TV-PG,,7.3
PG-13,60000000,5.3
R,60000000,5.4
PG-13,60000000,6.2
PG-13,60000000,6.6
R,60000000,5.9
R,75000000,6.3
R,61000000,7.2
PG,60000000,6.8
PG-13,48000000,6.1
PG,60000000,7.8
PG-13,45000000,5.0
