genres,actor_2_facebook_likes
Horror|Mystery,915
Drama|Fantasy|Horror,541
Action|Horror|Sci-Fi,683
Crime|Drama|Thriller,648
Comedy|Drama|Romance|Sci-Fi,874
Action|Adventure|Sci-Fi,488
Comedy|Drama|Romance,854
Action|Crime|Mystery|Thriller,445
Crime|Drama|Mystery|Thriller,461
Action|Crime|Thriller,1000
Comedy|Family|Fantasy,175
Biography|Crime|Drama,263
Drama|Mystery|Sci-Fi|Thriller,716
Comedy|Family|Fantasy|Romance,1000
Biography|Drama|Sport,979
Action|Mystery|Thriller,73
Adventure|Animation|Comedy|Family|War,766
Comedy|Drama,826
Action|Comedy|Sci-Fi|Thriller,642
Crime|Drama|Thriller,412
Comedy|Horror,573
Action|Crime|Thriller,1000
Action|Comedy|Crime,328
Adventure|Drama|Romance|War,61
Action|Crime|Romance|Thriller,968
Comedy|Romance|Sport,4000
Comedy|Family,1000
Action|Horror|Sci-Fi,351
Action|Adventure|Fantasy,192
Drama|Thriller|War,10000
Action|Drama|Thriller|War,367
Comedy|Music,214
Drama,826
Action|Western,605
Biography|Drama|History|Romance,1000
Action|Crime|Mystery|Thriller,603
Drama|Fantasy,1000
Action|Comedy|Thriller,316
Action|Crime|Drama|Thriller,206
Action|Mystery|Thriller,891
Action|Crime|Drama|Thriller,967
Action|Adventure|Family|Sci-Fi,826
Adventure|Biography|Drama|Thriller,22
Action|Adventure|Fantasy,457
Comedy|Drama|Romance,883
Crime|Drama|Mystery|Thriller,729
Drama,864
Crime|Drama,674
Action|Drama|Sci-Fi|Thriller,1000
Crime|Drama|Mystery|Thriller,298
Biography|Drama|History|War,279
Adventure|Drama|Romance|War,541
Drama|Romance|War|Western,2
Drama,9
Action|Adventure|Romance|Sci-Fi,525
Action|Comedy|Crime|Western,820
Crime|Drama,856
Action|Mystery|Sci-Fi|Thriller,149
Comedy,249
Drama|Romance,382
Drama|Sci-Fi,1000
Action|Adventure|Comedy|Drama|Thriller,248
Action|Crime|Drama|Thriller,774
Adventure|Animation|Family|Fantasy,3
Drama|Romance,970
Drama|Sci-Fi|Thriller,9000
Adventure|Drama|Romance,649
Comedy|Romance|Sport,2000
Biography|Drama|History,98
Biography|Drama|History|Romance,631
Drama|Thriller,2000
Action|Comedy|Crime|Drama|Thriller,1000
Action|Comedy|Crime,436
Adventure|Animation|Comedy|Family|Fantasy,15
Action|Adventure|Horror|Sci-Fi|Thriller,150
Drama|Music|Romance,594
Action|Adventure|Crime|Drama|Thriller,521
Crime|Horror|Mystery|Thriller,223
Action|Crime|Drama|Thriller,403
Drama|Romance|Sport,580
Action|Crime|Thriller,828
Comedy|Drama|Romance,617
Action|Adventure|Fantasy|Sci-Fi,1000
Action|Sci-Fi|Thriller,107
Drama|Romance,388
Comedy,945
Comedy|Family|Fantasy|Romance,11000
Drama|Fantasy|Romance|Sci-Fi,941
Adventure|Comedy|Family|Sport,664
Comedy|Drama|Fantasy,1000
Comedy|Family|Sport,635
Comedy|Romance,655
Comedy|Fantasy,11000
Horror,724
Biography|Drama,9000
Action|Crime|Thriller,4000
Comedy,22000
Action|Comedy|Crime,845
Mystery|Sci-Fi|Thriller,491
Adventure|Biography|Drama|Thriller,242
Mystery|Thriller,912
Action|Adventure|Drama|Family,648
Action|Comedy|War,1000
Drama|Family|Sport,579
Crime|Drama|Thriller,917
Action|Crime|Thriller,1000
Action|Thriller|Western,165
Comedy|Romance,160
Drama|Thriller,368
Action|Crime|Sci-Fi|Thriller,561
Action|Drama|Fantasy|Horror|Thriller,618
Comedy|Family|Fantasy,359
Comedy,10000
Animation|Comedy|Family|Fantasy|Musical,2000
Drama,898
Drama|Mystery|Thriller,552
Action|Adventure|Comedy|Fantasy|Romance,239
Drama|War,10000
Comedy|Romance,730
Drama|Music,345
Action|Crime|Drama|Mystery|Sci-Fi|Thriller,877
Biography|Drama|Romance,920
Drama|Thriller,984
Action|Adventure|Sci-Fi|Thriller,202
Adventure|Comedy|Crime|Drama,1000
Drama|Mystery,495
Comedy|Fantasy|Horror|Thriller,151
Crime|Drama|Mystery|Sci-Fi|Thriller,702
Action|Comedy|Fantasy|Sci-Fi,370
Adventure|Comedy,12000
Comedy|Crime|Thriller,808
Comedy|Crime|Musical,151
Comedy|Drama,11000
Comedy,1000
Adventure|Animation|Comedy|Family|Fantasy,1000
Action|Adventure|Crime|Thriller,946
Drama|Romance,359
Drama,3000
Biography|Drama|Sport,18000
Action|Adventure|Thriller,692
