actor_1_facebook_likes,gross,num_voted_users,cast_total_facebook_likes,actor_3_name,num_user_for_reviews,language,title_year,actor_2_facebook_likes,aspect_ratio
2000,7268659,59248,2848,Marko Zaror,164,English,2013,749,1.85
669,6852144,15169,1267,Jackie Burroughs,213,English,2003,429,2.35
1000,6563357,18571,4218,Jeff Garlin,120,English,2008,794,2.35
1000,6201757,10037,1690,Lesley Manville,202,English,1999,452,1.66
1000,6420319,15978,5705,Michael Rapaport,122,English,2015,1000,2.35
13000,5702083,80617,23755,Sarah Gadon,190,English,2011,10000,1.85
21000,5480996,89383,39507,Rory Cochrane,293,English,2006,18000,1.85
18000,6002756,24997,21200,Leven Rambin,75,English,2012,1000,1.85
310,5132655,37626,838,Karin Konoval,521,English,2005,294,2.35
690,5205343,11958,1573,Ryan Donowho,39,English,2009,224,2.35
829,5005883,29649,2295,Danny Huston,361,English,2004,681,1.85
1000,5749134,45799,3979,Albert Brooks,180,English,2014,969,2.35
1000,,6904,3493,Caroline Dhavernas,102,English,2008,912,2.35
20,4234040,14301,64,Victoria Learn,45,English,2008,18,2.35
23000,4001121,48346,36398,Tyrone Benskin,230,English,2007,13000,2.35
15000,3749061,28629,30134,Óscar Jaenada,113,English,2012,13000,2.35
975,3519627,41737,3014,Nora Zehetner,105,English,2008,877,2.35
22000,3081925,55842,24732,Samantha Morton,274,English,2008,1000,2.35
893,2298191,221552,2710,Billy Crudup,570,Japanese,1997,851,1.85
572,2353728,4293,1776,Virginie Ledoyen,53,French,2003,548,2.35
801,2000000,2998,1462,Caitlyn Jenner,74,English,1980,174,2.35
1000,1900725,43205,2129,Danny Huston,232,English,2005,509,2.35
2000,2246000,2302,3384,Brent Anderson,20,English,2015,769,2.35
836,1646664,4518,2467,Paula Garcés,66,English,2003,624,1.85
23000,1190018,261317,25088,Sean Pertwee,1137,English,2002,876,2.35
991,1027749,8087,1003,Matthew Walker,33,English,2008,10,2.35
9000,882710,16215,11433,Faye Dunaway,138,English,2000,1000,2.35
979,1064277,14015,1978,Toni Braxton,83,English,2012,532,
11000,531009,7976,22319,Melvil Poupaud,61,English,2015,11000,2.35
488,410388,13727,991,Rosalind Ayres,79,Japanese,2004,336,1.85
18000,375474,2613,20354,Jimmy Jean-Louis,46,English,2005,723,2.35
33000,578382,41249,39515,Frank Langella,67,English,2010,4000,1.85
699,305070,3843,1592,Sandrine Holt,25,English,1994,533,2.35
46,206678,11391,82,Chi Chung Lam,66,Cantonese,2008,33,2.35
106,146072,7147,182,Marie-Anne Chazel,16,French,1998,56,2.35
403,1183354,13026,1577,Anita Briem,75,English,2010,368,2.35
14000,121972,9868,15612,Mark Webber,81,English,2002,506,1.85
310,,18,344,Ewen Solon,,English,,11,
3000,263365,6147,3785,Tom Conti,36,English,2010,602,2.35
9000,54734,20821,10982,Julian Richings,62,English,2015,750,2.35
344,,118,726,Elea Oberon,,English,2007,281,1.85
483,,5154,1113,Andy On,29,Mandarin,2008,472,2.35
18000,,25450,20472,Callum Rennie,118,English,2007,867,2.35
12000,,5203,15680,Noureen DeWulf,11,English,2012,857,1.78
109,,102,164,Kevin McGowan,1,English,2014,36,2.35
