director_name,director_facebook_likes,actor_3_facebook_likes,actor_2_name,genres,actor_1_name,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,budget,actor_2_facebook_likes,aspect_ratio
Timur Bekmambetov,335,911,Dominic Cooper,Action|Fantasy|Horror,Rufus Sewell,128629,8281,Benjamin Walker,0,chopping down a tree|hanging upside down|shopkeeper|vampire|vampire hunter,http://www.imdb.com/title/tt1611224/?ref_=fn_tt_tt_1,348,English,USA,69000000,3000,2.35
Jon Amiel,36,232,Kevin McNally,Action|Crime|Romance|Thriller,Will Patton,88132,1302,Maury Chaykin,1,art thief|insurance|mask|master thief|reference to iron maiden,http://www.imdb.com/title/tt0137494/?ref_=fn_tt_tt_1,274,English,USA,66000000,427,2.35
,,359,Kaitlyn Dever,Comedy,Hector Elizondo,15114,2465,Nancy Travis,1,family relationships|husband wife relationship|live studio audience|sitcom|three word title,http://www.imdb.com/title/tt1828327/?ref_=fn_tt_tt_1,87,English,USA,,363,16.0
Rob Bowman,38,745,Mitch Pileggi,Drama|Mystery|Sci-Fi|Thriller,Martin Landau,85720,4230,Jeffrey DeMunn,0,agent|alien|bomb|fbi|government,http://www.imdb.com/title/tt0120902/?ref_=fn_tt_tt_1,297,English,USA,66000000,826,2.35
Doug Lefler,4,112,Nonso Anozie,Action|Adventure|Fantasy|War,Colin Firth,29285,14625,Owen Teale,0,5th century|boy|capri|roman legion|soldier,http://www.imdb.com/title/tt0462396/?ref_=fn_tt_tt_1,174,English,UK,35000000,394,2.35
Steven Spielberg,14000,13000,Vin Diesel,Action|Drama|War,Tom Hanks,881236,44998,Matt Damon,2,army|invasion|killed in action|normandy|soldier,http://www.imdb.com/title/tt0120815/?ref_=fn_tt_tt_1,2277,English,USA,70000000,14000,1.85
Scott Waugh,76,464,Dominic Cooper,Action|Crime|Drama|Thriller,Rami Malek,136954,7081,Ramon Rodriguez,1,cross country|custom car|illegal street racing|police officer crushed|street racing,http://www.imdb.com/title/tt2369135/?ref_=fn_tt_tt_1,346,English,USA,66000000,3000,2.35
Nancy Meyers,278,912,Lisa Edelstein,Comedy|Fantasy|Romance,Judy Greer,158864,5838,Loretta Devine,1,advertising|battle of the sexes|ex husband ex wife relationship|pantyhose|telepathy,http://www.imdb.com/title/tt0207201/?ref_=fn_tt_tt_1,395,English,USA,70000000,955,1.37
Chris Wedge,77,835,Stephen Root,Adventure|Animation|Comedy|Family,Goran Visnjic,328159,5437,Denis Leary,0,baby|ice|ice age|sleeping|sloth,http://www.imdb.com/title/tt0268380/?ref_=fn_tt_tt_1,467,English,USA,59000000,939,1.85
Lawrence Kasdan,759,354,Michael O'Neill,Drama|Horror|Sci-Fi|Thriller,Morgan Freeman,75573,12194,Reece Thompson,1,alien|friend|maine|military|woods,http://www.imdb.com/title/tt0285531/?ref_=fn_tt_tt_1,662,English,USA,68000000,599,2.35
Steven Spielberg,14000,655,Hal Holbrook,Biography|Drama|History|War,Joseph Gordon-Levitt,197412,25517,Bruce McGill,0,cultural conflict|politics|president|slavery|u.s. president,http://www.imdb.com/title/tt0443272/?ref_=fn_tt_tt_1,720,English,USA,65000000,826,2.35
Lana Wachowski,0,99,Marcus Chong,Action|Sci-Fi,Keanu Reeves,1217752,18563,Gloria Foster,3,artificial reality|computer|matrix|questioning reality|simulated reality,http://www.imdb.com/title/tt0133093/?ref_=fn_tt_tt_1,3646,English,USA,63000000,145,2.35
Ron Howard,2000,552,Miko Hughes,Adventure|Drama|History,Tom Hanks,208817,17171,Kathleen Quinlan,0,cape kennedy|news footage|reference to christopher columbus|rocket|trapped in space,http://www.imdb.com/title/tt0112384/?ref_=fn_tt_tt_1,296,English,USA,62000000,968,2.35
Paul Verhoeven,719,217,Rachel Ticotin,Action|Sci-Fi,Ronny Cox,240241,1441,Marshall Bell,0,ambiguous ending|false memory|implanted memory|memory|space colony,http://www.imdb.com/title/tt0100802/?ref_=fn_tt_tt_1,391,English,USA,65000000,308,1.85
Michael Lembeck,54,775,Aisha Tyler,Comedy|Family|Fantasy,Judge Reinhold,34561,5265,Eric Lloyd,0,christmas|magic|santa claus|son|toy,http://www.imdb.com/title/tt0304669/?ref_=fn_tt_tt_1,116,English,USA,60000000,857,1.85
Tom Hooper,0,11000,Eddie Redmayne,Drama|Musical|Romance,Hugh Jackman,243834,46204,Anne Hathaway,1,barricade|innkeeper|parole|rebellion|student,http://www.imdb.com/title/tt1707386/?ref_=fn_tt_tt_1,845,English,USA,61000000,13000,1.85
Nora Ephron,0,744,Jean Stapleton,Comedy|Drama|Romance,Tom Hanks,151812,17768,Dave Chappelle,2,bookstore|competing businesses|instant messaging|new york city|shop owner,http://www.imdb.com/title/tt0128853/?ref_=fn_tt_tt_1,556,English,USA,65000000,793,1.85
