director_name,director_facebook_likes,actor_3_facebook_likes,plot_keywords,country
Barry Levinson,272,17000,actor|agent|beard|cannes|hollywood,USA
Norman Jewison,278,387,eiffel tower|nazi|police|ritual|stew,Canada
Kenneth Branagh,0,3,based on opera|evil|mozart|queen|walking wounded,France
Steve Carr,41,328,cell phone|hostage|mall|security guard|text messaging,USA
Mark Waters,70,512,body swap|camera shot of feet|foot closeup|reference to keith richards|reference to the rolling stones,USA
Judd Apatow,0,218,40 year old|car accident|cheating on girlfriend|collection|porno movie,USA
John Madden,108,239,actor|audition|muse|playwright|theater,USA
Scott Frank,71,313,drug dealer|ex cop|murder of wife|revenge|violence,USA
Ivan Reitman,425,344,astoria|kindergarten|kindergarten teacher|school|teacher,USA
David Gordon Green,234,919,murder|paranoia|process server|roach|stoner,USA
Andy Tennant,72,343,based on fairy tale|bechdel test passed|cinderella|fairy tale|leonardo da vinci,USA
Kevin Costner,0,648,boss|cattle|cowboy|rancher|violence,USA
Joel Schumacher,541,442,childhood trauma|death|medical student|memory|near death experience,USA
,,424,alcohol|bad taste humour|crude humor|loser|self obsession,USA
Richard Attenborough,0,14,airborne troops|allies|operation market garden|panzer|paratrooper,USA
Wes Craven,0,178,airport|flight|hotel|hotel manager|plane,USA
David R. Ellis,160,392,car accident|death|freak accident|hospital|premonition,USA
Joel Coen,0,577,baby|bank|blind prophet|convict|sirens,UK
Scott Stewart,124,534,angel|diner|faith|human race|religious faith,USA
Michael Bay,0,385,american dream|bodybuilder|money|punch into the camera|reference to julia roberts,USA
Paul Weitz,80,2000,company|corporate takeover|executive|magazine|new boss,USA
Jonathan Frakes,906,528,frozen time|stopped time|time freeze|watch|wristwatch,USA
Lawrence Kasdan,759,67,1880s|kiss|small town|table broken in fight|wild west,USA
Jim Sheridan,260,3000,afghanistan|death of soldier|presumed dead|prisoner|war trauma,USA
Kevin Allen,8,588,chase|evil scientist|gadget|mind control|tough girl,USA
Garry Marshall,0,307,expecting|kiss|new year|new year's eve|singer,USA
Michael Cristofer,49,155,delaware|erotica|money|pursuit|sex scene,France
James McTeigue,160,427,mask|murder|newspaper|poem|serial killer,USA
Donald Petrie,80,509,mayor|pink panties|upskirt|white panties|yellow panties,USA
Andrew Morahan,5,535,cave|highlander|illusion|immortal|japan,Canada
Bob Rafelson,30,223,diamond|necklace|safecracker|wine|wine dealer,USA
Michael Cohn,2,512,apple|miner|mirror|necromancy|woods,USA
Woody Allen,11000,277,efficiency expert|insurance investigator|magician|scorpion|thief,USA
David O. Russell,737,816,health insurance|long delayed release|nail in the head|waitress|washington d.c.,USA
Alan Shapiro,0,26,dolphin|florida|florida keys|summer|vomiting,USA
Tarsem Singh,763,523,cancer|elderly man|funeral|medical|transhumanism,USA
Fernando Meirelles,353,151,death|diplomat|doctor|kenya|murder,UK
Mel Gibson,0,113,anti semitism|cult film|grindhouse|suffering|torture,USA
