duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,gross,actor_1_name,movie_title,num_voted_users,facenumber_in_poster,movie_imdb_link,language,country,content_rating,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio
104,0,195,Kara Hayward,,Laura Fraser,The Sisterhood of Night ,1354,,http://www.imdb.com/title/tt1015471/?ref_=fn_tt_tt_1,English,USA,PG-13,2014,524,6.3,2.35
88,0,311,Wesley Jonathan,,Aimee Garcia,B-Girl ,551,0,http://www.imdb.com/title/tt0964179/?ref_=fn_tt_tt_1,English,USA,PG-13,2009,592,4.0,
201,0,84,Thomas Kretschmann,218051260,Naomi Watts,King Kong ,316027,0,http://www.imdb.com/title/tt0360717/?ref_=fn_tt_tt_1,English,New Zealand,PG-13,2005,918,7.2,2.35
108,174,324,Paris Hilton,32048809,Robert Ri'chard,House of Wax ,94463,0,http://www.imdb.com/title/tt0397065/?ref_=fn_tt_tt_1,English,Australia,R,2005,716,5.3,1.85
106,31,71,Tristan Mack Wilds,2694973,Ryan Gosling,Half Nelson ,70885,2,http://www.imdb.com/title/tt0468489/?ref_=fn_tt_tt_1,English,USA,R,2006,519,7.2,1.85
107,0,236,Akima,10508,Irene Bedard,Naturally Native ,103,4,http://www.imdb.com/title/tt0133117/?ref_=fn_tt_tt_1,English,USA,PG-13,1998,282,6.5,
84,21,48,Robinne Lee,2301777,Hill Harper,Hav Plenty ,819,2,http://www.imdb.com/title/tt0126938/?ref_=fn_tt_tt_1,English,USA,R,1997,170,6.5,
91,0,137,Steffinnie Phrommany,,Mehcad Brooks,Adulterers ,514,3,http://www.imdb.com/title/tt4044464/?ref_=fn_tt_tt_1,English,USA,,2015,320,4.9,2.35
90,13,432,Lee Armstrong,169719,Trey Loney,Escape from Tomorrow ,7384,0,http://www.imdb.com/title/tt2187884/?ref_=fn_tt_tt_1,English,USA,Not Rated,2013,511,5.2,1.85
103,2,442,Harvey Weinstein,,Richard Curtis,Starsuckers ,474,0,http://www.imdb.com/title/tt1510934/?ref_=fn_tt_tt_1,English,UK,,2009,474,7.4,
71,0,21,Dave Fennoy,,Alfre Woodard,The Hadza: Last of the First ,5,1,http://www.imdb.com/title/tt2139721/?ref_=fn_tt_tt_1,English,USA,,2014,338,7.4,
