director_facebook_likes,genres,facenumber_in_poster,country,title_year
309,Action|Crime|Thriller,0,Germany,2000
383,Adventure|Animation|Drama|Family|Fantasy|Musical|Mystery|Romance,1,USA,1997
1000,Drama|Musical|Romance,1,USA,2001
17,Crime|Mystery|Thriller,1,USA,2001
108,Biography|Crime|Drama,7,USA,2015
16000,Drama|History|War,0,USA,2006
473,Crime|Drama|Thriller,0,USA,2009
0,Action|Horror|Thriller,0,USA,2007
438,Drama|History|Horror,1,USA,1998
161,Drama|Romance|Sport,1,USA,2007
14000,Biography|Crime|Drama,0,USA,2002
0,Drama|History|Thriller,0,USA,2012
235,Comedy|Drama|Romance,1,USA,2006
58,Comedy|Family|Musical|Romance,1,USA,2008
0,Comedy|Romance,12,USA,2010
422,Action|Adventure|Comedy,5,USA,2005
0,Drama|War,0,USA,1998
71,Comedy|Fantasy,2,USA,2011
869,Biography|Comedy|Drama,1,UK,1999
17000,Biography|Crime|Drama,2,USA,1995
180,Action|Thriller,1,France,2010
13,Action|Comedy|Fantasy,3,USA,2003
101,Comedy,1,USA,2000
176,Animation|Comedy|Family,1,Germany,2006
14,Comedy|Family,0,USA,2006
129,Adventure|Drama|Fantasy|Romance,2,USA,2009
80,Adventure|Animation|Comedy|Family|Fantasy,1,USA,2001
53,Romance|Sci-Fi|Thriller,2,USA,2011
58,Action|Adventure|Drama|Romance,0,USA,1991
488,Comedy|Drama|Romance|Sport,0,USA,1996
3000,Comedy|Fantasy,1,USA,2012
274,Comedy|Drama|Romance,0,USA,1997
293,Biography|Comedy|Drama|Romance,1,USA,1998
285,Comedy,2,USA,2013
65,Comedy|Romance,1,USA,2002
14000,Mystery|Sci-Fi|Thriller,0,USA,2011
0,Biography|Drama,0,USA,2000
80,Comedy|Romance,2,USA,2003
97,Action|Comedy|Crime,2,USA,2014
277,Drama|Fantasy|Horror,0,USA,1994
235,Comedy|Romance,1,USA,2008
43,Action|Comedy|Crime,2,USA,2016
0,Comedy|Drama,2,USA,1998
51,Comedy|Family,2,USA,2015
252,Adventure|Comedy|Drama|Fantasy|Musical,1,USA,2014
0,Crime|Drama|Mystery|Thriller,2,USA,2006
241,Action|Crime|Drama|Thriller,1,USA,1999
155,Action|Adventure|Mystery|Sci-Fi,0,USA,1995
488,Comedy|Drama|Family,3,USA,2011
295,Drama|Mystery|Sci-Fi|Thriller,0,USA,2009
9,Comedy|Romance,2,USA,2006
62,Horror|Mystery,0,USA,2005
43,Comedy|Drama|Romance,7,USA,2011
12,Animation|Comedy|Family|Fantasy,0,USA,2004
148,Comedy|Family,1,USA,2004
152,Biography|Drama|Sport,1,USA,2011
249,Action|Drama|Thriller,3,USA,1995
174,Action|Mystery|Thriller,0,UK,2014
99,Action|Adventure|Family|Fantasy|Sci-Fi|Thriller,3,USA,2009
160,Action|Drama|Thriller,1,USA,2005
71,Action|Adventure|Comedy,2,USA,2003
,Crime|Drama,2,UK,
