actor_1_name,budget
Nicholas Aaron,
Tyrone Power,2000000
Najarra Townsend,2000000
Matt Damon,
Vanessa Lengies,2000000
Henry Silva,
J.K. Simmons,2000000
David Oyelowo,2000000
Julia Roberts,2000000
Kathleen Wilhoite,2000000
Stephen Colbert,
Julie Christie,18000000
Sook-Yin Lee,2000000
Ari Folman,1500000
Noah Danby,2000000
Campbell Scott,2000000
Alexander Skarsgård,2000000
Anne Hathaway,
John F. Kennedy,2000000
Bruce Greenwood,
Hugh M. Hefner,2000000
Danny Aiello,
Alanna Ubach,
Matt Bennett,3400000
Christopher Lambert,17000000
Robin Williams,6000000
Jess Weixler,
Jeffrey Falcon,2000000
Karisma Kapoor,
Paul Kaye,
Peter Dinklage,3800000
Bob Hoskins,
Jeremy Irvine,13500000
Joe Morton,
Saif Ali Khan,
Vincent Pastore,
Alex Kendrick,
Anna Kendrick,
Merritt Wever,1500000
Melinda Clarke,2000000
Jason Statham,14000
Brad William Henke,2000000
Martin Starr,25000000
Jordi Vilasuso,
Michael Fassbender,
Frances Fisher,
MyAnna Buring,
Rapulana Seiphemo,2000000
Colin Salmon,2000000
Mackenzie Gray,100000
Peter McQuinn,
Daniel Baldwin,2000000
Alice Cooper,2000000
Woody Allen,2000000
Paul Sheehan,
Nicholas Gonzalez,2000000
Steven Weber,
Rita Hayworth,2300000
Mircea Monroe,2000000
Jake Gyllenhaal,14000000
Noel Gugliemi,2000000
Sunil Narkar,2000000
Kate Maberly,2000000
Sally Hawkins,
Christopher Lee,
Jon Mack,2000000
Buster Keaton,2000000
Michael Moore,2000000
William McNamara,2000000
Trenton Rostedt,1250000
Kevin Zegers,2000000
Melissa Bolona,2000000
Keanu Reeves,1900000
Peter Coyote,1900000
Paul McGillion,1950000
Ryan Reynolds,3000000
Craig Roberts,
Khalid Abdalla,1500000
Karl E. Landler,1400000
Chloë Grace Moretz,30000000
Lauren Gottlieb,
Johnny Depp,1800000
Paul McGill,1000000
Siobhan Marshall,
Logan Browning,1900000
Caleb Landry Jones,1800000
Kristin Scott Thomas,
Marlon Brando,1800000
George C. Scott,1800000
Damián Alcázar,1800000
Quvenzhané Wallis,1800000
Roddy McDowall,1800000
Aidan Quinn,1800000
Donna Murphy,
Hansika Motwani,150000000
Quentin Tarantino,1500000
Steve Buscemi,1800000
Tshewang Dendup,1800000
Clint Eastwood,1800000
Humphrey Bogart,
George Newbern,1800000
Kimberley Crossman,
Tom Everett Scott,1800000
Christian Keyes,1800000
Moritz Bleibtreu,3500000
James Duval,500000
Natasha Henstridge,2000000
Matthew Alan,1750000
America Ferrera,
Roddy McDowall,1700000
Tom Wilkinson,1700000
Sarah Butler,2000000
Ally Walker,1700000
Paddy Considine,1700000
Nawazuddin Siddiqui,1000000
Shirley Henderson,1000000
Jean Arthur,1644736
Montgomery Clift,1650000
Harry Carey Jr.,1600000
Shawnee Smith,
Eddie Griffin,2000000
Essence Atkins,
Yasmine Al Massri,1300000
Stephen Rea,
Ohad Knoller,1500000
Harrison Ford,1600000
Annabelle Wallis,70000000
Catherine Deneuve,1600000
Judy Greer,1650000
Dustin Ingram,
Ty Burrell,26000000
Lew Temple,2000000
Bolo Yeung,1100000
Claude Rains,1500000
Rosario Dawson,1500000
William Baldwin,1500000
Scott Cohen,1000000
Honglei Sun,
Matthew Ziff,17000000
Norman Lloyd,1696377
Bruce Greenwood,2000000
Anjelica Huston,1500000
Lin Shaye,1500000
Del Zamora,1500000
Ricardo Darín,1500000
Ami Ayalon,
Beau Bridges,1500000
Donald Glover,1500000
Eric Stoltz,1500000
Ryan Gosling,1500000
Michael Angarano,
Ward G. Smith,1500000
Paul Guilfoyle,1500000
Jessy Schram,1500000
Dorian Missick,
Joel David Moore,1500000
Paulette Goddard,1500000
Brian Dennehy,1500000
Ted Raimi,1500000
Vivica A. Fox,1500000
Jay Mohr,1500000
Rip Torn,1500000
Brian Lee Franklin,1700000
Stephen McHattie,1500000
Jimmy Bennett,2000000
Angela Sarafyan,1500000
Sid Haig,2500000
Morgana O'Reilly,350000
Lee Scott,1500000
Nicole Muñoz,1500000
Chazz Palminteri,1500000
Monica Barladeanu,5000000
Ashanti,1500000
Brighton Sharbino,2000000
Katrina Law,1500000
Tom Cruise,60000000
Timothy Hutton,1500000
Rudy Youngblood,2000000
Adriana Caselotti,2000000
Mía Maestro,1400000
Brigitte Bardot,1455000
Zak Penn,1400000
Lea Thompson,2000000
Camren Bicondova,3150000
Mathieu Amalric,
Jessica Szohr,1400000
Burgess Meredith,1377800
Jason Statham,960000
Barry Corbin,1250000
Karl Malden,
Ulrich Thomsen,1300000
Steve Buscemi,1300000
Long Nguyen,1592000
Eric Dane,1300000
Stephen McHattie,1500000
Bruce Willis,60000000
James Morrison,5000000
Elina Abai Kyzy,1400000
Maury Chaykin,1750000
Judy Greer,1000000
Abhishek Bachchan,1500000
Noureen DeWulf,1300000
Bella Thorne,1300000
Laurence Olivier,1288000
Betsy Palmer,1250000
Ray Milland,1250000
Daniel Stern,1250000
Noel Gugliemi,427000
Vic Mignogna,15000000
Joseph Cotten,1250000
Roddy McDowall,1250000
Mary Lynn Rajskub,
Rami Malek,1420000
Peter Gallagher,1200000
