director_facebook_likes,actor_1_facebook_likes,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,movie_imdb_link,language,country,content_rating,budget,title_year,aspect_ratio
0,11000,Comedy|Drama|Music,Harrison Ford,American Graffiti ,63839,14954,Mackenzie Phillips,http://www.imdb.com/title/tt0069704/?ref_=fn_tt_tt_1,English,USA,PG,777000,1973,2.35
21,25,Documentary|War,Scott Helvenston,Iraq for Sale: The War Profiteers ,1477,25,Donna Zovko,http://www.imdb.com/title/tt0815181/?ref_=fn_tt_tt_1,English,USA,,750000,2006,1.78
8,2000,Action|Adventure|Animation|Comedy|Fantasy|Sci-Fi,Tina Fey,Aqua Teen Hunger Force Colon Movie Film for Theaters ,12160,3071,Chris Kattan,http://www.imdb.com/title/tt0455326/?ref_=fn_tt_tt_1,English,USA,R,750000,2007,1.85
365,934,Comedy|Drama|Romance,Mary Lynn Rajskub,Safety Not Guaranteed ,101287,2714,Jeff Garlin,http://www.imdb.com/title/tt1862079/?ref_=fn_tt_tt_1,English,USA,R,750000,2012,2.35
15,312,Comedy|Documentary,Isaac C. Singleton Jr.,Kevin Hart: Laugh at My Pain ,3543,548,Jeanette Branch,http://www.imdb.com/title/tt1999192/?ref_=fn_tt_tt_1,English,USA,R,,2011,1.85
214,513,Crime|Horror|Thriller,MyAnna Buring,Kill List ,25750,1269,Neil Maskell,http://www.imdb.com/title/tt1788391/?ref_=fn_tt_tt_1,English,UK,Not Rated,500000,2011,2.35
243,969,Horror,Lena Dunham,The Innkeepers ,27260,1252,Pat Healy,http://www.imdb.com/title/tt1594562/?ref_=fn_tt_tt_1,English,USA,R,750000,2011,2.35
687,10000,Drama|Fantasy|Horror|Mystery|Thriller,Gary Oldman,The Unborn ,42183,12183,Rachel Brosnahan,http://www.imdb.com/title/tt1139668/?ref_=fn_tt_tt_1,English,USA,PG-13,16000000,2009,2.35
973,319,Drama,Jean-Louis Trintignant,The Conformist ,17813,500,Dominique Sanda,http://www.imdb.com/title/tt0065571/?ref_=fn_tt_tt_1,Italian,Italy,R,750000,1970,1.66
168,108,Drama,Raymond J. Barry,Interview with the Assassin ,1661,243,Renee Faia,http://www.imdb.com/title/tt0308411/?ref_=fn_tt_tt_1,English,USA,R,750000,2002,1.78
4,1000,Crime|Drama|Horror|Thriller,Julian Morris,Donkey Punch ,9376,1558,Tom Burke,http://www.imdb.com/title/tt0988849/?ref_=fn_tt_tt_1,English,UK,R,900000,2008,1.85
129,935,Horror,Luke Grimes,All the Boys Love Mandy Lane ,25951,2170,Whitney Able,http://www.imdb.com/title/tt0490076/?ref_=fn_tt_tt_1,English,USA,R,750000,2006,2.35
