director_name,duration,genres,actor_3_name,movie_imdb_link,num_user_for_reviews,country,content_rating,actor_2_facebook_likes,aspect_ratio,movie_facebook_likes
Frank Oz,87,Comedy,Kris Marshall,http://www.imdb.com/title/tt0795368/?ref_=fn_tt_tt_1,199,USA,R,557,1.85,0
Stuart Gillard,96,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,Matt Hill,http://www.imdb.com/title/tt0108308/?ref_=fn_tt_tt_1,87,USA,PG,219,1.85,1000
Brian Robbins,106,Drama|Sport,DeWayne Warren,http://www.imdb.com/title/tt0180734/?ref_=fn_tt_tt_1,131,USA,PG-13,558,1.85,0
David O. Russell,122,Comedy|Drama|Romance,Bradley Cooper,http://www.imdb.com/title/tt1045658/?ref_=fn_tt_tt_1,692,USA,R,22000,2.35,117000
Richard LaGravenese,123,Biography|Crime|Drama,Imelda Staunton,http://www.imdb.com/title/tt0463998/?ref_=fn_tt_tt_1,235,Germany,PG-13,826,1.85,10000
Tyler Perry,133,Drama,Kimberly Elise,http://www.imdb.com/title/tt1405500/?ref_=fn_tt_tt_1,73,USA,R,912,1.85,0
Louis Leterrier,92,Action|Crime|Thriller,Matt Schulze,http://www.imdb.com/title/tt0293662/?ref_=fn_tt_tt_1,460,France,PG-13,1000,2.35,0
Jeff Wadlow,110,Action|Drama|Sport,Leslie Hope,http://www.imdb.com/title/tt1023111/?ref_=fn_tt_tt_1,184,USA,PG-13,427,2.35,0
Katt Shea,104,Horror|Sci-Fi|Thriller,Eddie Kaye Thomas,http://www.imdb.com/title/tt0144814/?ref_=fn_tt_tt_1,253,USA,R,490,1.85,897
,60,Game-Show|Reality-TV|Romance,,http://www.imdb.com/title/tt0313038/?ref_=fn_tt_tt_1,33,USA,,,,141
Sam Mendes,98,Comedy|Drama|Romance,Carmen Ejogo,http://www.imdb.com/title/tt1176740/?ref_=fn_tt_tt_1,115,USA,R,472,2.35,7000
Joshua Michael Stern,120,Comedy|Drama,Nathan Lane,http://www.imdb.com/title/tt1027862/?ref_=fn_tt_tt_1,79,USA,PG-13,901,2.35,1000
Brad Silberling,112,Drama|Romance,Bob Clendenin,http://www.imdb.com/title/tt0179098/?ref_=fn_tt_tt_1,147,USA,PG-13,1000,2.35,365
Tomas Alfredson,127,Drama|Mystery|Thriller,Gary Oldman,http://www.imdb.com/title/tt1340800/?ref_=fn_tt_tt_1,517,France,R,14000,2.35,24000
