director_name,director_facebook_likes,actor_3_facebook_likes,actor_2_name,genres,actor_1_name,movie_title,cast_total_facebook_likes,actor_3_name,movie_imdb_link,num_user_for_reviews,language,content_rating,actor_2_facebook_likes,imdb_score,aspect_ratio
Craig R. Baxley,22,794,Vanity,Action|Comedy|Crime|Thriller,Bill Duke,Action Jackson ,5282,Carl Weathers,http://www.imdb.com/title/tt0094612/?ref_=fn_tt_tt_1,65,English,R,841,5.2,1.85
Neil Marshall,197,159,Shauna Macdonald,Adventure|Horror|Thriller,MyAnna Buring,The Descent ,1379,Craig Conway,http://www.imdb.com/title/tt0435625/?ref_=fn_tt_tt_1,1100,English,R,239,7.2,2.35
Don Kempf,0,69,Michael Jordan,Documentary|Sport,Bill Murray,Michael Jordan to the Max ,13448,Bob Costas,http://www.imdb.com/title/tt0245280/?ref_=fn_tt_tt_1,13,English,,366,7.5,1.44
Matt Bettinelli-Olpin,14,270,Allison Miller,Horror|Mystery,Zach Gilford,Devil's Due ,2517,Vanessa Ray,http://www.imdb.com/title/tt2752758/?ref_=fn_tt_tt_1,120,English,R,479,4.0,1.85
David O. Russell,737,380,Mary Tyler Moore,Comedy,Lily Tomlin,Flirting with Disaster ,2240,David Patrick Kelly,http://www.imdb.com/title/tt0116324/?ref_=fn_tt_tt_1,105,English,R,524,6.8,1.85
Rob Zombie,0,597,Ken Foree,Crime|Horror,Sid Haig,The Devil's Rejects ,3544,Lew Temple,http://www.imdb.com/title/tt0395584/?ref_=fn_tt_tt_1,687,English,R,649,6.9,1.85
,,970,Alyson Hannigan,Action|Drama|Fantasy|Romance,Sarah Michelle Gellar,Buffy the Vampire Slayer             ,7970,Emma Caulfield,http://www.imdb.com/title/tt0118276/?ref_=fn_tt_tt_1,665,English,TV-14,3000,8.2,1.33
Rick Famuyiwa,44,190,Rick Fox,Comedy|Crime|Drama,Kimberly Elise,Dope ,1342,Kiersey Clemons,http://www.imdb.com/title/tt3850214/?ref_=fn_tt_tt_1,89,English,R,256,7.3,2.35
Michael Rymer,48,826,Omar Epps,Crime|Drama|Thriller,LL Cool J,In Too Deep ,4837,Nia Long,http://www.imdb.com/title/tt0160401/?ref_=fn_tt_tt_1,29,English,R,865,6.1,2.35
Sam Mendes,0,393,Helen McCrory,Action|Adventure|Thriller,Albert Finney,Skyfall ,2039,Rory Kinnear,http://www.imdb.com/title/tt1074638/?ref_=fn_tt_tt_1,1498,English,PG-13,563,7.8,2.35
Rob Zombie,0,303,Matthew McGrory,Horror,Sid Haig,House of 1000 Corpses ,2444,Erin Daniels,http://www.imdb.com/title/tt0251736/?ref_=fn_tt_tt_1,922,English,R,340,6.0,1.85
Sharron Miller,0,23,Elizabeth MacRae,Horror,Bernard Fox,Alien Zone ,345,Charles Aidman,http://www.imdb.com/title/tt0072626/?ref_=fn_tt_tt_1,21,English,PG,29,4.1,
Ethan Coen,1000,98,Fred Melamed,Comedy|Drama,Michael Stuhlbarg,A Serious Man ,1120,Peter Breitmayer,http://www.imdb.com/title/tt1019452/?ref_=fn_tt_tt_1,324,English,R,105,7.0,1.85
Aaron Schneider,11,970,Robert Duvall,Drama|Mystery,Bill Murray,Get Low ,19330,Bill Cobbs,http://www.imdb.com/title/tt1194263/?ref_=fn_tt_tt_1,97,English,PG-13,3000,7.1,2.35
Steve Miner,49,304,Richard E. Grant,Action|Fantasy|Horror|Thriller,Julian Sands,Warlock ,1990,Lori Singer,http://www.imdb.com/title/tt0098622/?ref_=fn_tt_tt_1,79,English,R,554,6.2,1.85
Gina Prince-Bythewood,107,658,Nate Parker,Drama|Music,Minnie Driver,Beyond the Lights ,3110,Darryl Stephens,http://www.imdb.com/title/tt3125324/?ref_=fn_tt_tt_1,37,English,PG-13,664,6.9,
Tom Ford,192,292,Teddy Sears,Drama|Romance,Colin Firth,A Single Man ,14816,Keri Lynn Pratt,http://www.imdb.com/title/tt1315981/?ref_=fn_tt_tt_1,247,English,R,343,7.6,2.35
Martin Scorsese,17000,159,Barbara Hershey,Drama,Irvin Kershner,The Last Temptation of Christ ,1934,Roberts Blossom,http://www.imdb.com/title/tt0095497/?ref_=fn_tt_tt_1,308,English,R,618,7.6,1.85
Michael Corrente,30,407,George Wendt,Comedy|Drama|Romance,Jonathan Brandis,Outside Providence ,2018,Shawn Hatosy,http://www.imdb.com/title/tt0125971/?ref_=fn_tt_tt_1,100,English,R,412,6.4,1.85
Gurinder Chadha,98,397,Martin Henderson,Comedy|Drama|Musical|Romance,Indira Varma,Bride & Prejudice ,2321,Anupam Kher,http://www.imdb.com/title/tt0361411/?ref_=fn_tt_tt_1,276,English,PG-13,579,6.2,2.35
