num_critic_for_reviews,director_facebook_likes,actor_3_facebook_likes,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,movie_imdb_link,language,actor_2_facebook_likes,aspect_ratio
10,19,395,Adventure|Family|Fantasy,Alex Kendrick,The Lost Medallion: The Adventures of Billy Stone ,1278,2522,http://www.imdb.com/title/tt1390539/?ref_=fn_tt_tt_1,English,488,2.35
81,98,89,Comedy|Drama|Musical|Romance,Anna Kendrick,The Last Five Years ,6223,10869,http://www.imdb.com/title/tt2474024/?ref_=fn_tt_tt_1,English,773,2.35
66,8,399,Drama,Merritt Wever,The Missing Person ,1268,2749,http://www.imdb.com/title/tt1105512/?ref_=fn_tt_tt_1,English,423,1.85
46,97,163,Horror|Romance|Sci-Fi,Melinda Clarke,Return of the Living Dead III ,10182,1362,http://www.imdb.com/title/tt0107953/?ref_=fn_tt_tt_1,English,196,1.85
34,11,1000,Drama|Romance,Jason Statham,London ,19336,39518,http://www.imdb.com/title/tt0449061/?ref_=fn_tt_tt_1,English,11000,2.35
78,38,85,Drama,Brad William Henke,Sherrybaby ,10282,774,http://www.imdb.com/title/tt0423169/?ref_=fn_tt_tt_1,English,223,1.85
52,54,455,Comedy|Crime,Martin Starr,Stealing Harvard ,11211,3065,http://www.imdb.com/title/tt0265808/?ref_=fn_tt_tt_1,English,637,1.85
29,0,94,Drama|Horror|Mystery|Sci-Fi|Thriller,Jordi Vilasuso,Circle ,13279,776,http://www.imdb.com/title/tt3118452/?ref_=fn_tt_tt_1,English,152,
161,43,418,Horror|Thriller,Michael Fassbender,Eden Lake ,57811,14561,http://www.imdb.com/title/tt1020530/?ref_=fn_tt_tt_1,English,698,2.35
18,308,395,Thriller,Frances Fisher,Plush ,2895,2341,http://www.imdb.com/title/tt2226519/?ref_=fn_tt_tt_1,English,449,1.78
107,6,161,Action|Comedy|Fantasy|Horror,MyAnna Buring,Vampire Killers ,17296,1593,http://www.imdb.com/title/tt1020885/?ref_=fn_tt_tt_1,English,480,2.35
30,5,12,Action|Crime|Drama,Rapulana Seiphemo,Gangster's Paradise: Jerusalema ,9689,86,http://www.imdb.com/title/tt0783532/?ref_=fn_tt_tt_1,English,18,2.35
24,0,268,Crime|Drama|Thriller,Colin Salmon,Freeze Frame ,2588,1650,http://www.imdb.com/title/tt0363095/?ref_=fn_tt_tt_1,English,312,2.35
116,6,103,Horror,Mackenzie Gray,Grave Encounters ,40380,762,http://www.imdb.com/title/tt1703199/?ref_=fn_tt_tt_1,English,113,1.78
98,5,47,Comedy|Horror,Peter McQuinn,Stitches ,6585,322,http://www.imdb.com/title/tt2126362/?ref_=fn_tt_tt_1,English,94,1.85
25,0,107,Crime|Drama|Horror|Mystery|Thriller,Daniel Baldwin,Nine Dead ,9280,1149,http://www.imdb.com/title/tt0959329/?ref_=fn_tt_tt_1,English,167,2.35
,0,8,Documentary,Alice Cooper,"To Be Frank, Sinatra at 100 ",7,712,http://www.imdb.com/title/tt4704314/?ref_=fn_tt_tt_1,English,27,
40,11000,167,Comedy,Woody Allen,Bananas ,27646,11700,http://www.imdb.com/title/tt0066808/?ref_=fn_tt_tt_1,English,430,1.37
20,0,46,Thriller,Paul Sheehan,Supercapitalist ,289,892,http://www.imdb.com/title/tt1734586/?ref_=fn_tt_tt_1,English,303,
8,5,372,Action|Crime|Drama|Thriller,Nicholas Gonzalez,Rockaway ,355,2395,http://www.imdb.com/title/tt0796355/?ref_=fn_tt_tt_1,English,453,2.35
19,,424,Comedy|Drama,Steven Weber,Wings             ,7646,1884,http://www.imdb.com/title/tt0098948/?ref_=fn_tt_tt_1,English,511,1.33
90,0,18,Crime|Drama|Film-Noir|Mystery|Thriller,Rita Hayworth,The Lady from Shanghai ,19236,1055,http://www.imdb.com/title/tt0040525/?ref_=fn_tt_tt_1,English,29,1.37
21,0,332,Horror|Thriller,Mircea Monroe,No Man's Land: The Rise of Reeker ,2701,2620,http://www.imdb.com/title/tt1090671/?ref_=fn_tt_tt_1,English,597,1.78
12,10,171,Crime|Drama,Jake Gyllenhaal,Highway ,5182,15740,http://www.imdb.com/title/tt0165361/?ref_=fn_tt_tt_1,English,284,2.35
33,68,722,Comedy|Crime|Drama,Noel Gugliemi,Small Apartments ,5732,3683,http://www.imdb.com/title/tt1272886/?ref_=fn_tt_tt_1,English,811,1.85
9,8,424,Comedy,Sunil Narkar,Coffee Town ,4204,35796,http://www.imdb.com/title/tt2234025/?ref_=fn_tt_tt_1,English,463,2.35
94,5,356,Comedy|Fantasy|Musical|Sci-Fi,Kate Maberly,The Ghastly Love of Johnny X ,344,1611,http://www.imdb.com/title/tt1754633/?ref_=fn_tt_tt_1,English,403,2.35
41,17,322,Comedy|Drama,Sally Hawkins,All Is Bright ,4478,2020,http://www.imdb.com/title/tt1462901/?ref_=fn_tt_tt_1,English,591,
38,2,51,Horror|Mystery,Christopher Lee,The Torture Chamber of Dr. Sadism ,952,16110,http://www.imdb.com/title/tt0062235/?ref_=fn_tt_tt_1,German,57,1.66
12,10,293,Comedy|Drama,Jon Mack,Straight A's ,3605,2654,http://www.imdb.com/title/tt2024506/?ref_=fn_tt_tt_1,English,472,
25,44,137,Comedy|Musical,Buster Keaton,A Funny Thing Happened on the Way to the Forum ,6804,1807,http://www.imdb.com/title/tt0060438/?ref_=fn_tt_tt_1,English,164,1.85
27,909,119,Documentary,Michael Moore,Slacker Uprising ,2242,1674,http://www.imdb.com/title/tt0850669/?ref_=fn_tt_tt_1,English,562,
2,531,894,Action|Adventure|History|Western,William McNamara,The Legend of Hell's Gate: An American Conspiracy ,583,15707,http://www.imdb.com/title/tt1220217/?ref_=fn_tt_tt_1,English,1000,
23,6,233,Comedy|Horror,Trenton Rostedt,The Walking Deceased ,2348,1425,http://www.imdb.com/title/tt3499458/?ref_=fn_tt_tt_1,English,418,
32,20000,618,Drama|Horror|Mystery|Thriller,Kevin Zegers,The Curse of Downers Grove ,1040,4968,http://www.imdb.com/title/tt1772261/?ref_=fn_tt_tt_1,English,860,
18,3,412,Thriller,Melissa Bolona,Shark Lake ,838,13583,http://www.imdb.com/title/tt4416518/?ref_=fn_tt_tt_1,English,1000,
45,28,223,Crime|Drama,Keanu Reeves,River's Edge ,11763,19649,http://www.imdb.com/title/tt0091860/?ref_=fn_tt_tt_1,English,1000,1.85
60,35,482,Drama|Fantasy,Peter Coyote,Northfork ,4894,2389,http://www.imdb.com/title/tt0322659/?ref_=fn_tt_tt_1,English,495,2.35
23,58,164,Action|Thriller,Paul McGillion,The Marine 4: Moving Target ,2032,1204,http://www.imdb.com/title/tt3528666/?ref_=fn_tt_tt_1,English,217,1.78
363,89,263,Drama|Mystery|Thriller,Ryan Reynolds,Buried ,118684,17471,http://www.imdb.com/title/tt1462758/?ref_=fn_tt_tt_1,English,517,2.35
249,0,594,Comedy|Drama|Romance,Craig Roberts,Submarine ,65877,3275,http://www.imdb.com/title/tt1440292/?ref_=fn_tt_tt_1,English,680,1.85
68,63,5,Documentary|Drama|History|News,Khalid Abdalla,The Square ,6678,176,http://www.imdb.com/title/tt2486682/?ref_=fn_tt_tt_1,Arabic,10,1.85
14,0,164,Drama,Karl E. Landler,One to Another ,1010,1082,http://www.imdb.com/title/tt0486751/?ref_=fn_tt_tt_1,French,323,1.85
359,108,534,Drama|Fantasy|Horror,Chloë Grace Moretz,Carrie ,108248,20051,http://www.imdb.com/title/tt1939659/?ref_=fn_tt_tt_1,English,2000,2.35
15,168,71,Drama|Musical,Lauren Gottlieb,ABCD (Any Body Can Dance) ,5018,1182,http://www.imdb.com/title/tt2321163/?ref_=fn_tt_tt_1,Hindi,168,
256,0,574,Horror,Johnny Depp,A Nightmare on Elm Street ,149293,42918,http://www.imdb.com/title/tt0087800/?ref_=fn_tt_tt_1,English,852,1.85
194,120,0,Biography|Crime|Documentary|History|Thriller,Paul McGill,Man on Wire ,40481,68,http://www.imdb.com/title/tt1155592/?ref_=fn_tt_tt_1,English,27,1.85
,0,3,Drama,Siobhan Marshall,Abandoned ,333,90,http://www.imdb.com/title/tt4519006/?ref_=fn_tt_tt_1,English,40,
10,47,585,Drama,Logan Browning,Brotherly Love ,744,4249,http://www.imdb.com/title/tt3262990/?ref_=fn_tt_tt_1,English,606,1.85
311,13,308,Drama|Horror|Thriller,Caleb Landry Jones,The Last Exorcism ,41509,1958,http://www.imdb.com/title/tt1320244/?ref_=fn_tt_tt_1,English,400,1.85
205,456,231,Biography|Drama|Music,Kristin Scott Thomas,Nowhere Boy ,29019,2032,http://www.imdb.com/title/tt1266029/?ref_=fn_tt_tt_1,English,548,2.35
94,603,114,Drama,Marlon Brando,A Streetcar Named Desire ,78454,10570,http://www.imdb.com/title/tt0044081/?ref_=fn_tt_tt_1,English,416,1.37
192,0,277,Comedy,George C. Scott,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,342585,1991,http://www.imdb.com/title/tt0057012/?ref_=fn_tt_tt_1,English,575,1.66
