duration,director_facebook_likes,actor_1_facebook_likes,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,plot_keywords,movie_imdb_link,country,content_rating,title_year,actor_2_facebook_likes,imdb_score
107,209,2000,Drama|Music|Romance,Alyson Stoner,Step Up 3D ,47297,4059,0,dance|dance crew|dancer|mortgage|new york city,http://www.imdb.com/title/tt1193631/?ref_=fn_tt_tt_1,USA,PG-13,2010,594,6.2
104,134,585,Drama|Romance|Sport,Faizon Love,Blue Crush ,26066,1165,3,bikini|female surfer|sister sister relationship|surfing contest|swimsuit,http://www.imdb.com/title/tt0300532/?ref_=fn_tt_tt_1,USA,PG-13,2002,495,5.6
113,395,8000,Comedy|Drama|Fantasy|Romance,Will Ferrell,Stranger Than Fiction ,186977,8362,1,author|fate|novelist|professor|writer,http://www.imdb.com/title/tt0420223/?ref_=fn_tt_tt_1,USA,PG-13,2006,189,7.6
113,171,430,Horror,Danny Huston,30 Days of Night ,138435,814,0,alaska|small town|snow|vampire|winter,http://www.imdb.com/title/tt0389722/?ref_=fn_tt_tt_1,USA,R,2007,72,6.6
95,246,26000,Fantasy|Horror|Mystery|Thriller,Chris Hemsworth,The Cabin in the Woods ,277172,29551,0,cabin in the woods|dark humor|hatchet|killed in an elevator|robot,http://www.imdb.com/title/tt1259521/?ref_=fn_tt_tt_1,USA,R,2012,821,7.0
86,82,869,Comedy,Carmen Electra,Meet the Spartans ,88518,3854,0,king|persian|spartan|training|xerxes,http://www.imdb.com/title/tt1073498/?ref_=fn_tt_tt_1,USA,PG-13,2008,759,2.7
126,102,22000,Action|Comedy|Crime|Thriller,Robert De Niro,Midnight Run ,54042,23866,1,accountant|bounty hunter|fbi|mafia|mob,http://www.imdb.com/title/tt0095631/?ref_=fn_tt_tt_1,USA,R,1988,581,7.6
101,343,581,Action|Crime|Sci-Fi|Thriller,Yaphet Kotto,The Running Man ,112669,2373,1,game of death|government conspiracy|latina|oppression|police,http://www.imdb.com/title/tt0093894/?ref_=fn_tt_tt_1,USA,R,1987,571,6.6
102,0,13000,Comedy|Horror|Musical|Sci-Fi,Bill Murray,Little Shop of Horrors ,49349,15308,2,eclipse|florist|nerd|plant|shop,http://www.imdb.com/title/tt0091419/?ref_=fn_tt_tt_1,USA,PG-13,1986,854,6.9
111,456,157,Action|Drama|Thriller,Jessica Barden,Hanna ,159198,257,0,assassin|female warrior|martial arts|playground|training,http://www.imdb.com/title/tt0993842/?ref_=fn_tt_tt_1,USA,PG-13,2011,33,6.8
60,,971,Drama|Mystery,Zach Gilford,The Family             ,3322,3295,4,family drama|lie|missing child|political campaign|secret,http://www.imdb.com/title/tt4428038/?ref_=fn_tt_tt_1,USA,TV-PG,,805,7.5
95,40,663,Action|Adventure|Fantasy|Sci-Fi|Thriller,Brian Thompson,Mortal Kombat: Annihilation ,36363,2266,0,alternate reality|battle|martial arts|mortal kombat|warrior,http://www.imdb.com/title/tt0119707/?ref_=fn_tt_tt_1,USA,PG-13,1997,349,3.7
98,15000,15000,Comedy|Drama|Romance,Tom Hanks,Larry Crowne ,49205,16827,0,bus stop|college|community college|scooter|speech class,http://www.imdb.com/title/tt1583420/?ref_=fn_tt_tt_1,USA,PG-13,2011,839,6.1
100,108,17000,Drama|Fantasy|Horror,Chloë Grace Moretz,Carrie ,108242,20051,1,outcast|prom|self injury|telekinesis|tragic event,http://www.imdb.com/title/tt1939659/?ref_=fn_tt_tt_1,USA,R,2013,2000,5.9
118,3,1000,Drama|Music,Alfre Woodard,Take the Lead ,21767,3797,0,ballroom|dance|dance teacher|student|teacher,http://www.imdb.com/title/tt0446046/?ref_=fn_tt_tt_1,USA,PG-13,2006,712,6.7
28,,680,Comedy|Drama,Debi Mazar,Entourage             ,135643,2867,2,actor|fame|friendship between men|hollywood california|sitcom,http://www.imdb.com/title/tt0387199/?ref_=fn_tt_tt_1,USA,TV-MA,,638,8.5
125,21,12000,Crime|Drama|Sport,Dwayne Johnson,Gridiron Gang ,33067,15811,1,alliterative title|football|football coach|football practice|football team,http://www.imdb.com/title/tt0421206/?ref_=fn_tt_tt_1,USA,PG-13,2006,2000,6.9
94,39,1000,Comedy|Crime,Bernie Mac,What's the Worst That Could Happen? ,12466,3664,0,businessman|ring|thief|vulgarity|washington d.c.,http://www.imdb.com/title/tt0161083/?ref_=fn_tt_tt_1,USA,PG-13,2001,611,5.5
79,30,940,Action|Adventure|Animation|Drama|Mystery|Sci-Fi|Thriller,Martin Landau,9 ,111117,1594,0,hope|key|machine|number|rag doll,http://www.imdb.com/title/tt0472033/?ref_=fn_tt_tt_1,USA,PG-13,2009,271,7.1
106,0,17000,Crime|Drama|Thriller,Channing Tatum,Side Effects ,148327,18469,0,clinical trial|female protagonist|neuropharmacology|psychiatrist|side effect,http://www.imdb.com/title/tt2053463/?ref_=fn_tt_tt_1,USA,R,2013,681,7.1
111,57,1000,Comedy|Family|Romance,Devin Ratray,The Prince and Me ,31984,3239,1,denmark|king|love|prince|wisconsin,http://www.imdb.com/title/tt0337697/?ref_=fn_tt_tt_1,USA,PG,2004,530,5.9
