director_facebook_likes,actor_2_name,gross,cast_total_facebook_likes,plot_keywords,movie_imdb_link,language,content_rating,budget,title_year
0,Vera Wilson,11278,58,actress shares first name with character|appendicitis|hospital|loss of mother|supermarket,http://www.imdb.com/title/tt2414046/?ref_=fn_tt_tt_1,Spanish,,1300000,2013
301,Jon Hamm,79363785,22194,alien|earth|giant robot|military|scientist,http://www.imdb.com/title/tt0970416/?ref_=fn_tt_tt_1,English,PG-13,80000000,2008
300,Randeep Hooda,13876974,809,arranged marriage|bride|celebration|marriage|wedding,http://www.imdb.com/title/tt0265343/?ref_=fn_tt_tt_1,Hindi,R,7000000,2001
50,Rory Culkin,9180275,4288,bank|car accident|cheating husband|new york|single mother,http://www.imdb.com/title/tt0203230/?ref_=fn_tt_tt_1,English,R,1200000,2000
13000,John Forsythe,,1041,artist|death|hunting|sheriff|vermont,http://www.imdb.com/title/tt0048750/?ref_=fn_tt_tt_1,English,Approved,1200000,1955
118,Morgan Freeman,22494487,26451,coroner|death|gay son|love|mistaken identity,http://www.imdb.com/title/tt0425210/?ref_=fn_tt_tt_1,English,R,27000000,2006
91,Clea DuVall,2199853,4289,cheerleader|gay|homosexual|lesbian|lesbian relationship,http://www.imdb.com/title/tt0179116/?ref_=fn_tt_tt_1,English,R,1200000,1999
29,Drew Waters,2859955,2681,addiction|alcoholic|baseball|car accident|reference to god,http://www.imdb.com/title/tt2051894/?ref_=fn_tt_tt_1,English,PG-13,1200000,2013
16000,Steve Buscemi,2812029,28994,gang|heist|heist gone wrong|nonlinear timeline|robbery,http://www.imdb.com/title/tt0105236/?ref_=fn_tt_tt_1,English,R,1200000,1992
9,Nigel Bruce,,293,1800s|bird|blue bird of happiness|foreign language adaptation|past,http://www.imdb.com/title/tt0032264/?ref_=fn_tt_tt_1,English,Approved,,1940
0,Luigi Pistilli,6100000,16089,civil war|hitman|outlaw|shootout|spaghetti western,http://www.imdb.com/title/tt0060196/?ref_=fn_tt_tt_1,Italian,Approved,1200000,1966
9,Regina Casé,375723,76,brazil|exam|housekeeper|northeast region of brazil|portuguese language,http://www.imdb.com/title/tt3742378/?ref_=fn_tt_tt_1,Portuguese,R,4000000,2015
14,Marshall Allman,594904,1805,church|college|color in title|philosophy|texas,http://www.imdb.com/title/tt1758575/?ref_=fn_tt_tt_1,English,PG-13,1200000,2012
0,Coyote Shivers,58936,318,female bassist|female drummer|female guitarist|female singer|portland oregon,http://www.imdb.com/title/tt0283323/?ref_=fn_tt_tt_1,English,R,1200000,2001
4,,24784,0,breast cancer|comma in title|period in title|punctuation in title|three word title,http://www.imdb.com/title/tt2035599/?ref_=fn_tt_tt_1,English,Not Rated,1200000,2011
0,Sarah Silverman,7826,54484,las vegas nevada|museum|reference to mr. rogers|reference to vincent van gogh|talking about suicide,http://www.imdb.com/title/tt0976025/?ref_=fn_tt_tt_1,English,,1200000,2007
0,Johnny Amaro,,114,female explicit nudity|hand job|oral sex|penetration|unsimulated sex,http://www.imdb.com/title/tt1879030/?ref_=fn_tt_tt_1,French,,1500000,2011
0,Antonio Arrué,3830,5,,http://www.imdb.com/title/tt1349485/?ref_=fn_tt_tt_1,Spanish,,1200000,2013
4,Scott Adsit,,1438,guitar|hearse|manager|musician|singer,http://www.imdb.com/title/tt0338075/?ref_=fn_tt_tt_1,English,PG-13,,2003
0,Denise Boutte,,1190,box office flop|female frontal nudity|pink bra and panties|red bra and panties|sex,http://www.imdb.com/title/tt0806147/?ref_=fn_tt_tt_1,English,R,,2008
345,David Niven,,1621,attack|fort|india|lancer|massacre,http://www.imdb.com/title/tt0027438/?ref_=fn_tt_tt_1,English,Approved,1200000,1936
0,Kristin Booth,,862,,http://www.imdb.com/title/tt1641388/?ref_=fn_tt_tt_1,English,R,1200000,2011
0,Victor Zinck Jr.,,630,forest|found footage|lost|murder|road trip,http://www.imdb.com/title/tt2180333/?ref_=fn_tt_tt_1,English,R,1200000,2012
38,Jacob Vargas,2850263,1218,cincinnati ohio|high school|hockey|jock strap|zoologist,http://www.imdb.com/title/tt0106233/?ref_=fn_tt_tt_1,English,PG,2600000,1993
282,Cleavon Little,,1581,black cop|chase|cotton|four word title|new york city,http://www.imdb.com/title/tt0065579/?ref_=fn_tt_tt_1,English,R,1200000,1970
2,Sabrina Carmichael,,11257,after dark horrorfest,http://www.imdb.com/title/tt1943014/?ref_=fn_tt_tt_1,English,R,1200000,2015
0,Deirdre Lorenz,,1810,bare breasts|bra and panties|nudity|syringe,http://www.imdb.com/title/tt2622294/?ref_=fn_tt_tt_1,English,,1200000,2015
6,Dane Cook,16101109,19957,cook|dishwasher|flashing|male frontal nudity|waiter,http://www.imdb.com/title/tt0348333/?ref_=fn_tt_tt_1,English,R,3000000,2005
222,Gary Stretch,6013,1311,anger|army veteran|independent film|revenge|sex scene,http://www.imdb.com/title/tt0419677/?ref_=fn_tt_tt_1,English,,695393,2004
,John Jarratt,,1617,based on true story|blood|serial killer|slasher|tv mini series,http://www.imdb.com/title/tt4460878/?ref_=fn_tt_tt_1,English,,,
155,Clu Gulager,1400000,1329,bathtub|cult film|neck breaking|tennessee|wraparound story,http://www.imdb.com/title/tt0091671/?ref_=fn_tt_tt_1,English,R,1100000,1987
0,,247740,0,bisexual|explicit sex|sex|stranger|swing,http://www.imdb.com/title/tt0304692/?ref_=fn_tt_tt_1,English,,,2002
126,CindyMarie Small,39659,21,ballet|cult film|dance|dracula|gothic,http://www.imdb.com/title/tt0293113/?ref_=fn_tt_tt_1,English,,1600000,2002
12,Frank Rautenbach,,521,food|food in title|potato,http://www.imdb.com/title/tt0850667/?ref_=fn_tt_tt_1,Zulu,PG,10000000,2006
22,Marilyn Norry,56129,645,exploitation|four word title|hallucinogen|lynchian|telepathy,http://www.imdb.com/title/tt1534085/?ref_=fn_tt_tt_1,English,R,1100000,2010
338,Yayan Ruhian,4105123,1445,apartment|drug lord|gangster|police|swat team,http://www.imdb.com/title/tt1899353/?ref_=fn_tt_tt_1,Indonesian,R,1100000,2011
252,Vernon Wells,,2510,flashback|immortality|rural setting|vampire|zombie,http://www.imdb.com/title/tt0923653/?ref_=fn_tt_tt_1,English,R,1100000,2010
0,Anella Vastola,,12,,http://www.imdb.com/title/tt3043194/?ref_=fn_tt_tt_1,English,R,1100000,2013
345,Claude Rains,,3442,american expatriate|casablanca morocco|gestapo|police|visa,http://www.imdb.com/title/tt0034583/?ref_=fn_tt_tt_1,English,PG,950000,1942
0,Rosie Traynor,,29,ghost|lake|parapsychologist|psychic|secret,http://www.imdb.com/title/tt0816556/?ref_=fn_tt_tt_1,English,R,1400000,2008
6,Shazahn Padamsee,,1052,boss|computer|honesty|sales|salesman,http://www.imdb.com/title/tt1434447/?ref_=fn_tt_tt_1,Hindi,,,2009
136,Ron Rifkin,,1080,forest|greenhouse|plant|robot|space,http://www.imdb.com/title/tt0067756/?ref_=fn_tt_tt_1,English,GP,1000000,1972
80,Burgess Meredith,117235247,16094,boxer|hometown hero|philadelphia pennsylvania|protective male|training,http://www.imdb.com/title/tt0075148/?ref_=fn_tt_tt_1,English,PG,960000,1976
2,Brady Corbet,,622,female nudity|male nudity|male rear nudity|nudity,http://www.imdb.com/title/tt2723576/?ref_=fn_tt_tt_1,English,Not Rated,1100000,2014
0,Hal Holbrook,21378000,4878,california|fog|leper|lighthouse|ship,http://www.imdb.com/title/tt0080749/?ref_=fn_tt_tt_1,English,R,1000000,1980
62,Susannah York,,1371,18th century|rags to riches|secret letter|squire|tutor,http://www.imdb.com/title/tt0057590/?ref_=fn_tt_tt_1,English,Unrated,1000000,1963
6,Renee Olstead,31537320,1565,blender|computer screen|secret|skype|webcam,http://www.imdb.com/title/tt3713166/?ref_=fn_tt_tt_1,English,R,1000000,2014
17000,Albert Brooks,,23525,loner|neo noir|night shift|taxi driver|vigilante,http://www.imdb.com/title/tt0075314/?ref_=fn_tt_tt_1,English,R,1300000,1976
287,Robert Picardo,17986000,4438,1980s|forest|lycanthrope|shapeshifting|werewolf transformation,http://www.imdb.com/title/tt0082533/?ref_=fn_tt_tt_1,English,R,1000000,1981
92,Jack Lord,16067035,1421,british secret service|hand to hand combat|murder|official james bond series|terrorist plot,http://www.imdb.com/title/tt0055928/?ref_=fn_tt_tt_1,English,Approved,1100000,1962
18,Ingrid Bolsø Berdal,18112929,2665,abandoned building|chernobyl disaster|exploration|tour guide|van,http://www.imdb.com/title/tt1991245/?ref_=fn_tt_tt_1,English,R,1000000,2012
385,Ashley Laurence,14564027,673,blood|cenobites|creature|demon|male full frontal nudity,http://www.imdb.com/title/tt0093177/?ref_=fn_tt_tt_1,English,R,1000000,1987
18,Robin Givens,20773070,1810,alternate universe|christian|christian film|christianity|manipulation,http://www.imdb.com/title/tt4824308/?ref_=fn_tt_tt_1,English,PG,5000000,2016
65,Gary Cole,10042266,3155,e mail|game|school|serial killer|student,http://www.imdb.com/title/tt0384286/?ref_=fn_tt_tt_1,English,PG-13,1000000,2005
2,Naomi Nishida,10037390,53,godzilla|kaiju|monster|orga|ufo,http://www.imdb.com/title/tt0188640/?ref_=fn_tt_tt_1,Japanese,PG,1000000000,1999
310,Mike Vogel,9701559,35941,dog hit by a car|dysfunctional family|falling in love|female in shower|unhappily married woman,http://www.imdb.com/title/tt1120985/?ref_=fn_tt_tt_1,English,R,3500000,2010
2,Felicity Huffman,9013113,3192,bail|male full frontal nudity|sex change|stepfather|transsexual,http://www.imdb.com/title/tt0407265/?ref_=fn_tt_tt_1,English,R,1000000,2005
19,Claudiu Trandafir,53245055,988,critically bashed|demonic possession|exorcism|exorcist|found footage,http://www.imdb.com/title/tt1560985/?ref_=fn_tt_tt_1,English,R,1000000,2012
199,Cynthia Myers,9000000,731,band|drugs|friendship|hollywood|satire,http://www.imdb.com/title/tt0065466/?ref_=fn_tt_tt_1,English,X,900000,1970
0,Neville Brand,,831,army|civil war|robbery|soldier|train,http://www.imdb.com/title/tt0049452/?ref_=fn_tt_tt_1,English,,1000000,1956
49,Al Gore,23808111,929,climate|earth|global warming|science|truth,http://www.imdb.com/title/tt0497116/?ref_=fn_tt_tt_1,English,PG,,2006
23,Richard Jaeckel,,510,battle|combat|heroic military|sergeant|tarawa,http://www.imdb.com/title/tt0041841/?ref_=fn_tt_tt_1,English,Approved,1000000,1949
17000,Keith Richards,5355376,1218,band|concert footage|new york city|rolling stones|three word title,http://www.imdb.com/title/tt0893382/?ref_=fn_tt_tt_1,English,PG-13,,2008
0,Richard Burgi,7186670,2082,activist|amazon|color in title|rain|rain forest,http://www.imdb.com/title/tt2403021/?ref_=fn_tt_tt_1,English,R,6000000,2013
0,Alex Lawther,,283,france|gay|language|male masturbation|masturbation,http://www.imdb.com/title/tt2248739/?ref_=fn_tt_tt_1,English,,1100000,2015
20,Adam Arkin,5997134,1899,falling in love|iron lung|priest|sex surrogate|therapist,http://www.imdb.com/title/tt1866249/?ref_=fn_tt_tt_1,English,R,1000000,2012
11,Eric Schlosser,4417124,42,farming|flesh eating|food|food industry|gluttony,http://www.imdb.com/title/tt1286537/?ref_=fn_tt_tt_1,English,PG,,2008
10,Robert Amaya,5355847,1147,abortion|anti choice|christian preach|malpractice|unprofessional conduct,http://www.imdb.com/title/tt1720182/?ref_=fn_tt_tt_1,English,PG-13,,2011
122,Callie Thorne,3386698,23461,love|marine biologist|nurse|personal ad|plumber,http://www.imdb.com/title/tt0119778/?ref_=fn_tt_tt_1,English,R,1000000,1998
655,Jennifer Garner,143492840,28817,adoption|baby|friend|pregnancy|school,http://www.imdb.com/title/tt0467406/?ref_=fn_tt_tt_1,English,PG-13,7500000,2007
7,Boyd Holbrook,5283379,3986,adultery|brother sister relationship|estrangement|siblings|suicide attempt,http://www.imdb.com/title/tt1571249/?ref_=fn_tt_tt_1,English,R,,2014
46,Julia Garner,2981638,1263,connecticut|cult|memory|new york|telephone call,http://www.imdb.com/title/tt1441326/?ref_=fn_tt_tt_1,English,R,,2011
9,Jenny Slate,3122616,1587,abortion|divorced parents|one night stand|pregnancy|pregnant,http://www.imdb.com/title/tt2910274/?ref_=fn_tt_tt_1,English,R,,2014
33,Michael O'Keefe,2508841,994,border|mohawk|money|new york|river,http://www.imdb.com/title/tt0978759/?ref_=fn_tt_tt_1,English,R,1000000,2008
9,Lou Adler,4946250,198,backup singer|band|bechdel test passed|concert footage|singer,http://www.imdb.com/title/tt2396566/?ref_=fn_tt_tt_1,English,PG-13,1000000,2013
56,Natasha Gregson Wagner,1950218,21124,actor|anilingus|double cross|funeral home|two timing,http://www.imdb.com/title/tt0124179/?ref_=fn_tt_tt_1,English,R,1000000,1997
132,Anne Heche,1277257,2400,briefs|cancer|cat|cult film|friend,http://www.imdb.com/title/tt0118113/?ref_=fn_tt_tt_1,English,R,1000000,1996
11,Mark Addy,45857453,2323,dole|male stripper|northern england|steel worker|unemployment,http://www.imdb.com/title/tt0119164/?ref_=fn_tt_tt_1,English,R,3500000,1997
2,Phyllis Diller,1677838,1447,california|car|reference to ralph nader|technology|u.s. president,http://www.imdb.com/title/tt0489037/?ref_=fn_tt_tt_1,English,PG,1000000,2006
112,Nia Long,1744858,3085,friend|gay|lesbian|photographer|restaurant,http://www.imdb.com/title/tt0222850/?ref_=fn_tt_tt_1,English,R,1000000,2000
152,Ossie Davis,,1587,cult film|elvis|elvis presley|nursing home|texas,http://www.imdb.com/title/tt0281686/?ref_=fn_tt_tt_1,English,R,1000000,2002
11,Dylan Minnette,80021740,5497,based on book|blob|ferris wheel|manuscript|monster,http://www.imdb.com/title/tt1051904/?ref_=fn_tt_tt_1,English,PG,58000000,2015
12,Saul Williams,982214,295,gang|independent film|prison|racial slur|urban setting,http://www.imdb.com/title/tt0139615/?ref_=fn_tt_tt_1,English,R,1000000,1998
13,Frank Gerrish,798341,1107,fbi agent|mormon|prayer|sheriff|utah,http://www.imdb.com/title/tt0268200/?ref_=fn_tt_tt_1,English,PG-13,1000000,2001
10,Manoj Bajpayee,610991,773,mumbai riots|politician|riot|suicide|tragic event,http://www.imdb.com/title/tt0248012/?ref_=fn_tt_tt_1,Hindi,,1000000,2000
0,Sid Caesar,,3931,french revolution|old testament|part of an unfinished series|reference to john wayne|roman emperor,http://www.imdb.com/title/tt0082517/?ref_=fn_tt_tt_1,English,R,11000000,1981
406,Dian Bachar,582024,904,book of mormon|fight|mormon|ray gun|sidekick,http://www.imdb.com/title/tt0124819/?ref_=fn_tt_tt_1,English,NC-17,1000000,1997
234,Paul Schneider,548712,12385,best friend|lake|love|small town|womanizer,http://www.imdb.com/title/tt0299458/?ref_=fn_tt_tt_1,English,R,2500000,2003
4,Cathy Moriarty,464655,1692,dying|to do list|twenty something|underwear|voyeur,http://www.imdb.com/title/tt0119019/?ref_=fn_tt_tt_1,English,R,1000000,1997
22,Agnes Bruckner,464126,1641,contest|poetry|refusing to eat|starving oneself|teenage girl,http://www.imdb.com/title/tt0290145/?ref_=fn_tt_tt_1,English,R,1000000,2002
0,Lupe Ontiveros,428535,2289,divorce|friend|jewish|lent|restaurant,http://www.imdb.com/title/tt0160498/?ref_=fn_tt_tt_1,English,R,1000000,2000
71,Nat Wolff,750100,12234,girls' soccer|high school|high school student|soccer coach|teenager,http://www.imdb.com/title/tt2479800/?ref_=fn_tt_tt_1,English,R,,2013
13,Scandar Copti,621240,42,arab|christian|israeli|palestinian|violence,http://www.imdb.com/title/tt1077262/?ref_=fn_tt_tt_1,Arabic,,,2009
21,Patrick Fugit,104077,4720,afterlife|camping|death|hitchhiker|suicide,http://www.imdb.com/title/tt0477139/?ref_=fn_tt_tt_1,English,R,1000000,2006
135,Cara Seymour,334658,7098,buddhism|evolution|eye|reincarnation|stuck in elevator,http://www.imdb.com/title/tt2884206/?ref_=fn_tt_tt_1,English,R,,2014
2,Elden Henson,279282,2489,bully comeuppance|high school|painter|reference to led zeppelin|wetting pants,http://www.imdb.com/title/tt0357470/?ref_=fn_tt_tt_1,English,PG-13,1000000,2003
0,AJ Michalka,43982842,2369,1970s|afterlife|heaven|pedophile|rape,http://www.imdb.com/title/tt0380510/?ref_=fn_tt_tt_1,English,PG-13,65000000,2009
