director_name,director_facebook_likes,actor_2_name,actor_1_facebook_likes,genres,actor_1_name,movie_title,cast_total_facebook_likes,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,title_year,actor_2_facebook_likes,aspect_ratio
Doug Liman,218,Lara Pulver,10000,Action|Adventure|Sci-Fi,Tom Cruise,Edge of Tomorrow ,12652,alien|combat|dying repeatedly|end of the world|time loop,http://www.imdb.com/title/tt1631867/?ref_=fn_tt_tt_1,741,English,USA,PG-13,2014,854,2.35
Kevin Reynolds,58,Rick Aviles,711,Action|Adventure|Sci-Fi|Thriller,Jeanne Tripplehorn,Waterworld ,1004,future|sail|sea|smoker|water,http://www.imdb.com/title/tt0114898/?ref_=fn_tt_tt_1,309,English,USA,PG-13,1995,60,1.85
Stephen Sommers,208,Dennis Quaid,23000,Action|Adventure|Sci-Fi|Thriller,Joseph Gordon-Levitt,G.I. Joe: The Rise of Cobra ,26683,cobra|gi joe|snake|train|warhead,http://www.imdb.com/title/tt1046173/?ref_=fn_tt_tt_1,534,English,USA,PG-13,2009,2000,2.35
Pete Docter,0,Mindy Kaling,1000,Adventure|Animation|Comedy|Drama|Family|Fantasy,Amy Poehler,Inside Out ,2944,anger|joy|memory|running away|sadness,http://www.imdb.com/title/tt2096673/?ref_=fn_tt_tt_1,773,English,USA,PG,2015,767,1.85
Jon Favreau,4000,Bill Murray,19000,Adventure|Drama|Family|Fantasy,Scarlett Johansson,The Jungle Book ,32921,fire|jungle|remake|tiger|wolf,http://www.imdb.com/title/tt3040964/?ref_=fn_tt_tt_1,398,English,UK,PG,2016,13000,1.85
Jon Favreau,4000,Scarlett Johansson,21000,Action|Adventure|Sci-Fi,Robert Downey Jr.,Iron Man 2 ,48638,hammer|military|monaco|revenge|tony stark,http://www.imdb.com/title/tt1228705/?ref_=fn_tt_tt_1,723,English,USA,PG-13,2010,19000,2.35
Rupert Sanders,274,Kristen Stewart,26000,Action|Adventure|Drama|Fantasy,Chris Hemsworth,Snow White and the Huntsman ,72881,evil queen|fairy tale|magic|queen|snow white,http://www.imdb.com/title/tt1735898/?ref_=fn_tt_tt_1,710,English,USA,PG-13,2012,17000,2.35
Robert Stromberg,171,Sharlto Copley,11000,Action|Adventure|Family|Fantasy|Romance,Angelina Jolie Pitt,Maleficent ,15516,curse|dark fantasy|fairy|king|kingdom,http://www.imdb.com/title/tt1587310/?ref_=fn_tt_tt_1,634,English,USA,PG,2014,2000,2.35
Matt Reeves,198,Judy Greer,10000,Action|Adventure|Drama|Sci-Fi,Gary Oldman,Dawn of the Planet of the Apes ,14363,ape|dam|leader|post apocalypse|sequel,http://www.imdb.com/title/tt2103281/?ref_=fn_tt_tt_1,620,English,USA,PG-13,2014,2000,1.85
Roland Joffé,596,Alice Englert,622,Action|Adventure|Romance|Sci-Fi,Tamsin Egerton,The Lovers ,1982,1770s|british india|great barrier reef|india|ring,http://www.imdb.com/title/tt1321869/?ref_=fn_tt_tt_1,15,English,Belgium,R,2015,525,
Carl Rinsch,47,Cary-Hiroyuki Tagawa,18000,Action|Adventure|Drama|Fantasy,Keanu Reeves,47 Ronin ,20965,box office flop|ronin|samurai|shogun|tournament,http://www.imdb.com/title/tt1335975/?ref_=fn_tt_tt_1,324,English,USA,PG-13,2013,1000,2.35
Anthony Russo,94,Chris Evans,19000,Action|Adventure|Sci-Fi,Scarlett Johansson,Captain America: The Winter Soldier ,36188,conspiracy|heroism|megalomaniac|super soldier|world domination,http://www.imdb.com/title/tt1843866/?ref_=fn_tt_tt_1,742,English,USA,PG-13,2014,11000,2.35
Mike Mitchell,31,Kathy Griffin,4000,Adventure|Animation|Comedy|Family|Fantasy,Jon Hamm,Shrek Forever After ,4628,alternate world|fairy tale parody|female warrior|ogre|true love,http://www.imdb.com/title/tt0892791/?ref_=fn_tt_tt_1,173,English,USA,PG,2010,225,2.35
Brad Bird,663,Chris Bauer,2000,Action|Adventure|Family|Mystery|Sci-Fi,Judy Greer,Tomorrowland ,5046,boy genius|futuristic city|inventor|teenage girl|time travel,http://www.imdb.com/title/tt1964418/?ref_=fn_tt_tt_1,497,English,USA,PG,2015,638,2.2
Don Hall,38,Daniel Henney,756,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,Damon Wayans Jr.,Big Hero 6 ,2963,high tech|martial arts|masked man|robot|superhero,http://www.imdb.com/title/tt2245084/?ref_=fn_tt_tt_1,433,English,USA,PG,2014,719,2.39
