director_name,num_critic_for_reviews,actor_1_facebook_likes,gross,genres,movie_title,actor_3_name,plot_keywords,num_user_for_reviews,country,budget,title_year
George Miller,177,745,9003011,Action|Adventure|Sci-Fi|Thriller,Mad Max 2: The Road Warrior ,Kjell Nilsson,australian|gasoline|post apocalypse|refinery|warrior,294,Australia,2000000,1981
Chia-Liang Liu,77,483,11546543,Action|Comedy,The Legend of Drunken Master ,Ho-Sung Pak,battle|fight|fighting|martial artist|snake,146,Hong Kong,2000000,1994
Stanley Kubrick,103,618,,Crime|Drama|Romance,Lolita ,Lois Maxwell,lolita|nymphet|older man young girl relationship|professor|writer,207,UK,2000000,1962
Kimberly Peirce,123,173,11533945,Biography|Crime|Drama|Romance,Boys Don't Cry ,Jeannetta Arnette,drinking|female dressed as male|love|nebraska|transgender,434,USA,2000000,1999
Chris Kentis,218,120,12555230,Drama|Horror|Mystery|Thriller,Silent House ,Adam Trese,bound and gagged|girl|haunted house|hearing noises|uninterrupted shot,154,France,2000000,2011
Florian Henckel von Donnersmarck,215,380,11284657,Drama|Thriller,The Lives of Others ,Martina Gedeck,east germany|police|secret police|stasi|writer,407,Germany,2000000,2006
Alex Kendrick,34,690,34522221,Drama,Courageous ,T.C. Stallings,faith|fatherhood|integrity|police|responsibility,175,USA,2000000,2011
Robert Rossen,100,654,,Drama|Sport,The Hustler ,Murray Hamilton,drink|manager|money|partner|pool hall,167,USA,2000000,1961
Jack Conway,12,1000,,Adventure|Drama|Romance|Western,Boom Town ,Claudette Colbert,oil|oil field|oil tycoon|partnership|wildcatter,34,USA,1614000,1940
Sylvain Chomet,167,23,7002255,Animation|Comedy|Drama,The Triplets of Belleville ,Béatrice Bonifassi,belleville|dog|mafia|tour de france|very little dialogue,312,France,9500000,2003
Chris Eyre,56,912,6719300,Comedy|Drama,Smoke Signals ,Gary Farmer,family abandonment|fire|loss of father|native american protagonist|native american reservation,132,Canada,2000000,1998
Shari Springer Berman,180,14000,6003587,Biography|Comedy|Drama,American Splendor ,Daniel Tay,1980s|comic book|dark horse comics|reference to david letterman|robert crumb,226,USA,,2003
Richard Linklater,211,50,5792822,Drama|Romance,Before Sunset ,Marie Pillet,book|bookstore|love|simultaneity|train,492,USA,2700000,2004
Alejandro G. Iñárritu,157,85,5383834,Drama|Thriller,Amores Perros ,Goya Toledo,animal in title|dog fight|mexico city|multiple perspectives|nonlinear timeline,361,Mexico,2000000,2000
Catherine Hardwicke,126,1000,4599680,Drama,Thirteen ,Kip Pardue,13 year olds|adolescence|friend|peer pressure|teacher,545,USA,1500000,2003
Elia Kazan,61,936,,Drama|Romance,Gentleman's Agreement ,John Garfield,bigotry|jewish|prejudice|racism|writer,113,USA,2000000,1947
Debra Granik,365,34000,6531491,Drama,Winter's Bone ,Lauren Sweetser,bail|crystal meth|family relationships|female protagonist|search for father,297,USA,2000000,2010
Kevin Macdonald,121,21,4581222,Adventure|Documentary|Drama|Sport,Touching the Void ,Joe Simpson,bone|climbing|crevasse|partner|rope,156,UK,,2003
Henry King,10,480,,Drama|Musical|Romance,Alexander's Ragtime Band ,John Carradine,band|dance|ragtime|singer|violinist,29,USA,2000000,1938
Miranda July,151,538,3885134,Comedy|Drama,Me and You and Everyone We Know ,Miranda July,fellatio|seven word title|shoe salesman|title directed by female|written by director,243,USA,2000000,2005
