num_critic_for_reviews,duration,actor_3_facebook_likes,actor_1_facebook_likes,actor_1_name,movie_title,num_voted_users,actor_3_name,plot_keywords,language,content_rating,budget,actor_2_facebook_likes,movie_facebook_likes
77,101,289,766,Colin Salmon,Exam ,70076,Pollyanna McIntosh,band aid|hairpin|one day|single set production|unsubtitled foreign language,English,Not Rated,,438,14000
8,81,5,119,James Urbaniak,The Sticky Fingers of Time ,336,Terumi Matthews,future|nonlinear timeline|time travel|title directed by female|writer,English,,250000,24,67
5,93,73,349,Dustin Fitzsimons,Sunday School Musical ,602,Debra Lynn Hull,church|competition|high school|new school|pastor,English,G,,168,777
3,95,3,1000,Corbin Bernsen,Rust ,300,Kirsten Collins,,English,PG,250000,53,141
66,107,76,135,Eme Ikwuakor,Ink ,18486,Jessica Duffy,dream|self destructiveness|storyteller|time paradox|workaholic,English,,,115,11000
4,98,104,337,Florence Henderson,The Christmas Bunny ,450,Charles Irving Beale,animal in title|christmas|farm|michigan|rabbit,English,PG,250000,168,0
,35,152,338,Victoria Jackson,Jesus People ,31,Tim Bagley,mockumentary|single camera|subtle comedy,English,,,219,0
15,108,180,602,Stacy Keach,Butterfly ,870,Stuart Whitman,breasts|female frontal nudity|female rear nudity|incest|voyeur,English,R,,427,76
1,66,0,0,Sam Adams,UnDivided ,6,Jeff Jacob,,English,PG,250000,0,53
12,95,89,236,Noah Segan,The Frozen ,1488,Sedona James,two word title,English,PG-13,250000,206,519
,99,224,1000,Jennifer Jason Leigh,The Love Letter ,1465,Estelle Parsons,antique|desk|letter|love|time travel,English,Unrated,,393,515
1,108,3,288,Joshua Ray Bell,Horse Camp ,25,Annelyse Ahmad,,English,PG,250000,96,71
6,90,670,699,Esai Morales,Give Me Shelter ,37,Elaine Hendrix,independent film,English,,250000,683,199
48,151,6,81,John Gilbert,The Big Parade ,4849,Claire Adams,chewing gum|climbing a tree|france|translation problems|world war one,,Not Rated,245000,12,226
2,83,29,1000,Sid Haig,Little Big Top ,110,Travis Betz,amateur|circus|clown|unconsciousness|urination,English,,240000,185,72
17,108,142,431,Matthew Emerick,Along the Roadside ,330,Sheldon Bailey,,English,,250000,297,231
225,92,146,27000,Tom Hardy,Bronson ,84817,Matt King,male full frontal nudity|prison|prisoner|solitary confinement|violence,English,R,,161,22000
5,105,494,814,Mark Fantasia,Western Religion ,146,Greg Jackson,arizona|gambling|gunfighter|poker game|year 1879,English,,250000,755,244
22,86,0,2,Brendan Doogie Milewski,Burn ,575,Craig Dougherty,abandoned building|detroit michigan|firefighter|michigan|urban setting,English,Not Rated,225000,0,801
38,106,131,254,Dan Futterman,Urbania ,2742,Matt Keeslar,hot dog bun|needle|new york|rat|tourist,English,R,225000,147,72
21,93,0,12,Christina Hart,The Stewardesses ,161,William Condos,female frontal nudity|female nudity|lesbian sex|lesbianism|sex,English,X,100000,12,17
67,80,21,57,Kenneth Tobey,The Beast from 20,000 Fathoms ,4812,Ross Elliott,arctic|beast|dinosaur|monster|rhedosaurus,English,Approved,210000,40,465
69,127,51,618,James Mason,20,000 Leagues Under the Sea ,22124,Paul Lukas,captain|expedition|sea|submarine|whale,English,Approved,5000000,53,0
208,93,28,728,Hugh Keays-Byrne,Mad Max ,152232,Joanne Samuel,biker|motorcycle|motorcycle gang|post apocalypse|woman wearing only a man's shirt,English,R,200000,76,10000
77,96,31,4000,Jon Favreau,Swingers ,63951,Blake Lindsley,actor|black panties|cult film|friend|upskirt,English,R,200000,135,0
122,99,93,16000,Clint Eastwood,A Fistful of Dollars ,147566,Aldo Sambrell,balladeer|bar|drifter|mexican|revenge,Italian,R,200000,360,0
35,66,28,418,Mae West,She Done Him Wrong ,4152,Louise Beavers,captain|marriage proposal|saloon|saloon singer|singer,English,Approved,200000,85,328
