director_name,num_critic_for_reviews,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,movie_imdb_link,num_user_for_reviews,imdb_score
Troy Duffy,91,968,Julie Benz,12000,17524,Clifton Collins Jr.,0,http://www.imdb.com/title/tt1300851/?ref_=fn_tt_tt_1,188,6.3
James Ivory,55,86,Omar Metwally,471,858,Diego Velazquez,1,http://www.imdb.com/title/tt0896923/?ref_=fn_tt_tt_1,25,6.4
Nicole Holofcener,231,216,Ben Falcone,434,1183,Michaela Watkins,2,http://www.imdb.com/title/tt2390361/?ref_=fn_tt_tt_1,142,7.1
Will Gluck,262,424,Dan Byrd,15000,16982,Fred Armisen,1,http://www.imdb.com/title/tt1282140/?ref_=fn_tt_tt_1,264,7.1
Matty Rich,7,582,Joe Morton,851,3293,Larenz Tate,0,http://www.imdb.com/title/tt0110137/?ref_=fn_tt_tt_1,11,6.5
E. Elias Merhige,196,306,Udo Kier,776,1761,Catherine McCormack,1,http://www.imdb.com/title/tt0189998/?ref_=fn_tt_tt_1,339,6.9
Joe Nussbaum,83,741,Thomas McDonell,1000,5190,Aimee Teegarden,0,http://www.imdb.com/title/tt1604171/?ref_=fn_tt_tt_1,32,5.4
Matt Reeves,18,636,Michael Rapaport,1000,3502,Carol Kane,2,http://www.imdb.com/title/tt0117283/?ref_=fn_tt_tt_1,55,4.9
Steve Rash,11,660,Nia Long,883,3291,Jake Busey,2,http://www.imdb.com/title/tt0165831/?ref_=fn_tt_tt_1,34,5.1
Fina Torres,72,417,John de Lancie,1000,2687,Mark Feuerstein,0,http://www.imdb.com/title/tt0206420/?ref_=fn_tt_tt_1,86,5.3
James Ivory,51,136,Vanessa Redgrave,12000,13180,Samuel West,3,http://www.imdb.com/title/tt0104454/?ref_=fn_tt_tt_1,86,7.5
,18,648,Joseph Gilgun,3000,6034,Ruth Negga,0,http://www.imdb.com/title/tt5016504/?ref_=fn_tt_tt_1,85,8.3
Duke Johnson,328,0,Tom Noonan,1000,1442,David Thewlis,0,http://www.imdb.com/title/tt2401878/?ref_=fn_tt_tt_1,140,7.3
Mike Leigh,248,386,Imelda Staunton,1000,2265,Phil Davis,0,http://www.imdb.com/title/tt1431181/?ref_=fn_tt_tt_1,141,7.3
François Ozon,128,569,Isabelle Huppert,963,3543,Emmanuelle Béart,1,http://www.imdb.com/title/tt0283832/?ref_=fn_tt_tt_1,162,7.1
Mark L. Lester,45,112,Tia Carrere,1000,2404,Vernee Watson,2,http://www.imdb.com/title/tt0102915/?ref_=fn_tt_tt_1,102,6.0
David Dobkin,49,168,Vince Vieluf,1000,1795,Kevin Rahm,1,http://www.imdb.com/title/tt0118863/?ref_=fn_tt_tt_1,109,6.6
Anna Boden,163,472,Jeremy Davies,943,2786,Jim Gaffigan,3,http://www.imdb.com/title/tt0804497/?ref_=fn_tt_tt_1,150,7.2
Nigel Cole,163,594,Robbie Kay,5000,7692,Sally Hawkins,6,http://www.imdb.com/title/tt1371155/?ref_=fn_tt_tt_1,73,7.2
Anand Tucker,90,291,Jim Broadbent,14000,15848,Gina McKee,2,http://www.imdb.com/title/tt0829098/?ref_=fn_tt_tt_1,34,6.9
Steve James,23,200,Laurel Holloman,1000,1610,Amy Locane,2,http://www.imdb.com/title/tt0119937/?ref_=fn_tt_tt_1,37,6.8
Michael Winner,17,249,Marina Sirtis,977,2413,John Gielgud,0,http://www.imdb.com/title/tt0086582/?ref_=fn_tt_tt_1,15,4.0
Tomm Moore,118,4,Mick Lally,61,75,Evan McGuire,0,http://www.imdb.com/title/tt0485601/?ref_=fn_tt_tt_1,71,7.7
John Carney,283,7,Karen Pittman,480,517,Mary Catherine Garrison,1,http://www.imdb.com/title/tt1980929/?ref_=fn_tt_tt_1,182,7.4
David Jacobson,74,710,Bruce Dern,2000,3921,Rory Culkin,2,http://www.imdb.com/title/tt0398027/?ref_=fn_tt_tt_1,110,6.5
Michael Corrente,41,209,Tony Devon,480,1234,Alexa Havins,3,http://www.imdb.com/title/tt0283503/?ref_=fn_tt_tt_1,48,6.4
Edward Hall,17,844,Hayley Atwell,3000,6343,Charlotte Rampling,2,http://www.imdb.com/title/tt2241676/?ref_=fn_tt_tt_1,12,7.2
Keith Gordon,66,1000,Robin Wright,21000,41645,Alfre Woodard,2,http://www.imdb.com/title/tt0314676/?ref_=fn_tt_tt_1,79,5.6
David Leland,36,227,Catherine McCormack,735,1378,Steven Mackintosh,3,http://www.imdb.com/title/tt0119494/?ref_=fn_tt_tt_1,27,6.3
Andrew Currie,140,33,Henry Czerny,553,786,Kesun Loder,1,http://www.imdb.com/title/tt0457572/?ref_=fn_tt_tt_1,98,6.8
Andrew Wilson,32,399,Eddie Griffin,8000,9608,Jacob Vargas,4,http://www.imdb.com/title/tt0373445/?ref_=fn_tt_tt_1,27,5.5
Jonathan Lynn,68,405,Rupert Everett,10000,11770,Geoff Bell,4,http://www.imdb.com/title/tt1235189/?ref_=fn_tt_tt_1,86,6.9
Marc Schölermann,79,448,Larry Drake,905,3185,Johnny Whitworth,0,http://www.imdb.com/title/tt0964539/?ref_=fn_tt_tt_1,107,6.0
,9,427,Jack O'Connell,27000,29196,Kevin McNally,2,http://www.imdb.com/title/tt1238834/?ref_=fn_tt_tt_1,33,7.7
Robert Moresco,26,463,Brad Renfro,954,2512,Dash Mihok,5,http://www.imdb.com/title/tt0360323/?ref_=fn_tt_tt_1,34,6.4
Thomas Vinterberg,100,488,Chris Owen,947,2572,William Hootkins,0,http://www.imdb.com/title/tt0342272/?ref_=fn_tt_tt_1,58,6.6
Claudia Llosa,56,47,Zen McGrath,144,326,William Shimell,1,http://www.imdb.com/title/tt2494384/?ref_=fn_tt_tt_1,11,5.3
Katsuhiro Ôtomo,150,4,Takeshi Kusao,6,28,Tesshô Genda,0,http://www.imdb.com/title/tt0094625/?ref_=fn_tt_tt_1,430,8.1
John Herzfeld,30,1000,Olivia Wilde,23000,37457,Jason Flemyng,2,http://www.imdb.com/title/tt0473188/?ref_=fn_tt_tt_1,31,5.9
Charles Binamé,20,23,Roy Dupuis,413,733,Julie LeBreton,0,http://www.imdb.com/title/tt0460505/?ref_=fn_tt_tt_1,31,7.7
Keith Parmer,21,600,Josh Henderson,31000,33858,Grant Bowler,6,http://www.imdb.com/title/tt2112277/?ref_=fn_tt_tt_1,24,4.6
Dennie Gordon,11,11,Ruby Lin,163,219,Jack Kao,2,http://www.imdb.com/title/tt2102502/?ref_=fn_tt_tt_1,2,5.1
Ol Parker,85,112,Ben Miles,186,619,Darren Boyd,0,http://www.imdb.com/title/tt0421994/?ref_=fn_tt_tt_1,149,6.9
Bruce Beresford,5,189,Lucy Fry,502,1546,Natalie Coughlin,0,http://www.imdb.com/title/tt4196848/?ref_=fn_tt_tt_1,5,8.0
François Ozon,160,15,Ludivine Sagnier,844,1389,Jean-Claude Lecas,0,http://www.imdb.com/title/tt0324133/?ref_=fn_tt_tt_1,288,6.8
James Nunn,25,376,Mark Wingett,1000,2284,Kacey Clarke,2,http://www.imdb.com/title/tt2628316/?ref_=fn_tt_tt_1,13,5.4
David Webb Peoples,21,26,Joan Chen,848,1526,Anna Katarina,2,http://www.imdb.com/title/tt0094764/?ref_=fn_tt_tt_1,43,6.5
Michael Winnick,15,391,Helena Mattsson,981,2741,Craig Sheffer,0,http://www.imdb.com/title/tt4060866/?ref_=fn_tt_tt_1,14,4.2
Bruce Beresford,61,325,Jessica Tandy,11000,12619,Patti LuPone,1,http://www.imdb.com/title/tt0097239/?ref_=fn_tt_tt_1,134,7.4
George Tillman Jr.,34,890,Mekhi Phifer,1000,4737,Vivica A. Fox,6,http://www.imdb.com/title/tt0120169/?ref_=fn_tt_tt_1,30,6.9
Stanley Tong,62,36,Anita Mui,186,407,Garvin Cross,1,http://www.imdb.com/title/tt0113326/?ref_=fn_tt_tt_1,81,6.7
David Oelhoffen,102,40,Reda Kateb,10000,10218,Ángela Molina,0,http://www.imdb.com/title/tt2936180/?ref_=fn_tt_tt_1,19,7.3
Jason Reitman,239,88,Cameron Bright,24000,25092,Todd Louiso,0,http://www.imdb.com/title/tt0427944/?ref_=fn_tt_tt_1,323,7.6
Eli Roth,252,658,Lauren German,1000,4707,Stanislav Ianevski,0,http://www.imdb.com/title/tt0498353/?ref_=fn_tt_tt_1,384,5.4
Lone Scherfig,278,221,Olivia Williams,3000,4198,Ellie Kendrick,0,http://www.imdb.com/title/tt1174732/?ref_=fn_tt_tt_1,237,7.3
Anand Tucker,124,161,Bridgette Wilson-Sampras,827,1871,Clyde Kusatsu,3,http://www.imdb.com/title/tt0338427/?ref_=fn_tt_tt_1,268,6.4
Tony Richardson,9,518,Beau Bridges,584,2024,Nastassja Kinski,0,http://www.imdb.com/title/tt0087428/?ref_=fn_tt_tt_1,61,6.0
Joe Carnahan,127,147,Chi McBride,673,1442,Alan Van Sprang,1,http://www.imdb.com/title/tt0272207/?ref_=fn_tt_tt_1,214,7.2
Paul Gross,9,280,Paul Gross,611,1834,Kari Matchett,3,http://www.imdb.com/title/tt0263734/?ref_=fn_tt_tt_1,83,6.0
Charles Robert Carner,35,742,Jenny McCarthy,834,4091,Richard Bull,2,http://www.imdb.com/title/tt1001562/?ref_=fn_tt_tt_1,20,3.1
Russell Holt,6,249,Brenda Strong,373,1233,Tiffany Dupont,1,http://www.imdb.com/title/tt0410454/?ref_=fn_tt_tt_1,33,6.9
Mike Judge,192,968,Mila Kunis,24000,41867,Clifton Collins Jr.,6,http://www.imdb.com/title/tt1225822/?ref_=fn_tt_tt_1,106,6.2
Larry Charles,51,844,Cheech Marin,12000,15396,Bruce Dern,0,http://www.imdb.com/title/tt0319829/?ref_=fn_tt_tt_1,95,5.5
Claude Miller,38,59,Edouard Baer,71,262,Roschdy Zem,0,http://www.imdb.com/title/tt0269329/?ref_=fn_tt_tt_1,26,6.9
Michael Winterbottom,133,158,Om Puri,631,1176,Natalie Mendoza,0,http://www.imdb.com/title/tt0345061/?ref_=fn_tt_tt_1,150,6.3
Sacha Bennett,4,447,Jenny Agutter,5000,7206,Vincent Regan,3,http://www.imdb.com/title/tt1772422/?ref_=fn_tt_tt_1,3,4.8
Paul Haggis,287,911,Loretta Devine,3000,5732,Jennifer Esposito,0,http://www.imdb.com/title/tt0375679/?ref_=fn_tt_tt_1,1624,7.9
