director_facebook_likes,actor_3_facebook_likes,genres,cast_total_facebook_likes,facenumber_in_poster
46,249,Biography|Drama|Sport,1651,0
0,476,Comedy|Drama|Romance,2723,0
96,35,Biography|Drama|Music|Romance,888,0
23000,694,Comedy|Drama|Romance,44265,1
16000,258,Mystery|Western,17599,0
72,722,Comedy|Drama,34106,0
14,548,Biography|Drama|Romance,16768,1
14,60,Comedy|Sci-Fi,396,0
25,57,Drama|Music,745,0
9,71,Comedy|Drama,1033,0
10,93,Crime|Drama|Mystery|Thriller,1315,0
0,388,Drama,2892,2
56,781,Comedy|Crime|Drama|Romance|Thriller,6776,3
592,36,Comedy|Drama,391,1
929,9,Crime|Drama|Mystery|Thriller,118,0
17,16,Comedy|Drama,81,0
85,199,Comedy|Drama|History|Romance,1519,0
4,290,Drama,2030,0
3,38,Action|Comedy|Drama|Thriller,561,5
136,139,Comedy|Romance,4883,4
222,222,Comedy|Drama,6111,2
77,27,Crime|Drama|Thriller,385,3
4,114,Comedy|Horror|Sci-Fi|Thriller,1832,0
12,149,Comedy|Drama|Sport,955,1
440,0,Drama|Romance,631,2
82,32,Drama|Fantasy|Romance,454,2
4,47,Action|Crime|Drama|Thriller,787,0
0,482,Fantasy|Horror|Thriller,2975,0
163,651,Horror|Mystery,4134,0
16,82,Drama|Horror|Mystery|Sci-Fi|Thriller,14504,0
79,218,Comedy|Documentary,1770,0
26,300,Horror,3344,0
24,434,Horror,2371,0
10,704,Fantasy|Horror,5056,0
55,150,Action|Fantasy|Horror|Thriller,1584,0
0,458,Mystery|Thriller,3215,1
399,83,Comedy|Drama,688,1
24,113,Horror,799,0
28,275,Drama|History,1920,1
688,80,Comedy|Crime|Mystery,971,0
54,581,Comedy|Fantasy|Horror|Thriller,42002,0
260,592,Biography|Crime|Drama|Thriller,11736,2
130,51,Adventure|Drama|Family|Fantasy|Sci-Fi,799,0
52,332,Fantasy|Horror|Thriller,2161,0
0,452,Biography|Drama,13864,1
212,896,Biography|Drama,17738,0
26,801,Horror|Sci-Fi|Thriller,11771,0
22000,379,Mystery|Thriller,1997,0
59,202,Horror|Mystery,2071,0
0,657,Comedy,2990,3
335,34,Drama|Music,1122,0
214,424,Comedy|Drama,8375,1
0,287,Comedy|Drama|Music|Romance,2523,0
18,75,Adventure|Drama|Family|Romance|Western,854,0
0,73,Animation|Comedy|Family,2908,1
3000,77,Drama,428,1
24,157,Biography|Drama,2014,1
37,1000,Comedy|Drama,15710,1
81,388,Biography|Drama|Sport,2410,0
0,498,Comedy|Drama,2868,9
596,697,Drama|Romance|Thriller,3300,2
66,161,Horror|Mystery|Thriller,1410,0
23,467,Drama|Thriller,2840,0
148,426,Drama,3843,2
25,423,Drama,19673,1
345,422,Drama|History,2112,0
6,142,Action|Crime|Thriller,14306,2
6,65,Adventure|Horror,1327,0
38,249,Comedy|Family|Romance,1495,3
520,192,Crime|Drama,12306,4
13,141,Horror|Thriller,1227,0
0,19,Adventure|Comedy|Drama|Romance,361,1
1000,358,Comedy|Horror,1686,6
7,664,Drama|Horror|Thriller,4856,5
407,111,Drama|Mystery,11400,2
27,101,Horror|Thriller,1136,0
17,85,Horror|Mystery,1160,0
272,551,Comedy|Drama,2943,6
8,268,Action|Crime|Drama|Thriller|Western,2383,0
17,205,Horror|Mystery|Sci-Fi|Thriller,1520,0
19,260,Comedy|Drama,2528,0
66,13,Action|Thriller,259,0
152,826,Action|Adventure|Fantasy,23714,0
54,70,Drama|History|Romance|War,1332,2
89,355,Comedy,2848,4
1000,409,Drama|Romance,2269,1
57,99,Drama|Romance|War,1284,1
23,503,Comedy|Romance,3552,6
99,44,Action|Adventure|Animation|Family|Sci-Fi,315,0
12,797,Comedy|Drama,5668,5
66,21,Comedy|Crime|Drama|Mystery|Romance,253,2
44,136,Adventure|Drama|Romance,1199,10
23,560,Horror|Thriller,3004,4
82,576,Action|Drama|War,13591,2
3,448,Comedy|Drama,3942,1
4,556,Comedy,5202,0
84,572,Comedy|Drama,2691,0
0,392,Western,2589,1
4000,334,Comedy|Crime|Drama|Thriller,5245,2
0,372,Drama|Mystery|Sci-Fi,19404,0
7,701,Comedy,5900,0
0,0,Documentary,55,0
460,395,Drama,2820,0
22,32,Drama,416,0
19,39,Comedy|Drama,25676,0
3,83,Comedy|Music|Sci-Fi,1324,0
0,88,Biography|Crime|Drama|Romance|Thriller,14574,2
35,473,Drama,6617,0
7,939,Comedy|Drama,10517,1
52,102,Comedy|Crime|Drama|Mystery|Thriller,1209,2
122,360,Drama|Thriller,24994,0
261,145,Crime|Drama,1201,0
52,688,Biography|Crime|Drama|Mystery|Thriller,12897,1
263,192,Drama,1582,0
13,600,Biography|Crime|Drama|Thriller,5185,1
57,233,Crime|Horror|Music|Thriller,1836,0
0,276,Comedy|Drama|Romance,1665,0
0,361,Drama|Mystery|Sci-Fi,3382,0
0,65,Comedy|Crime|Drama,648,0
18000,977,Crime|Drama|Thriller,13718,3
0,14,Biography|Drama|History,172,0
239,0,Crime|Documentary|War,6,0
0,51,Drama,498,1
27,440,Comedy|Horror,2958,1
6,940,Drama|Romance,4987,0
5,100,Adventure|Drama|Romance,538,1
204,697,Drama,3207,3
3,383,Comedy|Horror|Sci-Fi,2984,0
0,99,Horror|Thriller,1010,
0,15,Crime|Thriller|War,408,0
34,227,Mystery|Romance|Thriller,1789,0
,904,Drama|Fantasy,5203,1
110,14,Horror|Sci-Fi|Thriller,117,0
57,78,Drama|Horror|Thriller,526,0
46,141,Comedy|Crime|Horror|Thriller,1258,0
65,686,Comedy|Drama|Fantasy,3724,1
799,854,Animation|Comedy,10727,0
0,483,Drama|Family|Music,3217,6
,816,Comedy|Crime|Mystery,4092,2
0,394,Comedy|Drama|Music,1986,1
0,388,Animation|Family,2509,2
7,541,Comedy,3514,7
49,601,Crime|Drama|Thriller,3059,1
261,179,Drama|Thriller,12676,1
3,126,Action|Drama|Thriller|War,1681,3
0,826,Action|Sci-Fi|Thriller,5191,0
3,723,Comedy|Drama,4991,15
14,668,Family,3021,2
0,1000,Comedy|Fantasy|Horror|Thriller,46115,7
20,538,Action|Horror,2849,1
44,4,Comedy|Drama|Romance|War,92,1
766,269,Comedy|Drama,1519,3
0,263,Drama,3967,0
58,537,Horror|Thriller,2363,1
0,581,Horror,2990,0
187,427,Comedy|Drama,3690,0
337,41,Drama|Thriller,1520,0
7,339,Fantasy|Horror|Mystery|Thriller,2545,0
16,621,Comedy|Drama,11703,0
0,316,Comedy|Crime,2469,2
365,14,Comedy|Horror,302,3
541,372,Biography|Drama|Romance|Western,2409,0
0,428,Crime|Drama,34779,1
0,20,Drama,286,0
20,329,Comedy,2006,6
0,0,Comedy|Romance,5,2
11,16,Drama|Romance,18105,0
0,413,Western,2668,2
3,9,Comedy|Drama|Romance,143,1
4,140,Comedy|Drama,1795,1
4,577,Drama,15093,1
0,3,Crime|Drama,122,0
37,542,Comedy,3113,0
116,83,Adventure|Drama|Romance,1662,0
179,239,Comedy|Drama|Romance,1862,4
143,811,Comedy|Drama,5002,1
1000,68,Adventure|Drama,588,0
0,346,Drama,26050,0
,298,Crime|Drama,1587,0
0,126,Crime|Drama|Romance|Thriller,3668,0
0,167,Drama,2235,0
9,37,Musical|Romance,496,2
98,4,Drama|Musical,371,3
0,491,Drama|History|Thriller|War,2762,0
10,402,Comedy,2705,
219,701,Drama|Sci-Fi|Thriller,17040,1
5,122,Adventure|Comedy|Western,793,6
4,3,Crime|Drama|Mystery,48,1
68,391,Comedy|Crime|Drama,2110,0
377,844,Comedy|Drama,5041,1
0,38,Crime|Drama,907,0
0,9,Biography|Drama|Music|Romance,53,2
0,798,Comedy|Drama|Sport,29325,1
143,76,Action|Crime|Thriller,398,0
3,327,Action|Adventure|Western,1950,0
187,0,Crime|Drama,131,1
0,329,Drama|Horror|Mystery|Thriller,15860,1
0,62,Drama|Thriller,496,4
869,425,Drama,2176,0
358,212,Comedy,20397,3
0,753,Comedy|Romance,2951,0
