num_critic_for_reviews,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,cast_total_facebook_likes,actor_3_name,language,country,content_rating,title_year
79,17,652,13000,32940507,Action|Crime|Drama|Thriller,Bruce Willis,Mercury Rising ,16537,Carrie Preston,English,USA,R,1998
8,,109,210,,Drama|Sci-Fi,James Morrison,Space: Above and Beyond             ,611,Kristen Cloke,English,USA,,
16,135,0,0,,Action|Biography|Drama|History,Elina Abai Kyzy,Queen of the Mountains ,0,Mirlan Abdulayev,English,Kyrgyzstan,PG-13,2014
18,4,13,232,,Action|Sci-Fi,Maury Chaykin,Def-Con 4 ,289,Tim Choate,English,Canada,R,1985
35,4,624,2000,19539,Comedy,Judy Greer,The Hebrew Hammer ,6227,Tony Cox,English,USA,R,2003
5,0,40,374,100358,Comedy|Musical|Romance,Abhishek Bachchan,Neal 'N' Nikki ,602,Samantha McLeod,English,India,,2005
16,19,134,700,,Comedy,Noureen DeWulf,The 41-Year-Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It ,1499,Matt Crabtree,English,USA,R,2010
24,0,511,35000,,Horror|Romance|Thriller,Bella Thorne,Forget Me Not ,38121,Christopher Atkins,English,USA,R,2009
144,13000,333,1000,,Drama|Film-Noir|Mystery|Thriller,Laurence Olivier,Rebecca ,2888,George Sanders,English,USA,Not Rated,1940
242,49,59,309,19100000,Horror|Mystery|Thriller,Betsy Palmer,Friday the 13th Part 2 ,707,Amy Steel,English,USA,R,1981
97,0,66,287,,Drama|Film-Noir,Ray Milland,The Lost Weekend ,581,Frank Faylen,English,USA,Not Rated,1945
77,4,132,796,,Horror|Sci-Fi,Daniel Stern,C.H.U.D. ,1866,Sam McMurray,English,USA,R,1984
16,8,183,2000,2833383,Drama|Music,Noel Gugliemi,Filly Brown ,2459,Jorge Diaz,English,USA,R,2012
7,11,397,578,,Animation,Vic Mignogna,The Lion of Judah ,1730,Anupam Kher,English,USA,PG,2011
74,83,48,469,,Crime|Film-Noir|Thriller,Joseph Cotten,Niagara ,683,Will Wright,English,USA,Approved,1953
74,673,137,595,,Drama|Family,Roddy McDowall,How Green Was My Valley ,1129,Barry Fitzgerald,English,USA,Approved,1941
19,,201,934,,Drama,Mary Lynn Rajskub,The Girlfriend Experience             ,1961,Paul Sparks,English,USA,TV-MA,
46,0,161,3000,,Comedy|Romance|Thriller,Rami Malek,Da Sweet Blood of Jesus ,4040,Felicia Pearson,English,USA,,2014
58,0,65,828,24741700,Drama,Peter Gallagher,Sex, Lies, and Videotape ,1431,Steven Brill,English,USA,R,1989
287,0,651,2000,55153403,Horror|Mystery|Thriller,Michael Emerson,Saw ,5161,Shawnee Smith,English,USA,R,2004
100,422,422,816,18488314,Comedy|Crime|Mystery,Geoffrey Arend,Super Troopers ,2893,Jay Chandrasekhar,English,USA,R,2001
5,4,434,18000,,Action|Romance|Thriller,Zuhair Haddad,The Algerian ,20218,Ben Youcef,English,USA,,2014
50,0,3,31,11278,Comedy|Drama,Ximena Ayala,The Amazing Catfish ,58,José Manuel Orozco Angulo,Spanish,Mexico,,2013
276,301,71,18000,79363785,Drama|Sci-Fi|Thriller,Keanu Reeves,The Day the Earth Stood Still ,22194,Juan Riedinger,English,USA,PG-13,2008
137,300,73,307,13876974,Comedy|Drama|Romance,Naseeruddin Shah,Monsoon Wedding ,809,Lillete Dubey,Hindi,India,R,2001
122,50,612,2000,9180275,Drama,Matthew Broderick,You Can Count on Me ,4288,Gaby Hoffmann,English,USA,R,2000
73,13000,232,282,,Comedy|Mystery|Romance,Jerry Mathers,The Trouble with Harry ,1041,Royal Dano,English,USA,Approved,1955
202,118,1000,13000,22494487,Crime|Drama|Mystery|Thriller,Bruce Willis,Lucky Number Slevin ,26451,Dorian Missick,English,Germany,R,2006
99,91,849,1000,2199853,Comedy|Drama,Natasha Lyonne,But I'm a Cheerleader ,4289,Eddie Cibrian,English,USA,R,1999
10,29,449,890,2859955,Drama|Sport,Vivica A. Fox,Home Run ,2681,Scott Elrod,English,USA,PG-13,2013
173,16000,455,16000,2812029,Crime|Drama|Thriller,Quentin Tarantino,Reservoir Dogs ,28994,Chris Penn,English,USA,R,1992
7,9,51,94,,Drama|Family|Fantasy,Spring Byington,The Blue Bird ,293,Gale Sondergaard,English,USA,Approved,1940
181,0,24,16000,6100000,Western,Clint Eastwood,The Good, the Bad and the Ugly ,16089,Enzo Petito,Italian,Italy,Approved,1966
111,9,4,61,375723,Comedy|Drama,Alex Huszar,The Second Mother ,76,Luis Miranda,Portuguese,Brazil,R,2015
38,14,274,1000,594904,Comedy|Drama,Jason Marsden,Blue Like Jazz ,1805,Eric Lange,English,USA,PG-13,2012
12,0,3,268,58936,Comedy|Music,Lemmy,Down and Out with the Dolls ,318,Zoë Poledouris,English,USA,R,2001
23,4,,,24784,Documentary,,Pink Ribbons, Inc. ,0,,English,Canada,Not Rated,2011
17,0,924,49000,7826,Comedy|Documentary,Robin Williams,Certifiably Jonathan ,54484,Jonathan Winters,English,USA,,2007
9,0,24,34,,Drama,Déborah Révy,Q ,114,Yassine Azzouz,French,France,,2011
1,0,0,3,3830,Comedy|Drama,Nataniel Sánchez,The Knife of Don Juan ,5,Juan Carlos Montoya,Spanish,USA,,2013
51,4,95,690,,Adventure|Comedy|Drama,Marley Shelton,Grand Theft Parsons ,1438,Jim Cody Williams,English,USA,PG-13,2003
14,0,227,387,,Comedy,Rich Ceraulo,Extreme Movie ,1190,Vanessa Lee Chester,English,USA,R,2008
24,345,94,843,,Action|Adventure|Romance|War,Errol Flynn,The Charge of the Light Brigade ,1621,Spring Byington,English,USA,Approved,1936
18,0,5,721,,Thriller,Michael Berryman,Below Zero ,862,Michael Eisner,English,Canada,R,2011
22,0,63,380,,Action|Horror|Mystery|Thriller,Christie Burke,Crowsnest ,630,Chelsey Reist,English,Canada,R,2012
9,38,117,584,2850263,Adventure|Comedy|Sport,Alanna Ubach,Airborne ,1218,Brittney Powell,English,USA,PG,1993
30,282,148,586,,Action|Comedy,Redd Foxx,Cotton Comes to Harlem ,1581,Calvin Lockhart,English,USA,R,1970
9,2,475,10000,,Horror,William McNamara,The Wicked Within ,11257,Patrick Muldoon,English,USA,R,2015
7,0,312,498,,Horror,Seregon O'Dassey,Bleeding Hearts ,1810,Dustin Diamond,English,USA,,2015
91,6,804,16000,16101109,Comedy,Ryan Reynolds,Waiting... ,19957,Vanessa Lengies,English,USA,R,2005
99,222,68,680,6013,Crime|Drama|Thriller,Paddy Considine,Dead Man's Shoes ,1311,George Newton,English,UK,,2004
2,,206,511,,Drama|Horror|Thriller,Richard Cawthorne,Wolf Creek             ,1617,Lucy Fry,English,Australia,,
57,155,147,448,1400000,Action|Drama|Horror|Thriller,Terry Kiser,From a Whisper to a Scream ,1329,Susan Tyrrell,English,USA,R,1987
12,0,,,247740,Documentary|Drama,,Sex with Strangers ,0,,English,USA,,2002
58,126,3,14,39659,Comedy|Horror|Musical,Sarah Murphy-Dyson,Dracula: Pages from a Virgin's Diary ,21,Brent Neale,English,Canada,,2002
5,12,25,412,,Drama,Sean Cameron Michael,Faith Like Potatoes ,521,Jeanne Neilson,Zulu,South Africa,PG,2006
97,22,48,434,56129,Sci-Fi|Thriller,Chris Gauthier,Beyond the Black Rainbow ,645,Eva Bourne,English,Canada,R,2010
481,338,60,1000,4105123,Action|Crime|Thriller,Iko Uwais,The Raid: Redemption ,1445,Donny Alamsyah,Indonesian,Indonesia,R,2011
