director_name,num_critic_for_reviews,actor_1_facebook_likes,gross,actor_1_name,movie_title,cast_total_facebook_likes,actor_3_name,num_user_for_reviews,language,country,content_rating,imdb_score,movie_facebook_likes
Yimou Zhang,101,9,190666,Honglei Sun,A Woman, a Gun and a Noodle Shop ,18,Dahong Ni,20,Mandarin,China,R,5.7,784
Vincenzo Natali,82,686,,David Hewlett,Cypher ,1501,Kari Matchett,124,English,USA,R,6.8,0
Chuan Lu,149,52,119922,Ye Liu,City of Life and Death ,91,Ryu Kohata,62,Mandarin,China,R,7.7,0
Tim Johnson,165,17000,177343675,Jim Parsons,Home ,17883,April Winchell,214,English,USA,PG,6.7,26000
Lijun Sun,5,970,,Jon Heder,Legend of Kung Fu Rabbit ,1854,Rebecca Black,12,Mandarin,China,PG,3.2,211
Takashi Yamazaki,44,84,,Takuya Kimura,Space Battleship Yamato ,164,Hiroyuki Ikeuchi,49,Japanese,Japan,TV-14,6.1,0
Renny Harlin,74,567,17149,Richard Coyle,5 Days of War ,708,Ana Imnadze,61,English,Georgia,R,5.6,0
Christopher Smith,156,181,,Rachael Carpani,Triangle ,433,Emma Lung,293,English,UK,R,6.9,13000
Timothy Hines,1,1000,14616,Christopher Lambert,10 Days in a Madhouse ,2059,Alexandra Callas,10,English,USA,R,7.5,26000
Randall Wallace,82,399,91443253,Jacob Vargas,Heaven Is for Real ,663,Rob Moran,153,English,USA,PG,5.8,23000
Guy Ritchie,151,26000,30093107,Jason Statham,Snatch ,39175,Jason Flemyng,726,English,UK,R,8.3,27000
David Winters,3,551,,Gary Daniels,Dancin' It's On ,895,Ginger Jensen,7,English,USA,PG,2.8,634
Mary Lambert,98,969,57469179,Miko Hughes,Pet Sematary ,2987,Denise Crosby,248,English,USA,R,6.6,0
Akira Kurosawa,25,15,48856,Tatsuo Matsumura,Madadayo ,30,Akira Terao,40,Japanese,Japan,,7.5,355
Jamie Thraves,35,680,,Paddy Considine,The Cry of the Owl ,1780,Charlotte Sullivan,27,English,UK,R,6.0,443
Mabel Cheung,6,215,,Wei Tang,A Tale of Three Cities ,244,Hailu Qin,6,Chinese,China,,6.2,4
Joe Dante,183,767,148170000,Phoebe Cates,Gremlins ,2053,Zach Galligan,245,English,USA,PG,7.2,14000
George Lucas,282,11000,460935665,Harrison Ford,Star Wars: Episode IV - A New Hope ,13485,Kenny Baker,1470,English,USA,PG,8.7,33000
Dan Mazer,158,22000,35537564,Robert De Niro,Dirty Grandpa ,24063,Jason Mantzoukas,166,English,USA,R,6.0,11000
David Lean,89,597,111722000,Julie Christie,Doctor Zhivago ,1966,Geraldine Chaplin,255,English,USA,PG-13,8.0,7000
Stephen Daldry,101,585,10230,Wagner Moura,Trash ,679,Daniel Zettel,26,Portuguese,UK,R,7.2,0
Kenny Ortega,128,755,90556401,Lucas Grabeel,High School Musical 3: Senior Year ,3507,Corbin Bleu,171,English,USA,G,4.5,0
David O. Russell,410,23000,93571803,Christian Bale,The Fighter ,23811,Melissa McMeekin,389,English,USA,R,7.9,36000
Jeff Tremaine,104,608,72755517,Bam Margera,Jackass Number Two ,1853,Chris Pontius,196,English,USA,R,7.1,641
Jonathan Lynn,54,886,52929168,Fred Gwynne,My Cousin Vinny ,3280,Lane Smith,201,English,USA,R,7.5,7000
R.J. Cutler,141,17000,50461335,Chloë Grace Moretz,If I Stay ,20466,Stacy Keach,132,English,USA,PG-13,6.8,15000
Brian Trenchard-Smith,30,84,,Zoe Ventoura,Drive Hard ,179,Christopher Sommers,33,English,Canada,Not Rated,4.3,774
David S. Ward,57,1000,49797148,Corbin Bernsen,Major League ,3435,Rene Russo,97,English,USA,R,7.2,0
Oliver Parker,56,785,,Lily Cole,St. Trinian's ,3135,Tamsin Egerton,102,English,UK,PG-13,5.8,0
