num_critic_for_reviews,duration
2,98
,105
64,96
120,105
143,125
160,184
92,236
286,97
43,113
69,95
242,103
149,91
253,146
198,116
147,93
36,113
6,90
181,101
97,95
167,109
,43
47,85
308,101
246,125
23,118
29,132
252,131
102,129
134,100
30,172
136,97
102,121
10,92
31,116
63,110
220,90
241,81
252,97
23,107
156,118
192,100
351,97
57,114
99,130
343,82
163,96
110,105
233,122
91,88
169,110
142,103
50,106
195,98
129,68
156,94
103,99
217,107
134,180
146,89
159,97
111,113
187,131
20,44
44,103
588,119
415,98
279,111
97,94
60,122
27,81
212,89
110,106
45,122
190,86
77,103
151,121
111,109
64,109
134,123
450,94
128,94
68,115
97,107
54,91
99,125
412,122
107,102
192,90
25,98
104,109
120,107
146,90
124,112
107,94
11,105
93,104
38,112
60,108
184,112
148,127
217,111
160,126
209,114
40,99
85,150
83,117
263,112
128,108
186,116
14,60
292,144
15,92
70,93
79,103
103,93
97,98
108,334
59,114
10,121
184,87
23,92
112,105
45,90
59,89
195,114
256,119
44,103
59,91
97,98
142,80
187,121
193,94
40,93
46,93
38,116
239,101
250,154
82,170
140,99
129,104
285,126
91,110
318,101
283,80
52,87
56,123
186,109
178,90
140,96
469,125
63,82
148,86
265,108
75,98
113,129
62,99
54,105
223,112
50,108
125,121
81,89
37,89
44,73
197,132
15,154
543,96
112,98
153,107
94,134
62,94
157,122
35,128
21,97
236,110
50,102
106,98
106,120
173,160
41,80
41,91
145,83
31,102
105,122
236,110
114,126
69,136
150,120
72,108
158,126
96,128
84,113
114,89
79,129
103,94
67,106
576,100
178,89
487,94
196,83
