director_name,duration,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,actor_1_name,movie_title,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,num_user_for_reviews,language,country,content_rating,budget,actor_2_facebook_likes,aspect_ratio
Ron Fricke,102,0,Balinese Tari Legong Dancers,48,2601847,Collin Alfredo St. Dic,Samsara ,48,Puti Sri Candra Dewi,0,hall of mirrors|mont saint michel france|palace of versailles|turkey the country|yellowstone national park,69,None,USA,PG-13,4000000,0,2.35
Ruggero Deodato,87,324,Eva LaRue,721,800000,Michael Berryman,The Barbarians ,1700,Richard Lynch,0,bare breasts|comic relief|dragon|gladiator|harem,35,English,USA,R,4000000,576,1.85
Gavin Wiesen,83,322,Blair Underwood,947,1429260,Michael Angarano,The Art of Getting By ,2353,Rita Wilson,1,art teacher|artist|high school|homework|principal,71,English,USA,PG-13,,685,2.35
Mora Stephens,103,842,Alexandra Breckenridge,1000,,Ray Winstone,Zipper ,3408,Elena Satine,0,escort|f word|no opening credits|one word title|prosecutor,20,English,USA,R,4500000,1000,2.35
Mars Callahan,99,444,Ricky Schroder,979,562059,Chazz Palminteri,Poolhall Junkies ,3130,Ernie Reyes Jr.,4,beating|hustler|jail|money|revenge,113,English,USA,R,4000000,665,1.85
Mike Figgis,106,687,Saffron Burrows,2000,399793,Kelly Macdonald,The Loss of Sexual Innocence ,4343,Julian Sands,0,1950s|italian|murder|tunisia|vomiting,70,English,USA,R,4000000,811,1.78
Leos Carax,115,226,Leos Carax,690,,Kylie Minogue,Holy Motors ,1298,Denis Lavant,0,boudoir|death|insanity|male full frontal nudity|penis,110,French,France,Not Rated,,227,1.85
David Gordon Green,117,221,Tye Sheridan,12000,371897,Nicolas Cage,Joe ,13607,Ronnie Gene Blevins,2,alcoholic|cigarette smoking|father son relationship|teenage boy|woods,118,English,USA,R,4000000,1000,2.35
Stefan Schwartz,99,159,Dan Futterman,419,302204,Peter McNamara,Shooting Fish ,975,Ralph Ineson,3,con artist|money|orphan|scam|secretary,53,English,UK,PG,3000000,254,2.35
Renny Harlin,102,195,Lane Smith,10000,354704,Viggo Mortensen,Prison ,11083,Hal Landon Jr.,0,electric chair|haunting|prison|prisoner|revenge,38,English,USA,R,1300000,633,1.85
Robert Lee King,85,209,Kathleen Robertson,945,265107,Lauren Ambrose,Psycho Beach Party ,2282,Beth Broderick,1,cliche|exchange student|slasher|spoof|surfing,93,English,Australia,Unrated,1500000,774,1.85
Kevin Allen,86,428,Frances Fisher,759,185577,Craig Ferguson,The Big Tease ,2805,Mary McCormack,1,competition|fake documentary|hairdresser|nudity|reference to liberace,31,English,UK,R,4000000,638,1.85
Jorge Ramírez Suárez,120,69,Adriana Barraza,623,100412,Hector Kotsifakis,Buen Día, Ramón ,824,Arcelia Ramírez,0,,7,German,Mexico,PG-13,4000000,85,2.35
David Schwimmer,106,67,Jordan Trovillion,617,58214,Noah Emmerich,Trust ,916,Zoe Levin,0,counselor|fbi|revenge motive|school|teenage girl,137,English,USA,R,9500000,163,2.35
Barry Levinson,103,70,Brían F. O'Byrne,736,75078,Anna Friel,An Everlasting Piece ,1403,Pauline McLynn,4,alopecia|belfast northern ireland|ireland|irish republican army|scalper,26,English,USA,R,14000000,450,1.85
Sam Miller,93,15,Alan Williams,578,64359,Rachel Griffiths,Among Giants ,643,Rob Jarvis,1,australian|female armpit hair|friend|sheffield|yorkshire,26,English,UK,R,2500000,29,
Anne Fontaine,112,748,Naomi Watts,18000,317125,Robin Wright,Adore ,25269,Ben Mendelsohn,0,beach|friend|friendship|happiness|neighbor,87,English,Australia,R,16000000,6000,2.35
Dan Ireland,100,476,Danny Arroyo,4000,,Salma Hayek,The Velocity of Gary ,5796,Olivia d'Abo,0,dying|hospital|parenthesis in title|punctuation in title|tears,40,English,USA,R,4000000,575,2.35
Fernando León de Aranoa,113,9,Enrique Villén,331,146402,Luis Tosar,Mondays in the Sun ,387,Aida Folch,1,australia|bar|shipyard|siamese twins|tuna,38,Spanish,Spain,R,4000000,27,1.85
Jim Mickle,98,65,Michael Cerveris,530,18469,Connor Paolo,Stake Land ,1038,Nick Damici,1,canada|post apocalypse|road movie|vampire|vampire hunter,141,English,USA,R,650000,238,2.35
,23,218,Tiffany Thornton,254,,Doug Brochu,Sonny with a Chance             ,915,Brandon Mychal Smith,1,cafeteria|female protagonist|rival|teenage girl|teenager,47,English,USA,TV-G,,248,1.33
Stephen Kay,92,599,Marg Helgenberger,18000,12836,Keanu Reeves,The Last Time I Committed Suicide ,20135,Gretchen Mol,1,1940s|female bare foot|picket fence|tire|vomiting,28,English,USA,R,4000000,759,1.85
Karim Aïnouz,106,9,Clemens Schick,585,20262,Wagner Moura,Futuro Beach ,629,Jesuíta Barbosa,2,gay|male frontal nudity|male nudity|male rear nudity|nudity,10,Portuguese,Brazil,Unrated,4000000,29,2.35
Sam Levinson,119,2000,Ezra Miller,3000,,George Kennedy,Another Happy Day ,10984,Demi Moore,4,countryside|marriage|maryland|usa|wedding,42,English,USA,R,4000000,3000,2.35
Julian Gilbey,99,641,Eamonn Walker,762,,Ed Speleers,A Lonely Place to Die ,2631,Sean Harris,1,kidnapper|mountaineering|scotland|scottish highlands|sniper,97,English,UK,R,4000000,706,2.35
Vincenzo Natali,90,150,Angelo Tsarouchas,686,,David Hewlett,Nothing ,1298,Marie-Josée Croze,0,imagination|one word title|part animation|surrealism|virtual reality,50,English,Canada,R,,246,2.35
Aleksandr Veledinskiy,120,22,Elena Lyadova,114,,Konstantin Khabenskiy,The Geographer Drank His Globe Away ,183,Eugenia Khirivskaya,0,rafting|russia|school|student|teacher,3,Russian,Russia,,4000000,45,
Peter H. Hunt,168,69,Ken Howard,713,,Blythe Danner,1776 ,1541,Howard Caine,0,continental congress|debate|declaration of independence|massachusetts|pennsylvania,129,English,USA,PG,4000000,649,2.35
Ruba Nadda,93,5,Bonnie Lee Bouman,223,4063,Saad Siddiqui,Inescapable ,242,Fadia Nadda,3,,20,English,Canada,R,4000000,11,2.35
Howard Hughes,96,4,Marian Marsh,431,,Jean Harlow,Hell's Angels ,457,James Hall,1,bomb|bombing mission|munitions|oxford|royal flying corps,53,English,USA,Passed,3950000,12,1.2
Edward Burns,103,183,Rosemarie DeWitt,650,,Debra Messing,Purple Violets ,1585,Peter Jacobson,5,directed by star|written and directed by cast member,19,English,USA,,4000000,536,1.85
Phil Joanou,93,359,Shannon Woodward,763,,Lily Rabe,The Veil ,2651,Kira McLean,2,documentary crew|mass suicide|survivor|tied feet|tied up while barefoot,29,English,USA,R,4000000,637,2.35
Sean Byrne,84,35,Jessica McNamee,399,,Robin McLeavy,The Loved Ones ,644,Victoria Thaine,1,escape|high school|high school prom|prom|prom king,104,English,Australia,R,,129,2.35
Chris Stokes,81,104,Rachel Sterling,166,,Kristen Quintrall,No Vacancy ,609,Black Thomas,0,motel|psychopath|psychopathic killer|road trip|vomiting,21,English,USA,R,4000000,134,
Mark Griffiths,84,271,Gina Holden,637,,Eric Mabius,How to Fall in Love ,1932,Brooke D'Orsay,2,,4,English,USA,TV-G,4000000,346,1.78
Bruce Macdonald,94,111,Cheryl Ladd,544,,Rachel Hendrix,The Perfect Wave ,1150,Diana Vickers,1,boyfriend girlfriend relationship|friend|praying|surfing|wave,15,English,South Africa,PG,4000000,476,
Timur Bekmambetov,141,635,Ayelet Zurer,11000,,Morgan Freeman,Ben-Hur ,13391,Moises Arias,2,chariot race|epic|false accusation|jerusalem|slave,1,English,USA,PG-13,100000000,744,2.35
Fred Zinnemann,120,94,Susannah York,559,,Robert Shaw,A Man for All Seasons ,1238,Paul Scofield,0,catholic|chancellor|divorce|king henry viii|thomas more,167,English,UK,Approved,2000000,269,1.66
