director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,actor_3_name,facenumber_in_poster,budget,actor_2_facebook_likes,movie_facebook_likes
Michael Caton-Jones,104,108,105,22000,22433915,Crime|Drama|Mystery|Thriller,Robert De Niro,City by the Sea ,John Doman,1,60000000,11000,416
Irwin Winkler,55,128,34,978,22326247,Drama|Romance,Mira Sorvino,At First Sight ,Steven Weber,1,60000000,886,0
Joseph Kahn,86,84,33,1000,21176322,Action|Comedy|Crime,Dane Cook,Torque ,Christina Milian,0,40000000,1000,0
Harold Becker,50,111,17,14000,20300000,Drama|Thriller,Al Pacino,City Hall ,Bridget Fonda,2,40000000,940,309
Paul Verhoeven,181,131,719,16000,20302961,Drama,Bobbie Phillips,Showgirls ,Robert Davi,0,45000000,893,0
Sofia Coppola,260,123,0,4000,15962471,Biography|Drama|History|Romance,Kirsten Dunst,Marie Antoinette ,Rip Torn,1,40000000,887,0
Barbet Schroeder,40,101,58,12000,14942422,Action|Crime|Thriller,Nicolas Cage,Kiss of Death ,Philip Baker Hall,3,40000000,975,555
Stephen Kay,102,102,19,13000,14967182,Action|Crime|Drama|Thriller,Sylvester Stallone,Get Carter ,Lauren Lee Smith,1,40000000,530,604
J.A. Bayona,371,114,171,6000,18996755,Drama|Thriller,Naomi Watts,The Impossible ,Oaklee Pendergast,0,45000000,382,54000
Elaine May,49,107,124,636,14375181,Action|Adventure|Comedy|Music|Thriller,Carol Kane,Ishtar ,Isabelle Adjani,2,51000000,631,754
Wes Anderson,335,87,0,13000,20999103,Adventure|Animation|Comedy|Crime|Family,Bill Murray,Fantastic Mr. Fox ,Helen McCrory,0,40000000,11000,15000
Stephen Herek,86,103,65,11000,14448589,Comedy|Romance,Angelina Jolie Pitt,Life or Something Like It ,James Gammon,2,40000000,944,835
John Carpenter,40,99,0,782,14358033,Comedy|Romance|Sci-Fi|Thriller,Richard Epcar,Memoirs of an Invisible Man ,Patricia Heaton,2,40000000,658,630
Jean-Pierre Jeunet,242,122,0,326,33201661,Comedy|Romance,Mathieu Kassovitz,Amélie ,Isabelle Nanty,0,77000000,326,39000
Dennie Gordon,70,91,29,976,14018364,Comedy|Crime|Family|Romance,Mary-Kate Olsen,New York Minute ,Riley Smith,1,30000000,799,849
Charles Shyer,135,103,14,865,13395939,Comedy|Drama|Romance,Omar Epps,Alfie ,Jane Krakowski,4,60000000,826,0
Ken Kwapis,125,107,42,875,20113965,Biography|Drama|Romance,Ted Danson,Big Miracle ,Andrew Daly,3,40000000,596,0
Ulu Grosbard,54,106,22,2000,13376506,Drama,Alexa PenaVega,The Deep End of the Ocean ,Jonathan Jackson,1,40000000,642,579
William Malone,104,101,37,2000,13208023,Crime|Horror|Thriller,Natascha McElhone,Feardotcom ,Udo Kier,1,42000000,886,612
Paul Weitz,157,109,80,14000,13838130,Action|Adventure|Fantasy|Thriller,Josh Hutcherson,Cirque du Freak: The Vampire's Assistant ,Patrick Fugit,3,40000000,4000,0
Paul McGuigan,159,110,118,11000,5773519,Drama|Horror|Sci-Fi|Thriller,Daniel Radcliffe,Victor Frankenstein ,Daniel Mays,2,40000000,1000,11000
Danny DeVito,78,89,0,1000,9652000,Comedy,Justin Theroux,Duplex ,Harvey Fierstein,0,40000000,627,0
Malcolm D. Lee,88,100,92,1000,12081447,Comedy|Drama|Music,Bernie Mac,Soul Men ,Mike Epps,2,,760,866
Jerry Jameson,32,119,5,521,7000000,Action|Adventure|Drama|Thriller,M. Emmet Walsh,Raise the Titanic ,Anne Archer,0,36000000,372,328
Mic Rodgers,75,83,7,2000,10431220,Action|Sci-Fi,Michael Jai White,Universal Soldier: The Return ,Xander Berkeley,0,24000000,577,401
Christian Alvart,219,108,22,12000,10326062,Action|Horror|Mystery|Sci-Fi|Thriller,Norman Reedus,Pandorum ,Eddie Rouse,0,33000000,2000,10000
Gary Fleder,83,102,39,1000,6114237,Drama|Mystery|Sci-Fi|Thriller,Gary Dourdan,Impostor ,Tim Guinee,4,40000000,1000,892
Christian Duguay,53,93,18,3000,4835968,Action|Adventure|Thriller,Rufus Sewell,Extreme Ops ,Rupert Graves,0,40000000,545,158
Jean-Marie Poiré,61,84,8,545,4777007,Comedy|Fantasy|Sci-Fi,Bridgette Wilson-Sampras,Just Visiting ,John Aylward,3,40000000,248,565
Danny Boyle,308,107,0,11000,3675072,Adventure|Sci-Fi|Thriller,Chris Evans,Sunshine ,Troy Garity,0,26000000,372,15000
Brian Robbins,70,91,48,61,18438149,Comedy|Drama,John Gatins,A Thousand Words ,Greg Collins,8,40000000,46,0
Marc F. Adler,41,94,0,795,511920,Adventure|Animation|Comedy|Fantasy|Romance,Eric Idle,Delgo ,Kelly Ripa,1,40000000,754,211
