director_name,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,gross,genres,actor_1_name,actor_3_name,plot_keywords,movie_imdb_link,num_user_for_reviews,language,content_rating,title_year,imdb_score,movie_facebook_likes
George P. Cosmatos,103,170,269,Ben Gazzara,2154540,Action|Thriller,Sam Waterston,Nicholas Turturro,american president|assassin|conspiracy|president|white house,http://www.imdb.com/title/tt0120107/?ref_=fn_tt_tt_1,41,English,R,1997,4.9,68
Oliver Parker,101,32,104,Tim McInnerny,8129455,Action|Adventure|Comedy|Crime,Daniel Kaluuya,Togo Igawa,assassin|chinese|conspiracy|gadget|premier,http://www.imdb.com/title/tt1634122/?ref_=fn_tt_tt_1,142,English,PG,2011,6.3,17000
Lawrence Kasanoff,91,11,500,Larry Miller,,Action|Animation|Comedy|Family|Fantasy,Jerry Stiller,Harvey Fierstein,femme fatale|food|pun|supermarket|troubled production,http://www.imdb.com/title/tt0249516/?ref_=fn_tt_tt_1,66,English,PG,2012,1.7,0
Ben Affleck,130,0,650,Scoot McNairy,136019448,Biography|Drama|History|Thriller,Clea DuVall,Tate Donovan,1970s|cia|f word|u.s. embassy|year 1979,http://www.imdb.com/title/tt1024648/?ref_=fn_tt_tt_1,695,English,R,2012,7.7,89000
Andrew Davis,130,99,812,Daniel Roebuck,183875760,Action|Adventure|Crime|Drama|Mystery|Thriller,Harrison Ford,Sela Ward,hospital|on the run|one armed man|surgeon|u.s. marshal,http://www.imdb.com/title/tt0106977/?ref_=fn_tt_tt_1,270,English,PG-13,1993,7.8,0
Andy Tennant,110,72,789,Dorian Missick,67061228,Action|Comedy|Romance,Gerard Butler,Peter Greene,bounty hunter|death|murder|police officer|reporter,http://www.imdb.com/title/tt1038919/?ref_=fn_tt_tt_1,135,English,PG-13,2010,5.5,0
Barry Levinson,147,272,893,Brad Pitt,53300852,Crime|Drama|Thriller,Robert De Niro,Minnie Driver,boy|guard|kicked in the crotch|prank|sexual abuse,http://www.imdb.com/title/tt0117665/?ref_=fn_tt_tt_1,259,English,R,1996,7.5,0
George P. Cosmatos,96,170,668,Julia Nickson,150415432,Action|Adventure|Thriller|War,Sylvester Stallone,Martin Kove,1980s|mission|prison|rambo|vietnam,http://www.imdb.com/title/tt0089880/?ref_=fn_tt_tt_1,217,English,R,1985,6.4,0
Brian Gibson,118,13,643,Demi Moore,44834712,Drama|Thriller,Joseph Gordon-Levitt,Anne Heche,breasts|mafia|sex scene|temple|woods,http://www.imdb.com/title/tt0116731/?ref_=fn_tt_tt_1,62,English,R,1996,5.6,353
Norman Ferguson,88,3,40,Dickie Jones,84300000,Animation|Family|Fantasy|Musical,Mel Blanc,Cliff Edwards,boy|conscience|fairy|jiminy cricket|pinocchio,http://www.imdb.com/title/tt0032910/?ref_=fn_tt_tt_1,147,English,Approved,1940,7.5,0
Michael Cimino,325,517,678,Sam Waterston,1500000,Adventure|Drama|Western,Jeff Bridges,Isabelle Huppert,1890s|hired gun|immigrant|johnson county war|sheriff,http://www.imdb.com/title/tt0080855/?ref_=fn_tt_tt_1,189,English,R,1980,6.8,1000
Len Wiseman,102,235,520,Tony Curran,62318875,Action|Adventure|Fantasy|Sci-Fi|Thriller,Sophia Myles,Derek Jacobi,death|feud|forbidden love|vampire|werewolf,http://www.imdb.com/title/tt0401855/?ref_=fn_tt_tt_1,502,English,R,2006,6.8,0
Paul McGuigan,110,118,287,Spencer Wilding,5773519,Drama|Horror|Sci-Fi|Thriller,Daniel Radcliffe,Daniel Mays,assistant|experiment|frankenstein|medical student|scientist,http://www.imdb.com/title/tt1976009/?ref_=fn_tt_tt_1,91,English,PG-13,2015,6.0,11000
Gus Van Sant,136,835,225,Rob Brown,51768623,Drama,F. Murray Abraham,Michael Nouri,basketball|mentor|new york|school|writing,http://www.imdb.com/title/tt0181536/?ref_=fn_tt_tt_1,297,English,PG-13,2000,7.3,0
Betty Thomas,103,84,664,Viggo Mortensen,37035515,Comedy|Drama,Steve Buscemi,Elizabeth Perkins,12 step program|box office hit|car accident|vomiting|wedding,http://www.imdb.com/title/tt0191754/?ref_=fn_tt_tt_1,194,English,PG-13,2000,6.0,0
Louis Leterrier,103,255,5000,Jet Li,24520892,Action|Crime|Drama|Thriller,Morgan Freeman,Bob Hoskins,collar|dog|fight|fighting|piano,http://www.imdb.com/title/tt0342258/?ref_=fn_tt_tt_1,303,English,R,2005,7.0,0
Roger Kumble,90,16,16,Lillian Adams,24430272,Comedy|Romance,Judith Chapman,Chelsea Bond,female removes her clothes|roommate|voyeur|voyeurism|wedding,http://www.imdb.com/title/tt0253867/?ref_=fn_tt_tt_1,403,English,R,2002,5.1,0
Sydney Pollack,154,521,957,Holly Hunter,158348400,Drama|Mystery|Thriller,Tom Cruise,Wilford Brimley,bar|fbi|law|law firm|lawyer,http://www.imdb.com/title/tt0106918/?ref_=fn_tt_tt_1,142,English,R,1993,6.8,0
Burr Steers,99,23,135,Charlie Tahan,31136950,Drama|Fantasy|Romance,Augustus Prew,Valerie Tian,brother brother relationship|death of brother|ghost|seeing dead people|talking with the dead,http://www.imdb.com/title/tt1438254/?ref_=fn_tt_tt_1,75,English,PG-13,2010,6.5,0
Simon West,93,165,350,Tony Goldwyn,29113588,Action|Crime|Thriller,Jason Statham,Mini Anden,apprentice|disobeying orders|gas station|hitman|nightclub,http://www.imdb.com/title/tt0472399/?ref_=fn_tt_tt_1,181,English,R,2011,6.6,16000
Phil Lord,109,97,839,Dax Flame,138447667,Action|Comedy|Crime,Channing Tatum,Rob Riggle,narcotics|parody|police|remake|undercover cop,http://www.imdb.com/title/tt1232829/?ref_=fn_tt_tt_1,345,English,R,2012,7.2,39000
Roger Michell,124,50,427,Clarke Peters,116006080,Comedy|Drama|Romance,Julia Roberts,Dylan Moran,actress|bookstore|friend|kiss|love,http://www.imdb.com/title/tt0125439/?ref_=fn_tt_tt_1,602,English,PG-13,1999,7.0,11000
Peter Lord,84,91,206,Miranda Richardson,106793915,Adventure|Animation|Comedy|Drama|Family,Imelda Staunton,Julia Sawalha,chicken|escape|farm|freedom|rooster,http://www.imdb.com/title/tt0120630/?ref_=fn_tt_tt_1,358,English,G,2000,7.0,0
John Hamburg,90,29,650,Masi Oka,87856565,Comedy|Romance,Philip Seymour Hoffman,Debra Messing,bride|friend|honeymoon|insurance|insurance company,http://www.imdb.com/title/tt0343135/?ref_=fn_tt_tt_1,268,English,PG-13,2004,5.9,0
Reginald Hudlin,117,71,547,Eartha Kitt,70100000,Comedy|Drama|Romance,John Witherspoon,Geoffrey Holder,advertising|battle of the sexes|dating|one word title|womanizer,http://www.imdb.com/title/tt0103859/?ref_=fn_tt_tt_1,41,English,R,1992,5.4,0
Paul Feig,123,176,749,William Xifaras,159578352,Action|Comedy|Crime,Michael Rapaport,Demián Bichir,drug lord|fbi|fbi agent|hospital|shot in the crotch,http://www.imdb.com/title/tt2404463/?ref_=fn_tt_tt_1,380,English,R,2013,6.6,24000
Joseph L. Mankiewicz,251,311,595,Richard Burton,57750000,Biography|Drama|History|Romance,Martin Landau,Roddy McDowall,cleopatra|egypt|epic|queen|roman empire,http://www.imdb.com/title/tt0056937/?ref_=fn_tt_tt_1,192,English,Approved,1963,7.0,0
Frank Coraci,105,153,491,Reggie Lee,45290318,Action|Comedy|Sport,Salma Hayek,Charice,claim in title|high school|mixed martial arts|ultimate fighting championship|underdog,http://www.imdb.com/title/tt1648179/?ref_=fn_tt_tt_1,112,English,PG,2012,6.5,17000
Carl Franklin,115,73,505,Adam Scott,41543207,Crime|Drama|Mystery|Thriller,Morgan Freeman,Bruce Davison,defense lawyer|lawyer|marine|murder|villager,http://www.imdb.com/title/tt0257756/?ref_=fn_tt_tt_1,175,English,PG-13,2002,6.3,893
Barbra Streisand,122,0,292,Austin Pendleton,41252428,Comedy|Drama|Romance,Jeff Bridges,Mimi Rogers,columbia university|lecture|marriage|professor|sex,http://www.imdb.com/title/tt0117057/?ref_=fn_tt_tt_1,71,English,PG-13,1996,6.5,0
