duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,imdb_score,aspect_ratio,movie_facebook_likes
102,192,31,346,13214030,Aasif Mandvi,Ghost Town ,60516,500,3,http://www.imdb.com/title/tt0995039/?ref_=fn_tt_tt_1,147,English,USA,PG-13,20000000,6.7,1.85,0
108,212,347,969,12232937,Taylor Cole,12 Rounds ,22823,2799,1,http://www.imdb.com/title/tt1160368/?ref_=fn_tt_tt_1,113,English,USA,PG-13,22000000,5.6,2.35,0
116,198,884,17000,12134420,Chloë Grace Moretz,Let Me In ,92237,20258,0,http://www.imdb.com/title/tt1228987/?ref_=fn_tt_tt_1,366,English,UK,R,20000000,7.2,2.35,25000
93,18,181,400,11784000,Victor Wong,3 Ninjas Kick Back ,6701,1151,0,http://www.imdb.com/title/tt0109015/?ref_=fn_tt_tt_1,26,English,USA,PG,20000000,4.3,1.85,444
102,1000,270,734,11169531,Quinton Aaron,Be Kind Rewind ,79855,1778,2,http://www.imdb.com/title/tt0799934/?ref_=fn_tt_tt_1,235,English,UK,PG-13,20000000,6.4,2.35,0
103,350,99,5000,11034436,Bob Hoskins,Mrs Henderson Presents ,13505,5637,1,http://www.imdb.com/title/tt0413015/?ref_=fn_tt_tt_1,180,English,UK,R,20000000,7.1,1.85,0
115,214,968,14000,12626905,Kate Winslet,Triple 9 ,32567,27214,3,http://www.imdb.com/title/tt1712261/?ref_=fn_tt_tt_1,106,English,USA,R,20000000,6.3,2.35,0
96,11000,223,11000,10569071,Woody Allen,Deconstructing Harry ,35586,11867,2,http://www.imdb.com/title/tt0118954/?ref_=fn_tt_tt_1,131,English,USA,R,20000000,7.4,1.85,0
98,4,677,2000,10544143,Matthew Perry,Three to Tango ,16372,4843,2,http://www.imdb.com/title/tt0144640/?ref_=fn_tt_tt_1,121,English,Australia,PG-13,20000000,6.1,1.37,311
101,53,580,14000,13650738,Bradley Cooper,Burnt ,61360,16926,1,http://www.imdb.com/title/tt2503944/?ref_=fn_tt_tt_1,129,English,USA,R,20000000,6.6,2.35,25000
106,277,383,22000,10555348,Robert De Niro,We're No Angels ,17349,24887,0,http://www.imdb.com/title/tt0098625/?ref_=fn_tt_tt_1,42,English,USA,PG-13,20000000,6.0,2.35,855
101,11000,2,1000,9714482,Natasha Lyonne,Everyone Says I Love You ,30083,1614,0,http://www.imdb.com/title/tt0116242/?ref_=fn_tt_tt_1,140,English,USA,R,20000000,6.8,1.85,0
87,0,548,22000,8579684,Peter Dinklage,Death at a Funeral ,89547,24324,0,http://www.imdb.com/title/tt0795368/?ref_=fn_tt_tt_1,199,English,USA,R,9000000,7.4,1.85,0
111,0,725,856,9525276,Aisha Tyler,Death Sentence ,60156,3309,0,http://www.imdb.com/title/tt0804461/?ref_=fn_tt_tt_1,299,English,USA,R,20000000,6.8,2.35,0
99,52,148,22000,8855646,Robert De Niro,Everybody's Fine ,49855,23409,1,http://www.imdb.com/title/tt0780511/?ref_=fn_tt_tt_1,117,English,USA,PG-13,21000000,7.2,2.35,10000
88,84,177,650,9109322,Scott Baio,Superbabies: Baby Geniuses 2 ,25371,1343,3,http://www.imdb.com/title/tt0270846/?ref_=fn_tt_tt_1,129,English,Germany,PG,20000000,1.9,2.35,0
83,10,69,688,8326035,Miguel Ferrer,The Man ,21933,1019,2,http://www.imdb.com/title/tt0399327/?ref_=fn_tt_tt_1,76,English,Germany,PG-13,33000000,5.5,1.85,676
91,10,436,716,8104069,Callum Rennie,Code Name: The Cleaner ,9785,2700,3,http://www.imdb.com/title/tt0462229/?ref_=fn_tt_tt_1,26,English,USA,PG-13,20000000,4.5,1.85,233
108,54,463,786,8054280,Debbie Reynolds,Connie and Carla ,6838,2730,3,http://www.imdb.com/title/tt0345074/?ref_=fn_tt_tt_1,117,English,USA,PG-13,20000000,6.3,1.85,924
