director_name,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,genres,actor_1_name,cast_total_facebook_likes,facenumber_in_poster,num_user_for_reviews,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio
Brian Dannelly,92,12,797,3000,8786715,Comedy|Drama,Macaulay Culkin,5668,5,324,2004,835,6.9,1.85
Denys Arcand,112,66,21,150,3432342,Comedy|Crime|Drama|Mystery|Romance,Marie-Josée Croze,253,2,166,2003,28,7.7,2.35
Richard Lester,106,44,136,559,,Adventure|Drama|Romance,Robert Shaw,1199,10,90,1976,249,6.6,1.85
J.S. Cardone,90,23,560,847,6755271,Horror|Thriller,Brendan Fehr,3004,4,131,2001,591,5.3,1.85
Guy Hamilton,126,82,576,11000,,Action|Drama|War,Harrison Ford,13591,2,80,1978,794,6.3,2.35
Jay Levey,150,3,448,859,6157157,Comedy|Drama,Fran Drescher,3942,1,198,1989,448,7.0,1.85
Nicholaus Goossen,90,4,556,2000,6088249,Comedy,Linda Cardellini,5202,0,202,2006,936,7.0,2.35
Tamara Jenkins,91,84,572,1000,5480318,Comedy|Drama,Natasha Lyonne,2691,0,79,1998,778,6.6,1.85
Sergio Leone,145,0,392,973,,Western,Claudia Cardinale,2589,1,565,1968,423,8.6,2.35
Jon Favreau,95,4000,334,4000,5308707,Comedy|Crime|Drama|Thriller,Jon Favreau,5245,2,165,2001,585,6.4,1.85
Duncan Jones,97,0,372,18000,5009677,Drama|Mystery|Sci-Fi,Kevin Spacey,19404,0,485,2009,572,7.9,2.35
Scott Marshall,90,7,701,2000,4328294,Comedy,Miranda Cosgrove,5900,0,41,2006,847,5.4,1.85
Ronan Chapalain,41,0,0,55,4074023,Documentary,Norbert Ferrer,55,0,4,2010,0,6.9,1.78
Atom Egoyan,112,460,395,990,4306697,Drama,Bruce Greenwood,2820,0,196,1997,900,7.7,2.35
Xavier Beauvois,122,22,32,186,3950029,Drama,Lambert Wilson,416,0,89,2010,135,7.2,2.35
Randall Miller,110,19,39,25000,4040588,Comedy|Drama,Alan Rickman,25676,0,89,2008,579,6.8,2.35
Jerry Belson,87,3,83,922,,Comedy|Music|Sci-Fi,Cassandra Peterson,1324,0,32,1982,162,6.2,
Peter Jackson,108,0,88,14000,3049135,Biography|Crime|Drama|Romance|Thriller,Kate Winslet,14574,2,265,1994,433,7.4,2.35
Michael Polish,121,35,473,4000,4700361,Drama,Hayden Christensen,6617,0,29,2015,849,4.6,2.35
Dan Rush,97,7,939,8000,2711210,Comedy|Drama,Will Ferrell,10517,1,86,2010,981,6.4,2.35
Jake Kasdan,116,52,102,624,1980338,Comedy|Crime|Drama|Mystery|Thriller,Kim Dickens,1209,2,151,1998,385,7.0,1.85
Brad Anderson,94,122,360,23000,1082044,Drama|Thriller,Christian Bale,24994,0,458,2004,1000,7.7,2.35
Paul Schrader,103,261,145,722,1100000,Crime|Drama,Dana Delany,1201,0,39,1992,280,6.8,1.85
Michael Cuesta,112,52,688,10000,2445646,Biography|Crime|Drama|Mystery|Thriller,Jeremy Renner,12897,1,99,2014,963,7.0,2.35
John Cameron Mitchell,91,263,192,967,2221809,Drama,Dianne Wiest,1582,0,144,2010,289,7.0,1.85
Fenton Bailey,98,13,600,3000,296665,Biography|Crime|Drama|Thriller,Macaulay Culkin,5185,1,158,2003,971,6.3,1.85
Jeremy Saulnier,95,57,233,727,3219029,Crime|Horror|Music|Thriller,Alia Shawkat,1836,0,125,2015,442,7.1,2.35
Billy Kent,88,0,276,740,,Comedy|Drama|Romance,Liza Minnelli,1665,0,56,2006,625,5.6,2.35
James Manera,99,0,361,578,830210,Drama|Mystery|Sci-Fi,Joaquim de Almeida,3382,0,56,2014,435,4.4,
Wes Anderson,91,0,65,387,1040879,Comedy|Crime|Drama,Andrew Wilson,648,0,184,1996,96,7.1,1.85
Kevin Spacey,97,18000,977,10000,326308,Crime|Drama|Thriller,Viggo Mortensen,13718,3,69,1996,1000,6.1,2.35
Feroz Abbas Khan,136,0,14,75,240425,Biography|Drama|History,Akshaye Khanna,172,0,25,2007,45,7.4,2.35
Errol Morris,118,239,0,6,228830,Crime|Documentary|War,Jeffrey Frost,6,0,22,2008,0,7.5,2.35
Dennis Hopper,94,0,51,311,,Drama,Raymond Burr,498,1,27,1980,59,7.2,1.85
Eli Craig,89,27,440,948,223615,Comedy|Horror,Katrina Bowden,2958,1,200,2010,779,7.6,2.35
Nicholas Fackler,90,6,940,3000,124720,Drama|Romance,Adam Scott,4987,0,15,2008,1000,7.3,1.85
Richard Wallace,95,5,100,197,,Adventure|Drama|Romance,Judith Anderson,538,1,23,1947,116,6.2,1.37
Morgan J. Freeman,90,204,697,1000,99147,Drama,Ethan Suplee,3207,3,28,1998,697,6.2,1.85
Matthew Hastings,95,3,383,889,,Comedy|Horror|Sci-Fi,Meghan Ory,2984,0,66,2004,680,4.6,1.85
M. Night Shyamalan,94,0,99,432,65069140,Horror|Thriller,Ocean James,1010,,455,2015,309,6.2,1.85
Brian De Palma,90,0,15,343,65087,Crime|Thriller|War,Mike Figueroa,408,0,108,2007,29,6.2,1.85
Klaus Menzel,103,34,227,811,16066,Mystery|Romance|Thriller,Adam Garcia,1789,0,44,2004,522,3.3,2.35
,60,,904,1000,,Drama|Fantasy,Holly Hunter,5203,1,47,,1000,7.5,1.78
Oren Peli,91,110,14,46,,Horror|Sci-Fi|Thriller,Glenn Campbell,117,0,55,2015,21,4.2,
Jaume Balagueró,102,57,78,331,,Drama|Horror|Thriller,Luis Tosar,526,0,48,2011,93,7.2,2.35
Paul Andrew Williams,92,46,141,570,,Comedy|Crime|Horror|Thriller,Dave Legeno,1258,0,82,2008,337,6.2,2.35
Stephen Herek,87,65,686,866,,Comedy|Drama|Fantasy,Henry Ian Cusick,3724,1,80,2009,738,6.1,1.78
Bob Saget,80,799,854,3000,,Animation|Comedy,Alyson Hannigan,10727,0,47,2006,2000,4.2,1.85
Jim Amatulli,90,0,483,695,,Drama|Family|Music,Heather Locklear,3217,6,2,2009,617,4.5,
,44,,816,1000,,Comedy|Crime|Mystery,Corbin Bernsen,4092,2,127,,922,8.4,1.78
William H. Macy,105,0,394,745,37440,Comedy|Drama|Music,Billy Crudup,1986,1,60,2014,508,7.5,
Barrett Esposito,67,0,388,979,,Animation|Family,Chazz Palminteri,2509,2,1,2014,732,6.7,
Mitch Davis,95,7,541,989,,Comedy,Gary Cole,3514,7,15,2015,970,5.1,
Eric Bross,87,49,601,708,,Crime|Drama|Thriller,Teri Polo,3059,1,3,2011,699,5.5,1.78
Paul Schrader,94,261,179,12000,,Drama|Thriller,Nicolas Cage,12676,1,47,2014,316,4.4,2.35
Vicky Jewson,109,3,126,1000,,Action|Drama|Thriller|War,James Frain,1681,3,3,2014,266,4.4,
Peter Hyams,130,0,826,1000,,Action|Sci-Fi|Thriller,David Huddleston,5191,0,153,1977,849,6.8,2.35
Marc Bennett,,3,723,975,,Comedy|Drama,Michael Rapaport,4991,15,2,2012,900,6.7,
Mike Mayhall,88,14,668,784,,Family,David Raizor,3021,2,,2015,763,8.6,
