num_critic_for_reviews,movie_title,cast_total_facebook_likes,actor_3_name,movie_imdb_link,num_user_for_reviews,language,title_year,movie_facebook_likes
88,All the Real Girls ,12385,Shea Whigham,http://www.imdb.com/title/tt0299458/?ref_=fn_tt_tt_1,126,English,2003,571
28,Dream with the Fishes ,1692,Kathryn Erbe,http://www.imdb.com/title/tt0119019/?ref_=fn_tt_tt_1,29,English,1997,166
44,Blue Car ,1641,A.J. Buckley,http://www.imdb.com/title/tt0290145/?ref_=fn_tt_tt_1,68,English,2002,115
13,Luminarias ,2289,Robert Beltran,http://www.imdb.com/title/tt0160498/?ref_=fn_tt_tt_1,32,English,2000,24
117,Palo Alto ,12234,Olivia Crocicchia,http://www.imdb.com/title/tt2479800/?ref_=fn_tt_tt_1,61,English,2013,0
100,Ajami ,42,Ranin Karim,http://www.imdb.com/title/tt1077262/?ref_=fn_tt_tt_1,32,Arabic,2009,0
117,Wristcutters: A Love Story ,4720,Chase Ellison,http://www.imdb.com/title/tt0477139/?ref_=fn_tt_tt_1,88,English,2006,11000
140,I Origins ,7098,Venida Evans,http://www.imdb.com/title/tt2884206/?ref_=fn_tt_tt_1,160,English,2014,32000
29,The Battle of Shaker Heights ,2489,Kathleen Quinlan,http://www.imdb.com/title/tt0357470/?ref_=fn_tt_tt_1,49,English,2003,150
308,The Lovely Bones ,2369,Tom McCarthy,http://www.imdb.com/title/tt0380510/?ref_=fn_tt_tt_1,593,English,2009,16000
248,The Act of Killing ,6,Syamsul Arifin,http://www.imdb.com/title/tt2375605/?ref_=fn_tt_tt_1,107,Indonesian,2012,20000
84,Taxi to the Dark Side ,313,Greg D'Agostino,http://www.imdb.com/title/tt0854678/?ref_=fn_tt_tt_1,40,English,2007,0
40,Once in a Lifetime: The Extraordinary Story of the New York Cosmos ,118,Ahmet Ertegun,http://www.imdb.com/title/tt0489247/?ref_=fn_tt_tt_1,13,English,2006,587
,Guiana 1838 ,15,Aasheekaa Bathija,http://www.imdb.com/title/tt0428609/?ref_=fn_tt_tt_1,2,English,2004,32
13,Lisa Picard Is Famous ,3258,Melissa Gilbert,http://www.imdb.com/title/tt0233699/?ref_=fn_tt_tt_1,16,English,2000,25
31,Antarctica: A Year on Ice ,86,Anthony Powell,http://www.imdb.com/title/tt2361700/?ref_=fn_tt_tt_1,16,English,2013,0
