director_name,num_critic_for_reviews,actor_2_name,genres,actor_3_name,plot_keywords,content_rating,title_year,actor_2_facebook_likes
Alejandro G. Iñárritu,157,Jorge Salinas,Drama|Thriller,Goya Toledo,animal in title|dog fight|mexico city|multiple perspectives|nonlinear timeline,R,2000,79
Catherine Hardwicke,126,Sarah Clarke,Drama,Kip Pardue,13 year olds|adolescence|friend|peer pressure|teacher,R,2003,482
Elia Kazan,61,Celeste Holm,Drama|Romance,John Garfield,bigotry|jewish|prejudice|racism|writer,Approved,1947,297
Debra Granik,365,Shelley Waggener,Drama,Lauren Sweetser,bail|crystal meth|family relationships|female protagonist|search for father,R,2010,248
Kevin Macdonald,121,Brendan Mackey,Adventure|Documentary|Drama|Sport,Joe Simpson,bone|climbing|crevasse|partner|rope,R,2003,5
Henry King,10,Don Ameche,Drama|Musical|Romance,John Carradine,band|dance|ragtime|singer|violinist,Approved,1938,392
Miranda July,151,Brad William Henke,Comedy|Drama,Miranda July,fellatio|seven word title|shoe salesman|title directed by female|written by director,R,2005,363
Charles Ferguson,171,George W. Bush,Crime|Documentary,Barney Frank,florida|iceland|interview|new york city new york|recession,PG-13,2010,125
Max Joseph,158,Emily Ratajkowski,Drama|Music|Romance,Jonny Weston,box office flop|critically bashed|male objectification|narcissism|wannabe dj,R,2015,625
Jim Jarmusch,167,Gano Grills,Action|Crime|Drama|Thriller,Richard Portnow,african american|code|dog|pigeon|samurai,R,1999,147
David Ayer,118,Christian Bale,Action|Crime|Drama|Thriller,Noel Gugliemi,blood splatter|friend|lapd|mexican|violence,R,2005,23000
Jerry Jameson,39,Leonor Varela,Crime|Drama|Thriller,Sydelle Noel,auto theft|based on true story|drug addict|kidnapping|violence,PG-13,2015,426
Steven Soderbergh,108,Enrico Colantoni,Comedy|Romance,Blair Underwood,birthday|friend|hollywood|party|sex,R,2002,724
