num_critic_for_reviews,actor_1_facebook_likes,gross,movie_title,num_voted_users,cast_total_facebook_likes,movie_imdb_link,content_rating
112,1000,25000000,Logan's Run ,39847,2951,http://www.imdb.com/title/tt0074812/?ref_=fn_tt_tt_1,PG
118,16000,21000000,The Man with the Golden Gun ,73950,17611,http://www.imdb.com/title/tt0071807/?ref_=fn_tt_tt_1,PG
35,1000,20257000,Action Jackson ,7569,5282,http://www.imdb.com/title/tt0094612/?ref_=fn_tt_tt_1,R
342,513,26005908,The Descent ,154938,1379,http://www.imdb.com/title/tt0435625/?ref_=fn_tt_tt_1,R
14,13000,18642318,Michael Jordan to the Max ,1723,13448,http://www.imdb.com/title/tt0245280/?ref_=fn_tt_tt_1,
137,971,15818967,Devil's Due ,13913,2517,http://www.imdb.com/title/tt2752758/?ref_=fn_tt_tt_1,R
50,718,14891000,Flirting with Disaster ,15088,2240,http://www.imdb.com/title/tt0116324/?ref_=fn_tt_tt_1,R
261,1000,16901126,The Devil's Rejects ,76267,3544,http://www.imdb.com/title/tt0395584/?ref_=fn_tt_tt_1,R
96,4000,,Buffy the Vampire Slayer             ,101902,7970,http://www.imdb.com/title/tt0118276/?ref_=fn_tt_tt_1,TV-14
180,637,17474107,Dope ,56605,1342,http://www.imdb.com/title/tt3850214/?ref_=fn_tt_tt_1,R
28,1000,14003141,In Too Deep ,4598,4837,http://www.imdb.com/title/tt0160401/?ref_=fn_tt_tt_1,R
750,883,304360277,Skyfall ,522048,2039,http://www.imdb.com/title/tt1074638/?ref_=fn_tt_tt_1,PG-13
202,1000,12583510,House of 1000 Corpses ,60709,2444,http://www.imdb.com/title/tt0251736/?ref_=fn_tt_tt_1,R
8,246,,Alien Zone ,440,345,http://www.imdb.com/title/tt0072626/?ref_=fn_tt_tt_1,PG
341,816,9190525,A Serious Man ,102125,1120,http://www.imdb.com/title/tt1019452/?ref_=fn_tt_tt_1,R
160,13000,9176553,Get Low ,19147,19330,http://www.imdb.com/title/tt1194263/?ref_=fn_tt_tt_1,PG-13
31,687,9094451,Warlock ,11668,1990,http://www.imdb.com/title/tt0098622/?ref_=fn_tt_tt_1,R
71,893,14612840,Beyond the Lights ,11191,3110,http://www.imdb.com/title/tt3125324/?ref_=fn_tt_tt_1,PG-13
281,14000,9166863,A Single Man ,83182,14816,http://www.imdb.com/title/tt1315981/?ref_=fn_tt_tt_1,R
114,883,8373585,The Last Temptation of Christ ,39680,1934,http://www.imdb.com/title/tt0095497/?ref_=fn_tt_tt_1,R
72,761,7292175,Outside Providence ,7736,2018,http://www.imdb.com/title/tt0125971/?ref_=fn_tt_tt_1,R
119,729,6601079,Bride & Prejudice ,17436,2321,http://www.imdb.com/title/tt0361411/?ref_=fn_tt_tt_1,PG-13
74,116,6165429,Rabbit-Proof Fence ,23486,312,http://www.imdb.com/title/tt0252444/?ref_=fn_tt_tt_1,PG
25,692,5694308,Who's Your Caddy? ,13815,3128,http://www.imdb.com/title/tt0785077/?ref_=fn_tt_tt_1,PG-13
39,206,5430822,Split Second ,8391,493,http://www.imdb.com/title/tt0105459/?ref_=fn_tt_tt_1,R
27,787,,Nikita             ,42402,2352,http://www.imdb.com/title/tt1592154/?ref_=fn_tt_tt_1,
27,11000,4720371,The Other Side of Heaven ,3203,11116,http://www.imdb.com/title/tt0250371/?ref_=fn_tt_tt_1,PG
11,10000,,Dark Angel             ,25329,12051,http://www.imdb.com/title/tt0204993/?ref_=fn_tt_tt_1,TV-14
29,8000,2921738,Veer-Zaara ,34449,9984,http://www.imdb.com/title/tt0420332/?ref_=fn_tt_tt_1,
158,1000,2344847,Redbelt ,18561,2158,http://www.imdb.com/title/tt1012804/?ref_=fn_tt_tt_1,R
223,490,7455447,Cyrus ,29967,1136,http://www.imdb.com/title/tt1336617/?ref_=fn_tt_tt_1,R
25,655,2148212,A Dog of Flanders ,781,1906,http://www.imdb.com/title/tt0160216/?ref_=fn_tt_tt_1,PG
97,783,2062066,Auto Focus ,11387,2684,http://www.imdb.com/title/tt0298744/?ref_=fn_tt_tt_1,R
117,4000,1654367,Factory Girl ,18355,6526,http://www.imdb.com/title/tt0432402/?ref_=fn_tt_tt_1,R
389,3000,1738692,We Need to Talk About Kevin ,95529,3547,http://www.imdb.com/title/tt1242460/?ref_=fn_tt_tt_1,R
9,2000,2209479,The Christmas Candle ,844,2909,http://www.imdb.com/title/tt2739338/?ref_=fn_tt_tt_1,PG
34,1000,1889522,The Mighty Macs ,1119,2589,http://www.imdb.com/title/tt1034324/?ref_=fn_tt_tt_1,G
7,10000,,Losin' It ,3114,11059,http://www.imdb.com/title/tt0085868/?ref_=fn_tt_tt_1,R
161,6000,1110286,Mother and Child ,9727,8876,http://www.imdb.com/title/tt1121977/?ref_=fn_tt_tt_1,R
6,963,1000000,March or Die ,2215,2209,http://www.imdb.com/title/tt0076175/?ref_=fn_tt_tt_1,PG
16,106,700000,Les visiteurs ,24438,215,http://www.imdb.com/title/tt0108500/?ref_=fn_tt_tt_1,R
301,227,1768416,Somewhere ,35848,684,http://www.imdb.com/title/tt1421051/?ref_=fn_tt_tt_1,R
52,756,1425993,I Hope They Serve Beer in Hell ,7412,1417,http://www.imdb.com/title/tt1220628/?ref_=fn_tt_tt_1,R
12,1000,306715,Chairman of the Board ,5143,5213,http://www.imdb.com/title/tt0118836/?ref_=fn_tt_tt_1,PG-13
134,23000,382946,Hesher ,43965,44969,http://www.imdb.com/title/tt1403177/?ref_=fn_tt_tt_1,R
151,554,518134,Dom Hemingway ,21243,1105,http://www.imdb.com/title/tt2402105/?ref_=fn_tt_tt_1,R
103,13000,236266,Gerry ,15104,13000,http://www.imdb.com/title/tt0302674/?ref_=fn_tt_tt_1,R
39,766,196067,The Heart of Me ,1966,1251,http://www.imdb.com/title/tt0301390/?ref_=fn_tt_tt_1,R
133,7000,532988,Freeheld ,5863,9660,http://www.imdb.com/title/tt1658801/?ref_=fn_tt_tt_1,PG-13
104,474,453079,The Extra Man ,4124,2029,http://www.imdb.com/title/tt1361313/?ref_=fn_tt_tt_1,R
121,4,,Hard to Be a God ,2518,8,http://www.imdb.com/title/tt2328813/?ref_=fn_tt_tt_1,Not Rated
27,26000,46451,Ca$h ,7663,27756,http://www.imdb.com/title/tt1106860/?ref_=fn_tt_tt_1,R
49,876,233103,Wah-Wah ,2670,2544,http://www.imdb.com/title/tt0419256/?ref_=fn_tt_tt_1,R
100,12000,,The Boondock Saints ,197845,12680,http://www.imdb.com/title/tt0144117/?ref_=fn_tt_tt_1,R
12,91,,Z Storm ,383,198,http://www.imdb.com/title/tt3469440/?ref_=fn_tt_tt_1,
112,1000,,Twixt ,8589,3150,http://www.imdb.com/title/tt1756851/?ref_=fn_tt_tt_1,R
10,99,,Snow Queen ,1159,218,http://www.imdb.com/title/tt2243621/?ref_=fn_tt_tt_1,PG
2,122,,Alpha and Omega 4: The Legend of the Saw Toothed Cave ,192,236,http://www.imdb.com/title/tt4061848/?ref_=fn_tt_tt_1,
38,16000,41400000,Pale Rider ,39451,17209,http://www.imdb.com/title/tt0089767/?ref_=fn_tt_tt_1,R
18,878,,Stargate: The Ark of Truth ,15862,4334,http://www.imdb.com/title/tt0942903/?ref_=fn_tt_tt_1,
152,14000,7993039,Dazed and Confused ,120036,18643,http://www.imdb.com/title/tt0106677/?ref_=fn_tt_tt_1,R
44,755,,High School Musical 2 ,39786,3009,http://www.imdb.com/title/tt0810900/?ref_=fn_tt_tt_1,TV-G
6,149,,Two Lovers and a Bear ,33,414,http://www.imdb.com/title/tt4412528/?ref_=fn_tt_tt_1,
46,15000,,Criminal Activities ,5255,17377,http://www.imdb.com/title/tt3687310/?ref_=fn_tt_tt_1,
63,177,927107,Aimee & Jaguar ,5153,333,http://www.imdb.com/title/tt0130444/?ref_=fn_tt_tt_1,
74,710,49526,The Chumscrubber ,16299,2119,http://www.imdb.com/title/tt0406650/?ref_=fn_tt_tt_1,R
25,240,10696,Shade ,10771,490,http://www.imdb.com/title/tt0323939/?ref_=fn_tt_tt_1,R
224,34000,31607598,House at the End of the Street ,58366,35717,http://www.imdb.com/title/tt1582507/?ref_=fn_tt_tt_1,PG-13
226,131,6857096,Incendies ,80429,343,http://www.imdb.com/title/tt1255953/?ref_=fn_tt_tt_1,R
36,60,223878,"Remember Me, My Love ",3548,132,http://www.imdb.com/title/tt0323807/?ref_=fn_tt_tt_1,R
54,1000,828,Perrier's Bounty ,5133,2728,http://www.imdb.com/title/tt1003034/?ref_=fn_tt_tt_1,R
142,585,8060,Elite Squad ,81644,666,http://www.imdb.com/title/tt0861739/?ref_=fn_tt_tt_1,R
271,1000,84263837,Annabelle ,81699,2323,http://www.imdb.com/title/tt3322940/?ref_=fn_tt_tt_1,R
33,46,110029,Bran Nue Dae ,1388,225,http://www.imdb.com/title/tt1148165/?ref_=fn_tt_tt_1,PG-13
64,27,57504069,Boyz n the Hood ,94139,106,http://www.imdb.com/title/tt0101507/?ref_=fn_tt_tt_1,R
18,699,54215416,La Bamba ,21409,936,http://www.imdb.com/title/tt0093378/?ref_=fn_tt_tt_1,PG-13
6,804,,The Four Seasons ,3157,1285,http://www.imdb.com/title/tt0082405/?ref_=fn_tt_tt_1,PG
121,754,31899000,Dressed to Kill ,23986,2442,http://www.imdb.com/title/tt0080661/?ref_=fn_tt_tt_1,X
14,876,24103594,The Adventures of Huck Finn ,6384,4840,http://www.imdb.com/title/tt0106223/?ref_=fn_tt_tt_1,PG
137,900,16842303,Go ,59474,2475,http://www.imdb.com/title/tt0139239/?ref_=fn_tt_tt_1,R
111,435,13367101,Friends with Money ,19715,1140,http://www.imdb.com/title/tt0436331/?ref_=fn_tt_tt_1,R
57,116,,The Andromeda Strain ,25857,394,http://www.imdb.com/title/tt0066769/?ref_=fn_tt_tt_1,G
97,730,10149779,Bats ,8294,1405,http://www.imdb.com/title/tt0200469/?ref_=fn_tt_tt_1,PG-13
73,56,6173485,Nowhere in Africa ,10672,105,http://www.imdb.com/title/tt0161860/?ref_=fn_tt_tt_1,R
486,13000,4000304,Shame ,145395,15230,http://www.imdb.com/title/tt1723811/?ref_=fn_tt_tt_1,NC-17
149,27000,2338695,Layer Cake ,134070,29277,http://www.imdb.com/title/tt0375912/?ref_=fn_tt_tt_1,R
4,1000,2024854,The Work and the Glory II: American Zion ,564,1942,http://www.imdb.com/title/tt0457530/?ref_=fn_tt_tt_1,PG-13
200,10000,2268296,The East ,41856,13180,http://www.imdb.com/title/tt1869716/?ref_=fn_tt_tt_1,PG-13
84,18000,1029017,A Home at the End of the World ,12049,21107,http://www.imdb.com/title/tt0359423/?ref_=fn_tt_tt_1,R
28,844,64148,Aberdeen ,2601,846,http://www.imdb.com/title/tt0168446/?ref_=fn_tt_tt_1,
217,12000,66637,The Messenger ,29608,14462,http://www.imdb.com/title/tt0790712/?ref_=fn_tt_tt_1,R
12,1000,,Tracker ,2892,1904,http://www.imdb.com/title/tt1414378/?ref_=fn_tt_tt_1,R
183,845,871577,Control ,51353,2614,http://www.imdb.com/title/tt0421082/?ref_=fn_tt_tt_1,R
204,2000,38400000,The Terminator ,600266,3582,http://www.imdb.com/title/tt0088247/?ref_=fn_tt_tt_1,R
153,65,4063859,Good Bye Lenin! ,114407,200,http://www.imdb.com/title/tt0301357/?ref_=fn_tt_tt_1,R
145,1000,449558,The Damned United ,32307,1163,http://www.imdb.com/title/tt1226271/?ref_=fn_tt_tt_1,R
203,431,,The Return of the Living Dead ,39856,2020,http://www.imdb.com/title/tt0089907/?ref_=fn_tt_tt_1,R
10,18,,Gomorrah             ,9638,39,http://www.imdb.com/title/tt2049116/?ref_=fn_tt_tt_1,TV-MA
93,1000,2122561,Mallrats ,99033,3254,http://www.imdb.com/title/tt0113749/?ref_=fn_tt_tt_1,R
124,1000,181360000,Grease ,170027,5127,http://www.imdb.com/title/tt0077631/?ref_=fn_tt_tt_1,PG-13
120,40000,137963328,Platoon ,291603,42028,http://www.imdb.com/title/tt0091763/?ref_=fn_tt_tt_1,R
288,503,119078393,Fahrenheit 9/11 ,113152,1448,http://www.imdb.com/title/tt0361596/?ref_=fn_tt_tt_1,R
130,640,102308900,Butch Cassidy and the Sundance Kid ,152089,2169,http://www.imdb.com/title/tt0064115/?ref_=fn_tt_tt_1,M
145,382,102300000,Mary Poppins ,107408,2045,http://www.imdb.com/title/tt0058331/?ref_=fn_tt_tt_1,Approved
62,2000,54800000,Ordinary People ,35130,5122,http://www.imdb.com/title/tt0081283/?ref_=fn_tt_tt_1,R
188,1000,24004159,Around the World in 80 Days ,68722,3175,http://www.imdb.com/title/tt0327437/?ref_=fn_tt_tt_1,PG
120,804,43650000,West Side Story ,71919,1802,http://www.imdb.com/title/tt0055614/?ref_=fn_tt_tt_1,Unrated
71,13000,39800000,Caddyshack ,81599,14921,http://www.imdb.com/title/tt0080487/?ref_=fn_tt_tt_1,R
52,3000,27457409,The Brothers ,3198,6419,http://www.imdb.com/title/tt0250274/?ref_=fn_tt_tt_1,R
18,865,25047631,The Wood ,6585,2724,http://www.imdb.com/title/tt0161100/?ref_=fn_tt_tt_1,R
162,18000,23272306,The Usual Suspects ,740918,20821,http://www.imdb.com/title/tt0114814/?ref_=fn_tt_tt_1,R
88,321,22168359,A Nightmare on Elm Street 5: The Dream Child ,29659,584,http://www.imdb.com/title/tt0097981/?ref_=fn_tt_tt_1,X
96,16000,21005329,Van Wilder: Party Liaison ,89128,19341,http://www.imdb.com/title/tt0283111/?ref_=fn_tt_tt_1,R
391,1000,26236603,The Wrestler ,251349,1582,http://www.imdb.com/title/tt1125849/?ref_=fn_tt_tt_1,R
32,469,20400000,Duel in the Sun ,6304,2037,http://www.imdb.com/title/tt0038499/?ref_=fn_tt_tt_1,Unrated
119,957,18621249,Best in Show ,45859,4611,http://www.imdb.com/title/tt0218839/?ref_=fn_tt_tt_1,PG-13
201,742,25244700,Escape from New York ,91017,2270,http://www.imdb.com/title/tt0082340/?ref_=fn_tt_tt_1,R
22,413,14545844,School Daze ,4756,1284,http://www.imdb.com/title/tt0096054/?ref_=fn_tt_tt_1,R
52,555,13235267,Daddy Day Camp ,12339,1752,http://www.imdb.com/title/tt0462244/?ref_=fn_tt_tt_1,PG
63,472,12674183,Mr. Nice Guy ,19774,773,http://www.imdb.com/title/tt0117786/?ref_=fn_tt_tt_1,PG-13
97,658,17508936,A Mighty Wind ,22408,1660,http://www.imdb.com/title/tt0310281/?ref_=fn_tt_tt_1,PG-13
34,8000,12793213,Mystic Pizza ,18286,10430,http://www.imdb.com/title/tt0095690/?ref_=fn_tt_tt_1,R
10,1000,,War & Peace             ,9277,4528,http://www.imdb.com/title/tt3910804/?ref_=fn_tt_tt_1,TV-14
88,711,11883495,Sliding Doors ,52805,1462,http://www.imdb.com/title/tt0120148/?ref_=fn_tt_tt_1,R
25,1000,11797927,Tales from the Hood ,4582,3221,http://www.imdb.com/title/tt0114609/?ref_=fn_tt_tt_1,R
252,1000,17605861,The Last King of Scotland ,145580,1184,http://www.imdb.com/title/tt0455590/?ref_=fn_tt_tt_1,R
137,742,11642254,Halloween 5 ,22929,1308,http://www.imdb.com/title/tt0097474/?ref_=fn_tt_tt_1,X
231,11000,9203192,Bernie ,45396,11328,http://www.imdb.com/title/tt1704573/?ref_=fn_tt_tt_1,PG-13
9,844,7518876,Dolphins and Whales 3D: Tribes of the Ocean ,172,844,http://www.imdb.com/title/tt0996382/?ref_=fn_tt_tt_1,
115,697,8596914,Pollock ,23023,1517,http://www.imdb.com/title/tt0183659/?ref_=fn_tt_tt_1,R
67,1000,6851636,200 Cigarettes ,13010,2697,http://www.imdb.com/title/tt0137338/?ref_=fn_tt_tt_1,R
216,24000,11434867,The Words ,59637,51355,http://www.imdb.com/title/tt1840417/?ref_=fn_tt_tt_1,PG-13
133,8000,5895238,Casa de mi Padre ,17169,10123,http://www.imdb.com/title/tt1702425/?ref_=fn_tt_tt_1,R
149,3000,6670712,City Island ,27301,3825,http://www.imdb.com/title/tt1174730/?ref_=fn_tt_tt_1,PG-13
261,3000,5359774,The Guard ,64794,3569,http://www.imdb.com/title/tt1540133/?ref_=fn_tt_tt_1,R
42,1000,4693919,College ,11011,4484,http://www.imdb.com/title/tt0844671/?ref_=fn_tt_tt_1,R
152,4000,4859475,The Virgin Suicides ,116910,7103,http://www.imdb.com/title/tt0159097/?ref_=fn_tt_tt_1,R
64,1000,4595000,Little Voice ,13892,2103,http://www.imdb.com/title/tt0147004/?ref_=fn_tt_tt_1,R
76,373,4542775,Miss March ,18313,1831,http://www.imdb.com/title/tt1151922/?ref_=fn_tt_tt_1,R
149,17000,3588432,Wish I Was Here ,29341,18947,http://www.imdb.com/title/tt2870708/?ref_=fn_tt_tt_1,R
35,4000,4394936,Simply Irresistible ,11439,5668,http://www.imdb.com/title/tt0145893/?ref_=fn_tt_tt_1,PG-13
47,937,,Veronica Mars             ,55524,3318,http://www.imdb.com/title/tt0412253/?ref_=fn_tt_tt_1,TV-14
