director_facebook_likes,actor_3_facebook_likes,movie_imdb_link,country,movie_facebook_likes
0,598,http://www.imdb.com/title/tt0077651/?ref_=fn_tt_tt_1,USA,12000
11000,624,http://www.imdb.com/title/tt0085995/?ref_=fn_tt_tt_1,USA,0
79,27,http://www.imdb.com/title/tt3063516/?ref_=fn_tt_tt_1,USA,26000
350,39,http://www.imdb.com/title/tt0436697/?ref_=fn_tt_tt_1,UK,0
13000,217,http://www.imdb.com/title/tt0094721/?ref_=fn_tt_tt_1,USA,15000
0,607,http://www.imdb.com/title/tt0906108/?ref_=fn_tt_tt_1,USA,1000
44,902,http://www.imdb.com/title/tt0110367/?ref_=fn_tt_tt_1,USA,0
43,259,http://www.imdb.com/title/tt1596365/?ref_=fn_tt_tt_1,UK,29000
165,383,http://www.imdb.com/title/tt0455857/?ref_=fn_tt_tt_1,USA,0
189,799,http://www.imdb.com/title/tt0265298/?ref_=fn_tt_tt_1,USA,896
517,652,http://www.imdb.com/title/tt0077416/?ref_=fn_tt_tt_1,UK,11000
272,957,http://www.imdb.com/title/tt0120885/?ref_=fn_tt_tt_1,USA,12000
13,566,http://www.imdb.com/title/tt0306841/?ref_=fn_tt_tt_1,USA,0
29,874,http://www.imdb.com/title/tt0882977/?ref_=fn_tt_tt_1,USA,12000
66,562,http://www.imdb.com/title/tt3850590/?ref_=fn_tt_tt_1,USA,27000
0,1000,http://www.imdb.com/title/tt0133751/?ref_=fn_tt_tt_1,USA,0
13,2,http://www.imdb.com/title/tt0108551/?ref_=fn_tt_tt_1,USA,0
446,1000,http://www.imdb.com/title/tt0118887/?ref_=fn_tt_tt_1,USA,2000
11,971,http://www.imdb.com/title/tt0277371/?ref_=fn_tt_tt_1,USA,0
453,953,http://www.imdb.com/title/tt1855199/?ref_=fn_tt_tt_1,USA,38000
488,13000,http://www.imdb.com/title/tt1243974/?ref_=fn_tt_tt_1,USA,11000
357,883,http://www.imdb.com/title/tt0192614/?ref_=fn_tt_tt_1,USA,0
120,149,http://www.imdb.com/title/tt2980516/?ref_=fn_tt_tt_1,UK,90000
14,685,http://www.imdb.com/title/tt0328099/?ref_=fn_tt_tt_1,USA,0
18,944,http://www.imdb.com/title/tt0198021/?ref_=fn_tt_tt_1,USA,0
767,87,http://www.imdb.com/title/tt0056172/?ref_=fn_tt_tt_1,UK,11000
0,593,http://www.imdb.com/title/tt1311067/?ref_=fn_tt_tt_1,USA,3000
212,612,http://www.imdb.com/title/tt2305051/?ref_=fn_tt_tt_1,USA,38000
29,616,http://www.imdb.com/title/tt0844708/?ref_=fn_tt_tt_1,USA,0
6,458,http://www.imdb.com/title/tt0372532/?ref_=fn_tt_tt_1,USA,0
28,731,http://www.imdb.com/title/tt0220506/?ref_=fn_tt_tt_1,USA,0
255,850,http://www.imdb.com/title/tt0800320/?ref_=fn_tt_tt_1,USA,15000
0,594,http://www.imdb.com/title/tt0093779/?ref_=fn_tt_tt_1,USA,33000
18000,697,http://www.imdb.com/title/tt0427309/?ref_=fn_tt_tt_1,USA,0
0,228,http://www.imdb.com/title/tt0780504/?ref_=fn_tt_tt_1,USA,81000
10,231,http://www.imdb.com/title/tt0361467/?ref_=fn_tt_tt_1,Germany,810
13,106,http://www.imdb.com/title/tt0120772/?ref_=fn_tt_tt_1,USA,849
35,306,http://www.imdb.com/title/tt0463854/?ref_=fn_tt_tt_1,UK,0
49,100,http://www.imdb.com/title/tt2247476/?ref_=fn_tt_tt_1,USA,0
61,649,http://www.imdb.com/title/tt0317132/?ref_=fn_tt_tt_1,USA,1000
107,865,http://www.imdb.com/title/tt0199725/?ref_=fn_tt_tt_1,USA,0
5,141,http://www.imdb.com/title/tt0119229/?ref_=fn_tt_tt_1,USA,0
3,628,http://www.imdb.com/title/tt0881891/?ref_=fn_tt_tt_1,USA,0
31,162,http://www.imdb.com/title/tt0229260/?ref_=fn_tt_tt_1,USA,949
26,266,http://www.imdb.com/title/tt0115963/?ref_=fn_tt_tt_1,USA,6000
11000,400,http://www.imdb.com/title/tt0416320/?ref_=fn_tt_tt_1,UK,0
20,125,http://www.imdb.com/title/tt0493949/?ref_=fn_tt_tt_1,USA,0
133,258,http://www.imdb.com/title/tt0107943/?ref_=fn_tt_tt_1,UK,0
0,170,http://www.imdb.com/title/tt0118749/?ref_=fn_tt_tt_1,USA,0
11,232,http://www.imdb.com/title/tt0107711/?ref_=fn_tt_tt_1,USA,466
15,461,http://www.imdb.com/title/tt0434215/?ref_=fn_tt_tt_1,USA,1000
7,399,http://www.imdb.com/title/tt0800069/?ref_=fn_tt_tt_1,USA,0
83,579,http://www.imdb.com/title/tt0192731/?ref_=fn_tt_tt_1,USA,243
13,613,http://www.imdb.com/title/tt0283084/?ref_=fn_tt_tt_1,USA,0
8,129,http://www.imdb.com/title/tt0419946/?ref_=fn_tt_tt_1,USA,0
10,415,http://www.imdb.com/title/tt4139124/?ref_=fn_tt_tt_1,USA,0
19,461,http://www.imdb.com/title/tt1555064/?ref_=fn_tt_tt_1,Official site,0
119,918,http://www.imdb.com/title/tt0134619/?ref_=fn_tt_tt_1,Australia,673
310,619,http://www.imdb.com/title/tt1817273/?ref_=fn_tt_tt_1,USA,47000
