director_name,num_critic_for_reviews,actor_3_facebook_likes,actor_2_name,genres,movie_title,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,plot_keywords,num_user_for_reviews,country,budget,title_year,actor_2_facebook_likes,aspect_ratio,movie_facebook_likes
Jason Friedberg,112,729,Carmen Electra,Adventure|Comedy,Epic Movie ,89687,4293,11,chocolate|chocolate factory|factory|orphan|student,666,USA,20000000,2007,869,1.85,0
John Milius,166,183,Mako,Adventure|Fantasy,Conan the Barbarian ,113068,2024,0,actual animal killed|cult|evil sorcerer|gladiator|warlord,337,USA,20000000,1982,691,2.35,0
Tom McCarthy,474,77,Jamey Sheridan,Biography|Crime|Drama|History,Spotlight ,195333,1058,2,cover up|investigation|journalist|newspaper|sexual abuse,409,USA,20000000,2015,168,1.85,80000
Neil LaBute,165,332,Justin Chambers,Crime|Drama|Thriller,Lakeview Terrace ,40469,2382,1,interracial couple|lapd|male nudity|neighbor|nudity,135,USA,22000000,2008,931,2.35,0
Takashi Shimizu,131,464,Sarah Roemer,Horror|Thriller,The Grudge 2 ,38658,5746,0,curse|ghost|haunted house|high school|schoolgirl,284,USA,20000000,2006,884,1.85,930
Kevin Rodney Sullivan,29,232,James Pickens Jr.,Comedy|Drama|Romance,How Stella Got Her Groove Back ,5427,1660,1,female protagonist|jamaica|six word title|tragic event|vacation,51,USA,20000000,1998,270,1.85,0
Peter Hewitt,43,636,George Carlin,Adventure|Comedy|Fantasy|Music|Sci-Fi,Bill & Ted's Bogus Journey ,49680,20188,2,battle of the bands|bill and ted|heaven|hell|robot,117,USA,20000000,1991,769,1.85,0
Barry Levinson,111,1000,Tina Fey,Comedy|Drama|Romance|Thriller,Man of the Year ,28005,52571,1,campaign|election|president|presidential election|satire,236,USA,20000000,2006,2000,2.35,0
Gary Nelson,90,160,Maximilian Schell,Action|Sci-Fi,The Black Hole ,18481,2110,0,black hole|escape|palomino|robot|scientist,230,USA,20000000,1979,877,2.35,4000
Anton Corbijn,333,101,Thekla Reuten,Crime|Drama|Thriller,The American ,79461,1454,1,ambush|assassin|priest|prostitute|sweden,463,USA,20000000,2010,191,2.35,10000
Gregory Nava,37,399,Constance Marie,Biography|Drama|Music,Selena ,19126,1735,1,latin music|marriage|on tour|singer|tejano,155,USA,20000000,1997,441,2.35,0
Jason Friedberg,122,354,Dave Foley,Comedy,Vampires Suck ,39095,2898,7,cat|friend|love|sheriff|teenager,187,USA,20000000,2010,401,1.85,16000
Alejandro G. Iñárritu,285,51,Harriet Walter,Drama,Babel ,243799,11248,3,american|destiny|mexican border|multiple perspectives|muslim,908,France,25000000,2006,119,1.85,0
Shawn Levy,156,949,Abigail Spencer,Comedy|Drama,This Is Where I Leave You ,54242,4662,8,brother sister relationship|childhood home|man child|sibling|vomiting,145,USA,19800000,2014,1000,2.35,14000
