duration,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,cast_total_facebook_likes,actor_3_name,country,content_rating,title_year,aspect_ratio,movie_facebook_likes
96,113,Brendon Eggertsen,235,53884821,799,Alisha Boe,USA,R,2012,1.85,26000
135,275,Jean Simmons,726,36000000,1920,Victor Mature,USA,Unrated,1953,2.2,0
113,80,Herbert Lom,462,,971,Catherine Schell,UK,G,1975,2.35,620
93,581,Tom Arnold,40000,34872293,42002,Yaphet Kotto,USA,R,1991,1.85,963
109,592,Bruce Dern,9000,34468224,11736,Pruitt Taylor Vince,USA,R,2003,1.85,0
127,51,Robert J. Wilke,617,,799,Paul Lukas,USA,Approved,1954,1.37,0
101,332,Gloria Sandoval,510,32453345,2161,Molly Ephraim,USA,R,2014,1.78,10000
124,452,Anne Bancroft,12000,,13864,Dexter Fletcher,USA,PG,1980,2.35,9000
117,896,Jennifer Garner,11000,27296514,17738,Denis O'Hare,USA,R,2013,2.35,65000
83,801,Mark Duplass,10000,25799043,11771,Donald Glover,USA,PG-13,2015,2.35,0
113,379,Thomas Lennon,716,25530884,1997,Jorja Fox,USA,R,2000,2.35,40000
104,202,Rory Cochrane,972,27689474,2071,Garrett Ryan,USA,R,2013,2.35,23000
97,657,Jason Mewes,1000,24138847,2990,Brian O'Halloran,USA,R,2006,1.85,0
110,34,Gary Lewis,838,21994911,1122,Jamie Draven,UK,R,2000,1.85,0
103,424,Liam James,7000,21501098,8375,Jim Rash,USA,PG-13,2013,1.85,22000
94,287,Tisha Campbell-Martin,901,19281235,2523,Helen Martin,USA,R,1991,1.85,232
102,75,Jack Thompson,492,,854,Tom Burlinson,Australia,PG,1982,2.35,0
77,73,Constance Shulman,2000,19421271,2908,Alice Playten,USA,G,1999,1.33,122
134,77,Todd Allen,205,20733485,428,June Carter Cash,USA,PG-13,1997,1.85,1000
129,157,Xander Berkeley,977,,2014,Diana Scarwid,USA,R,1981,1.85,0
90,1000,Adam Scott,11000,24809547,15710,Steve Coogan,USA,R,2011,1.85,11000
134,388,Tony Curran,882,19097994,2410,David Kross,Canada,PG-13,2016,2.35,0
104,498,Monica Calhoun,1000,23031390,2868,Chrystale Wilson,USA,R,1998,1.85,575
95,697,Andrew Keegan,1000,16017403,3300,John Heard,USA,R,2001,1.85,0
93,161,Edwin Hodge,1000,21197315,1410,Perdita Weeks,USA,R,2014,1.85,14000
106,467,Cameron Mills,1000,17382982,2840,Sharon Leal,USA,R,2014,1.85,0
109,426,Lynn Whitfield,2000,14821531,3843,Diahann Carroll,USA,R,1997,1.85,599
101,423,Hunter Parrish,17000,18656400,19673,Seth Gilliam,USA,PG-13,2014,1.85,45000
139,422,Peter Ustinov,535,,2112,Jean Simmons,USA,Approved,1954,2.55,376
99,142,Lindsay Wagner,13000,,14306,Persis Khambatta,USA,R,1981,1.85,0
100,65,Peter Mark Richman,935,14343976,1327,Scott Reeves,USA,R,1989,1.85,1000
95,249,Louis Mandylor,567,241437427,1495,Lainie Kazan,USA,PG,2002,1.85,5000
94,192,Heather Morris,11000,14123773,12306,Rachel Korine,USA,R,2012,2.35,25000
93,141,Kim Darby,742,15126948,1227,Mitchell Ryan,USA,R,1995,1.85,0
106,19,Daniel Giménez Cacho,269,13622333,361,María Aura,Mexico,R,2001,1.85,0
99,358,Dylan Moran,605,13464388,1686,Rafe Spall,UK,R,2004,2.35,19000
82,664,Randy Wayne,1000,13350177,4856,Haley Bennett,USA,PG-13,2008,1.85,562
135,111,Clifton James,11000,13269963,11400,Miriam Colon,USA,R,1996,2.35,0
88,101,Kathleen Kinmont,742,17768000,1136,Ellie Cornell,USA,R,1988,1.85,0
89,85,Deborah Foreman,690,12947763,1160,Clayton Rohner,USA,R,1986,2.35,0
110,551,Daniel Stern,801,14100000,2943,Ellen Barkin,USA,R,1982,1.85,0
107,268,William Sanderson,926,12200000,2383,Robert Beltran,USA,PG,1983,1.85,0
86,205,Ryan Robbins,520,17683670,1520,Andrew Airlie,USA,PG-13,2011,1.33,0
91,260,Mary Lynn Rajskub,968,12055108,2528,Paul Dooley,USA,R,2008,2.35,0
103,13,Claire Geare,155,27285953,259,Sahajak Boonthanakit,USA,R,2015,1.85,16000
90,826,John Amos,21000,,23714,Rip Torn,USA,PG,1982,1.85,0
141,70,George Sanders,746,,1332,Finlay Currie,USA,,1959,2.2,270
92,355,Mike Epps,729,11675178,2848,Russell Peters,USA,R,2016,,11000
99,409,Jenifer Lewis,849,10572742,2269,Wood Harris,USA,PG-13,2009,1.85,738
79,99,Helen Hayes,998,,1284,Adolphe Menjou,USA,Unrated,1932,1.37,213
96,503,Brandy Norwood,927,9658370,3552,Lauren London,USA,R,2016,,740
82,44,Colleen O'Shaughnessey,93,9628751,315,Mona Marshall,USA,PG,2000,1.85,207
92,797,Patrick Fugit,3000,8786715,5668,Eva Amurri Martino,USA,PG-13,2004,1.85,0
112,21,Stéphane Rousseau,150,3432342,253,Marina Hands,Canada,R,2003,2.35,0
106,136,Denholm Elliott,559,,1199,Nicol Williamson,USA,PG,1976,1.85,672
90,560,Kerr Smith,847,6755271,3004,Izabella Miko,USA,R,2001,1.85,327
126,576,Carl Weathers,11000,,13591,Franco Nero,UK,PG,1978,2.35,729
150,448,Gedde Watanabe,859,6157157,3942,Michael Richards,USA,PG-13,1989,1.85,0
90,556,Joel David Moore,2000,6088249,5202,Shirley Jones,USA,R,2006,2.35,0
91,572,Kevin Corrigan,1000,5480318,2691,Jessica Walter,USA,R,1998,1.85,462
145,392,Woody Strode,973,,2589,Jack Elam,Italy,PG-13,1968,2.35,10000
95,334,Faizon Love,4000,5308707,5245,Jonathan Silverman,USA,R,2001,1.85,393
97,372,Matt Berry,18000,5009677,19404,Benedict Wong,UK,R,2009,2.35,47000
90,701,Jami Gertz,2000,4328294,5900,Carter Jenkins,USA,PG-13,2006,1.85,249
41,0,Guillaume Denaiffe,55,4074023,55,Chloe Hollings,UK,,2010,1.78,89
112,395,Sarah Polley,990,4306697,2820,Simon Baker,Canada,R,1997,2.35,920
122,32,Michael Lonsdale,186,3950029,416,Olivier Rabourdin,France,PG-13,2010,2.35,0
110,39,Freddy Rodríguez,25000,4040588,25676,Greg Collins,USA,PG-13,2008,2.35,0
87,83,Tim Thomerson,922,,1324,Bess Armstrong,USA,R,1982,,323
108,88,Jed Brophy,14000,3049135,14574,Liz Mullane,New Zealand,R,1994,2.35,0
121,473,Bobby Batson,4000,4700361,6617,Cynthia Barrett,USA,PG-13,2015,2.35,0
97,939,Scott Takeda,8000,2711210,10517,Stephen Root,USA,R,2010,2.35,0
116,102,Ryan O'Neal,624,1980338,1209,Angela Featherstone,USA,R,1998,1.85,507
94,360,Jennifer Jason Leigh,23000,1082044,24994,Reg E. Cathey,Spain,R,2004,2.35,21000
103,145,Jane Adams,722,1100000,1201,David Clennon,USA,R,1992,1.85,247
112,688,Paz Vega,10000,2445646,12897,Robert Pralgo,USA,R,2014,2.35,13000
91,192,Jon Tenney,967,2221809,1582,Tammy Blanchard,USA,PG-13,2010,1.85,0
98,600,Mia Kirshner,3000,296665,5185,Marilyn Manson,USA,R,2003,1.85,0
95,233,Mark Webber,727,3219029,1836,Joe Cole,USA,R,2015,2.35,10000
88,276,Tim Russ,740,,1665,Winter Ave Zoli,USA,R,2006,2.35,255
99,361,Greg Germann,578,830210,3382,Kristoffer Polaha,USA,PG-13,2014,,0
91,65,Darryl Cox,387,1040879,648,Lumi Cavazos,USA,R,1996,1.85,0
97,977,Joe Mantegna,10000,326308,13718,Faye Dunaway,USA,R,1996,2.35,225
136,14,Bhoomika Chawla,75,240425,172,Darshan Jariwala,India,,2007,2.35,133
118,0,Megan Ambuhl Graner,6,228830,6,Ken Davis,USA,R,2008,2.35,489
