director_facebook_likes,gross,actor_1_name,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,num_user_for_reviews,language,country
0,27979400,Jon Lovitz,37611,12322,2,72,English,USA
174,54257433,Óscar Jaenada,12983,971,0,139,English,USA
19,23947,Logan Lerman,357579,12755,0,1100,English,USA
13,60008303,Chris Elliott,9285,2241,1,91,English,USA
17,49121934,Mekhi Phifer,6528,6554,9,32,English,USA
84,27141959,Kathleen Turner,19547,2936,2,168,English,USA
6,27052167,Bokeem Woodbine,24834,3353,5,168,English,USA
15,26539321,Gregory Smith,7984,2486,1,42,English,USA
5,28501605,Jenny Agutter,31371,2646,0,166,English,USA
12,52543632,Leslie Bibb,12676,2297,2,84,English,USA
0,25592632,Toby Jones,220475,5371,0,1066,English,USA
232,25440971,Elina Alminas,289508,430,0,611,English,UK
0,22858926,Willie Garson,254404,1171,2,840,English,USA
7,22235901,Mo'Nique,4339,2815,2,31,English,USA
13,38916903,Teo Halm,15664,1921,0,149,English,USA
134,16929123,Kirsten Dunst,21406,6214,2,169,English,USA
16000,13753931,Yuki Matsuzaki,132149,751,0,316,Japanese,USA
35,10996440,J.K. Simmons,19707,27806,0,128,English,USA
18,8026971,LL Cool J,1520,3352,0,20,English,USA
412,14677654,Joan Allen,161288,2499,0,351,English,Ireland
799,9975684,Don Rickles,20033,1805,0,117,English,Canada
0,7881335,Kathleen Turner,21212,3092,4,107,English,USA
26,6241697,Ryan Reynolds,16059,31005,2,210,English,France
76,,Michael Nyqvist,335,998,0,,Swedish,Sweden
7,5871603,Rosario Dawson,3116,6485,3,39,English,USA
15,16574731,Salma Hayek,27675,6910,4,181,English,USA
2,5002310,Jake Gyllenhaal,25541,18864,0,181,English,USA
16,4919896,Mark Gatiss,21530,1775,1,159,English,UK
24,25675765,Justin Chon,60407,2730,0,84,English,USA
107,4857376,Steve Buscemi,63084,13208,0,123,French,France
37,3169424,Harry Lennix,18442,2417,1,59,English,USA
80,18004225,Tina Fey,28573,3004,2,87,English,USA
83,3058380,Emir Kusturica,4767,2389,1,69,French,France
460,3074838,Liam Neeson,56264,14372,2,166,English,USA
150,2104000,Chazz Palminteri,1595,1679,3,19,English,USA
260,28501651,Natalie Portman,88037,39473,0,201,English,USA
0,1172769,Peter Dinklage,28068,37606,2,108,English,Germany
139,17738570,Logan Lerman,351274,13631,2,457,English,USA
29,1200000,Burt Young,922,1139,1,23,English,USA
41,1150403,Toby Jones,14143,3474,4,102,English,USA
187,403932,Milla Jovovich,5254,17104,4,92,English,UK
83,1712111,Djimon Hounsou,7199,7875,0,53,English,USA
115,1024175,John Boyega,82331,2011,6,297,English,UK
11000,301305,Jelena Jovanova,31414,796,0,180,Bosnian,USA
122,51872378,Michael Imperioli,88241,2812,0,266,English,USA
32,31662,Liam Neeson,90,14133,1,1,English,South Korea
0,28399192,Steve Irwin,5663,1483,0,106,English,Australia
43,2035566,Dameon Clarke,77305,931,0,162,English,France
218,,Rae Dawn Chong,16281,931,0,96,None,Canada
18000,21078145,Denzel Washington,26493,20456,0,159,English,USA
97,14060950,Gabriel Millman,14354,14347,1,139,English,USA
12000,12281500,Brad Pitt,163492,23602,3,460,English,USA
28,,Eva Green,9957,9244,1,35,English,Germany
164,10725228,Kevin Spacey,75675,32288,1,365,English,USA
187,214966,Liam Aiken,28483,1813,0,176,English,USA
261,,Ed Begley Jr.,14193,3700,1,106,English,USA
10,11956207,Julian Morris,24012,3142,2,126,English,USA
19,,David Niven,3256,1166,2,44,English,USA
44,5949693,Ryan Gosling,114762,34351,1,299,English,USA
39,9030581,Richard Johnson,132386,156,0,398,English,UK
3000,4157491,Catherine Deneuve,79330,2894,0,690,English,Denmark
44,1508689,Tom Wilkinson,5648,2004,2,50,English,USA
220,1227324,Isabella Rossellini,6921,3337,3,48,English,USA
34,4360548,Jenna Fischer,13371,2661,7,60,English,USA
20,26589953,Robert De Niro,165792,26233,1,392,English,USA
60,1039869,Kevin Spacey,14757,18739,5,51,English,Canada
383,48092846,Judith Barsi,61753,1833,0,133,English,USA
16,1110186,Min-sik Choi,31943,1730,2,224,Korean,South Korea
50,1089445,Clifton Collins Jr.,2676,4270,0,33,English,Canada
607,204565000,Ellen Burstyn,284252,2466,0,1058,English,USA
14000,260000000,Roy Scheider,412454,2047,0,962,English,USA
80,101736215,Alyson Hannigan,315549,8134,6,789,English,USA
2,71442,Mackenzie Foy,12029,6829,0,32,French,France
23,79817937,Victor Wong,39798,1044,1,69,English,USA
167,91547205,Chris Brown,34579,5165,8,62,English,USA
167,75074950,Sean Patrick Thomas,22147,2754,0,156,English,USA
120,78900000,Leonard Nimoy,91414,16539,2,359,English,USA
293,72217000,Sean Young,216486,2462,1,242,English,USA
139,79568000,Matthew Broderick,71842,4537,0,152,English,USA
608,65500000,Harrison Ford,66966,22479,1,175,English,USA
16,70011073,Alex Veadov,57996,146,0,349,English,USA
98,65269010,Channing Tatum,90938,21380,0,271,English,USA
406,63071133,Bruce Willis,42892,17035,0,154,English,USA
16000,39647595,Robert De Niro,239540,25522,5,462,English,USA
22,38087366,Danneel Ackles,113918,4065,2,165,English,USA
128,64572496,Michael Kelly,204327,2054,0,471,English,USA
0,30400000,Miriam Margolyes,9503,914,1,68,English,UK
0,42365600,Shelley Duvall,45890,2730,0,177,English,UK
33,37188667,Britney Spears,34219,1531,1,578,English,USA
166,54724272,Dax Flame,157051,2043,0,261,English,USA
76,,George C. Scott,76398,1306,0,258,English,USA
132,31597131,Robin Williams,97938,52138,0,605,English,USA
66,31691811,Andrew Fiscella,57446,140268,0,369,English,USA
0,31397498,Chloë Grace Moretz,44130,18765,1,156,English,USA
4,31179516,Vanessa Williams,5928,5006,5,49,English,USA
58,31155435,Hector Elizondo,42644,6105,2,102,English,USA
53,27281507,Steven Mackintosh,33850,534,0,147,English,USA
258,167007184,Eva Green,470501,9125,1,2301,English,UK
278,25776062,Salma Hayek,61651,7072,0,271,English,USA
4,25240988,Lexie Contursi,12383,52,0,50,English,USA
131,124868837,Shailene Woodley,249688,10565,0,548,English,USA
131,22905674,Matt Damon,121676,14890,2,290,English,USA
0,25277561,Rosario Dawson,21672,5592,10,93,English,USA
287,,Talia Shire,3000,729,1,75,English,USA
