actor_1_facebook_likes,gross,num_voted_users,actor_3_name,num_user_for_reviews,imdb_score,aspect_ratio
11000,51019112,155745,Thomas Lennon,1053,6.8,2.35
1000,48114556,9380,Alice Greczyn,91,4.3,2.35
14000,50648679,149549,James Tumminia,348,6.3,2.35
35000,46280507,87165,Joel McHale,184,6.5,1.85
1000,38360195,21215,Timothy Hutton,116,6.4,2.35
11000,46815748,32544,William Lucking,69,6.3,2.35
1000,35617599,20688,David Keith,47,5.9,1.85
749,47307550,104301,Gary Stretch,269,6.5,2.35
550,32003620,79141,Will Beinbrink,355,6.5,2.35
427,27972410,114692,Ben Miller,285,6.1,1.85
12000,28133159,30055,Julia Roberts,70,5.9,1.85
913,27400000,97087,José Ferrer,569,6.6,2.35
5000,24343673,91860,Robert Clohessy,524,7.4,2.35
29000,22877808,152591,Joe Komara,414,7.3,2.35
13000,36883539,112769,Sasha Roiz,305,6.6,2.35
14000,22531698,81523,David Belle,214,5.6,2.35
2000,20400913,15455,Keenen Ivory Wayans,80,5.3,1.85
905,20101861,24757,Obba Babatundé,81,6.0,2.35
1000,25200412,16580,Tim Meadows,55,5.4,1.85
723,19719930,42621,Nels Lennarson,531,6.8,2.35
11000,19377727,35140,Matthew Broderick,409,6.4,2.35
409,13401683,203461,Rakie Ayola,588,7.1,2.35
1000,17300889,27648,Kristy Swanson,148,4.9,2.35
13000,15527125,11388,Sam Shepard,183,5.8,2.35
12000,13560960,23996,Joan Allen,161,7.1,2.35
854,15523168,132423,Timothy Hutton,349,7.2,2.35
3000,11146409,26551,Wes Studi,273,6.0,2.35
23000,7916887,15697,Laz Alonso,182,6.0,2.35
879,6565495,36455,Man Li,229,7.0,2.35
12000,15279680,48245,James With,154,5.4,1.85
11000,7262288,17307,Omar Epps,186,6.5,1.85
267,4584886,19114,Unax Ugalde,115,6.4,2.35
164,,15762,Céline Sallette,47,8.3,16.0
849,2154540,3803,Nicholas Turturro,41,4.9,2.35
219,8129455,89568,Togo Igawa,142,6.3,2.35
719,,4377,Harvey Fierstein,66,1.7,
1000,136019448,452465,Tate Donovan,695,7.7,2.35
11000,183875760,213668,Sela Ward,270,7.8,1.85
18000,67061228,96565,Peter Greene,135,5.5,2.35
22000,53300852,154487,Minnie Driver,259,7.5,2.35
13000,150415432,117606,Martin Kove,217,6.4,2.35
23000,44834712,13995,Anne Heche,62,5.6,2.35
1000,84300000,90360,Cliff Edwards,147,7.5,1.37
12000,1500000,9830,Isabelle Huppert,189,6.8,2.35
956,62318875,156225,Derek Jacobi,502,6.8,2.35
11000,5773519,28618,Daniel Mays,91,6.0,2.35
670,51768623,73006,Michael Nouri,297,7.3,2.35
12000,37035515,34597,Elizabeth Perkins,194,6.0,1.37
11000,24520892,85198,Bob Hoskins,303,7.0,2.35
44,24430272,46158,Chelsea Bond,403,5.1,1.85
10000,158348400,88844,Wilford Brimley,142,6.8,1.85
405,31136950,47364,Valerie Tian,75,6.5,2.35
26000,29113588,117999,Mini Anden,181,6.6,2.35
17000,138447667,408302,Rob Riggle,345,7.2,2.35
8000,116006080,203269,Dylan Moran,602,7.0,2.35
579,106793915,140499,Julia Sawalha,358,7.0,1.85
22000,87856565,106909,Debra Messing,268,5.9,1.85
723,70100000,20183,Geoffrey Holder,41,5.4,1.85
975,159578352,133177,Demián Bichir,380,6.6,2.35
940,57750000,21554,Roddy McDowall,192,7.0,2.2
4000,45290318,74169,Charice,112,6.5,1.85
11000,41543207,30077,Bruce Davison,175,6.3,2.35
12000,41252428,11453,Mimi Rogers,71,6.5,1.85
650,35228696,63677,David Eigenberg,460,6.5,2.35
468,59992760,119622,Slash,396,5.8,1.85
683,34667015,74009,Anthony Zerbe,317,6.6,2.35
10000,37652565,91151,Virginia Madsen,283,5.4,2.35
22000,24375436,42547,Kelsey Grammer,265,6.1,2.35
5000,20915465,38203,Fiona Shaw,290,4.0,1.85
12000,24127895,248123,Jared Burke,437,7.6,2.35
5000,84961,149414,Maggie Cheung,841,7.9,2.35
922,26404753,34203,Patrick Fischler,169,5.3,2.35
11000,6105175,247020,Anders Holm,835,6.6,2.35
624,5664251,22309,Jed Brophy,102,6.3,2.35
870,,1558,Bob Hastings,18,7.5,4.0
1000,1260917,24657,André Dussollier,71,7.2,2.35
1000,116724075,187181,Evan Jones,564,7.0,2.35
326,,590,Mélissa Theuriau,5,4.9,
13000,56083966,137003,Bérénice Bejo,658,6.9,2.35
687,22108977,29861,Anthony Chau-Sang Wong,132,5.2,2.35
13000,293501675,704766,Olivia Williams,2073,8.1,1.85
107,18600911,125198,J. Smith-Cameron,153,6.6,2.35
734,7204138,34809,JoBeth Williams,125,6.2,2.35
668,90800000,126907,William Bassett,235,7.2,1.85
34000,150117807,358416,Bradley Cooper,751,7.3,2.35
16000,163947053,227824,Craig T. Nelson,273,6.7,2.35
984,116735231,56646,Bruce Campbell,336,6.4,2.35
1000,118500000,340085,Thomas F. Wilson,327,7.8,1.85
19000,126546825,327367,Amr Waked,918,6.4,2.35
1000,166147885,220020,Callum Rennie,1360,4.1,2.35
13000,111760631,40227,Alexa PenaVega,188,4.1,1.85
18000,108706165,99558,Oliver Platt,236,7.4,2.35
3000,138614544,75152,Bonnie Hunt,288,5.8,1.85
480,125069696,203963,Dan Bilzerian,420,7.6,2.35
15000,107458785,71754,Rosie O'Donnell,166,7.2,2.35
1000,102310175,64989,Robin Atkin Downes,279,7.8,2.35
10000,96917897,479453,Marcella Lentz-Pope,696,7.7,2.35
97,93952276,132048,Sachiko Ishida,203,6.4,2.35
2000,90703745,93748,Regina Hall,410,5.1,1.85
287,89138076,98535,Nancy O'Dell,734,5.5,2.35
1000,87666629,283480,Thomas F. Wilson,263,7.4,1.37
8000,90353764,85629,Craig T. Nelson,144,6.0,1.85
18000,82522790,143835,Gary Oldman,654,7.5,1.85
11000,94125426,79264,Vanessa Ferlito,277,7.0,1.85
11000,95001343,66511,Nicole Beharie,200,7.5,2.35
22000,81292135,137891,Jack Davenport,696,7.3,1.85
13000,86208010,97045,Rob Riggle,285,5.7,1.85
23000,81593527,48806,Wendy Crewson,263,7.3,2.35
22000,75274748,130661,Rene Russo,304,7.2,1.85
2000,90835030,28621,Bruce McGill,58,5.9,2.35
855,72455275,113068,Eric Schweig,382,7.8,2.35
904,75305995,110394,Harry Lennix,433,7.7,1.85
3000,74098862,656640,Jason Douglas,1732,8.1,1.85
2000,72266306,127528,William Hurt,422,6.6,2.35
24000,71347010,166194,Jane Curtin,215,7.1,1.85
700,70836296,109445,Susan Ward,426,5.9,1.85
