num_critic_for_reviews,duration,actor_1_facebook_likes,movie_title,num_voted_users,cast_total_facebook_likes,plot_keywords,num_user_for_reviews,country,actor_2_facebook_likes,aspect_ratio
166,98,12000,Race to Witch Mountain ,43328,14007,alien|military|mountain|spacecraft|ufo,110,USA,536,2.35
525,132,20000,V for Vendetta ,791783,22417,dystopia|freedom|government|revolution|terrorist,2042,USA,979,2.35
165,114,154,Shanghai Knights ,81444,428,1880s|arrow|imperial seal|murder|revenge,192,USA,131,2.35
2,45,416,Unforgotten             ,1824,1816,,9,UK,171,
87,78,8000,Curious George ,12845,11124,hat|monkey|museum|shrine|yellow,118,USA,2000,1.85
117,101,660,Herbie Fully Loaded ,36431,2177,automobile racing|car|mechanic|nascar|street racing,168,USA,651,1.85
113,113,1000,Don't Say a Word ,40362,3341,mental institution|post traumatic stress|psychiatrist|vomiting|voyeur,248,USA,912,2.35
349,98,10000,Hansel & Gretel: Witch Hunters ,159868,11946,bounty hunter|brother sister team|death of loved one|hansel and gretel|supernatural power,304,Germany,520,2.35
152,124,838,Unfaithful ,63067,2583,erotic thriller|infidelity|marital infidelity|unfaithfulness|wife's lover murdered by husband,533,USA,593,1.85
288,109,15000,I Am Number Four ,195043,15608,based on young adult novel|good versus evil|guardian|human alien|ohio,329,USA,348,1.85
358,128,13000,Syriana ,109188,14747,cia|hezbollah|lebanon|oil|prince,625,USA,903,2.35
204,144,769,13 Hours ,47764,3580,based on true story|cia agent|libya|mercenary|u.s. ambassador,219,USA,726,2.35
156,95,17000,The Book of Life ,45580,19513,afterlife|bullfight|bullfighting|love triangle|mexico,102,USA,995,2.35
171,105,87000,Firewall ,50170,101383,architect|bank|cayman islands|meeting|murder,306,USA,11000,2.35
76,121,16000,Absolute Power ,39529,19139,death|death of wife|murder|thief|violence,142,USA,1000,2.35
97,125,10000,G.I. Jane ,60326,15569,feminism|hit in the crotch|kicked in the crotch|kicked in the testicles|navy,142,USA,2000,2.35
157,129,495,The Game ,261069,1397,birthday|falling through a glass roof|game|hitchcockian|suicide,506,USA,294,2.35
267,132,992,Silent Hill ,172792,1933,gothic|police|police officer|silent hill|sleepwalking,1740,Canada,495,2.35
118,118,18000,The Replacements ,48322,24024,coach|football player|misfits|strike|sumo wrestler,261,USA,4000,1.85
291,113,3000,American Reunion ,172112,8398,bikini|female female kiss|high school reunion|outdoor sex|upskirt,181,USA,1000,1.85
68,140,18000,The Negotiator ,107227,20152,hostage|innocence|murder|negotiator|police,279,Germany,822,2.35
228,89,490,Into the Storm ,54101,1367,danger|graduation|storm|teenage boy|tornado,210,USA,298,1.85
36,104,437,Beverly Hills Cop III ,60293,1093,california|counterfeit|counterfeit money|money|theme park,114,USA,289,1.85
105,106,16000,Gremlins 2: The New Batch ,68428,19610,gremlin|horror host|hulk hogan|monster|skyscraper,148,USA,823,1.85
276,141,21000,The Judge ,136973,30183,courtroom|dysfunctional family|indiana|lawyer|trial,275,USA,3000,2.35
93,124,294,The Peacemaker ,46451,1289,nuclear explosion|nuclear weapon|russia|train|train crash,156,USA,273,2.35
191,98,14000,Resident Evil: Apocalypse ,151580,16791,cover up|monster|strong female character|strong female lead|zombie apocalypse,672,Germany,919,2.35
143,108,14000,Bridget Jones: The Edge of Reason ,74315,15634,american actress playing british character|intern|prison|six word title|thailand,259,UK,1000,2.35
124,114,18000,Out of Time ,45895,19739,cancer|florida|insurance|life insurance policy|small town,157,USA,886,2.35
47,101,854,On Deadly Ground ,17997,1860,environmental|murder|oil|oil spill|tribe,140,USA,643,2.35
66,93,12000,The Adventures of Sharkboy and Lavagirl 3-D ,20310,14899,boy|bully|dream|dream sequence|planet,177,USA,722,1.85
118,119,29000,The Beach ,176169,29461,love|map|paradise|thailand|travel,548,USA,414,2.35
93,119,627,Raising Helen ,30890,2052,fashion show|female protagonist|love|pastor|queens new york city,106,USA,508,1.85
235,99,330,Ninja Assassin ,58349,701,critically bashed|kung fu|martial artist|martial arts|ninja,194,USA,119,2.35
113,137,24000,For Love of the Game ,26034,25469,baseball|baseball movie|detroit tigers|perfect game|pitcher,226,USA,743,2.35
14,105,325,A Touch of Frost             ,4438,344,cult tv|death|detective inspector|four word title|internal affairs,33,UK,7,1.33
51,117,2000,Striptease ,34896,3016,bouncer|breasts|congressman|private dancer|stripper,118,USA,472,1.85
98,87,15000,Marmaduke ,11257,20061,dog|great dane|rivalry|talking animal|talking cat,65,USA,2000,2.35
