director_name,director_facebook_likes,gross,genres,actor_1_name,num_voted_users,language,country,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Kevin Donovan,11,50189179,Action|Comedy|Sci-Fi,Romany Malco,61966,English,USA,2002,680,5.3,1.85,797
Geoff Murphy,14,50024083,Action|Thriller,Peter Greene,35918,English,USA,1995,520,5.4,1.85,1000
Kenneth Branagh,0,50549107,Action|Drama|Thriller,Colm Feore,99035,English,USA,2014,394,6.2,2.35,17000
David O. Russell,737,56443482,Biography|Comedy|Drama,Jennifer Lawrence,75329,English,USA,2015,22000,6.6,1.85,24000
Babak Najafi,24,62401264,Action|Crime|Drama|Thriller,Gerard Butler,69484,English,UK,2016,992,5.9,2.35,28000
Jean-Pierre Jeunet,0,47748610,Action|Horror|Sci-Fi,Gary Dourdan,170179,English,USA,1997,720,6.3,2.35,0
Antoine Fuqua,845,46975183,Action|Crime|Drama|Mystery|Thriller,Tate Donovan,256213,English,USA,2007,467,7.2,2.35,0
Graham Annable,7,50807639,Adventure|Animation|Comedy|Family|Fantasy,Isaac Hempstead Wright,40883,English,USA,2014,668,6.8,1.85,11000
Griffin Dunne,165,46611204,Comedy|Drama|Fantasy|Romance,Goran Visnjic,55749,English,USA,1998,967,6.1,2.35,0
Phil Lord,97,257756197,Action|Adventure|Animation|Comedy|Family|Fantasy,Morgan Freeman,246698,English,Australia,2014,8000,7.8,2.35,64000
John Pasquin,11,48472213,Action|Comedy|Crime,Eileen Brennan,51252,English,USA,2005,759,5.0,2.35,621
Rob Bowman,38,43060566,Action|Adventure|Fantasy|Sci-Fi|Thriller,Christian Bale,107859,English,USA,2002,18000,6.2,2.35,0
Ruben Fleischer,181,45996718,Action|Crime|Drama|Thriller,Ryan Gosling,173530,English,USA,2013,301,6.7,2.35,40000
Harold Ramis,11000,43337279,Adventure|Comedy,Olivia Wilde,76770,English,USA,2009,1000,4.9,1.85,0
Clint Eastwood,16000,37479778,Biography|Drama|History|Sport,Matt Damon,124222,English,USA,2009,11000,7.4,2.35,23000
Kevin Macdonald,162,36965395,Crime|Drama|Mystery|Thriller,Robin Wright,113295,English,USA,2009,748,7.1,2.35,0
Tony Gilroy,209,40559930,Comedy|Crime|Romance|Thriller,Julia Roberts,41727,English,USA,2009,1000,6.2,2.35,0
Donald Petrie,80,36830057,Comedy|Family|Sci-Fi,Steven Anthony Lawrence,10883,English,USA,1999,417,4.9,1.85,448
Clark Johnson,69,36279230,Action|Crime|Thriller,Blair Brown,42144,English,USA,2006,219,6.1,2.35,690
Jorge Blanco,2,42194060,Adventure|Animation|Comedy|Family|Sci-Fi,Dwayne Johnson,41259,English,Spain,2009,10000,6.1,2.35,0
Stuart Baird,53,43119879,Action|Adventure|Sci-Fi|Thriller,Tom Hardy,58450,English,USA,2002,1000,6.4,2.35,0
Joel Coen,0,35096190,Comedy|Crime|Romance,Cedric the Entertainer,76560,English,USA,2003,399,6.3,1.85,0
Robert Lorenz,39,35754555,Drama|Sport,Clint Eastwood,47954,English,USA,2012,897,6.8,2.35,11000
Martin Campbell,258,43290977,Crime|Drama|Mystery|Thriller,Bojana Novakovic,75201,English,UK,2010,1000,6.6,2.35,0
Peter Hyams,0,33927476,Horror|Mystery|Sci-Fi|Thriller,John Kapelos,19176,English,UK,1997,344,5.7,2.35,956
Harold Ramis,11000,32122249,Comedy|Crime,Robert De Niro,69319,English,USA,2002,394,5.9,1.85,846
Jon Avnet,50,40076438,Action|Crime|Drama|Mystery|Thriller,Robert De Niro,73368,English,USA,2008,14000,6.0,2.35,0
Harold Becker,17,32940507,Action|Crime|Drama|Thriller,Bruce Willis,54314,English,USA,1998,968,6.1,2.35,0
Joe Wright,456,31670931,Biography|Drama|Music,Robert Downey Jr.,44099,English,UK,2009,939,6.7,2.35,0
Robert Redford,0,30695227,Drama|Fantasy|Sport,Matt Damon,45296,English,USA,2000,10000,6.7,1.85,0
Cameron Crowe,488,32522352,Adventure|Comedy|Drama|Music,Philip Seymour Hoffman,207287,English,USA,2000,11000,7.9,1.85,15000
Tim Hill,25,28424210,Animation|Comedy|Family|Fantasy,Bill Murray,27517,English,UK,2006,1000,5.0,1.85,470
Lee Tamahori,93,26082914,Action|Adventure|Crime|Thriller,Sunny Mabrey,51349,English,USA,2005,233,4.3,2.35,0
Scott Stewart,124,29136626,Action|Fantasy|Horror|Sci-Fi|Thriller,Josh Wingate,97089,English,USA,2011,441,5.7,2.35,20000
