num_critic_for_reviews,duration,actor_2_name,genres,movie_title,plot_keywords,num_user_for_reviews
12,7,John Sparkes,Animation|Comedy|Family,Shaun the Sheep             ,farmer|mischief|no dialog|sheep|sheepdog,12
162,108,Henry Thomas,Drama|Romance|War,Dear John ,army|coin collector|love|surfboard|u.s. army,186
213,97,Jason Patric,Action|Crime|Drama|Mystery|Thriller,The Losers ,hacking|hijacking|martial arts|revenge|special forces,165
298,99,Alan Dale,Fantasy|Horror|Thriller,Don't Be Afraid of the Dark ,basement|creature|disappearance|interior designer|mansion,250
119,103,Jet Li,Action|Crime|Thriller,War ,assassin|betrayal|fbi|fbi agent|yakuza,166
251,95,Emily Watson,Comedy|Drama|Romance|Thriller,Punch-Drunk Love ,harmonium|love|phone sex|pudding|sister,888
92,93,Scott Mechlowicz,Comedy,EuroTrip ,female frontal nudity|male frontal nudity|nudist|nudity|public nudity,316
58,98,Nia Peeples,Action|Crime|Thriller,Half Past Dead ,alcatraz|fbi|gold|prison|undercover,132
73,90,Rob Riggle,Adventure|Comedy|Family|Romance,Unaccompanied Minors ,airport|black comedy|blizzard|christmas|pennsylvania,56
28,107,Phoebe Cates,Drama,Bright Lights, Big City ,estranged wife|fashion show|magazine|new york city|writer,37
19,90,Udo Kier,Adventure|Family|Fantasy|Musical,The Adventures of Pinocchio ,based on novel|human becoming an animal|slow motion|transformation|young boy,22
86,120,Matthew Knight,Drama|History|Sport,The Greatest Game Ever Played ,champion|golf tournament|golfer|nostalgia|orchestral music score,106
287,115,Gillian Jacobs,Drama|Fantasy|Mystery|Thriller,The Box ,alien|library|moral dilemma|nosebleed|supernatural power,376
233,93,Jonathan Tucker,Horror,The Ruins ,bow and arrow|group of friends|horse|rifle|ruins,351
86,99,Rupert Everett,Comedy|Drama|Romance,The Next Best Thing ,best friend|cartoon on tv|custody battle|gay|gay friend,162
160,107,Emily Meade,Horror|Mystery|Thriller,My Soul to Take ,evil|killer|murder|psychopath|serial killer,136
126,110,Timothy Bottoms,Comedy|Drama|Romance,The Girl Next Door ,forced to strip|male rear nudity|porn actress|scantily clad female|teenager,513
50,101,Zach Grenier,Action|Crime|Mystery|Romance|Thriller,Maximum Risk ,fbi|fbi agent|mafia|russian mafia|twin,68
52,85,Megan Mullally,Comedy|Crime,Stealing Harvard ,black humor|crying during sex|harvard|humor|man with glasses,92
260,132,Paul Anderson,Biography|Crime|Drama|History|Thriller,Legend ,1960s|based on a true story|gangster|identical twins|murder,174
111,88,Jorma Taccone,Comedy,Hot Rod ,humiliation|man child|moped|neighbor|slacker,149
231,90,Joel David Moore,Horror|Thriller,Shark Night 3D ,lake|louisiana|redneck|shark|vacation,130
99,145,Devon Murray,Drama,Angela's Ashes ,drink|ira|irish|limerick|prejudice,163
159,110,Chi McBride,Drama|Sport,Draft Day ,cleveland browns|head coach|linebacker|nfl|team owner,113
159,101,Steve Railsback,Action|Horror|Sci-Fi|Thriller,Lifeforce ,alien|halleys comet|life force|space vampire|vampire,189
7,30,Jennifer Hale,Action|Animation|Comedy|Family|Fantasy|Sci-Fi,The Powerpuff Girls             ,campy|castle thunder|female hero|female protagonist|monster,60
199,122,Tom Wilkinson,Crime|Drama|History,The Conspirator ,john wilkes booth|lawyer|lincoln assassination|trial|truth,135
119,107,Michael Angarano,Biography|Drama|Sport,Lords of Dogtown ,1970s|skateboarder|skateboarding|surf|swimming pool,194
120,127,James Brolin,Biography|Drama|History,The 33 ,disaster movie|mine|minister|president|trapped in a mine,56
180,99,Kate Burton,Action|Adventure|Comedy|Fantasy,Big Trouble in Little China ,1980s|airport|cb radio|truck|truck driver,331
58,104,Malonn Lévana,Comedy|Romance,A Perfect Plan ,curse|divorce|marriage|tourism|travel,11
317,140,Frank Grillo,Drama|Sport,Warrior ,alcoholic|mixed martial arts|return home|tournament|underdog,514
