director_name,duration,actor_2_name,genres,movie_title,movie_imdb_link,num_user_for_reviews,budget,title_year,aspect_ratio
Ridley Scott,150,María Valverde,Action|Adventure|Drama,Exodus: Gods and Kings ,http://www.imdb.com/title/tt1528100/?ref_=fn_tt_tt_1,657,140000000,2014,2.35
Marc Forster,112,Peter Boyle,Drama|Romance,Monster's Ball ,http://www.imdb.com/title/tt0285742/?ref_=fn_tt_tt_1,522,4000000,2001,2.35
Henry Hobson,95,J.D. Evermore,Drama|Horror,Maggie ,http://www.imdb.com/title/tt1881002/?ref_=fn_tt_tt_1,200,8500000,2015,2.35
Mike Figgis,111,Valeria Golino,Drama|Romance,Leaving Las Vegas ,http://www.imdb.com/title/tt0113627/?ref_=fn_tt_tt_1,286,3600000,1995,1.66
Duane Journey,86,Lara Flynn Boyle,Comedy|Horror,Hansel & Gretel Get Baked ,http://www.imdb.com/title/tt2081194/?ref_=fn_tt_tt_1,11,4500000,2013,1.78
Dan O'Bannon,108,Clu Gulager,Comedy|Horror|Sci-Fi,The Return of the Living Dead ,http://www.imdb.com/title/tt0089907/?ref_=fn_tt_tt_1,300,4000000,1985,1.85
Billy Wilder,105,Harold Gould,Comedy|Drama|Romance,The Front Page ,http://www.imdb.com/title/tt0071524/?ref_=fn_tt_tt_1,50,4000000,1974,2.35
Rob Cohen,91,Hill Harper,Mystery|Thriller,The Boy Next Door ,http://www.imdb.com/title/tt3181822/?ref_=fn_tt_tt_1,131,4000000,2015,2.35
Carol Reed,105,Katy Jurado,Drama|Romance,Trapeze ,http://www.imdb.com/title/tt0049875/?ref_=fn_tt_tt_1,35,4000000,1956,2.35
,60,Dylan Minnette,Drama|Fantasy,Saving Grace             ,http://www.imdb.com/title/tt0830900/?ref_=fn_tt_tt_1,47,,,1.78
Lisa Cholodenko,106,Mia Wasikowska,Comedy|Drama,The Kids Are All Right ,http://www.imdb.com/title/tt0842926/?ref_=fn_tt_tt_1,291,3500000,2010,1.85
