director_name,director_facebook_likes,movie_title,num_voted_users,plot_keywords,movie_imdb_link,language,country,content_rating,budget,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Alejandro Amenábar,448,The Others ,268581,curtain|haunting|mansion|mute|xeroderma pigmentosum,http://www.imdb.com/title/tt0230600/?ref_=fn_tt_tt_1,English,USA,PG-13,17000000,203,7.6,1.85,20000
James Cameron,0,Aliens ,488537,alien|human versus alien|monster|rescue mission|space marine,http://www.imdb.com/title/tt0090605/?ref_=fn_tt_tt_1,English,USA,R,18500000,626,8.4,1.85,18000
George Cukor,165,My Fair Lady ,66959,colonel|flower girl|professor|street|wager,http://www.imdb.com/title/tt0058385/?ref_=fn_tt_tt_1,English,USA,Approved,17000000,272,7.9,2.2,0
Jim Gillespie,13,I Know What You Did Last Summer ,105585,beach|corpse|fourth of july|overalls|revenge,http://www.imdb.com/title/tt0119345/?ref_=fn_tt_tt_1,English,USA,R,17000000,4000,5.6,2.35,0
Luke Greenfield,42,Let's Be Cops ,106820,friendship between men|impersonating a police officer|mobster|party|police officer,http://www.imdb.com/title/tt1924435/?ref_=fn_tt_tt_1,English,USA,R,17000000,756,6.5,1.85,14000
Alexander Payne,729,Sideways ,149966,actor|california|teacher|wine|writer,http://www.imdb.com/title/tt0375063/?ref_=fn_tt_tt_1,English,USA,R,12000000,306,7.5,1.85,0
Jay Chandrasekhar,422,Beerfest ,54710,beer|competition|germany|oktoberfest|prostitute,http://www.imdb.com/title/tt0486551/?ref_=fn_tt_tt_1,English,USA,R,17500000,459,6.3,2.35,0
John Carpenter,0,Halloween ,157857,halloween|masked killer|michael myers|slasher|trick or treat,http://www.imdb.com/title/tt0077651/?ref_=fn_tt_tt_1,English,USA,R,300000,742,7.9,2.35,12000
Yimou Zhang,611,Hero ,149414,china|flying|king|palace|sword,http://www.imdb.com/title/tt0299977/?ref_=fn_tt_tt_1,Mandarin,China,PG-13,31000000,643,7.9,2.35,0
John Hoffman,9,Good Boy! ,3407,dog|friend|neighborhood|planet|star,http://www.imdb.com/title/tt0326900/?ref_=fn_tt_tt_1,English,USA,PG,17000000,636,5.1,1.85,309
