director_name,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,genres,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,country,content_rating,budget,actor_2_facebook_likes,movie_facebook_likes
Oliver Stone,655,Scott Glenn,2000,Biography|Drama|History,4264,Bruce McGill,1,bible|cabinet meeting|dog|drinking|family relationships,USA,PG-13,25100000,826,0
Pierre Morel,485,Holly Valance,14000,Action|Thriller,16461,Xander Berkeley,0,agent|cia|france|rescue|teenage abduction,France,PG-13,25000000,816,29000
Michael Hoffman,437,Gerald McRaney,775,Drama|Romance,3197,Clarke Peters,0,adultery|based on novel|heart transplant|infidelity|protective male,USA,PG-13,26000000,523,19000
Mick Jackson,164,Mike Starr,970,Action|Drama|Music|Romance,2551,DeVaughn Nixon,0,bodyguard|manager|pop singer|secret service agent|singer,USA,R,25000000,854,0
Steven Spielberg,212,Embeth Davidtz,14000,Biography|Drama|History,15233,Caroline Goodall,0,german|german soldier|jew|jewish|nazi,USA,R,22000000,795,41000
Tate Taylor,2000,Bryce Dallas Howard,15000,Drama,23227,Mike Vogel,2,black servant|chocolate pie|jackson mississippi|maid|writing a novel,USA,PG-13,25000000,3000,75000
Bill Condon,203,Peter Capaldi,19000,Biography|Drama|Thriller,36337,Jamie Blackley,1,computer hacker|internet|news leak|whistleblowing|wikileaks,USA,R,28000000,17000,11000
Raja Gosnell,596,Linda Cardellini,4000,Adventure|Comedy|Family|Fantasy|Horror|Mystery,7800,Tim Blake Nelson,0,ghost|masked villain|monster|museum|tv,USA,PG,80000000,2000,567
Oleg Stepchenko,48,Igor Jijikine,1000,Adventure|Fantasy|Mystery|Thriller,1166,Agnia Ditkovskite,1,cartographer|creature|foreign language adaptation|sword and sorcery|village,Russia,,26000000,65,0
Ronny Yu,662,Jason Ritter,918,Action|Horror|Thriller,4692,Zack Ward,0,elm street|freddy krueger|jason voorhees|serial killer|slasher,USA,R,30000000,782,3000
Michael Winterbottom,127,Ava Acres,554,Drama,1041,Sara Stewart,2,,UK,Not Rated,,213,488
John A. Davis,179,Rob Paulsen,770,Action|Adventure|Animation|Comedy|Family|Sci-Fi,2251,Andrea Martin,0,alien|boy genius|children|genius|rescue,USA,G,30000000,677,425
Matt Reeves,387,Ben Feldman,2000,Action|Adventure|Horror|Sci-Fi,3958,Liza Lapira,0,brooklyn new york city|found footage|night vision|statue of liberty new york city|subway tunnel,USA,PG-13,25000000,1000,0
Michael Pressman,445,Paige Turco,642,Action|Adventure|Comedy|Family|Sci-Fi,2501,Ernie Reyes Jr.,0,chop socky|mutant|ninja|shredder|turtle,USA,PG,25000000,533,0
Brian De Palma,188,Billy Drago,22000,Crime|Drama|Thriller,22767,Charles Martin Smith,1,corrupt judge|tax evasion|tough cop|white suit|year 1930,USA,R,25000000,371,0
Ethan Coen,883,Stephen Root,2000,Crime|Drama|Thriller,4738,Barry Corbin,0,coin toss|desert|sheriff|texas|tracking device,USA,R,25000000,939,21000
