director_name,duration,gross,movie_title,facenumber_in_poster,plot_keywords
Billy Wilder,101,,The Lost Weekend ,4,addiction|alcoholic|alcoholism|paranoia|suicidal thoughts
Douglas Cheek,96,,C.H.U.D. ,0,bum|city|mutant|new york city|street
Youssef Delara,80,2833383,Filly Brown ,1,
Deryck Broom,87,,The Lion of Judah ,0,animal|donkey|lamb|pig|rooster
Henry Hathaway,92,,Niagara ,0,hitchcockian|husband murders wife|murder|niagara falls|overhead shot
John Ford,118,,How Green Was My Valley ,5,coal mine|girl|school|village|wales
,27,,The Girlfriend Experience             ,0,escort|female nudity|friendship|money|sex scene
Spike Lee,123,,Da Sweet Blood of Jesus ,0,horror movie remake|remake|undead|undead sex|undead sexuality
Steven Soderbergh,100,24741700,"Sex, Lies, and Videotape ",2,affair|interview|marriage|sex|videotape
James Wan,103,55153403,Saw ,0,chained|flashback|killer|serial killer|surprise ending
Jay Chandrasekhar,100,18488314,Super Troopers ,0,drugs|highway|police|state trooper|vermont
Giovanni Zelko,99,,The Algerian ,6,algeria|algerian|los angeles california|muslim
Claudia Sainte-Luce,89,11278,The Amazing Catfish ,0,actress shares first name with character|appendicitis|hospital|loss of mother|supermarket
Scott Derrickson,104,79363785,The Day the Earth Stood Still ,0,alien|earth|giant robot|military|scientist
Mira Nair,114,13876974,Monsoon Wedding ,0,arranged marriage|bride|celebration|marriage|wedding
Kenneth Lonergan,111,9180275,You Can Count on Me ,0,bank|car accident|cheating husband|new york|single mother
Alfred Hitchcock,99,,The Trouble with Harry ,0,artist|death|hunting|sheriff|vermont
Paul McGuigan,110,22494487,Lucky Number Slevin ,3,coroner|death|gay son|love|mistaken identity
Jamie Babbit,85,2199853,But I'm a Cheerleader ,1,cheerleader|gay|homosexual|lesbian|lesbian relationship
David Boyd,113,2859955,Home Run ,2,addiction|alcoholic|baseball|car accident|reference to god
Quentin Tarantino,99,2812029,Reservoir Dogs ,0,gang|heist|heist gone wrong|nonlinear timeline|robbery
Walter Lang,83,,The Blue Bird ,1,1800s|bird|blue bird of happiness|foreign language adaptation|past
Sergio Leone,142,6100000,"The Good, the Bad and the Ugly ",3,civil war|hitman|outlaw|shootout|spaghetti western
Anna Muylaert,112,375723,The Second Mother ,1,brazil|exam|housekeeper|northeast region of brazil|portuguese language
Steve Taylor,108,594904,Blue Like Jazz ,0,church|college|color in title|philosophy|texas
Kurt Voss,88,58936,Down and Out with the Dolls ,0,female bassist|female drummer|female guitarist|female singer|portland oregon
Léa Pool,97,24784,"Pink Ribbons, Inc. ",0,breast cancer|comma in title|period in title|punctuation in title|three word title
James David Pasternak,85,7826,Certifiably Jonathan ,10,las vegas nevada|museum|reference to mr. rogers|reference to vincent van gogh|talking about suicide
Laurent Bouhnik,103,,Q ,1,female explicit nudity|hand job|oral sex|penetration|unsimulated sex
Tom Sanchez,110,3830,The Knife of Don Juan ,3,
David Caffrey,88,,Grand Theft Parsons ,1,guitar|hearse|manager|musician|singer
Adam Jay Epstein,76,,Extreme Movie ,6,box office flop|female frontal nudity|pink bra and panties|red bra and panties|sex
Michael Curtiz,100,,The Charge of the Light Brigade ,3,attack|fort|india|lancer|massacre
Justin Thomas Ostensen,99,,Below Zero ,2,
Brenton Spencer,84,,Crowsnest ,0,forest|found footage|lost|murder|road trip
Rob Bowman,91,2850263,Airborne ,0,cincinnati ohio|high school|hockey|jock strap|zoologist
Ossie Davis,97,,Cotton Comes to Harlem ,1,black cop|chase|cotton|four word title|new york city
Jay Alaimo,84,,The Wicked Within ,0,after dark horrorfest
Dylan Bank,100,,Bleeding Hearts ,1,bare breasts|bra and panties|nudity|syringe
Rob McKittrick,94,16101109,Waiting... ,3,cook|dishwasher|flashing|male frontal nudity|waiter
Shane Meadows,90,6013,Dead Man's Shoes ,0,anger|army veteran|independent film|revenge|sex scene
,,,Wolf Creek             ,0,based on true story|blood|serial killer|slasher|tv mini series
Jeff Burr,92,1400000,From a Whisper to a Scream ,0,bathtub|cult film|neck breaking|tennessee|wraparound story
Harry Gantz,105,247740,Sex with Strangers ,0,bisexual|explicit sex|sex|stranger|swing
Guy Maddin,73,39659,Dracula: Pages from a Virgin's Diary ,1,ballet|cult film|dance|dracula|gothic
Regardt van den Bergh,116,,Faith Like Potatoes ,2,food|food in title|potato
Panos Cosmatos,110,56129,Beyond the Black Rainbow ,1,exploitation|four word title|hallucinogen|lynchian|telepathy
Gareth Evans,102,4105123,The Raid: Redemption ,0,apartment|drug lord|gangster|police|swat team
Matthew R. Anderson,89,,The Dead Undead ,1,flashback|immortality|rural setting|vampire|zombie
Joe Marino,76,,The Vatican Exorcisms ,0,
Michael Curtiz,82,,Casablanca ,4,american expatriate|casablanca morocco|gestapo|police|visa
Joel Anderson,89,,Lake Mungo ,0,ghost|lake|parapsychologist|psychic|secret
Shimit Amin,150,,Rocket Singh: Salesman of the Year ,1,boss|computer|honesty|sales|salesman
Douglas Trumbull,89,,Silent Running ,1,forest|greenhouse|plant|robot|space
John G. Avildsen,145,117235247,Rocky ,0,boxer|hometown hero|philadelphia pennsylvania|protective male|training
Mona Fastvold,91,,The Sleepwalker ,1,female nudity|male nudity|male rear nudity|nudity
John Carpenter,89,21378000,The Fog ,0,california|fog|leper|lighthouse|ship
Tony Richardson,121,,Tom Jones ,1,18th century|rags to riches|secret letter|squire|tutor
Levan Gabriadze,83,31537320,Unfriended ,0,blender|computer screen|secret|skype|webcam
Martin Scorsese,110,,Taxi Driver ,1,loner|neo noir|night shift|taxi driver|vigilante
Joe Dante,91,17986000,The Howling ,0,1980s|forest|lycanthrope|shapeshifting|werewolf transformation
Terence Young,110,16067035,Dr. No ,4,british secret service|hand to hand combat|murder|official james bond series|terrorist plot
Bradley Parker,86,18112929,Chernobyl Diaries ,0,abandoned building|chernobyl disaster|exploration|tour guide|van
Clive Barker,86,14564027,Hellraiser ,0,blood|cenobites|creature|demon|male full frontal nudity
Harold Cronk,120,20773070,God's Not Dead 2 ,11,alternate universe|christian|christian film|christianity|manipulation
Jeff Wadlow,90,10042266,Cry_Wolf ,0,e mail|game|school|serial killer|student
Takao Okawara,99,10037390,Godzilla 2000 ,0,godzilla|kaiju|monster|orga|ufo
Derek Cianfrance,112,9701559,Blue Valentine ,0,dog hit by a car|dysfunctional family|falling in love|female in shower|unhappily married woman
Duncan Tucker,103,9013113,Transamerica ,2,bail|male full frontal nudity|sex change|stepfather|transsexual
William Brent Bell,83,53245055,The Devil Inside ,0,critically bashed|demonic possession|exorcism|exorcist|found footage
Russ Meyer,109,9000000,Beyond the Valley of the Dolls ,8,band|drugs|friendship|hollywood|satire
Robert D. Webb,89,,Love Me Tender ,1,army|civil war|robbery|soldier|train
Davis Guggenheim,96,23808111,An Inconvenient Truth ,0,climate|earth|global warming|science|truth
Allan Dwan,109,,Sands of Iwo Jima ,0,battle|combat|heroic military|sergeant|tarawa
Martin Scorsese,122,5355376,Shine a Light ,0,band|concert footage|new york city|rolling stones|three word title
Eli Roth,100,7186670,The Green Inferno ,0,activist|amazon|color in title|rain|rain forest
Andrew Steggall,109,,Departure ,0,france|gay|language|male masturbation|masturbation
Ben Lewin,95,5997134,The Sessions ,3,falling in love|iron lung|priest|sex surrogate|therapist
Robert Kenner,94,4417124,"Food, Inc. ",0,farming|flesh eating|food|food industry|gluttony
Andrew Erwin,107,5355847,October Baby ,1,abortion|anti choice|christian preach|malpractice|unprofessional conduct
Brad Anderson,104,3386698,Next Stop Wonderland ,1,love|marine biologist|nurse|personal ad|plumber
Jason Reitman,96,143492840,Juno ,0,adoption|baby|friend|pregnancy|school
Craig Johnson,93,5283379,The Skeleton Twins ,2,adultery|brother sister relationship|estrangement|siblings|suicide attempt
Sean Durkin,102,2981638,Martha Marcy May Marlene ,0,connecticut|cult|memory|new york|telephone call
Gillian Robespierre,84,3122616,Obvious Child ,1,abortion|divorced parents|one night stand|pregnancy|pregnant
Courtney Hunt,97,2508841,Frozen River ,1,border|mohawk|money|new york|river
Morgan Neville,91,4946250,20 Feet from Stardom ,0,backup singer|band|bechdel test passed|concert footage|singer
James Toback,84,1950218,Two Girls and a Guy ,3,actor|anilingus|double cross|funeral home|two timing
Nicole Holofcener,86,1277257,Walking and Talking ,2,briefs|cancer|cat|cult film|friend
Peter Cattaneo,91,45857453,The Full Monty ,3,dole|male stripper|northern england|steel worker|unemployment
Chris Paine,92,1677838,Who Killed the Electric Car? ,0,california|car|reference to ralph nader|technology|u.s. president
Greg Berlanti,94,1744858,The Broken Hearts Club: A Romantic Comedy ,1,friend|gay|lesbian|photographer|restaurant
Don Coscarelli,92,,Bubba Ho-Tep ,2,cult film|elvis|elvis presley|nursing home|texas
Rob Letterman,103,80021740,Goosebumps ,4,based on book|blob|ferris wheel|manuscript|monster
Marc Levin,100,982214,Slam ,0,gang|independent film|prison|racial slur|urban setting
Richard Dutcher,119,798341,Brigham City ,0,fbi agent|mormon|prayer|sheriff|utah
Khalid Mohamed,167,610991,Fiza ,3,mumbai riots|politician|riot|suicide|tragic event
Mel Brooks,92,,History of the World: Part I ,0,french revolution|old testament|part of an unfinished series|reference to john wayne|roman emperor
Trey Parker,92,582024,Orgazmo ,0,book of mormon|fight|mormon|ray gun|sidekick
David Gordon Green,108,548712,All the Real Girls ,0,best friend|lake|love|small town|womanizer
Finn Taylor,97,464655,Dream with the Fishes ,0,dying|to do list|twenty something|underwear|voyeur
Karen Moncrieff,88,464126,Blue Car ,0,contest|poetry|refusing to eat|starving oneself|teenage girl
José Luis Valenzuela,100,428535,Luminarias ,1,divorce|friend|jewish|lent|restaurant
Gia Coppola,100,750100,Palo Alto ,0,girls' soccer|high school|high school student|soccer coach|teenager
Scandar Copti,124,621240,Ajami ,6,arab|christian|israeli|palestinian|violence
Goran Dukic,88,104077,Wristcutters: A Love Story ,2,afterlife|camping|death|hitchhiker|suicide
Mike Cahill,106,334658,I Origins ,0,buddhism|evolution|eye|reincarnation|stuck in elevator
Efram Potelle,79,279282,The Battle of Shaker Heights ,2,bully comeuppance|high school|painter|reference to led zeppelin|wetting pants
Peter Jackson,135,43982842,The Lovely Bones ,1,1970s|afterlife|heaven|pedophile|rape
Joshua Oppenheimer,96,484221,The Act of Killing ,1,death squad|mass killing|musical number|reference to guantanamo bay|surrealism
Alex Gibney,53,274661,Taxi to the Dark Side ,0,afghanistan|detainee|guantanamo bay|taxi|torture
Paul Crowder,97,144431,Once in a Lifetime: The Extraordinary Story of the New York Cosmos ,0,new york|new york cosmos|professional sports|soccer|soccer team
Rohit Jagessar,120,227241,Guiana 1838 ,0,bare chested male|discipline|imperialism|whipping|white slavery
Griffin Dunne,90,112521,Lisa Picard Is Famous ,1,actress|fame|inside joke|new york|one man show
Anthony Powell,91,287761,Antarctica: A Year on Ice ,1,antarctica
Kief Davidson,93,100240,A Lego Brickumentary ,0,artist|denmark|lego|toy|toy company
Johnny Remo,112,96734,Hardflip ,3,family relationships|loss of mother|san diego california|single mother|suicide attempt
Vivek Agnihotri,160,49000,Chocolate: Deep Dark Secrets ,5,chocolate|christmas|christmas eve|death|suspect
Ti West,95,100659,The House of the Devil ,0,cult film|eclipse|haunted house|lunar eclipse|secret
Nick Tomnay,93,48430,The Perfect Host ,1,arm tattoo|bank robbery|cauterizing a wound|dancing on a table|dinner party
