director_name,actor_3_facebook_likes,movie_imdb_link,language,aspect_ratio
Brian Trenchard-Smith,576,http://www.imdb.com/title/tt0263728/?ref_=fn_tt_tt_1,English,1.85
Blake Edwards,42,http://www.imdb.com/title/tt0065611/?ref_=fn_tt_tt_1,English,2.35
Hugh Wilson,795,http://www.imdb.com/title/tt0160236/?ref_=fn_tt_tt_1,English,2.35
Camille Delamarre,150,http://www.imdb.com/title/tt2938956/?ref_=fn_tt_tt_1,English,2.35
Laurence Dunmore,567,http://www.imdb.com/title/tt0375920/?ref_=fn_tt_tt_1,English,2.35
Paul Verhoeven,104,http://www.imdb.com/title/tt0389557/?ref_=fn_tt_tt_1,Dutch,2.35
Christian Carion,140,http://www.imdb.com/title/tt0424205/?ref_=fn_tt_tt_1,French,2.35
David Palmer,552,http://www.imdb.com/title/tt2097307/?ref_=fn_tt_tt_1,English,2.35
Callie Khouri,290,http://www.imdb.com/title/tt0951216/?ref_=fn_tt_tt_1,English,2.35
Rowan Joffe,231,http://www.imdb.com/title/tt1726592/?ref_=fn_tt_tt_1,English,2.35
William Friedkin,35,http://www.imdb.com/title/tt0076740/?ref_=fn_tt_tt_1,English,1.85
John Curran,827,http://www.imdb.com/title/tt1423995/?ref_=fn_tt_tt_1,English,2.35
Laurent Tirard,80,http://www.imdb.com/title/tt0796335/?ref_=fn_tt_tt_1,French,2.35
Scott Cooper,120,http://www.imdb.com/title/tt1206543/?ref_=fn_tt_tt_1,English,2.35
Tony Gilroy,521,http://www.imdb.com/title/tt0465538/?ref_=fn_tt_tt_1,English,2.35
Peter Segal,812,http://www.imdb.com/title/tt0117119/?ref_=fn_tt_tt_1,English,1.85
Mark Pellington,442,http://www.imdb.com/title/tt0137363/?ref_=fn_tt_tt_1,English,2.35
Juan José Campanella,0,http://www.imdb.com/title/tt1634003/?ref_=fn_tt_tt_1,Spanish,2.35
Woody Allen,159,http://www.imdb.com/title/tt1859650/?ref_=fn_tt_tt_1,English,1.85
Clint Eastwood,216,http://www.imdb.com/title/tt0083943/?ref_=fn_tt_tt_1,English,2.35
Trey Parker,406,http://www.imdb.com/title/tt0158983/?ref_=fn_tt_tt_1,English,1.85
Frank Oz,548,http://www.imdb.com/title/tt0795368/?ref_=fn_tt_tt_1,English,1.85
Stuart Gillard,199,http://www.imdb.com/title/tt0108308/?ref_=fn_tt_tt_1,English,1.85
Brian Robbins,39,http://www.imdb.com/title/tt0180734/?ref_=fn_tt_tt_1,English,1.85
David O. Russell,14000,http://www.imdb.com/title/tt1045658/?ref_=fn_tt_tt_1,English,2.35
Richard LaGravenese,579,http://www.imdb.com/title/tt0463998/?ref_=fn_tt_tt_1,English,1.85
Tyler Perry,637,http://www.imdb.com/title/tt1405500/?ref_=fn_tt_tt_1,English,1.85
Louis Leterrier,447,http://www.imdb.com/title/tt0293662/?ref_=fn_tt_tt_1,English,2.35
Jeff Wadlow,149,http://www.imdb.com/title/tt1023111/?ref_=fn_tt_tt_1,English,2.35
Katt Shea,484,http://www.imdb.com/title/tt0144814/?ref_=fn_tt_tt_1,English,1.85
,,http://www.imdb.com/title/tt0313038/?ref_=fn_tt_tt_1,English,
Sam Mendes,374,http://www.imdb.com/title/tt1176740/?ref_=fn_tt_tt_1,English,2.35
Joshua Michael Stern,886,http://www.imdb.com/title/tt1027862/?ref_=fn_tt_tt_1,English,2.35
Brad Silberling,347,http://www.imdb.com/title/tt0179098/?ref_=fn_tt_tt_1,English,2.35
Tomas Alfredson,10000,http://www.imdb.com/title/tt1340800/?ref_=fn_tt_tt_1,English,2.35
John Duigan,186,http://www.imdb.com/title/tt0143746/?ref_=fn_tt_tt_1,English,1.85
Jodie Foster,220,http://www.imdb.com/title/tt1321860/?ref_=fn_tt_tt_1,English,2.35
Colin Higgins,842,http://www.imdb.com/title/tt0083642/?ref_=fn_tt_tt_1,English,2.35
David Cronenberg,716,http://www.imdb.com/title/tt0120907/?ref_=fn_tt_tt_1,English,1.85
Steven Spielberg,488,http://www.imdb.com/title/tt0082971/?ref_=fn_tt_tt_1,English,2.35
Chris Columbus,1000,http://www.imdb.com/title/tt0104431/?ref_=fn_tt_tt_1,English,1.85
Steven Spielberg,252,http://www.imdb.com/title/tt0075860/?ref_=fn_tt_tt_1,English,2.35
Jim Sonzero,807,http://www.imdb.com/title/tt0454919/?ref_=fn_tt_tt_1,English,2.35
Tony Scott,605,http://www.imdb.com/title/tt0092644/?ref_=fn_tt_tt_1,English,2.35
Adam Shankman,338,http://www.imdb.com/title/tt0305669/?ref_=fn_tt_tt_1,English,2.35
Jonathan Demme,173,http://www.imdb.com/title/tt0102926/?ref_=fn_tt_tt_1,English,1.85
Penelope Spheeris,617,http://www.imdb.com/title/tt0105793/?ref_=fn_tt_tt_1,English,1.85
Jeff Tremaine,218,http://www.imdb.com/title/tt1116184/?ref_=fn_tt_tt_1,English,1.78
Jeannot Szwarc,85,http://www.imdb.com/title/tt0077766/?ref_=fn_tt_tt_1,English,2.35
Raja Gosnell,597,http://www.imdb.com/title/tt1014775/?ref_=fn_tt_tt_1,English,2.35
James Wan,697,http://www.imdb.com/title/tt1457767/?ref_=fn_tt_tt_1,English,2.35
Brian Levant,563,http://www.imdb.com/title/tt0368578/?ref_=fn_tt_tt_1,English,1.85
Ben Falcone,265,http://www.imdb.com/title/tt2103254/?ref_=fn_tt_tt_1,English,1.85
D.J. Caruso,501,http://www.imdb.com/title/tt0486822/?ref_=fn_tt_tt_1,English,1.85
Richard Linklater,487,http://www.imdb.com/title/tt0332379/?ref_=fn_tt_tt_1,English,1.85
Paul W.S. Anderson,545,http://www.imdb.com/title/tt0113855/?ref_=fn_tt_tt_1,English,1.85
Paul McGuigan,40,http://www.imdb.com/title/tt0324554/?ref_=fn_tt_tt_1,English,2.35
Keenen Ivory Wayans,861,http://www.imdb.com/title/tt0381707/?ref_=fn_tt_tt_1,English,1.85
Alexander Payne,552,http://www.imdb.com/title/tt1033575/?ref_=fn_tt_tt_1,English,2.35
Andrew Davis,165,http://www.imdb.com/title/tt0311289/?ref_=fn_tt_tt_1,English,1.85
Julie Anne Robinson,318,http://www.imdb.com/title/tt1294226/?ref_=fn_tt_tt_1,English,2.35
Steve McQueen,500,http://www.imdb.com/title/tt2024544/?ref_=fn_tt_tt_1,English,2.35
Charles Stone III,284,http://www.imdb.com/title/tt0303933/?ref_=fn_tt_tt_1,English,2.35
Tyler Perry,721,http://www.imdb.com/title/tt1391137/?ref_=fn_tt_tt_1,English,1.85
Tim Burton,658,http://www.imdb.com/title/tt0099487/?ref_=fn_tt_tt_1,English,1.85
Thea Sharrock,418,http://www.imdb.com/title/tt2674426/?ref_=fn_tt_tt_1,English,2.35
Tyler Perry,582,http://www.imdb.com/title/tt2215285/?ref_=fn_tt_tt_1,English,1.85
William Friedkin,109,http://www.imdb.com/title/tt0067116/?ref_=fn_tt_tt_1,English,1.85
Jon Lucas,851,http://www.imdb.com/title/tt4651520/?ref_=fn_tt_tt_1,English,
Aaron Seltzer,729,http://www.imdb.com/title/tt0466342/?ref_=fn_tt_tt_1,English,1.85
