actor_2_name,cast_total_facebook_likes,country,title_year,imdb_score
Marie Avgeropoulos,4072,Canada,2009,5.3
Ari Graynor,16004,USA,2009,6.5
Richard Farnsworth,927,USA,1981,5.0
Jamie Lee Curtis,14995,USA,2001,6.1
Dennis Franz,1067,USA,1981,7.4
Paul Freeman,676,USA,2013,4.4
Kate Burton,1466,USA,1997,7.5
Annie Parisse,1673,USA,2014,5.7
Shelley Long,2368,USA,1989,5.5
Shaun Evans,847,Canada,2004,7.1
Karen Young,711,USA,1986,5.9
Ralph Richardson,1263,USA,1981,6.7
Kerry Condon,1341,Germany,2009,7.0
Bill Murray,56585,USA,1994,7.9
Kate Winslet,39307,USA,2013,6.9
Khulan Chuluun,653,Russia,2007,7.3
Gerard Butler,46944,UK,2008,7.3
Michael Beck,1356,USA,1982,3.5
Brian Blessed,1645,UK,1996,7.8
Suzie Steen,1598,Australia,2009,7.4
Sam Shepard,5671,Greece,2016,6.7
Stockard Channing,14843,USA,2003,6.4
Colin Firth,39463,Australia,2013,7.1
Dylan Walsh,1906,USA,,6.7
Burghart Klaußner,167,Germany,2009,7.8
Anna Harr,1498,USA,2016,4.0
Randy Quaid,2319,USA,1986,5.9
Meat Loaf,4094,USA,2002,7.2
Mackenzie Gray,1083,USA,2013,7.2
Brad Renfro,2215,Germany,2008,5.1
Nora von Waldstätten,1032,France,,7.7
Simón Andreu,198,France,2009,5.5
Joaquim de Almeida,2705,Spain,1999,6.2
John Amplas,1592,USA,1985,7.2
Rebecca De Mornay,3212,USA,2016,5.2
Catherine McCormack,1185,France,2006,6.7
Landon Liboiron,4142,Canada,2015,6.3
Brigitte Nielsen,1243,Netherlands,1985,5.0
Toby Jones,25804,Spain,2012,6.2
Joe Lo Truglio,17584,USA,2007,7.6
Keshia Knight Pulliam,3699,USA,2009,4.1
Jennifer Hale,13545,France,2014,5.3
Mari Koda,816,USA,2008,6.2
Chazz Palminteri,14385,USA,2005,6.5
Sophie Okonedo,4142,UK,2004,8.1
Dougray Scott,2124,France,2007,6.3
Mary J. Blige,1373,USA,2013,4.4
50 Cent,16735,USA,2014,4.6
Shawn Andrews,245,USA,2002,6.0
Elaine Cassidy,956,USA,2001,7.6
Carrie Henn,4228,USA,1986,8.4
Rex Harrison,1164,USA,1964,7.9
Sarah Michelle Gellar,50284,USA,1997,5.6
Damon Wayans Jr.,3627,USA,2014,6.5
Patrick Gallagher,2170,USA,2004,7.5
Owain Yeoman,35345,USA,2006,6.3
Donald Pleasence,4400,USA,1978,7.9
Tony Chiu Wai Leung,6229,China,2002,7.9
Molly Shannon,2164,USA,2003,5.1
Sanaa Lathan,5306,USA,2013,6.7
Common,19410,UK,2006,6.7
Gina Holden,1978,Canada,2010,5.6
Vinessa Shaw,3294,USA,2002,5.6
Olivia Wilde,25549,USA,2010,6.8
Chris Kattan,9271,USA,1998,6.2
Mary-Kate Olsen,17396,USA,2011,5.6
Greg Nicotero,4500,USA,2006,6.4
Jenna Boyd,2713,USA,2003,5.6
Valente Rodriguez,952,USA,2015,7.4
Loretta Devine,4797,USA,2010,4.9
Adam Boyer,1538,USA,2006,6.0
Hana Mae Lee,12676,USA,2012,7.2
Brian Dennehy,3344,USA,2001,4.9
Bridget Fonda,2365,UK,1998,7.5
Ethan Embry,4060,USA,2002,4.8
Larry the Cable Guy,2135,USA,2006,3.1
Kevin Clash,2020,USA,1999,5.8
Lili Taylor,6317,USA,2009,6.7
David Niven,1567,USA,1963,6.8
Elizabeth Blackmore,673,USA,2013,6.5
Harland Williams,2016,USA,2009,5.9
Dennis Quaid,5992,USA,2006,5.5
Margot Kidder,3007,UK,1987,3.6
Clé Bennett,760,Canada,2007,3.3
Chazz Palminteri,27381,Germany,2006,7.4
Jeremy Northam,1727,USA,2004,6.7
Paul Freeman,805,UK,1986,3.0
Eddie Marsan,4210,USA,2006,7.6
Melanie Griffith,1262,USA,1981,6.4
David Murray,409,Ireland,2003,6.9
Brady Corbet,14492,France,2014,6.6
Curtis Armstrong,2340,France,2006,5.5
Jess Harnell,1364,France,2008,6.6
Jan-Michael Vincent,1769,USA,1977,5.2
Rick Gomez,730,USA,2012,4.1
Jamie Lee Curtis,5433,USA,1991,6.8
Ty Burrell,25173,USA,2006,6.5
Eddie Marsan,4210,USA,2006,7.6
Tamara Tunie,1607,USA,1987,7.4
Kate Winslet,41059,USA,1995,7.7
Julie Walters,12554,UK,2007,7.1
Matt Long,2785,USA,2007,6.3
Kim Dickens,2282,USA,2003,7.6
Josh Charles,51609,USA,1989,8.0
Mike Starr,2985,USA,1994,7.3
Gretchen Palmer,485,USA,1989,7.6
James Mason,2330,USA,1982,7.8
Rachel Blanchard,3889,USA,2000,6.5
Ron Lester,23369,USA,1999,6.4
Ed Lauter,4606,France,2011,8.0
Atticus Shaffer,12183,USA,2009,4.8
Bill Murray,27911,USA,2012,7.8
Jordana Brewster,26402,USA,2006,5.9
Vincent Walsh,824,USA,2016,5.4
Kenan Thompson,3058,USA,2002,3.3
Maribel Verdú,1322,Spain,2006,8.2
Jessika Van,4561,USA,,6.6
Angus T. Jones,4194,USA,2001,5.4
Snoop Dogg,3107,USA,2001,6.4
Danneel Ackles,5349,USA,2011,4.8
Erik Per Sullivan,2543,USA,2001,5.9
Alonna Shaw,874,USA,1991,5.5
Joe Cornish,485,UK,2007,7.9
Debi Mazar,3485,USA,2008,4.9
Kevin Dunn,19894,Spain,2008,7.2
Michael Nyqvist,2762,Sweden,2007,6.6
Jay Hernandez,18786,USA,2016,6.7
Amanda Detmer,3451,USA,2000,5.3
Cole Hauser,2572,USA,2002,7.2
Amy Sedaris,24805,USA,2009,5.1
Jamie Lee Curtis,11078,USA,2000,5.6
Don Pardo,1653,USA,1987,7.6
Lea Thompson,15044,USA,2014,3.1
Lena Olin,22088,USA,2010,7.2
Alexandra Holden,1882,USA,2003,5.7
Alyson Hannigan,14677,USA,1988,5.2
Tom Hanks,33865,USA,1993,7.7
Craig Bierko,2389,Germany,1999,7.0
Vincent Pastore,3835,USA,2004,3.6
Karl Malden,1945,USA,1979,4.9
Marian Seldes,1227,USA,2000,6.0
Debra Messing,12766,USA,2002,6.6
Lin Shaye,2518,USA,1999,6.8
Jon Polito,1852,UK,1986,7.2
Omar Benson Miller,1889,USA,2007,7.2
Annabeth Gish,3100,USA,1997,2.8
Dagmara Dominczyk,11019,USA,2013,6.6
Natasha Richardson,2096,UK,2005,6.7
Spencer Wilding,5056,UK,2013,7.0
Snoop Dogg,3935,USA,2004,4.4
Kad Merad,329,France,2008,7.1
Jodie Whittaker,11091,UK,2008,6.2
Emily Alyn Lind,943,France,2009,7.3
Justin Kirk,3086,USA,2012,5.1
Sarah Roemer,4453,USA,2009,8.1
Tanya van Graan,5273,France,2013,6.7
Tim Blake Nelson,2896,USA,2014,6.6
Jenifer Lewis,3104,USA,2002,4.5
Trond Fausa,537,Norway,,8.1
Marie-Josée Croze,699,Canada,2002,6.6
