actor_3_facebook_likes,language
826,English
957,English
283,English
368,English
585,English
1000,English
294,English
159,English
174,English
767,English
3000,English
258,English
706,English
186,English
323,English
158,English
717,English
39,English
434,English
72,English
432,English
5,English
210,English
1000,English
447,English
401,English
282,English
163,English
323,English
201,English
511,English
581,English
294,English
764,English
398,English
521,English
639,English
303,English
256,English
730,English
655,English
509,English
795,English
15,English
11000,English
692,English
317,English
479,English
2000,English
405,English
600,English
897,English
602,English
1000,English
592,English
809,English
1000,English
338,English
591,English
982,English
77,English
848,English
184,English
380,English
830,English
215,English
440,English
0,English
502,English
308,English
237,English
235,English
393,English
194,English
261,English
1000,English
821,English
484,English
886,English
600,English
482,English
23,English
302,English
59,Hindi
327,English
835,English
807,English
535,English
12,Russian
677,English
77,English
692,English
135,English
319,English
906,English
364,English
826,English
255,English
345,English
522,English
628,English
558,English
750,English
213,English
311,English
995,English
956,English
551,English
760,English
308,English
586,English
1000,English
854,English
436,English
179,English
84,English
595,English
730,English
67,English
514,English
560,English
548,English
1000,English
140,English
20,English
808,English
559,English
3000,English
651,English
631,English
443,English
734,English
501,English
132,English
563,English
404,English
167,English
252,English
8000,English
202,English
107,English
10000,English
795,English
510,English
322,English
451,English
553,English
19,English
2000,English
20,English
579,English
820,English
805,English
501,English
855,English
826,English
10,Mandarin
61,English
865,English
50,English
114,French
269,English
104,English
500,English
650,English
812,English
789,English
893,English
668,English
643,English
40,English
678,English
520,English
287,English
225,English
664,English
5000,English
16,English
957,English
135,English
350,English
839,English
427,English
206,English
650,English
547,English
749,English
595,English
491,English
505,English
292,English
395,English
412,English
275,English
913,English
808,English
687,English
16,English
576,Mandarin
497,English
365,English
433,English
253,English
52,French
196,English
6,French
996,English
96,English
766,English
54,English
296,English
225,English
14000,English
723,English
298,English
690,English
903,English
716,English
2000,English
1000,English
597,English
127,English
251,English
336,English
81,English
49,English
807,English
71,English
690,English
723,English
10000,English
923,English
898,English
1000,English
839,English
249,English
808,English
655,English
322,English
748,English
175,English
882,English
257,English
398,English
4,English
633,English
8000,English
465,English
651,English
119,English
748,English
423,English
389,English
177,English
418,English
823,English
968,English
720,English
638,English
767,English
19000,English
465,English
91,English
19,Maya
162,English
520,English
204,English
501,English
211,English
280,English
988,English
681,English
235,English
913,English
416,English
11000,English
0,English
473,English
287,English
586,English
664,English
57,English
78,English
687,English
173,English
552,English
214,English
235,English
495,English
584,English
754,English
223,English
12,English
490,English
3000,English
510,English
64,English
58,English
441,English
249,English
715,English
294,English
210,English
44,English
327,English
19000,English
903,English
135,English
354,English
353,English
674,English
795,English
616,English
685,English
1000,English
889,English
683,English
826,English
497,English
351,English
284,English
572,English
563,English
311,English
402,English
54,French
762,English
624,English
171,English
613,English
595,English
835,English
287,English
500,English
706,English
249,English
485,English
61,English
259,English
443,English
219,English
167,English
39,English
379,English
87,English
173,English
502,English
472,English
2,English
385,English
483,Mandarin
533,Kazakh
398,English
541,French
596,English
380,English
72,Telugu
100,English
433,English
4000,English
787,English
279,English
511,English
420,English
785,English
478,Mandarin
559,English
954,English
275,English
1000,English
906,English
7,Mandarin
1000,English
501,English
46,English
494,English
789,English
692,English
377,English
280,English
