actor_1_name,actor_3_name,country
Joseph Gordon-Levitt,Laz Alonso,USA
Li Gong,Man Li,China
Nicolas Cage,James With,USA
Zooey Deschanel,Omar Epps,USA
Marcela Mar,Unax Ugalde,USA
Pierre Perrier,Céline Sallette,France
Sam Waterston,Nicholas Turturro,USA
Daniel Kaluuya,Togo Igawa,USA
Jerry Stiller,Harvey Fierstein,USA
Clea DuVall,Tate Donovan,USA
Harrison Ford,Sela Ward,USA
Gerard Butler,Peter Greene,USA
Robert De Niro,Minnie Driver,USA
Sylvester Stallone,Martin Kove,USA
Joseph Gordon-Levitt,Anne Heche,USA
Mel Blanc,Cliff Edwards,USA
Jeff Bridges,Isabelle Huppert,USA
Sophia Myles,Derek Jacobi,USA
Daniel Radcliffe,Daniel Mays,USA
F. Murray Abraham,Michael Nouri,USA
Steve Buscemi,Elizabeth Perkins,USA
Morgan Freeman,Bob Hoskins,France
Judith Chapman,Chelsea Bond,USA
Tom Cruise,Wilford Brimley,USA
Augustus Prew,Valerie Tian,USA
Jason Statham,Mini Anden,USA
Channing Tatum,Rob Riggle,USA
Julia Roberts,Dylan Moran,UK
Imelda Staunton,Julia Sawalha,UK
Philip Seymour Hoffman,Debra Messing,USA
John Witherspoon,Geoffrey Holder,USA
Michael Rapaport,Demián Bichir,USA
Martin Landau,Roddy McDowall,UK
Salma Hayek,Charice,USA
Morgan Freeman,Bruce Davison,USA
Jeff Bridges,Mimi Rogers,USA
Debra Messing,David Eigenberg,USA
Bono,Slash,USA
Robert Davi,Anthony Zerbe,UK
Gary Oldman,Virginia Madsen,USA
Robert De Niro,Kelsey Grammer,USA
Bob Hoskins,Fiona Shaw,UK
Nicolas Cage,Jared Burke,USA
Jet Li,Maggie Cheung,China
Fisher Stevens,Patrick Fischler,USA
James Franco,Anders Holm,USA
Tony Cox,Jed Brophy,New Zealand
Tim Conway,Bob Hastings,USA
Omar Sy,André Dussollier,France
Mekhi Phifer,Evan Jones,USA
Jamel Debbouze,Mélissa Theuriau,France
Heath Ledger,Bérénice Bejo,USA
Julian Sands,Anthony Chau-Sang Wong,Hong Kong
Bruce Willis,Olivia Williams,USA
Robert Clohessy,J. Smith-Cameron,USA
Joel McHale,JoBeth Williams,USA
Martin Kove,William Bassett,USA
Jennifer Lawrence,Bradley Cooper,USA
Ryan Reynolds,Craig T. Nelson,USA
Bruce Greenwood,Bruce Campbell,USA
Lea Thompson,Thomas F. Wilson,USA
Scarlett Johansson,Amr Waked,France
Jennifer Ehle,Callum Rennie,USA
Sylvester Stallone,Alexa PenaVega,USA
Kevin Spacey,Oliver Platt,USA
Tom Welling,Bonnie Hunt,USA
Jerry Ferrara,Dan Bilzerian,USA
Tom Hanks,Rosie O'Donnell,USA
Javier Botet,Robin Atkin Downes,USA
Andrew Garfield,Marcella Lentz-Pope,USA
Carmen Perez,Sachiko Ishida,USA
Beau Mirchoff,Regina Hall,USA
Kelly Rutherford,Nancy O'Dell,USA
Lea Thompson,Thomas F. Wilson,USA
Will Ferrell,Craig T. Nelson,USA
Keanu Reeves,Gary Oldman,USA
Meryl Streep,Vanessa Ferlito,USA
Harrison Ford,Nicole Beharie,USA
Philip Seymour Hoffman,Jack Davenport,USA
Bill Murray,Rob Riggle,USA
Paul Walker,Wendy Crewson,USA
Robert De Niro,Rene Russo,USA
Olivia Munn,Bruce McGill,USA
Wes Studi,Eric Schweig,USA
Bokeem Woodbine,Harry Lennix,USA
Rosario Dawson,Jason Douglas,USA
Dennis Quaid,William Hurt,USA
J.K. Simmons,Jane Curtin,USA
Jason Alexander,Susan Ward,USA
Sally Kirkland,Cheryl Penland,France
Chloë Grace Moretz,Marisol Nichols,USA
J.K. Simmons,Julia Roberts,USA
Finn Wittrock,Alex Russell,USA
Matthew Perry,Thomas Lennon,USA
Don Johnson,David Thornton,USA
Krista Allen,Shantel VanSanten,USA
Tom Hanks,Amy Ryan,USA
Joaquim de Almeida,Sam Jaeger,USA
Pink,Lino Facioli,USA
Lisa Ann Walter,Omar Benson Miller,USA
Kirsten Dunst,Robert Picardo,USA
Michael Jai White,Miko Hughes,USA
Henry Cavill,Michael Wincott,UK
Matthew McConaughey,Frances Fisher,USA
Liam Neeson,Aidan Quinn,UK
Christian Bale,Scarlett Johansson,USA
Kevin Spacey,Lindsay Sloane,USA
Brendan Fraser,Jonathan Morgan Heit,USA
Rudy Youngblood,Jonathan Brewer,USA
Joe Don Baker,Art Malik,UK
Topher Grace,Derek Mears,USA
Brian Dennehy,Roscoe Lee Browne,USA
Johnny Depp,Timothy Hutton,USA
Keanu Reeves,Ebon Moss-Bachrach,USA
Gena Rowlands,Joy Bryant,USA
Jennifer Garner,Common,USA
Busy Philipps,Kevin Sussman,USA
Johnny Cannizzaro,Scott Vance,USA
Matt Damon,Virginia Madsen,USA
Robert Downey Jr.,Bernard Hill,USA
Anthony Hopkins,Matthew McConaughey,USA
Lorraine Bracco,Sean Connery,USA
Sam Trammell,Ian Whyte,USA
Macaulay Culkin,Jonathan Hyde,USA
J.K. Simmons,Elaine Stritch,USA
Brad Garrett,Haley Bennett,USA
Bobby Lee,Jeremy Owen,USA
Miriam Margolyes,Julene Renee,USA
Alison Brie,Shenae Grimes-Beech,USA
Nicolas Cage,Anthony Heald,Germany
Michael Wincott,Kathleen Quinlan,USA
James Wilcox,Nat Faxon,USA
Adam Arkin,Jesse James,Germany
Emma Bell,Courtney B. Vance,USA
Jeanne Tripplehorn,Vincent Pastore,UK
Kevin Spacey,Angie Dickinson,USA
Jimmy Fallon,Ione Skye,USA
Bruce Dinsmore,Daniel Brochu,Canada
Lisa Ann Walter,Matt Walsh,USA
Liam Neeson,Seth MacFarlane,USA
Jonathan Winters,John Kapelos,USA
Tom Hanks,Stephen Henderson,USA
Noah Bean,Vanessa Aspillaga,USA
50 Cent,Marc John Jefferies,USA
Michael Biehn,Anne Archer,USA
Rosario Dawson,Jesse L. Martin,USA
Rufus Sewell,Angela Bettis,USA
Oliver Hudson,Carlease Burke,USA
Marlon Brando,Marco Hofschneider,USA
Catherine Deneuve,Stephen Rea,Germany
Natalie Portman,Benedict Cumberbatch,UK
Keanu Reeves,Frank Langella,USA
Stephen Rea,William Ragsdale,USA
Robert De Niro,David Proval,USA
Ed Begley Jr.,Lillo Brancato,USA
Jordi Mollà,Jesse Borrego,France
Gary Oldman,Eric Idle,USA
Robert De Niro,John Doman,USA
Mira Sorvino,Steven Weber,USA
Dane Cook,Christina Milian,USA
Al Pacino,Bridget Fonda,USA
Bobbie Phillips,Robert Davi,France
Kirsten Dunst,Rip Torn,USA
Nicolas Cage,Philip Baker Hall,USA
Sylvester Stallone,Lauren Lee Smith,USA
Naomi Watts,Oaklee Pendergast,Spain
Carol Kane,Isabelle Adjani,USA
Bill Murray,Helen McCrory,USA
Angelina Jolie Pitt,James Gammon,USA
Richard Epcar,Patricia Heaton,USA
Mathieu Kassovitz,Isabelle Nanty,France
Mary-Kate Olsen,Riley Smith,USA
Omar Epps,Jane Krakowski,UK
Ted Danson,Andrew Daly,USA
Alexa PenaVega,Jonathan Jackson,USA
Natascha McElhone,Udo Kier,UK
Josh Hutcherson,Patrick Fugit,USA
Daniel Radcliffe,Daniel Mays,USA
Justin Theroux,Harvey Fierstein,USA
Bernie Mac,Mike Epps,USA
M. Emmet Walsh,Anne Archer,UK
Michael Jai White,Xander Berkeley,USA
Norman Reedus,Eddie Rouse,Germany
Gary Dourdan,Tim Guinee,USA
Rufus Sewell,Rupert Graves,UK
Bridgette Wilson-Sampras,John Aylward,France
Chris Evans,Troy Garity,UK
John Gatins,Greg Collins,USA
Eric Idle,Kelly Ripa,USA
Ray Winstone,Jasmine Trinca,USA
Alex Pettyfer,Ashley Walters,Germany
Sarah Roemer,Jose Pablo Cantillo,USA
Angelina Jolie Pitt,Lorraine Bracco,USA
James Brolin,Ljubomir Kerekes,USA
Jennifer Jason Leigh,John Mahoney,UK
Jet Li,Andy Lau,Hong Kong
Jay Hernandez,Jason Scott Lee,France
Chris Evans,Kang-ho Song,South Korea
Adam Goldberg,François Cluzet,France
Matthew Broderick,Tim Blake Nelson,USA
Michael Wincott,David Patrick Kelly,USA
Tamannaah Bhatia,Prabhas,India
Arliss Howard,Michelle Nolden,USA
Colin Ferguson,Tom Everett Scott,USA
Paul Walker,Jordana Brewster,USA
Martin Landau,Atticus Shaffer,USA
Adam Baldwin,Michael Hitchcock,USA
Omar Epps,Tim Daly,USA
Margot Kidder,Jackie Cooper,UK
Robert De Niro,Oscar Gale,USA
Takeshi Kaneshiro,Wei Zhao,China
Ethan Embry,Courtney Gains,USA
Gerard Butler,Eric Winter,USA
Austin Pendleton,Max Casella,USA
Steve Buscemi,Emily Osment,USA
LeVar Burton,Jonathan Frakes,USA
Tony Chiu Wai Leung,Elvis Tsui,Hong Kong
Robert Pattinson,James Frain,USA
Joseph Gordon-Levitt,Kristen Johnston,USA
Blythe Auffarth,Jiao Xu,China
Denzel Washington,Deborah Kara Unger,USA
Bill Cobbs,Billy Campbell,USA
Sarah Silverman,Jeffrey Jones,USA
D.B. Woodside,Eduardo Verástegui,USA
Sonia Braga,Kari Matchett,USA
Jim Belushi,Kelly Lynch,USA
Johnny Depp,Lena Olin,Spain
J.K. Simmons,Bill Nunn,USA
Beth Grant,Matthew Glave,USA
