actor_3_facebook_likes,movie_title,plot_keywords,movie_imdb_link,content_rating,aspect_ratio,movie_facebook_likes
30,Departure ,france|gay|language|male masturbation|masturbation,http://www.imdb.com/title/tt2248739/?ref_=fn_tt_tt_1,,1.85,75
365,The Sessions ,falling in love|iron lung|priest|sex surrogate|therapist,http://www.imdb.com/title/tt1866249/?ref_=fn_tt_tt_1,R,1.85,11000
2,Food, Inc. ,farming|flesh eating|food|food industry|gluttony,http://www.imdb.com/title/tt1286537/?ref_=fn_tt_tt_1,PG,1.78,37000
245,October Baby ,abortion|anti choice|christian preach|malpractice|unprofessional conduct,http://www.imdb.com/title/tt1720182/?ref_=fn_tt_tt_1,PG-13,,0
458,Next Stop Wonderland ,love|marine biologist|nurse|personal ad|plumber,http://www.imdb.com/title/tt0119778/?ref_=fn_tt_tt_1,R,1.85,392
973,Juno ,adoption|baby|friend|pregnancy|school,http://www.imdb.com/title/tt0467406/?ref_=fn_tt_tt_1,PG-13,1.85,10000
180,The Skeleton Twins ,adultery|brother sister relationship|estrangement|siblings|suicide attempt,http://www.imdb.com/title/tt1571249/?ref_=fn_tt_tt_1,R,2.35,0
287,Martha Marcy May Marlene ,connecticut|cult|memory|new york|telephone call,http://www.imdb.com/title/tt1441326/?ref_=fn_tt_tt_1,R,2.35,0
313,Obvious Child ,abortion|divorced parents|one night stand|pregnancy|pregnant,http://www.imdb.com/title/tt2910274/?ref_=fn_tt_tt_1,R,2.35,0
229,Frozen River ,border|mohawk|money|new york|river,http://www.imdb.com/title/tt0978759/?ref_=fn_tt_tt_1,R,1.85,0
13,20 Feet from Stardom ,backup singer|band|bechdel test passed|concert footage|singer,http://www.imdb.com/title/tt2396566/?ref_=fn_tt_tt_1,PG-13,1.78,14000
13,Two Girls and a Guy ,actor|anilingus|double cross|funeral home|two timing,http://www.imdb.com/title/tt0124179/?ref_=fn_tt_tt_1,R,1.85,387
584,Walking and Talking ,briefs|cancer|cat|cult film|friend,http://www.imdb.com/title/tt0118113/?ref_=fn_tt_tt_1,R,1.85,227
121,The Full Monty ,dole|male stripper|northern england|steel worker|unemployment,http://www.imdb.com/title/tt0119164/?ref_=fn_tt_tt_1,R,1.85,0
5,Who Killed the Electric Car? ,california|car|reference to ralph nader|technology|u.s. president,http://www.imdb.com/title/tt0489037/?ref_=fn_tt_tt_1,PG,1.75,0
428,The Broken Hearts Club: A Romantic Comedy ,friend|gay|lesbian|photographer|restaurant,http://www.imdb.com/title/tt0222850/?ref_=fn_tt_tt_1,R,2.35,671
124,Bubba Ho-Tep ,cult film|elvis|elvis presley|nursing home|texas,http://www.imdb.com/title/tt0281686/?ref_=fn_tt_tt_1,R,1.85,0
543,Goosebumps ,based on book|blob|ferris wheel|manuscript|monster,http://www.imdb.com/title/tt1051904/?ref_=fn_tt_tt_1,PG,2.35,35000
6,Slam ,gang|independent film|prison|racial slur|urban setting,http://www.imdb.com/title/tt0139615/?ref_=fn_tt_tt_1,R,1.85,603
25,Brigham City ,fbi agent|mormon|prayer|sheriff|utah,http://www.imdb.com/title/tt0268200/?ref_=fn_tt_tt_1,PG-13,1.85,100
97,Fiza ,mumbai riots|politician|riot|suicide|tragic event,http://www.imdb.com/title/tt0248012/?ref_=fn_tt_tt_1,,2.35,92
842,History of the World: Part I ,french revolution|old testament|part of an unfinished series|reference to john wayne|roman emperor,http://www.imdb.com/title/tt0082517/?ref_=fn_tt_tt_1,R,2.35,0
194,Orgazmo ,book of mormon|fight|mormon|ray gun|sidekick,http://www.imdb.com/title/tt0124819/?ref_=fn_tt_tt_1,NC-17,1.85,0
463,All the Real Girls ,best friend|lake|love|small town|womanizer,http://www.imdb.com/title/tt0299458/?ref_=fn_tt_tt_1,R,2.35,571
301,Dream with the Fishes ,dying|to do list|twenty something|underwear|voyeur,http://www.imdb.com/title/tt0119019/?ref_=fn_tt_tt_1,R,1.85,166
275,Blue Car ,contest|poetry|refusing to eat|starving oneself|teenage girl,http://www.imdb.com/title/tt0290145/?ref_=fn_tt_tt_1,R,1.85,115
268,Luminarias ,divorce|friend|jewish|lent|restaurant,http://www.imdb.com/title/tt0160498/?ref_=fn_tt_tt_1,R,,24
145,Palo Alto ,girls' soccer|high school|high school student|soccer coach|teenager,http://www.imdb.com/title/tt2479800/?ref_=fn_tt_tt_1,R,1.85,0
7,Ajami ,arab|christian|israeli|palestinian|violence,http://www.imdb.com/title/tt1077262/?ref_=fn_tt_tt_1,,1.85,0
772,Wristcutters: A Love Story ,afterlife|camping|death|hitchhiker|suicide,http://www.imdb.com/title/tt0477139/?ref_=fn_tt_tt_1,R,1.78,11000
11,I Origins ,buddhism|evolution|eye|reincarnation|stuck in elevator,http://www.imdb.com/title/tt2884206/?ref_=fn_tt_tt_1,R,2.39,32000
551,The Battle of Shaker Heights ,bully comeuppance|high school|painter|reference to led zeppelin|wetting pants,http://www.imdb.com/title/tt0357470/?ref_=fn_tt_tt_1,PG-13,1.85,150
310,The Lovely Bones ,1970s|afterlife|heaven|pedophile|rape,http://www.imdb.com/title/tt0380510/?ref_=fn_tt_tt_1,PG-13,2.35,16000
0,The Act of Killing ,death squad|mass killing|musical number|reference to guantanamo bay|surrealism,http://www.imdb.com/title/tt2375605/?ref_=fn_tt_tt_1,Not Rated,1.85,20000
23,Taxi to the Dark Side ,afghanistan|detainee|guantanamo bay|taxi|torture,http://www.imdb.com/title/tt0854678/?ref_=fn_tt_tt_1,R,1.85,0
5,Once in a Lifetime: The Extraordinary Story of the New York Cosmos ,new york|new york cosmos|professional sports|soccer|soccer team,http://www.imdb.com/title/tt0489247/?ref_=fn_tt_tt_1,PG-13,1.85,587
0,Guiana 1838 ,bare chested male|discipline|imperialism|whipping|white slavery,http://www.imdb.com/title/tt0428609/?ref_=fn_tt_tt_1,Unrated,,32
679,Lisa Picard Is Famous ,actress|fame|inside joke|new york|one man show,http://www.imdb.com/title/tt0233699/?ref_=fn_tt_tt_1,PG-13,,25
9,Antarctica: A Year on Ice ,antarctica,http://www.imdb.com/title/tt2361700/?ref_=fn_tt_tt_1,PG,1.85,0
0,A Lego Brickumentary ,artist|denmark|lego|toy|toy company,http://www.imdb.com/title/tt3214286/?ref_=fn_tt_tt_1,G,,0
891,Hardflip ,family relationships|loss of mother|san diego california|single mother|suicide attempt,http://www.imdb.com/title/tt1907639/?ref_=fn_tt_tt_1,PG-13,1.85,706
219,Chocolate: Deep Dark Secrets ,chocolate|christmas|christmas eve|death|suspect,http://www.imdb.com/title/tt0454431/?ref_=fn_tt_tt_1,,,31
725,The House of the Devil ,cult film|eclipse|haunted house|lunar eclipse|secret,http://www.imdb.com/title/tt1172994/?ref_=fn_tt_tt_1,R,1.85,0
271,The Perfect Host ,arm tattoo|bank robbery|cauterizing a wound|dancing on a table|dinner party,http://www.imdb.com/title/tt1334553/?ref_=fn_tt_tt_1,R,1.85,0
117,Safe Men ,gangster|organized crime|robbery|rosh hashanah|safecracking,http://www.imdb.com/title/tt0120813/?ref_=fn_tt_tt_1,R,1.85,157
73,Speedway Junky ,car racing|crush|hustler|scam|watching television,http://www.imdb.com/title/tt0155197/?ref_=fn_tt_tt_1,R,,27
14,The Last Big Thing ,actor|magazine|model|rock band|suburb,http://www.imdb.com/title/tt0161743/?ref_=fn_tt_tt_1,R,1.85,43
490,The Specials ,action figure|press conference|superhero|superhero team|toy,http://www.imdb.com/title/tt0181836/?ref_=fn_tt_tt_1,R,1.85,210
256,16 to Life ,birthday|digit in title|love|masturbation|teenager,http://www.imdb.com/title/tt1130087/?ref_=fn_tt_tt_1,,1.78,143
61,Alone with Her ,female nudity|female pubic hair|masturbation|panties|pubic hair,http://www.imdb.com/title/tt0472259/?ref_=fn_tt_tt_1,Not Rated,1.85,244
150,Creative Control ,art exhibition|augmented reality|cocaine|nervous breakdown|speculative fiction,http://www.imdb.com/title/tt3277624/?ref_=fn_tt_tt_1,R,2.39,793
394,Special ,dream sequence|locked in a room|looking at self in mirror|medication|superhero,http://www.imdb.com/title/tt0479162/?ref_=fn_tt_tt_1,R,1.85,0
422,Sparkler ,automobile association of america|cheating|psychic|reference to tom jones the singer|trailer park,http://www.imdb.com/title/tt0124137/?ref_=fn_tt_tt_1,R,,17
94,The Helix... Loaded ,cnn reporter|ellipsis in title|matrix|punctuation in title|secret agent,http://www.imdb.com/title/tt0401462/?ref_=fn_tt_tt_1,R,1.78,128
176,In Her Line of Fire ,camp|die hard scenario|female protagonist|island|vice president,http://www.imdb.com/title/tt0487156/?ref_=fn_tt_tt_1,R,1.85,42
4,The Jimmy Show ,based on play|character name in title,http://www.imdb.com/title/tt0271020/?ref_=fn_tt_tt_1,R,1.85,47
8,Heli ,corrupt police|drug cartel|drugs|mexico|police,http://www.imdb.com/title/tt2852376/?ref_=fn_tt_tt_1,Not Rated,1.85,0
4,Karachi se Lahore ,pakistan|road trip,http://www.imdb.com/title/tt4590482/?ref_=fn_tt_tt_1,,,259
228,Loving Annabelle ,older woman younger woman relationship|sex with student|teacher|teacher student relationship|title directed by female,http://www.imdb.com/title/tt0323120/?ref_=fn_tt_tt_1,Not Rated,1.85,501
396,Hits ,courtroom|independent film|internet|small town|youtube,http://www.imdb.com/title/tt3145220/?ref_=fn_tt_tt_1,,1.78,903
131,Jimmy and Judy ,police|revenge|sex|suburb|video camera,http://www.imdb.com/title/tt0425151/?ref_=fn_tt_tt_1,R,,138
106,Frat Party ,erotica|masseuse|sister sister relationship|temptation|threesome,http://www.imdb.com/title/tt1414361/?ref_=fn_tt_tt_1,R,16.0,297
47,The Party's Over ,beatnik|businessman|necrophilia|party|partying,http://www.imdb.com/title/tt0060816/?ref_=fn_tt_tt_1,,1.37,32
149,Proud ,,http://www.imdb.com/title/tt0393616/?ref_=fn_tt_tt_1,PG,,141
904,The Poker House ,basketball|drug abuse|interracial rape|iowa|tween girl,http://www.imdb.com/title/tt1014806/?ref_=fn_tt_tt_1,R,1.85,599
171,Childless ,,http://www.imdb.com/title/tt0867270/?ref_=fn_tt_tt_1,R,,3
23,ZMD: Zombies of Mass Destruction ,cult|homosexual|island|survival horror|zombie,http://www.imdb.com/title/tt1134674/?ref_=fn_tt_tt_1,R,1.85,0
317,Snow White: A Deadly Summer ,reference to snow white|sleeping bag|stepmother stepdaughter relationship|strangulation|totem pole,http://www.imdb.com/title/tt2149137/?ref_=fn_tt_tt_1,PG-13,1.78,150
0,Hidden Away ,best friend|deportation|moroccan|unrequited love|xenophobia,http://www.imdb.com/title/tt3289362/?ref_=fn_tt_tt_1,Unrated,2.35,68
360,My Last Day Without You ,business trip|german|love|new york|singer songwriter,http://www.imdb.com/title/tt1679248/?ref_=fn_tt_tt_1,,1.66,370
110,Steppin: The Movie ,,http://www.imdb.com/title/tt0826751/?ref_=fn_tt_tt_1,PG-13,,41
402,Doc Holliday's Revenge ,1880s|cowboy|low budget film|shoot out|wild west,http://www.imdb.com/title/tt3359872/?ref_=fn_tt_tt_1,PG-13,1.78,54
37,Black Rock ,bare breasts|female frontal nudity|hunter|island|weekend,http://www.imdb.com/title/tt1930294/?ref_=fn_tt_tt_1,R,1.85,0
177,Truth or Die ,cabin in the woods|drinking acid|introvert|lesbian kiss|truth or dare,http://www.imdb.com/title/tt1838722/?ref_=fn_tt_tt_1,Not Rated,2.35,968
0,The Pet ,dominance submissiveness|female nudity|human branding|human pet|power exchange,http://www.imdb.com/title/tt0825728/?ref_=fn_tt_tt_1,,,91
36,Bang Bang Baby ,,http://www.imdb.com/title/tt2655734/?ref_=fn_tt_tt_1,,,48
253,Fear Clinic ,bare breasts|based on web series|claustrophobia|doctor|phobia,http://www.imdb.com/title/tt2165765/?ref_=fn_tt_tt_1,R,2.35,936
115,Zombie Hunter ,desert|drifter|seduction|siege|zombie,http://www.imdb.com/title/tt2446502/?ref_=fn_tt_tt_1,Not Rated,2.35,0
426,A Fine Step ,,http://www.imdb.com/title/tt1604100/?ref_=fn_tt_tt_1,PG,,212
888,Trance ,amnesia|criminal|heist|hypnotherapy|lost painting,http://www.imdb.com/title/tt1924429/?ref_=fn_tt_tt_1,R,2.35,23000
113,Charly ,disability|experiment|genius|intelligence|mouse,http://www.imdb.com/title/tt0062794/?ref_=fn_tt_tt_1,PG,2.35,785
302,Banshee Chapter ,experiment|lsd|missing friend|mk ultra|radio broadcast,http://www.imdb.com/title/tt2011276/?ref_=fn_tt_tt_1,R,,2000
223,Jesse             ,1990s|brother sister relationship|female protagonist|single mother|sitcom,http://www.imdb.com/title/tt0156196/?ref_=fn_tt_tt_1,,,57
354,Ask Me Anything ,bare breasts|female protagonist,http://www.imdb.com/title/tt2505294/?ref_=fn_tt_tt_1,Not Rated,,884
558,And Then Came Love ,facebook|imdb|mediaatlarge.com|mediaatlargellc|sperm donor,http://www.imdb.com/title/tt0825346/?ref_=fn_tt_tt_1,,,42
17,Food Chains ,two word title,http://www.imdb.com/title/tt2141739/?ref_=fn_tt_tt_1,,,489
279,On the Waterfront ,death|dock|longshoreman|murder|union,http://www.imdb.com/title/tt0047296/?ref_=fn_tt_tt_1,Not Rated,1.85,0
501,L!fe Happens ,friendship|los angeles california|one night stand|roommate|single mother,http://www.imdb.com/title/tt1726589/?ref_=fn_tt_tt_1,R,2.35,995
27,4 Months, 3 Weeks and 2 Days ,female rear nudity|friend|hotel|rainy night|towel,http://www.imdb.com/title/tt1032846/?ref_=fn_tt_tt_1,Not Rated,1.85,14000
76,The Horror Network Vol. 1 ,anthology,http://www.imdb.com/title/tt3034146/?ref_=fn_tt_tt_1,,,52
0,Hard Candy ,chatting|missing person poster|online dating|photographer|sexual predator,http://www.imdb.com/title/tt0424136/?ref_=fn_tt_tt_1,R,2.35,12000
659,The Quiet ,deaf|death|dysfunctional family|godparent|secret,http://www.imdb.com/title/tt0414951/?ref_=fn_tt_tt_1,R,2.35,698
127,Circumstance ,closeted lesbian|iranian|islamophobia|propaganda|teenager,http://www.imdb.com/title/tt1684628/?ref_=fn_tt_tt_1,R,2.35,0
88,Fruitvale Station ,22 year old|b.a.r.t.|bay area|birthday|police,http://www.imdb.com/title/tt2334649/?ref_=fn_tt_tt_1,R,1.85,17000
727,The Brass Teapot ,mini dress|mini skirt|money|voyeur|voyeurism,http://www.imdb.com/title/tt1935902/?ref_=fn_tt_tt_1,R,2.35,0
8,Bambi ,animal|bambi|deer|forest|hunter,http://www.imdb.com/title/tt0034492/?ref_=fn_tt_tt_1,Approved,1.33,0
102,The Hammer ,birthday|boxing|coach|gym|olympics,http://www.imdb.com/title/tt0814130/?ref_=fn_tt_tt_1,R,,337
874,Snitch ,cigarette smoking|dea|drugs|inspired by true events|undercover,http://www.imdb.com/title/tt0882977/?ref_=fn_tt_tt_1,PG-13,2.35,12000
522,Latter Days ,christian|male frontal nudity|mormon|mormon missionary|nudity,http://www.imdb.com/title/tt0345551/?ref_=fn_tt_tt_1,R,1.85,0
