director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,genres,actor_1_name,cast_total_facebook_likes,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Todd Phillips,383,102,480,461,Comedy,Bradley Cooper,16143,80000000,2011,670,6.5,2.35,56000
Tim Burton,153,126,13000,390,Action,Michael Gough,2899,80000000,1992,811,7.0,1.85,0
Tim Johnson,166,83,12,925,Adventure|Animation|Comedy|Family,Bruce Willis,22813,80000000,2006,7000,6.8,1.85,0
Dean DeBlois,180,85,255,443,Adventure|Animation|Comedy|Drama|Family|Fantasy|Sci-Fi,Tia Carrere,3112,80000000,2002,533,7.2,1.66,0
Gary Winick,120,97,56,852,Comedy|Family|Fantasy,Steve Buscemi,23907,,2006,8000,6.4,1.85,0
Mimi Leder,125,120,75,3000,Action|Drama|Romance|Sci-Fi|Thriller,Morgan Freeman,22750,75000000,1998,4000,6.1,2.35,0
Dean Parisot,234,116,23,110,Action|Comedy|Crime|Thriller,Bruce Willis,25220,84000000,2013,12000,6.7,2.35,22000
Peter Segal,134,113,88,421,Comedy|Crime|Sport,Adam Sandler,13693,82000000,2005,437,6.4,2.35,0
Mike Mitchell,91,87,31,733,Adventure|Animation|Comedy|Family|Fantasy|Music,Amy Poehler,4073,75000000,2011,1000,4.4,1.85,0
Dennis Dugan,139,101,221,11000,Comedy,Steve Buscemi,39269,80000000,2013,11000,5.4,1.85,14000
Peter Segal,265,110,88,11000,Action|Adventure|Comedy,Bill Murray,44798,80000000,2008,12000,6.5,1.85,0
Nancy Meyers,145,128,278,343,Comedy|Drama|Romance,Keanu Reeves,22679,80000000,2003,4000,6.7,1.85,0
Martin Scorsese,490,138,17000,163,Mystery|Thriller,Leonardo DiCaprio,29585,80000000,2010,223,8.1,2.35,53000
Seth Gordon,141,88,91,982,Comedy|Drama|Romance,Jon Favreau,9913,80000000,2008,3000,5.6,1.85,0
Chris Wedge,163,91,77,208,Adventure|Animation|Comedy|Family|Sci-Fi,Jim Broadbent,1804,75000000,2005,311,6.3,1.85,0
John Woo,155,138,610,805,Action|Crime|Sci-Fi|Thriller,Nicolas Cage,17087,80000000,1997,1000,7.3,2.35,11000
Adam Shankman,144,99,163,495,Comedy|Family|Fantasy|Romance,Adam Sandler,12831,80000000,2008,869,6.1,2.35,0
Sam Mendes,226,117,0,818,Crime|Drama|Thriller,Tom Hanks,16828,80000000,2002,1000,7.7,2.35,0
Dennis Dugan,204,117,221,503,Comedy|Romance,Adam Sandler,16325,80000000,2011,3000,6.4,1.85,19000
,95,54,,0,Action|Adventure|Crime|Drama|Sci-Fi|Thriller,Elden Henson,581,,,4,8.8,16.0,55000
Simon West,139,123,165,744,Action|Crime|Thriller,Steve Buscemi,15362,75000000,1997,878,6.8,2.35,0
D.J. Caruso,215,118,154,915,Action|Mystery|Thriller,Rosario Dawson,5637,80000000,2008,982,6.6,2.35,0
Anthony Minghella,198,154,333,16000,Adventure|Drama|History|Romance|War,Philip Seymour Hoffman,61110,79000000,2003,20000,7.2,2.35,0
Albert Hughes,325,118,117,10000,Action|Adventure|Drama|Thriller,Denzel Washington,44797,80000000,2010,15000,6.9,2.35,20000
Les Mayfield,53,90,10,159,Comedy|Family|Sci-Fi,Robin Williams,50005,80000000,1997,570,5.2,1.85,0
Jan de Bont,167,113,101,913,Fantasy|Horror|Mystery|Thriller,Liam Neeson,17786,80000000,1999,960,4.9,2.35,0
Joe Pytka,46,88,30,366,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi|Sport,Bill Murray,15001,80000000,1996,967,6.3,1.77,0
Shawn Levy,147,93,189,38,Adventure|Comedy|Crime|Family|Mystery,Roger Rees,1267,65000000,2006,177,5.6,1.85,0
Scott Derrickson,276,104,301,71,Drama|Sci-Fi|Thriller,Keanu Reeves,22194,80000000,2008,4000,5.5,2.35,0
