director_name,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,genres,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,actor_2_facebook_likes
Paul Feig,176,825,931,16647384,Adventure|Comedy|Family|Romance,8398,4431,B.J. Novak,1,http://www.imdb.com/title/tt0488658/?ref_=fn_tt_tt_1,56,English,USA,PG,26000000,839
James Bridges,21,418,967,16118077,Drama,5817,3067,Swoosie Kurtz,0,http://www.imdb.com/title/tt0094799/?ref_=fn_tt_tt_1,37,English,USA,R,25000000,767
Steve Barron,48,376,940,15091542,Adventure|Family|Fantasy|Musical,4086,2465,Bebe Neuwirth,2,http://www.imdb.com/title/tt0115472/?ref_=fn_tt_tt_1,22,Italian,UK,G,25000000,595
Bill Paxton,0,58,577,15331289,Drama|History|Sport,22289,1217,Amanda Tilson,1,http://www.imdb.com/title/tt0388980/?ref_=fn_tt_tt_1,106,English,USA,PG,,464
Richard Kelly,219,258,902,15045676,Drama|Fantasy|Mystery|Thriller,76303,2466,Celia Weston,1,http://www.imdb.com/title/tt0362478/?ref_=fn_tt_tt_1,376,English,USA,PG-13,16000000,837
Carter Smith,27,49,960,17427926,Horror,60062,1749,Sergio Calderón,0,http://www.imdb.com/title/tt0963794/?ref_=fn_tt_tt_1,351,English,USA,R,8000000,664
John Schlesinger,154,347,774,14983572,Comedy|Drama|Romance,9361,2498,Illeana Douglas,1,http://www.imdb.com/title/tt0156841/?ref_=fn_tt_tt_1,162,English,USA,PG-13,25000000,692
Wes Craven,0,255,798,14637490,Horror|Mystery|Thriller,16411,2537,Zena Grey,2,http://www.imdb.com/title/tt0872230/?ref_=fn_tt_tt_1,136,English,USA,R,25000000,374
Luke Greenfield,42,111,355,14589444,Comedy|Drama|Romance,171151,911,Jacob Young,2,http://www.imdb.com/title/tt0265208/?ref_=fn_tt_tt_1,513,English,USA,R,25000000,155
Ringo Lam,17,218,900,14095303,Action|Crime|Mystery|Romance|Thriller,15814,1634,Paul Ben-Victor,1,http://www.imdb.com/title/tt0117011/?ref_=fn_tt_tt_1,68,English,USA,R,25000000,246
Bruce McCulloch,54,455,985,13973532,Comedy|Crime,11211,3065,Chris Penn,1,http://www.imdb.com/title/tt0265808/?ref_=fn_tt_tt_1,92,English,USA,PG-13,25000000,637
Brian Helgeland,241,151,27000,1865774,Biography|Crime|Drama|History|Thriller,87682,27659,Tara Fitzgerald,2,http://www.imdb.com/title/tt3569230/?ref_=fn_tt_tt_1,174,English,UK,R,30000000,154
Akiva Schaffer,82,432,874,13920741,Comedy,59900,2062,Chris Parnell,5,http://www.imdb.com/title/tt0787475/?ref_=fn_tt_tt_1,149,English,USA,PG-13,,434
David R. Ellis,160,852,963,18860403,Horror|Thriller,20823,4952,Katharine McPhee,0,http://www.imdb.com/title/tt1633356/?ref_=fn_tt_tt_1,130,English,USA,PG-13,25000000,936
Alan Parker,317,70,876,13038660,Drama,16995,1282,Pauline McLynn,1,http://www.imdb.com/title/tt0145653/?ref_=fn_tt_tt_1,163,English,USA,R,25000000,219
Ivan Reitman,425,148,3000,28831145,Drama|Sport,39357,3757,Patrick St. Esprit,1,http://www.imdb.com/title/tt2223990/?ref_=fn_tt_tt_1,113,English,USA,R,25000000,466
Tobe Hooper,365,141,338,,Action|Horror|Sci-Fi|Thriller,15531,1008,Peter Firth,0,http://www.imdb.com/title/tt0089489/?ref_=fn_tt_tt_1,189,English,UK,R,25000000,246
,,265,971,,Action|Animation|Comedy|Family|Fantasy|Sci-Fi,23664,2346,Tom Kane,0,http://www.imdb.com/title/tt0175058/?ref_=fn_tt_tt_1,60,English,USA,TV-Y7,,918
Robert Redford,0,939,18000,11538204,Crime|Drama|History,23696,21163,Stephen Root,0,http://www.imdb.com/title/tt0968264/?ref_=fn_tt_tt_1,135,English,USA,PG-13,25000000,1000
Catherine Hardwicke,308,872,13000,11008432,Biography|Drama|Sport,43903,16651,Rebecca De Mornay,0,http://www.imdb.com/title/tt0355702/?ref_=fn_tt_tt_1,194,English,USA,PG-13,25000000,947
Patricia Riggen,36,399,562,12188642,Biography|Drama|History,21098,2230,Jacob Vargas,7,http://www.imdb.com/title/tt2006295/?ref_=fn_tt_tt_1,56,English,Chile,PG-13,26000000,499
John Carpenter,0,52,400,11100000,Action|Adventure|Comedy|Fantasy,92464,896,Peter Kwong,1,http://www.imdb.com/title/tt0090728/?ref_=fn_tt_tt_1,331,English,USA,PG-13,25000000,223
Pascal Chaumeil,8,8,172,,Comedy|Romance,5525,210,Alice Pol,2,http://www.imdb.com/title/tt1986843/?ref_=fn_tt_tt_1,11,French,France,,17000000,20
