duration,actor_2_name,cast_total_facebook_likes,actor_3_name,title_year,aspect_ratio,movie_facebook_likes
104,Reece Ritchie,1281,Marama Corlett,2014,2.35,0
152,Slim Pickens,2888,Warren Oates,1965,2.35,251
92,Laz Alonso,3229,Nicholas Gonzalez,2009,1.85,237
107,Howard Keel,731,Betty Hutton,1950,1.37,456
97,Riz Ahmed,1269,Alex Macqueen,2010,1.85,17000
115,Seu Jorge,222,Fernanda Torres,2005,2.35,385
95,Tony Nappo,2658,Charlotte Sullivan,2009,2.35,0
102,Reginald Owen,282,Ellen Ross,1948,1.37,359
99,Susan Blommaert,298,Stephen Henderson,2009,2.35,0
109,Russell Tovey,5977,James Corden,2006,1.85,0
113,Frank Langella,17151,Aidan Quinn,2011,2.35,29000
25,Jamie Farr,2195,Mike Farrell,,4.0,0
113,Barnard Hughes,465,John McGiver,1969,1.85,0
91,Mark Addy,2323,Lesley Sharp,1997,1.85,0
88,Lloyd Bridges,2726,Barbara Billingsley,1980,1.85,16000
88,Max Ryan,2886,Jon Osbeck,2015,1.33,358
97,John Witherspoon,3455,Tony Cox,1995,1.85,8000
97,Larenz Tate,3036,Khandi Alexander,1993,1.85,0
42,Gabourey Sidibe,4337,Malik Yoba,,16.0,14000
85,Holt McCallany,3617,Dorothy Lamour,1987,1.85,1000
121,Jason Robards,1970,L.Q. Jones,1970,1.85,357
134,Robert Blake,970,Will Geer,1967,2.35,0
149,Peter Finch,646,Beatrice Straight,1959,1.78,930
121,Robert Wagner,2402,Shelley Winters,1966,2.35,470
116,Jean Marsh,771,Clive Swift,1972,1.85,0
92,Kate Dickie,1122,Ralph Ineson,2015,1.66,43000
93,Master P,987,Anthony Johnson,1998,1.85,280
96,Frank Vincent,995,Michael McGlone,1996,1.85,453
105,Lynn Redgrave,4238,Kevin J. O'Connor,1998,2.35,0
129,Soledad Villamil,1044,Guillermo Francella,2009,2.35,33000
87,John Amplas,1592,Joseph Pilato,1985,1.85,3000
94,Gloria Votsis,836,Derek Magyar,2008,1.85,804
37,Dan Hicks,1347,Kassie Wesley DePaiva,1987,1.85,0
81,J.B. Smoove,2238,Robert Vaughn,2001,1.85,0
97,John Heard,3075,Cassandra Scerbo,2013,1.78,93000
106,Zaide Silvia Gutiérrez,222,Damián Delgado,1998,1.85,140
103,Johanna Mørck,44,Glenn Erland Tosterud,2010,1.85,38000
101,Fred Willard,3574,Kevin Sussman,2006,1.85,360
102,Nicholas Braun,2486,Rosemarie DeWitt,2012,2.35,15000
98,Will Ferrell,20009,Dallas Roberts,2005,1.85,414
91,Geoff Stults,6380,Scoot McNairy,2004,2.35,1000
105,Mykel Shannon Jenkins,1043,Lara Jean Chorostecki,2016,1.85,0
98,Christian Campbell,668,Blaine Anderson,2008,1.85,127
104,Elizabeth Berkley,2406,Robert Townsend,1998,1.37,18
