actor_2_name,num_voted_users,num_user_for_reviews,title_year
Billy Burke,59232,317,2001
Nina Arianda,2167,32,2016
Salma Hayek,130094,471,2003
Bruce Willis,592582,722,1988
Ken Marino,195255,170,2008
Christian Bale,182983,374,2015
Kevin Chamberlin,24663,71,2009
Noah Emmerich,36636,289,2004
Kevin Zegers,194422,1057,2004
Judy Greer,61317,229,2001
Yû Aoi,8227,28,2013
Anjelica Huston,209133,962,2001
Rebecca De Mornay,177828,714,2003
Morgan Freeman,106755,173,2013
Topol,72085,263,1981
David Sparrow,85423,374,2001
Bruce McGill,44394,115,1994
Alexander Skarsgård,201084,523,2001
Noah Lomax,78008,160,2013
Omri Katz,60494,132,1993
Lily Rabe,59068,128,2007
Deborah Twiss,435864,801,2010
Dilshad Vadsaria,77935,122,2011
Danny Masterson,27378,365,2000
Steve Carell,29738,85,2014
Brenda Blethyn,193455,1058,2005
Sean Young,461609,1168,1982
Jason Flemyng,34427,126,1995
Richard Sammel,69355,211,2014
Oleg Taktarov,72693,199,2007
Bob Clendenin,9338,167,2000
Philippe Labro,10369,153,2001
Carlos Ponce,44103,149,2006
Mary McCormack,22250,123,1999
Amber Valletta,29971,71,2010
Francis Capra,4288,21,1997
Clea DuVall,43006,460,2001
Zoe Kazan,11476,50,2015
Bella Heathcote,23775,134,2016
Tulku Jamyang Kunga Tenzin,21606,117,1997
Katherine Parkinson,61269,98,2008
Donald Faison,202967,378,2013
Elena Anaya,10266,84,2006
Robert Maillet,32103,112,2014
Kabir Bedi,74374,225,1983
Martin Starr,298590,559,2007
Sofia Vassilieva,74476,184,2009
Mike Epps,10791,39,2008
Judy Davis,12980,89,1984
Andrew Simpson,64625,281,2006
Jake Gyllenhaal,47203,197,2007
Mary Elizabeth Mastrantonio,38177,131,
Kurtwood Smith,55513,188,1991
Fionnula Flanagan,15352,199,2002
Bill Murray,106221,398,2016
Tony Goldwyn,50653,143,1997
Aretha Franklin,142448,319,1980
Blythe Danner,22304,33,2008
Jeremy Jordan,6476,71,2012
Christopher Webster,144021,391,2002
Bridget Fonda,42761,366,1999
Morgan Freeman,262153,507,2006
Scott Glenn,45271,170,1983
Joely Richardson,34488,136,2011
Barret Oliver,99557,284,1984
William Hurt,156929,624,1998
Hayley Atwell,61777,140,2008
Art Carney,3446,31,
Jean Marsh,19568,208,1985
Lew Temple,8309,39,1998
Callum Rennie,60555,174,2009
Kevin Chamberlin,16555,139,2004
Richard Schiff,17436,71,2007
Joel McHale,15866,83,2011
Jack O'Connell,19611,103,2016
Junix Inocian,42876,167,2001
Philip Seymour Hoffman,14612,105,1999
Clifton Collins Jr.,49405,226,2004
Robin Wright,23767,111,2008
Colin Salmon,4257,52,2003
Amy Carson,926,19,2006
Adhir Kalyan,84209,201,2009
Julie Gonzalo,96693,271,2003
Romany Malco,313797,546,2005
Martin Clunes,175524,752,1998
Boyd Holbrook,87950,207,2014
Cathy Moriarty,107801,109,1990
Gary Cole,255257,374,2008
Dougray Scott,57958,345,1998
Michael Jeter,54096,494,2003
Oliver Platt,62037,148,1990
Kaitlin Olson,133415,151,
Dirk Bogarde,40277,210,1977
Carl Gilliard,94108,673,2005
Michael Landes,120786,472,2003
Tim Blake Nelson,225102,862,2000
Kate Walsh,80870,315,2010
Larry Hankin,161168,287,2013
Ty Burrell,48973,214,2004
Paula Garcés,11212,94,2002
Todd Allen,28247,149,1985
Jake Gyllenhaal,88035,201,2009
Frankie Muniz,11092,44,2004
Common,66579,134,2011
Gregory Itzin,44913,181,2001
Dave Legeno,72886,190,2012
Ray Romano,10667,95,2004
Mako,16194,79,1994
Mike Starr,7772,55,1996
Chris Bauer,8118,69,1997
Elizabeth Berkley,31798,178,2001
Kirstie Alley,5006,28,2015
Chelsea Field,8008,26,1996
Derek Luke,57674,126,2015
Danny Huston,111351,568,2005
Maia Morgenstern,179235,2814,2004
Mara Wilson,181380,223,1993
Valeria Golino,383784,331,1988
Dreama Walker,561773,871,2008
Scott Glenn,40941,320,2008
Holly Valance,483756,974,2008
Gerald McRaney,43084,99,2014
Mike Starr,89972,126,1992
