num_critic_for_reviews,actor_2_name,gross,actor_1_name,movie_title,country,imdb_score
18,Joseph Gilgun,,Dominic Cooper,Preacher             ,,8.3
328,Tom Noonan,3442820,Jennifer Jason Leigh,Anomalisa ,USA,7.3
248,Imelda Staunton,3205244,Jim Broadbent,Another Year ,UK,7.3
128,Isabelle Huppert,3076425,Catherine Deneuve,8 Women ,France,7.1
45,Tia Carrere,2275557,Cary-Hiroyuki Tagawa,Showdown in Little Tokyo ,USA,6.0
49,Vince Vieluf,1789892,Janeane Garofalo,Clay Pigeons ,Germany,6.6
163,Jeremy Davies,6350058,Zoë Kravitz,It's Kind of a Funny Story ,USA,7.2
163,Robbie Kay,1094798,Bob Hoskins,Made in Dagenham ,UK,7.2
90,Jim Broadbent,1071240,Colin Firth,When Did You Last See Your Father? ,UK,6.9
23,Laurel Holloman,532190,Kurtwood Smith,Prefontaine ,USA,6.8
17,Marina Sirtis,,Faye Dunaway,The Wicked Lady ,UK,4.0
118,Mick Lally,686383,Sean Lennon,The Secret of Kells ,France,7.7
283,Karen Pittman,16168741,James Corden,Begin Again ,USA,7.4
74,Bruce Dern,568695,Hunter Parrish,Down in the Valley ,USA,6.5
41,Tony Devon,398420,Jerry Ferrara,Brooklyn Rules ,USA,6.4
17,Hayley Atwell,,Rufus Sewell,Restless ,UK,7.2
66,Robin Wright,336456,Robert Downey Jr.,The Singing Detective ,USA,5.6
36,Catherine McCormack,146083,Anna Friel,The Land Girls ,UK,6.3
140,Henry Czerny,298110,Alexia Fast,Fido ,Canada,6.8
32,Eddie Griffin,127144,Will Ferrell,The Wendell Baker Story ,USA,5.5
68,Rupert Everett,117190,Rupert Grint,Wild Target ,UK,6.9
79,Larry Drake,108662,John de Lancie,Pathology ,USA,6.0
9,Jack O'Connell,,Tom Hardy,Wuthering Heights             ,UK,7.7
26,Brad Renfro,53481,Brian Dennehy,10th & Wolf ,USA,6.4
100,Chris Owen,23106,Michael Angarano,Dear Wendy ,Italy,6.6
56,Zen McGrath,52961,Ian Tracey,Aloft ,Spain,5.3
150,Takeshi Kusao,439162,Mitsuo Iwata,Akira ,Japan,8.1
30,Olivia Wilde,,Paul Walker,The Death and Life of Bobby Z ,USA,5.9
20,Roy Dupuis,,Stephen McHattie,The Rocket: The Legend of Rocket Richard ,Canada,7.7
21,Josh Henderson,,Rachel Ann Mullins,Swelter ,USA,4.6
11,Ruby Lin,50000,Leehom Wang,My Lucky Star ,China,5.1
85,Ben Miles,671240,Celia Imrie,Imagine Me & You ,UK,6.9
5,Lucy Fry,,Mckenna Grace,Mr. Church ,USA,8.0
160,Ludivine Sagnier,10105505,Charlotte Rampling,Swimming Pool ,France,6.8
25,Mark Wingett,,Spencer Wilding,Green Street 3: Never Back Down ,UK,5.4
21,Joan Chen,882290,Delroy Lindo,The Blood of Heroes ,Australia,6.5
15,Helena Mattsson,,Scott Takeda,Code of Honor ,USA,4.2
61,Jessica Tandy,106593296,Morgan Freeman,Driving Miss Daisy ,USA,7.4
34,Mekhi Phifer,43490057,Vanessa Williams,Soul Food ,USA,6.9
62,Anita Mui,32333860,Françoise Yip,Rumble in the Bronx ,Hong Kong,6.7
102,Reda Kateb,,Viggo Mortensen,Far from Men ,France,7.3
239,Cameron Bright,24792061,J.K. Simmons,Thank You for Smoking ,USA,7.6
252,Lauren German,17544812,Jay Hernandez,Hostel: Part II ,USA,5.4
278,Olivia Williams,12574715,Dominic Cooper,An Education ,UK,7.3
124,Bridgette Wilson-Sampras,10281585,Frances Conroy,Shopgirl ,USA,6.4
9,Beau Bridges,5100000,Joely Richardson,The Hotel New Hampshire ,UK,6.0
127,Chi McBride,10460089,Jason Patric,Narc ,USA,7.2
9,Paul Gross,4239767,Molly Parker,Men with Brooms ,Canada,6.0
35,Jenny McCarthy,4131640,Ivana Milicevic,Witless Protection ,USA,3.1
6,Brenda Strong,3347439,Eric Johnson,The Work and the Glory ,USA,6.9
192,Mila Kunis,10814185,J.K. Simmons,Extract ,USA,6.2
51,Cheech Marin,533344,Jeff Bridges,Masked and Anonymous ,USA,5.5
38,Edouard Baer,206400,Sandrine Kiberlain,Alias Betty ,France,6.9
133,Om Puri,197148,Samantha Morton,Code 46 ,UK,6.3
4,Jenny Agutter,,Bob Hoskins,Outside Bet ,UK,4.8
287,Loretta Devine,54557348,Don Cheadle,Crash ,Germany,7.9
222,Michael McElhatton,3014541,Mia Wasikowska,Albert Nobbs ,UK,6.7
6,Nathin Butler,,Akon,Black November ,Nigeria,5.6
16,Mary Goggin,872643,Saif Ali Khan,Ta Ra Rum Pum ,USA,5.4
242,Gena Rowlands,4443403,Catherine Deneuve,Persepolis ,France,8.0
147,Teri Polo,,Bruce Dern,The Hole ,USA,5.7
93,Elyas M'Barek,,Max Riemelt,The Wave ,Germany,7.6
253,Bella Heathcote,1330827,Keanu Reeves,The Neon Demon ,France,7.0
224,Jack O'Connell,1818681,Joseph Gilgun,Harry Brown ,UK,7.2
392,James Franco,336530303,J.K. Simmons,Spider-Man 3 ,USA,6.2
39,William Hootkins,12610552,George Coe,The Omega Code ,USA,3.5
387,Jennifer Garner,143492840,J.K. Simmons,Juno ,USA,7.5
36,Aki Aleong,,Darren Shahlavi,Pound of Flesh ,Canada,5.1
120,Lois Maxwell,43800000,Desmond Llewelyn,Diamonds Are Forever ,UK,6.7
208,Marlon Brando,134821952,Al Pacino,The Godfather ,USA,9.2
51,Cynthia Rhodes,94900000,Michael Nouri,Flashdance ,USA,6.1
331,Chloë Grace Moretz,32391374,Joseph Gordon-Levitt,500 Days of Summer ,USA,7.7
83,Ian Mune,40158000,Holly Hunter,The Piano ,New Zealand,7.6
324,Alex Pettyfer,113709992,Channing Tatum,Magic Mike ,USA,6.1
140,Emma Caulfield,32131483,Sullivan Stapleton,Darkness Falls ,USA,4.9
136,Geoffrey Holder,35400000,Yaphet Kotto,Live and Let Die ,UK,6.8
79,Frankie Muniz,34099640,Clint Howard,My Dog Skip ,USA,7.0
