director_facebook_likes,actor_3_facebook_likes,gross,actor_1_name,movie_title,cast_total_facebook_likes,actor_3_name,num_user_for_reviews,country,content_rating,budget,title_year,imdb_score,aspect_ratio,movie_facebook_likes
0,187,127437,Bingbing Li,1911 ,1887,Jaycee Chan,27,China,R,18000000,2011,6.0,2.35,0
2,55,,Louise Bourgoin,Little Nicholas ,545,Kad Merad,17,France,,,2009,7.2,1.85,0
165,700,,Jason Statham,Wild Card ,29773,Jason Alexander,114,USA,R,30000000,2015,5.6,2.35,0
395,313,537580,Gerard Butler,Machine Gun Preacher ,19620,Kathy Baker,124,USA,R,30000000,2011,6.8,2.35,21000
7,480,,Jim Broadbent,Animals United ,3095,James Corden,44,Germany,PG,,2010,4.9,2.39,885
55,11,,Terry Pheto,The Color of Freedom ,143,Tyrone Keogh,23,Germany,R,30000000,2007,7.1,2.35,0
18,432,,Fisher Stevens,United Passions ,2725,Jemima West,22,France,Not Rated,24000000,2014,2.0,2.35,0
61,520,,Paz Vega,Grace of Monaco ,2806,Derek Jacobi,62,Switzerland,,30000000,2014,5.7,2.35,6000
0,21,,Konstantin Khabenskiy,A Warrior's Tail ,229,Sergey Garmash,7,Russia,,30000000,2015,4.1,,161
59,24,,Ray Winstone,Ripley's Game ,1831,Chiara Caselli,108,Italy,R,30000000,2002,6.7,1.85,447
5,365,,James Franco,Sausage Party ,15795,Anders Holm,14,USA,R,19000000,2016,7.5,1.85,13000
0,751,183436380,Anna Kendrick,Pitch Perfect 2 ,13159,Hana Mae Lee,185,USA,PG-13,29000000,2015,6.5,1.85,40000
446,154,119518352,Sandra Ellis Lafferty,Walk the Line ,1383,Tyler Hilton,815,USA,PG-13,28000000,2005,7.9,2.39,11000
,442,,Amanda Schull,12 Monkeys             ,3309,Tom Noonan,56,USA,TV-14,,,7.6,16.0,12000
0,754,37036404,Lisa Edelstein,Keeping the Faith ,5404,Anne Bancroft,259,USA,PG-13,30000000,2000,6.4,1.85,0
12,373,22359293,Jim Broadbent,The Borrowers ,2056,Mark Williams,39,UK,PG,29000000,1997,5.8,1.85,0
2000,1000,18593156,Toby Jones,Frost/Nixon ,6161,Oliver Platt,241,USA,R,35000000,2008,7.7,2.35,0
0,89,,Dick Clark,Confessions of a Dangerous Mind ,810,Jennifer Hall,276,USA,R,29000000,2002,7.1,2.35,3000
71,584,16930185,Matthew Perry,Serving Sara ,4169,Vincent Pastore,101,Germany,PG-13,29000000,2002,5.3,1.85,201
265,265,63034755,Peter Dinklage,The Boss ,23562,Ben Falcone,96,USA,R,29000000,2016,5.3,1.85,0
0,400,5899797,Denzel Washington,Cry Freedom ,18855,Penelope Wilton,51,UK,PG,29000000,1987,7.5,2.35,0
759,933,4554569,Zooey Deschanel,Mumford ,17873,Mary McDonnell,123,USA,R,28000000,1999,6.9,2.35,209
64,363,17016190,Jason Flemyng,Seed of Chucky ,2567,Hannah Spearritt,214,Romania,R,12000000,2004,4.9,1.85,0
11,566,6301131,Jennifer Jason Leigh,The Jacket ,5085,Angel Coulby,263,USA,R,29000000,2005,7.1,2.35,0
63,631,217350219,Robin Williams,Aladdin ,52970,Scott Weinger,244,USA,G,28000000,1992,8.0,1.33,0
473,303,161029270,Aldis Hodge,Straight Outta Compton ,2702,R. Marcos Taylor,331,USA,R,28000000,2015,7.9,2.35,76000
14000,237,179870271,Harrison Ford,Indiana Jones and the Temple of Doom ,11898,Kate Capshaw,524,USA,PG,28000000,1984,7.6,2.35,0
5,368,100491683,Elizabeth Daily,The Rugrats Movie ,3438,Christine Cavanaugh,67,USA,G,24000000,1998,5.9,1.85,418
93,878,74058698,Morgan Freeman,Along Came a Spider ,17109,Monica Potter,317,USA,R,60000000,2001,6.3,2.35,0
350,83,,Meryl Streep,Florence Foster Jenkins ,11534,John Sessions,32,UK,PG-13,29000000,2016,7.1,2.35,0
0,876,55845943,Johnny Depp,Once Upon a Time in Mexico ,46186,Enrique Iglesias,471,USA,R,29000000,2003,6.4,1.78,0
323,541,81350242,Alan Rickman,Die Hard ,40585,Reginald VelJohnson,722,USA,R,28000000,1988,8.2,2.35,25000
136,526,67266300,Joe Lo Truglio,Role Models ,3400,Bobb'e J. Thompson,170,Germany,R,28000000,2008,6.9,1.85,0
285,767,70235322,Ryan Gosling,The Big Short ,57308,Charlie Talbert,374,USA,R,28000000,2015,7.8,2.35,99000
0,210,7443007,Imelda Staunton,Taking Woodstock ,1500,Demetri Martin,71,USA,R,30000000,2009,6.7,1.85,0
149,250,64371181,Eddie Cahill,Miracle ,1845,Kenneth Mitchell,289,USA,PG,28000000,2004,7.5,2.4,0
0,1000,58885635,Ty Burrell,Dawn of the Dead ,10438,Mekhi Phifer,1057,USA,R,26000000,2004,7.4,2.35,7000
163,968,60400856,Matthew McConaughey,The Wedding Planner ,17533,Alex Rocco,229,Germany,PG-13,35000000,2001,5.2,2.35,0
21,47,,Shun Oguri,Harlock: Space Pirate ,386,Haruma Miura,28,Japan,Not Rated,30000000,2013,6.5,2.35,0
0,327,52353636,Bill Murray,The Royal Tenenbaums ,14609,Seymour Cassel,962,USA,R,21000000,2001,7.6,2.35,0
446,660,51475962,Clea DuVall,Identity ,3969,Jake Busey,714,USA,R,30000000,2003,7.3,2.35,11000
226,966,63910583,Robert De Niro,Last Vegas ,35694,Romany Malco,173,USA,PG-13,28000000,2013,6.6,2.35,27000
46,244,62300000,Julian Glover,For Your Eyes Only ,2118,Desmond Llewelyn,263,UK,PG,28000000,1981,6.8,2.35,2000
23,6,49968653,Lilli Lavine,Serendipity ,37,Ann Talman,374,USA,PG-13,28000000,2001,6.9,1.85,12000
0,186,44450000,Mia Sara,Timecop ,2010,Gloria Reuben,115,Canada,R,27000000,1994,5.8,2.35,0
0,8000,45162741,Milla Jovovich,Zoolander ,34565,Will Ferrell,523,Germany,PG-13,28000000,2001,6.6,2.35,0
529,325,71346930,David Lyons,Safe Haven ,1554,Mimi Kirkland,160,USA,PG-13,28000000,2013,6.7,2.35,23000
197,115,39514713,Vinessa Shaw,Hocus Pocus ,1275,Larry Bagby,132,USA,PG,28000000,1993,6.7,1.85,16000
96,559,43097652,Zoë Kravitz,No Reservations ,3497,Bob Balaban,128,USA,PG,28000000,2007,6.3,2.35,0
905,385,48043505,Elizabeth McGovern,Kick-Ass ,2357,Michael Rispoli,801,UK,R,30000000,2010,7.7,2.35,36000
181,459,37053924,Bianca Kajlich,30 Minutes or Less ,1987,Fred Ward,122,Germany,R,28000000,2011,6.1,2.35,0
71,1000,33000377,Gerard Butler,Dracula 2000 ,23344,Jeri Ryan,365,USA,R,28000000,2000,4.9,2.35,0
44,3000,66950483,Bella Thorne,Alexander and the Terrible, Horrible, No Good, Very Bad Day ,47677,Jennifer Garner,85,USA,PG,28000000,2014,6.2,2.39,12000
456,241,38372662,Talulah Riley,Pride & Prejudice ,1083,Simon Woods,1058,France,PG,28000000,2005,7.8,2.35,17000
0,521,27000000,Harrison Ford,Blade Runner ,13877,M. Emmet Walsh,1168,USA,R,28000000,1982,8.2,2.35,34000
105,902,31600000,Liam Neeson,Rob Roy ,16125,Eric Stoltz,126,USA,R,28000000,1995,6.9,2.35,0
368,114,30688364,Connie Nielsen,3 Days to Kill ,1286,Tómas Lemarquis,211,USA,PG-13,28000000,2014,6.2,2.35,10000
115,97,28563179,Robert Duvall,We Own the Night ,3681,Antoni Corone,199,USA,R,21000000,2007,6.9,1.85,0
710,258,16779636,Philip Baker Hall,Lost Souls ,1805,Ben Chaplin,167,USA,R,28000000,2000,4.8,2.35,209
63,,10762178,Jacques Perrin,Winged Migration ,66,,153,France,G,160000000,2001,8.0,1.85,1000
80,585,17324744,Samaire Armstrong,Just My Luck ,3211,Faizon Love,149,USA,PG-13,28000000,2006,5.3,1.85,0
116,385,8888143,Scott Grimes,Mystery, Alaska ,2171,Ron Eldard,123,Canada,R,28000000,1999,6.7,2.35,913
