director_name,actor_1_facebook_likes,genres,movie_title,num_voted_users,actor_3_name,plot_keywords,movie_imdb_link,num_user_for_reviews,country,content_rating,actor_2_facebook_likes,imdb_score,movie_facebook_likes
Lance Mungia,33,Action|Adventure|Comedy|Drama|Music|Sci-Fi,Six-String Samurai ,5613,Kim De Angelo,boy|guitar|orphan|rock 'n' roll|sword,http://www.imdb.com/title/tt0118736/?ref_=fn_tt_tt_1,102,USA,PG-13,3,6.7,0
Kundan Shah,353,Action|Comedy|Romance|Thriller,Hum To Mohabbat Karega ,275,Shakti Kapoor,elevator|news reporter|police|restaurant|waiter,http://www.imdb.com/title/tt0249588/?ref_=fn_tt_tt_1,1,India,,89,2.8,10
Michael Dowse,326,Biography|Comedy|Drama|Music,It's All Gone Pete Tong ,16828,Kate Magowan,deafness|disappearance|ears|ibiza|musician,http://www.imdb.com/title/tt0388139/?ref_=fn_tt_tt_1,67,UK,R,246,7.4,0
Hue Rhodes,22000,Comedy|Drama,Saint John of Las Vegas ,2522,Romany Malco,city name in title|male frontal nudity|place name in title,http://www.imdb.com/title/tt1276105/?ref_=fn_tt_tt_1,11,USA,R,12000,5.8,407
Shane Meadows,5000,Comedy|Drama|Romance|Sport,24 7: Twenty Four Seven ,2081,Karl Collins,fight|gang|hiking|wales|working class,http://www.imdb.com/title/tt0120391/?ref_=fn_tt_tt_1,21,UK,R,497,7.1,224
Roland Emmerich,25000,Drama,Stonewall ,1758,Matt Craven,box office flop|critically bashed|gay rights|new york city|stonewall riots,http://www.imdb.com/title/tt3018070/?ref_=fn_tt_tt_1,30,USA,R,463,4.5,0
,780,Comedy|Drama|Sci-Fi,Eureka             ,39559,Salli Richardson-Whitfield,alternate reality|pacific northwest|small town|small town life|small town sheriff,http://www.imdb.com/title/tt0796264/?ref_=fn_tt_tt_1,136,USA,TV-14,747,7.9,3000
Jugal Hansraj,532,Animation|Comedy|Family|Romance,Roadside Romeo ,922,Javed Jaffrey,india|love|love at first sight|mumbai india|reference to edward scissorhands,http://www.imdb.com/title/tt1050739/?ref_=fn_tt_tt_1,17,India,PG,85,5.3,39
Danny Provenzano,584,Crime|Drama,This Thing of Ours ,508,Chuck Zito,gangster|heist|internet|mafia|miami florida,http://www.imdb.com/title/tt0338497/?ref_=fn_tt_tt_1,18,USA,Not Rated,356,5.4,61
Bill Muir,589,Adventure|Family|Fantasy,The Lost Medallion: The Adventures of Billy Stone ,1278,Tiya Sircar,cave|cobra|island|medallion|waterfall,http://www.imdb.com/title/tt1390539/?ref_=fn_tt_tt_1,16,Thailand,PG,488,4.8,715
Richard LaGravenese,10000,Comedy|Drama|Musical|Romance,The Last Five Years ,6223,Charly Bivona,based on play|number in title,http://www.imdb.com/title/tt2474024/?ref_=fn_tt_tt_1,40,USA,PG-13,773,5.9,0
Noah Buschel,529,Drama,The Missing Person ,1268,Paul Adelstein,cellphone|detective|missing person|private detective|train,http://www.imdb.com/title/tt1105512/?ref_=fn_tt_tt_1,23,USA,,423,6.2,195
Brian Yuzna,787,Horror|Romance|Sci-Fi,Return of the Living Dead III ,10182,Sarah Douglas,female nudity|living dead|self mutilation|sequel|zombie,http://www.imdb.com/title/tt0107953/?ref_=fn_tt_tt_1,130,USA,R,196,5.9,810
Hunter Richards,26000,Drama|Romance,London ,19336,Dane Cook,bar|coke|drugs|party|snorting,http://www.imdb.com/title/tt0449061/?ref_=fn_tt_tt_1,90,UK,R,11000,6.6,0
Laurie Collyer,363,Drama,Sherrybaby ,10282,Michelle Hurst,ex convict|halfway house|nipples visible through clothing|orgasm|parole officer,http://www.imdb.com/title/tt0423169/?ref_=fn_tt_tt_1,78,USA,R,223,6.6,474
Bruce McCulloch,985,Comedy|Crime,Stealing Harvard ,11211,Chris Penn,black humor|crying during sex|harvard|humor|man with glasses,http://www.imdb.com/title/tt0265808/?ref_=fn_tt_tt_1,92,USA,PG-13,637,5.1,215
Aaron Hann,160,Drama|Horror|Mystery|Sci-Fi|Thriller,Circle ,13279,Kaiwi Lyman-Mersereau,alien abduction|debate|lesbian|pregnant|spaceship,http://www.imdb.com/title/tt3118452/?ref_=fn_tt_tt_1,59,USA,Not Rated,152,6.0,0
James Watkins,13000,Horror|Thriller,Eden Lake ,57811,Lorraine Stanley,camping|forest|lake|stabbed with glass|vomiting,http://www.imdb.com/title/tt1020530/?ref_=fn_tt_tt_1,357,UK,R,698,6.8,0
Catherine Hardwicke,638,Thriller,Plush ,2895,Marlene Forte,gay interest|guitarist|obsessed fan|seduction|sex scene,http://www.imdb.com/title/tt2226519/?ref_=fn_tt_tt_1,24,USA,R,449,5.4,604
Phil Claydon,513,Action|Comedy|Fantasy|Horror,Vampire Killers ,17296,Silvia Colloca,blood|breasts|female nudity|lesbian|vampire,http://www.imdb.com/title/tt1020885/?ref_=fn_tt_tt_1,91,UK,R,480,5.2,0
Ralph Ziman,29,Action|Crime|Drama,Gangster's Paradise: Jerusalema ,9689,Robert Hobbs,carjacking|drug lord|johannesburg south africa|police|post apartheid,http://www.imdb.com/title/tt0783532/?ref_=fn_tt_tt_1,23,South Africa,R,18,7.8,1000
John Simpson,766,Crime|Drama|Thriller,Freeze Frame ,2588,Ian McNeice,alibi|box office flop|newspaper clipping|non statutory female on male rape|profiler,http://www.imdb.com/title/tt0363095/?ref_=fn_tt_tt_1,41,UK,R,312,6.4,205
Colin Minihan,253,Horror,Grave Encounters ,40380,Ashleigh Gryzko,ghost|ghost hunting|labyrinth|paranormal|reality show,http://www.imdb.com/title/tt1703199/?ref_=fn_tt_tt_1,235,Canada,Not Rated,113,6.1,0
Conor McMahon,121,Comedy|Horror,Stitches ,6585,Jemma Curran,cat killer|death of animal|high heels|kneed in the crotch|kneed in the groin,http://www.imdb.com/title/tt2126362/?ref_=fn_tt_tt_1,53,Ireland,R,94,5.7,0
Chris Shadley,413,Crime|Drama|Horror|Mystery|Thriller,Nine Dead ,9280,Marc Macaulay,betrayal|car|connection|death|gun,http://www.imdb.com/title/tt0959329/?ref_=fn_tt_tt_1,64,USA,R,167,5.5,0
Simon Napier-Bell,674,Documentary,"To Be Frank, Sinatra at 100 ",7,Louis Walsh,,http://www.imdb.com/title/tt4704314/?ref_=fn_tt_tt_1,,UK,,27,7.4,0
Woody Allen,11000,Comedy,Bananas ,27646,Louise Lasser,fictitious country|latin america|president|rebellion|reference to fidel castro,http://www.imdb.com/title/tt0066808/?ref_=fn_tt_tt_1,105,USA,GP,430,7.1,0
Simon Yin,473,Thriller,Supercapitalist ,289,Kathy Uyen,,http://www.imdb.com/title/tt1734586/?ref_=fn_tt_tt_1,9,USA,Not Rated,303,3.9,115
Jeff Crook,601,Action|Crime|Drama|Thriller,Rockaway ,355,Ricardo Chavira,one word title,http://www.imdb.com/title/tt0796355/?ref_=fn_tt_tt_1,6,USA,R,453,4.6,44
,685,Comedy|Drama,Wings             ,7646,Amy Yasbeck,1990s|brother brother relationship|nantucket island|one word title|sister sister relationship,http://www.imdb.com/title/tt0098948/?ref_=fn_tt_tt_1,56,USA,,511,7.3,1000
Orson Welles,1000,Crime|Drama|Film-Noir|Mystery|Thriller,The Lady from Shanghai ,19236,Ted de Corsia,law partner|murder|partner|seaman|yacht,http://www.imdb.com/title/tt0040525/?ref_=fn_tt_tt_1,175,USA,Not Rated,29,7.7,0
Dave Payne,633,Horror|Thriller,No Man's Land: The Rise of Reeker ,2701,Robert Pine,death|desert|robber|sheriff|waitress,http://www.imdb.com/title/tt1090671/?ref_=fn_tt_tt_1,31,USA,R,597,4.9,153
James Cox,15000,Crime|Drama,Highway ,5182,Mark Rolston,1990s|homoeroticism|reference to kurt cobain|road trip|year 1994,http://www.imdb.com/title/tt0165361/?ref_=fn_tt_tt_1,67,USA,R,284,6.3,912
Jonas Åkerlund,2000,Comedy|Crime|Drama,Small Apartments ,5732,Matt Lucas,fire investigator|landlord|suicide|talking to one's self in a mirror|turpentine,http://www.imdb.com/title/tt1272886/?ref_=fn_tt_tt_1,26,USA,R,811,6.1,0
Brad Copeland,34000,Comedy,Coffee Town ,4204,Glenn Howerton,barista|coffee|coffee shop|fight|insult,http://www.imdb.com/title/tt2234025/?ref_=fn_tt_tt_1,19,USA,,463,6.6,0
Paul Bunnell,416,Comedy|Fantasy|Musical|Sci-Fi,The Ghastly Love of Johnny X ,344,Paul Williams,1950s|independent film|outlaw|trial,http://www.imdb.com/title/tt1754633/?ref_=fn_tt_tt_1,19,USA,Not Rated,403,5.7,655
Phil Morrison,594,Comedy|Drama,All Is Bright ,4478,Peter Hermann,christmas tree|french canadian|new york|salesman,http://www.imdb.com/title/tt1462901/?ref_=fn_tt_tt_1,23,USA,R,591,5.6,825
Harald Reinl,16000,Horror|Mystery,The Torture Chamber of Dr. Sadism ,952,Karin Dor,count|drawn and quartered|tied up|torture chamber|torture device,http://www.imdb.com/title/tt0062235/?ref_=fn_tt_tt_1,36,West Germany,M,57,6.0,200
James Cox,924,Comedy|Drama,Straight A's ,3605,Josh Meyers,addict|paternity|rascal|swimming pool|texas,http://www.imdb.com/title/tt2024506/?ref_=fn_tt_tt_1,20,USA,R,472,5.7,0
Richard Lester,907,Comedy|Musical,A Funny Thing Happened on the Way to the Forum ,6804,Phil Silvers,based on stage musical|based on stage musical based on stage play|freedom|historical fiction|virgin,http://www.imdb.com/title/tt0060438/?ref_=fn_tt_tt_1,72,USA,Approved,164,7.0,805
Michael Moore,909,Documentary,Slacker Uprising ,2242,Steve Earle,character name in title|election campaign|presidential election,http://www.imdb.com/title/tt0850669/?ref_=fn_tt_tt_1,15,USA,,562,5.3,69
Tanner Beard,10000,Action|Adventure|History|Western,The Legend of Hell's Gate: An American Conspiracy ,583,Glenn Morshower,1800s|doc holliday|robbers|sheriff|texas,http://www.imdb.com/title/tt1220217/?ref_=fn_tt_tt_1,14,USA,PG-13,1000,4.4,651
Scott Dow,680,Comedy|Horror,The Walking Deceased ,2348,Dave Sheridan,zombie|zombie spoof,http://www.imdb.com/title/tt3499458/?ref_=fn_tt_tt_1,25,USA,R,418,3.4,0
Derick Martini,2000,Drama|Horror|Mystery|Thriller,The Curse of Downers Grove ,1040,Tom Arnold,,http://www.imdb.com/title/tt1772261/?ref_=fn_tt_tt_1,22,USA,,860,4.5,0
Jerry Dugan,11000,Thriller,Shark Lake ,838,James Chalke,blood|daughter|jail|police|shark,http://www.imdb.com/title/tt4416518/?ref_=fn_tt_tt_1,17,USA,Not Rated,1000,3.4,728
