num_critic_for_reviews,genres,facenumber_in_poster,aspect_ratio
57,Comedy|Drama|Romance|Sci-Fi,1,1.85
14,Action|Horror|Thriller,0,2.35
159,Crime|Drama|Music,1,1.85
181,Comedy|Music|Romance,2,1.66
110,Horror,0,1.85
213,Adventure|Family|Fantasy|Musical,3,1.37
129,Comedy,0,1.85
280,Horror,0,1.85
15,Comedy|Drama|Romance,0,2.35
61,Drama,1,1.66
33,Adventure|Family|Sport,0,1.85
1,Romance,2,
2,Action|Adventure|Animation|Comedy|Sci-Fi,0,1.85
27,Adventure|Comedy|Romance,1,1.85
19,Comedy|Drama,0,1.85
9,Drama|Fantasy|Romance|War,0,1.37
121,Comedy|Western,0,2.35
166,Horror|Thriller,0,1.85
269,Drama,1,1.33
29,Drama|Romance,1,1.66
20,Comedy|Sport,2,
107,Drama|Sci-Fi|Thriller,0,1.85
74,Documentary|History|Sport,1,
173,Horror|Mystery|Sci-Fi|Thriller,0,1.85
5,Action|Adventure|Comedy,1,2.35
66,Horror|Thriller,1,1.85
169,Comedy|Musical|Romance,0,1.37
13,Documentary,2,
129,Comedy|Fantasy,6,1.85
30,Documentary,0,1.85
220,Horror,0,1.85
75,Comedy|Drama|Music,6,1.37
162,Horror|Mystery|Sci-Fi,0,2.35
74,Action|Sci-Fi,0,2.35
65,Drama,0,2.35
26,Comedy|Documentary,0,1.85
63,Drama,2,1.78
205,Comedy|Drama|Romance,3,2.35
121,Drama|Romance,1,1.85
