director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,genres,actor_3_name,facenumber_in_poster,plot_keywords,num_user_for_reviews,country,title_year,aspect_ratio
9,313,Jenny Slate,612,Comedy|Drama,Jake Lacy,1,abortion|divorced parents|one night stand|pregnancy|pregnant,73,USA,2014,2.35
33,229,Michael O'Keefe,496,Crime|Drama,Misty Upham,1,border|mohawk|money|new york|river,93,USA,2008,1.85
9,13,Lou Adler,130,Documentary|Music,Merry Clayton,0,backup singer|band|bechdel test passed|concert footage|singer,80,USA,2013,1.78
56,13,Natasha Gregson Wagner,21000,Comedy|Drama,Angel David,3,actor|anilingus|double cross|funeral home|two timing,102,USA,1997,1.85
132,584,Anne Heche,778,Comedy|Drama|Romance,Vincent Pastore,2,briefs|cancer|cat|cult film|friend,32,UK,1996,1.85
11,121,Mark Addy,1000,Comedy|Drama|Music,Lesley Sharp,3,dole|male stripper|northern england|steel worker|unemployment,174,UK,1997,1.85
2,5,Phyllis Diller,783,Documentary,Colette Divine,0,california|car|reference to ralph nader|technology|u.s. president,155,USA,2006,1.75
112,428,Nia Long,1000,Comedy|Drama|Romance|Sport,Mary McCormack,1,friend|gay|lesbian|photographer|restaurant,120,USA,2000,2.35
152,124,Ossie Davis,1000,Comedy|Fantasy|Mystery,Ella Joyce,2,cult film|elvis|elvis presley|nursing home|texas,366,USA,2002,1.85
11,543,Dylan Minnette,2000,Adventure|Comedy|Family|Fantasy|Horror,Ken Marino,4,based on book|blob|ferris wheel|manuscript|monster,154,USA,2015,2.35
12,6,Saul Williams,245,Drama,Bonz Malone,0,gang|independent film|prison|racial slur|urban setting,51,USA,1998,1.85
13,25,Frank Gerrish,957,Crime|Drama|Mystery,Rick Macy,0,fbi agent|mormon|prayer|sheriff|utah,63,USA,2001,1.85
10,97,Manoj Bajpayee,353,Drama|Romance,Jaya Bhaduri,3,mumbai riots|politician|riot|suicide|tragic event,19,India,2000,2.35
0,842,Sid Caesar,1000,Comedy,Dom DeLuise,0,french revolution|old testament|part of an unfinished series|reference to john wayne|roman emperor,131,USA,1981,2.35
406,194,Dian Bachar,406,Comedy|Sci-Fi,Matt Stone,0,book of mormon|fight|mormon|ray gun|sidekick,168,USA,1997,1.85
234,463,Paul Schneider,11000,Drama|Romance,Shea Whigham,0,best friend|lake|love|small town|womanizer,126,USA,2003,2.35
4,301,Cathy Moriarty,611,Comedy|Drama,Kathryn Erbe,0,dying|to do list|twenty something|underwear|voyeur,29,USA,1997,1.85
22,275,Agnes Bruckner,638,Drama,A.J. Buckley,0,contest|poetry|refusing to eat|starving oneself|teenage girl,68,USA,2002,1.85
0,268,Lupe Ontiveros,844,Comedy|Romance,Robert Beltran,1,divorce|friend|jewish|lent|restaurant,32,USA,2000,
71,145,Nat Wolff,11000,Drama,Olivia Crocicchia,0,girls' soccer|high school|high school student|soccer coach|teenager,61,USA,2013,1.85
13,7,Scandar Copti,20,Crime|Drama,Ranin Karim,6,arab|christian|israeli|palestinian|violence,32,Germany,2009,1.85
21,772,Patrick Fugit,1000,Comedy|Drama|Fantasy|Romance,Chase Ellison,2,afterlife|camping|death|hitchhiker|suicide,88,USA,2006,1.78
135,11,Cara Seymour,7000,Drama|Romance|Sci-Fi,Venida Evans,0,buddhism|evolution|eye|reincarnation|stuck in elevator,160,USA,2014,2.39
2,551,Elden Henson,855,Comedy|Drama|Romance,Kathleen Quinlan,2,bully comeuppance|high school|painter|reference to led zeppelin|wetting pants,49,USA,2003,1.85
0,310,AJ Michalka,873,Drama|Fantasy|Thriller,Tom McCarthy,1,1970s|afterlife|heaven|pedophile|rape,593,USA,2009,2.35
50,0,Herman Koto,3,Biography|Crime|Documentary|History,Syamsul Arifin,1,death squad|mass killing|musical number|reference to guantanamo bay|surrealism,107,UK,2012,1.85
141,23,George W. Bush,141,Crime|Documentary|War,Greg D'Agostino,0,afghanistan|detainee|guantanamo bay|taxi|torture,40,USA,2007,1.85
10,5,Marv Albert,102,Documentary|Sport,Ahmet Ertegun,0,new york|new york cosmos|professional sports|soccer|soccer team,13,UK,2006,1.85
0,0,Rufus Graham,12,Drama,Aasheekaa Bathija,0,bare chested male|discipline|imperialism|whipping|white slavery,2,USA,2004,
165,679,Fisher Stevens,978,Comedy|Drama,Melissa Gilbert,1,actress|fame|inside joke|new york|one man show,16,USA,2000,
9,9,Tom Hamann,53,Adventure|Biography|Documentary|Drama,Anthony Powell,1,antarctica,16,New Zealand,2013,1.85
0,0,Brian Whitaker,20,Documentary,Jason Bateman,0,artist|denmark|lego|toy|toy company,11,Denmark,2014,
74,891,Randy Wayne,260000,Action|Drama,Raquel Elizabeth Ames,3,family relationships|loss of mother|san diego california|single mother|suicide attempt,5,USA,2012,1.85
5,219,Anil Kapoor,724,Thriller,Sunil Shetty,5,chocolate|christmas|christmas eve|death|suspect,30,India,2005,
243,725,Greta Gerwig,969,Horror,Dee Wallace,0,cult film|eclipse|haunted house|lunar eclipse|secret,193,USA,2009,1.85
11,271,Clayne Crawford,443,Comedy|Crime|Thriller,Nathaniel Parker,1,arm tattoo|bank robbery|cauterizing a wound|dancing on a table|dinner party,73,USA,2010,1.85
29,117,Michael Lerner,499,Comedy|Crime,Josh Pais,0,gangster|organized crime|robbery|rosh hashanah|safecracking,52,USA,1998,1.85
5,73,Patsy Kensit,590,Crime|Drama|Romance,Adrienne Frantz,2,car racing|crush|hustler|scam|watching television,43,USA,1999,
8,14,Louis Mustillo,96,Comedy|Drama,James Lorinz,1,actor|magazine|model|rock band|suburb,17,USA,1996,1.85
82,490,James Gunn,2000,Action|Comedy|Fantasy|Sci-Fi,Jamie Kennedy,0,action figure|press conference|superhero|superhero team|toy,54,USA,2000,1.85
32,256,Emily Baldoni,386,Comedy|Romance,Hallee Hirsh,1,birthday|digit in title|love|masturbation|teenager,6,USA,2009,1.78
