director_facebook_likes,gross,num_voted_users,plot_keywords,num_user_for_reviews,budget,title_year,actor_2_facebook_likes
104,83400000,160281,air traffic controller|airplane|airport|pilot|spoof,427,3500000,1980,575
2,,801,army|michael jai white|ohio|steve austin,14,5000000,2015,872
473,27900000,74626,bully|drug dealer|first part|neighbor|neighborhood,157,3500000,1995,723
117,27900000,39508,1990s|escape|graduation|hustler|street,96,3500000,1993,582
,,27418,music business|new york city|record executive|record label|singer,92,,,906
10,14000000,15956,anthology|hit and run|hit by a car|living statue|melting woman,118,3500000,1987,273
541,,6350,desert|partner|prostitute|stagecoach|water,62,3716946,1970,372
174,,19026,homoeroticism|kansas|murder|police|robbery,128,3500000,1967,220
160,,7071,belgium|congo|convent|nun|nurse,83,3500000,1959,139
22,,5941,kidnapping|los angeles california|neo noir|private detective|ransom,74,3500000,1966,481
13000,,30982,penknife|police|rape|serial killer|united kingdom,199,2000000,1972,146
22,25138292,66483,black magic|goat|isolation|naked woman|witch,452,3500000,2015,191
0,10305534,1721,friend|obscenity|scam|vacant lot|van,38,3500000,1998,118
0,9449219,13949,claim in title|infidelity|irish american|love|sex,98,3500000,1996,356
386,6390032,24977,friendship|gardener|gay interest|homosexual|memory,229,3500000,1998,258
195,20167424,131831,investigation|justice|murder|suspect|tension,231,2000000,2009,88
0,,49672,bunker|experiment|military|research|scientist,419,3500000,1985,177
47,,4790,blood splatter|heart ripped out|jock strap|train|vomiting,52,,2008,209
0,5923044,113451,cabin|cabin in the woods|demon|evil dead|woods,537,3600000,1987,328
0,3293258,11399,based on sketch comedy|corporation|cult film|evil corporation|sex,131,3000000,2001,555
48,,34532,cult film|hurricane|school bus|shark|shark feature,236,1000000,2013,697
22,886410,1024,1520s|aztec|indian|spanish colonization|spanish conquest,494,3500000,1998,16
12,252652,54104,bear|cameraman|hunter|secret government agency|troll,199,19900000,2010,4
0,220234,1950,erectile dysfunction|mugger|mugging|subway robbery|therapy,24,3500000,2006,729
82,34350553,104072,alien|escape|manager|neighborhood watch|ohio,207,68000000,2012,591
9,101228,7228,love|michigan|musician|novelist|student,53,3500000,2005,8000
23,96793,12188,1959 cadillac|diamonds|female villain|force field|voyeurism,135,3500000,2004,756
28,123777,342,,15,3500000,2016,294
0,,1634,blood splatter|ski mask|stolen money|vomiting|warehouse,11,3500000,2008,168
6,,372,bar|box office flop|dance|one word title|voice over narration,20,1000000,1998,893
,,653,adultery|baptist church|dentist|double murder|tv mini series,4,,,133
0,,961,death|forensic|murder|profiler|serial killer,12,3500000,2009,574
41,,30434,batman|joker|mutant|tattoo on breast|the joker,55,3500000,2013,774
117,29233,75,,2,3500000,2015,3
892,,1285,castle|dragon|kidnapping|satire|sword and sorcery,10,3500000,2014,145
14,,1928,chess|drugs|love|meth|pawn,10,3500000,2014,660
19,,455,desert|held at gunpoint|marine|revenge|sex on table,13,3500000,2014,535
0,,610,gang leader|italian woman|period piece|purgatory|suicide,18,3440000,2014,53
