actor_3_facebook_likes,gross,genres,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,num_user_for_reviews,country,content_rating,imdb_score
150,44793200,Action|Fantasy|Horror|Thriller,A Nightmare on Elm Street 3: Dream Warriors ,49820,1584,Jennifer Rubin,0,dream|freddy krueger|killer|nightmare|springwood ohio,311,USA,X,6.6
458,43771291,Mystery|Thriller,The Gift ,79916,3215,Wendell Pierce,1,compulsive liar|fired from a job|gift|rape|substance abuse,279,USA,R,7.1
83,44456509,Comedy|Drama,Instructions Not Included ,22105,688,Hugo Stiglitz,1,father daughter relationship,81,Mexico,PG-13,7.6
113,53884821,Horror,Paranormal Activity 4 ,51204,799,Alisha Boe,0,boy in a bathtub|demon|laptop computer|pulled underwater|walking in the dark,247,USA,R,4.6
275,36000000,Drama|History,The Robe ,6359,1920,Victor Mature,1,box office hit|crucifixion|nightmare|palestine|robe,69,USA,Unrated,6.8
80,,Comedy|Crime|Mystery,The Return of the Pink Panther ,19596,971,Catherine Schell,0,clouseau|diamond|panther|pink|pink panther,73,UK,G,7.1
581,34872293,Comedy|Fantasy|Horror|Thriller,Freddy's Dead: The Final Nightmare ,30765,42002,Yaphet Kotto,0,dark comedy|dream|freddy krueger|nightmare|serial murder,252,USA,R,4.9
592,34468224,Biography|Crime|Drama|Thriller,Monster ,105568,11736,Pruitt Taylor Vince,2,beach|female criminal|hooker|lesbian|prostitute,533,USA,R,7.3
51,,Adventure|Drama|Family|Fantasy|Sci-Fi,20,000 Leagues Under the Sea ,22123,799,Paul Lukas,0,captain|expedition|sea|submarine|whale,108,USA,Approved,7.2
332,32453345,Fantasy|Horror|Thriller,Paranormal Activity: The Marked Ones ,31791,2161,Molly Ephraim,0,apartment|blood|demonic possession|neighbor|pentagram,155,USA,R,5.0
452,,Biography|Drama,The Elephant Man ,161972,13864,Dexter Fletcher,1,curiosity|exploitation|freak|hospital|physical deformity,356,USA,PG,8.2
896,27296514,Biography|Drama,Dallas Buyers Club ,326494,17738,Denis O'Hare,0,drugs|fda|gay community|hiv|homophobia,340,USA,R,8.0
801,25799043,Horror|Sci-Fi|Thriller,The Lazarus Effect ,28513,11771,Donald Glover,0,electrocuted|experiment|hell|serum|university,126,USA,PG-13,5.2
379,25530884,Mystery|Thriller,Memento ,845580,1997,Jorja Fox,0,flashback|memory|murder|short term memory|telephone,2067,USA,R,8.5
202,27689474,Horror|Mystery,Oculus ,85688,2071,Garrett Ryan,0,home office|mirror|released from a mental hospital|trauma|video camera,339,USA,R,6.5
657,24138847,Comedy,Clerks II ,114797,2990,Brian O'Halloran,3,fast food|fast food restaurant|new jersey|quick stop|restaurant,472,USA,R,7.4
34,21994911,Drama|Music,Billy Elliot ,98354,1122,Jamie Draven,0,audition|ballet|boxing|miner|miners strike,433,UK,R,7.7
424,21501098,Comedy|Drama,The Way Way Back ,115813,8375,Jim Rash,1,awkward boy|shy kid|summer|vacation|water park,216,USA,PG-13,7.4
287,19281235,Comedy|Drama|Music|Romance,House Party 2 ,3571,2523,Helen Martin,0,college|misogyny|money|new friend|party,11,USA,R,5.1
75,,Adventure|Drama|Family|Romance|Western,The Man from Snowy River ,5894,854,Tom Burlinson,0,australia|brumby|ranch|stallion|twin,56,Australia,PG,7.3
73,19421271,Animation|Comedy|Family,Doug's 1st Movie ,2448,2908,Alice Playten,1,dance|friend|monster|reference to batman|valentine,18,USA,G,5.0
77,20733485,Drama,The Apostle ,11622,428,June Carter Cash,1,church|louisiana|minister|preacher|texas,157,USA,PG-13,7.2
157,,Biography|Drama,Mommie Dearest ,10564,2014,Diana Scarwid,1,abusive mother|adopted daughter|borderline personality disorder|perfection|sadistic cruelty,161,USA,R,6.7
1000,24809547,Comedy|Drama,Our Idiot Brother ,74875,15710,Steve Coogan,1,art model|farmer|jail|nude model|three sisters,115,USA,R,6.4
