duration,director_facebook_likes,cast_total_facebook_likes,facenumber_in_poster,plot_keywords,language,country,content_rating,title_year,actor_2_facebook_likes,aspect_ratio
92,46,1258,0,countryside|deformed|farmer|gangster|kidnapping,English,UK,Unrated,2008,337,2.35
87,65,3724,1,african american policeman|police|policeman|policewoman|vomiting,English,USA,R,2009,738,1.78
80,799,10727,0,flatulence|march|penguin|south pole|spoof,English,USA,R,2006,2000,1.85
90,0,3217,6,,English,USA,PG-13,2009,617,
44,,4092,2,best friend|friend|police|police department|psychic,English,USA,TV-PG,,922,1.78
105,0,1986,1,demo tape|directed by cast member|grieving father|guitar|guitar player,English,USA,R,2014,508,
67,0,2509,2,bare butt|baseball|children|new york yankees|surrealism,English,USA,PG,2014,732,
95,7,3514,7,,English,USA,PG,2015,970,
87,49,3059,1,abduction|based on true story|mexico,English,USA,TV-PG,2011,699,1.78
94,261,12676,1,cia|individualism|mental illness|religion|revenge,English,Bahamas,R,2014,316,2.35
109,3,1681,3,fight|mina|murder|revenge|terrorist,English,UK,R,2014,266,
130,0,5191,0,astronaut|hoax|journalist|mission|nasa,English,USA,PG,1977,849,2.35
,3,4991,15,,English,USA,,2012,900,
88,14,3021,2,,English,USA,,2015,763,
88,0,46115,7,part of trilogy|second part,English,USA,PG-13,2016,3000,
97,20,2849,1,building|infection|navy seal|shot through the head|zombie,English,USA,,2015,615,
113,44,92,1,hotel|legs|lingerie|waiter|wealth,Czech,Czech Republic,R,2006,12,1.85
99,766,1519,3,2000s|burglar|chef|cook|restaurant,German,Germany,,2009,486,1.85
148,0,3967,0,friend|mental institution|murder|repair shop|small town,English,USA,R,1996,324,1.85
107,58,2363,1,boarding school|boy|british horror|ghost|school,English,UK,R,2011,579,2.35
93,0,2990,0,bratislava|hostel|sadistic horror|torture|travel,English,USA,R,2005,1000,2.35
94,187,3690,0,actor playing himself|battle|boots|penis|womb,English,UK,R,2005,887,2.35
121,337,1520,0,ambiguous ending|firefly|mysterious event|schizophrenia|storm,English,USA,R,2011,463,2.35
118,7,2545,0,1960s|boy|ghost|murder|small town,English,USA,R,1988,733,1.85
98,16,11703,0,actress|coming of age|retired actress|teenage boy|vomiting,English,UK,PG-13,2006,838,1.85
82,0,2469,2,apology|death|group of friends|sex|toilet,English,USA,Unrated,2014,833,
101,365,302,3,chainsaw|chainsaw murder|human monster|music score composed by director|obscene finger gesture,English,USA,X,1986,28,1.85
106,541,2409,0,bare breasts|flogging|human branding|man slaps a woman|manhunt,English,USA,R,1973,476,2.35
90,0,34779,1,brutal cop|drug dealer|punishment|thai boxing|vengeance,English,Denmark,R,2013,1000,1.85
79,0,286,0,cabin|girl fight|jealousy|sailing boat|tent,French,France,,2005,40,
87,20,2006,6,bare chested male|journalist|passion|pregnancy|woman in underwear,English,USA,R,2011,345,
,0,5,2,,Kannada,India,,2013,0,
105,11,18105,0,boy|dock|letter|seaside|stranger,English,UK,PG-13,2004,66,1.85
89,0,2668,2,contemporary west|cowboy|horse|jockey|neo western,English,Canada,R,2007,580,2.35
100,3,143,1,activist|promiscuous daughter|promiscuous woman|sex in a bed|voyeurism,French,France,R,2010,52,1.85
92,4,1795,1,,English,Mexico,,2013,480,
97,4,15093,1,incest|male nudity|older man younger woman relationship|orgasm|son murders mother,English,Spain,Not Rated,2007,1000,1.85
100,0,122,0,true crime,English,New Zealand,,2006,10,1.85
96,37,3113,0,misfit|police|police academy|police cadet|police officer,English,USA,R,1984,760,1.85
104,116,1662,0,coming of age|island|poison|teenage boy|teenage girl,English,USA,R,1980,511,1.85
117,179,1862,4,1990s|chick flick|funeral|gay relationship|wedding,English,UK,R,1994,398,1.66
90,143,5002,1,break up|california|high school|surfer|teacher,English,USA,X,1982,901,1.85
115,1000,588,0,obsession|revenge|ship|whale|whaling,English,USA,Unrated,1956,169,1.66
108,0,26050,0,bar|dream|drug dealing|nightclub|widower,English,USA,R,2002,3000,2.35
43,,1587,0,,English,USA,,,560,16.0
109,0,3668,0,gangster|lesbian|mafia|money|neo noir,English,USA,R,1996,441,1.85
102,0,2235,0,addiction|diet pill|drug addiction|fast motion scene|heroin,English,USA,R,2000,1000,1.37
100,9,496,2,fair|farm|iowa|newspaper|state fair,English,USA,Approved,1945,135,1.37
115,98,371,3,dancer|director|love|musical filmmaking|tango,Spanish,Spain,PG-13,1998,26,2.0
122,0,2762,0,1980s|el salvador|political thriller|reagan administration|war journalism,English,UK,R,1986,652,1.85
98,10,2705,,blogger|pastor|reference to the shawshank redemption|taser|tasered,English,USA,PG,2014,416,2.35
133,219,17040,1,1980s|death|insanity|parallel universe|time travel,English,USA,R,2001,933,2.35
105,5,793,6,conflicted hero|flashback|mission|rescue|rescue mission,Spanish,Mexico,PG-13,2011,154,2.35
122,4,48,1,bailiff|lawyer|office|police|school,Dutch,Netherlands,R,1997,20,1.85
106,68,2110,0,male nudity|meth|meth lab|nudity|speed freak,English,USA,R,2002,601,1.85
98,377,5041,1,forgiveness|ghost|new jersey|pedophile|three sisters,English,USA,R,2009,887,1.85
112,0,907,0,cake|christian|lesbian sex|oral sex|pregnant schoolgirl,Korean,South Korea,R,2005,126,2.35
120,0,53,2,mozart|musical prodigy|royal court|singer|talent,French,France,,2010,12,1.85
99,0,29325,1,inmate|prison|prison guard|soccer|soccer star,English,UK,R,2001,1000,1.85
110,143,398,0,baby|friendship|macau|practical joke|selfie,Cantonese,Hong Kong,R,2006,96,2.35
102,3,1950,0,assumed identity|bolivia|butch cassidy|doctor|thief,English,Spain,R,2011,356,2.35
109,187,131,1,abandoned by mother|poverty|sex trade|teenage prostitution|unpaid bill,Russian,Sweden,R,2002,2,1.85
104,0,15860,1,breath on mirror|buried alive|engagement ring|looking at one's self in a mirror|serial killer,English,USA,R,2009,1000,2.35
134,0,496,4,,Hindi,India,,2014,82,
133,869,2176,0,1960s|escape|mental institution|nurse|sexuality,English,USA,R,1975,721,1.85
85,358,20397,3,cabinet|carnival|halloween|soul|temptress,English,USA,PG,2015,570,1.78
87,0,2951,0,black comedy|friend|modern silent movie|silent movie|two word title,,USA,PG,1976,842,1.85
