director_name,director_facebook_likes,actor_2_name,cast_total_facebook_likes,content_rating,movie_facebook_likes
Peter Cattaneo,11,Bradley Cooper,33153,PG-13,0
Vicky Jenson,96,Zach Gilford,25637,PG-13,0
Gus Van Sant,835,Hal Holbrook,14544,R,10000
Woody Allen,11000,Michael McKean,2717,PG-13,10000
Mary Lambert,52,Susan Ward,2312,PG-13,157
Tommy Lee Jones,0,Dwight Yoakam,1627,R,0
Peter Kassovitz,0,Mark Margolis,51657,PG-13,0
Shane Black,1000,Corbin Bernsen,23932,R,0
Rodman Flender,6,Fred Willard,3654,R,0
David Lynch,0,Robert Forster,8484,R,16000
Katja von Garnier,18,Agnes Bruckner,1675,PG-13,0
Woody Allen,11000,Naomi Watts,19310,R,0
Mark Romanek,132,Charlie Rowe,12867,R,33000
,,Tom Hollander,3809,,733
Brad Anderson,122,Eduardo Noriega,1252,R,0
Michael Chapman,70,Pamela Reed,1351,R,843
Antonio Banderas,0,Elizabeth Perkins,4834,PG-13,391
Michael Haneke,0,Siobhan Fallon Hogan,6748,R,0
Khalil Sullins,5,Kalim Chandler,527,,708
Atom Egoyan,460,Elaine Cassidy,5426,PG-13,284
Fritz Lang,756,Gustav Fröhlich,203,Not Rated,12000
Pierre Morel,180,Cyril Raffaelli,962,R,0
Gary Fleder,39,Bill Cobbs,14889,R,0
Hsiao-Hsien Hou,141,Chen Chang,1172,Not Rated,0
Gregor Jordan,34,Scott Glenn,3578,R,664
Andrey Zvyagintsev,445,Vladimir Garin,48,Unrated,0
Tony Jaa,0,Petchtai Wongkamlao,134,R,0
Neil Marshall,197,JJ Feild,15293,R,0
Russell Mulcahy,85,Gina Bellman,1432,R,154
Ryûhei Kitamura,129,Brooke Shields,18639,R,0
Darrell Roodt,36,Wendy Crewson,801,R,705
Dito Montiel,68,Al Pacino,32814,R,0
Stefan Ruzowitzky,24,Udo Kier,1732,PG-13,193
Jake Paltrow,17,Gael Le Cornec,1245,R,445
Juraj Jakubisko,15,Hans Matheson,2528,R,0
Anthony Silverston,0,Steve Buscemi,29488,Not Rated,0
Gabe Ibáñez,19,Robert Forster,2829,R,13000
Gerry Lively,93,Lucy Gaskell,363,Not Rated,473
Daniele Luchetti,6,Rodrigo De la Serna,192,,18
Tung-Shing Yee,3,Daniel Wu,996,R,821
Julien Temple,67,Dexter Fletcher,1585,PG-13,277
Harold Ramis,11000,Chris Elliott,15500,PG,38000
Gregory Jacobs,13,Channing Tatum,38963,R,41000
Baz Luhrmann,1000,Harold Perrineau,33791,PG-13,10000
Gilles Paquet-Brenner,15,Aidan Quinn,2140,PG-13,0
Peter Cousens,5,David Rasche,994,R,998
Clint Eastwood,16000,Morgan Freeman,28544,R,10000
Lars von Trier,3000,Jeremy Davies,4211,Not Rated,1000
Danny Boyle,0,Saurabh Shukla,820,R,13000
Adrian Lyne,213,Lois Smith,1639,R,3000
Garry Marshall,0,Hector Elizondo,11135,R,11000
John Blanchard,0,Andrea Martin,1125,,0
John Cornell,5,Linda Kozlowski,717,PG,489
Vidhu Vinod Chopra,34,Chris Marquette,2055,R,0
Oliver Stone,0,Tom Berenger,12098,R,4000
Jon Turteltaub,226,Leon,2496,PG,0
Patrick Lussier,71,Jaime King,14159,R,0
Ole Bornedal,30,Madison Davenport,2348,PG-13,17000
Ted Kotcheff,270,Brian Dennehy,15192,R,0
Sylvain White,41,Laz Alonso,3544,PG-13,0
Lewis Gilbert,43,Desmond Llewelyn,1326,PG,0
,,Steve Gonsalves,552,,373
Jamie Blanks,9,Loretta Devine,3500,R,0
Stephen Frears,350,Peter Capaldi,35501,R,0
Tyler Perry,0,Phylicia Rashad,2226,PG-13,0
